ts,open,high,low,close,volume
1723474800000,218.64,219.5099,217.15,218.7301,5556532
1723478400000,218.73,218.7574,217.18,217.19,3114423
1723482000000,217.19,217.7,216.47,216.845,3476125
1723485600000,216.85,217.42,216.53,217.3852,2390802
1723489200000,217.4,217.67,216.59,217.55,4705100
1723492800000,217.53,217.79,217.45,217.6182,7159152
1723496400000,217.6,217.68,217.51,217.53,38464
1723500000000,217.55,217.67,217.55,217.65,8376
1723503600000,217.6,217.77,217.53,217.59,27010
1723536000000,218.31,218.83,218.03,218.54,25269
1723539600000,218.54,218.7,218.54,218.66,7059
1723543200000,218.65,218.65,217.56,217.89,25258
1723546800000,217.92,218.32,217.85,218.24,25698
1723550400000,217.97,219.01,217.79,218.5009,1700885
1723554000000,218.58,221.47,218.15,221.13,7108900
1723557600000,221.13,221.71,220.2606,220.97,5367106
1723561200000,220.98,221.5987,220.89,221.1203,4279692
1723564800000,221.1,221.59,220.92,221.585,2724225
1723568400000,221.57,221.89,220.56,220.93,3139496
1723572000000,220.93,221.4849,220.71,221.23,2358966
1723575600000,221.23,221.31,220.42,221.27,5367035
1723579200000,221.275,221.35,220.01,220.44,10481050
1723582800000,220.45,220.7385,220.41,220.68,32112
1723586400000,220.69,220.88,220.5,220.65,23727
1723590000000,220.6,220.75,220.49,220.7,40300
1723622400000,221.28,221.4,220.77,221.07,42335
1723626000000,221.19,221.7,221.12,221.61,15638
1723629600000,221.69,221.77,221.2,221.35,15651
1723633200000,221.33,221.33,220.95,221.04,34261
1723636800000,221.2,221.9996,220.32,221.41,1333982
1723640400000,221.35,222.02,219.7,220.95,6261573
1723644000000,220.945,221.73,220.455,221.6901,4979140
1723647600000,221.695,223.03,221.6,222.9701,3948281
1723651200000,222.97,222.97,220.38,221.04,4048549
1723654800000,221.03,221.77,220.88,221.27,3326989
1723658400000,221.26,221.72,220.9,221.57,2910963
1723662000000,221.58,222.35,220.81,221.61,5775463
1723665600000,221.59,221.96,221.49,221.68,7151346
1723669200000,221.71,221.85,221.5841,221.85,14023
1723672800000,221.85,221.85,221.5005,221.6081,18551
1723676400000,221.6,222.1594,221.59,222.0,53626
1723708800000,222.34,222.71,221.88,222.22,19360
1723712400000,222.21,222.48,222.21,222.44,8317
1723716000000,222.46,222.48,221.84,221.84,12569
1723719600000,221.91,222.37,221.76,222.28,28423
1723723200000,221.94,223.71,221.78,223.43,276292
1723726800000,223.53,224.87,222.76,224.43,6025552
1723730400000,224.4201,225.35,223.95,224.45,6836285
