ts,open,high,low,close,volume
1723474800000,168.07,168.52,166.3645,167.96,3948352
1723478400000,167.96,168.2399,166.87,166.88,2259516
1723482000000,166.89,167.63,166.56,166.9685,2151343
1723485600000,166.97,167.2,166.7504,167.0901,1746069
1723489200000,167.09,167.12,166.18,166.82,3982988
1723492800000,166.8,166.99,166.61,166.7,4599656
1723496400000,166.69,166.77,166.67,166.67,66412
1723500000000,166.73,167.1415,166.6,166.6999,13851
1723503600000,166.6999,166.9,166.6993,166.74,18834
1723536000000,167.9,168.0,167.5,167.6,23238
1723539600000,167.72,167.9,167.5,167.8,5882
1723543200000,167.73,167.73,167.0,167.2,14750
1723546800000,167.12,167.29,166.62,167.08,47183
1723550400000,167.15,168.84,166.6301,168.18,263520
1723554000000,168.16,169.16,167.1,167.41,5605579
1723557600000,167.43,168.37,167.26,167.74,5138789
1723561200000,167.73,168.27,167.56,168.25,3134405
1723564800000,168.25,170.0,168.045,169.9,4043822
1723568400000,169.91,171.04,169.555,170.33,4980569
1723572000000,170.32,170.44,169.7201,170.3,3363501
1723575600000,170.29,170.41,169.68,170.23,4606725
1723579200000,170.23,170.64,169.76,169.96,5825272
1723582800000,169.94,170.16,169.94,170.0982,40145
1723586400000,170.05,170.32,170.05,170.15,31592
1723590000000,170.25,170.54,170.16,170.4493,330900
1723622400000,170.45,170.65,170.03,170.57,26059
1723626000000,170.63,170.72,170.55,170.6,6850
1723629600000,170.64,170.76,170.64,170.67,7647
1723633200000,170.72,170.76,170.36,170.69,25948
1723636800000,170.6991,171.4899,170.1,171.4204,340367
1723640400000,171.48,172.3,170.19,170.69,4960909
1723644000000,170.69,171.23,169.13,170.08,4034861
1723647600000,170.1,170.69,169.85,170.51,2621959
1723651200000,170.5165,170.54,168.86,169.8,2743244
1723654800000,169.79,170.01,169.47,169.76,1825284
1723658400000,169.75,170.17,169.4879,170.07,2011328
1723662000000,170.07,170.37,169.21,170.05,4787954
1723665600000,170.04,170.49,169.86,170.4098,5294247
1723669200000,170.4,170.45,170.1,170.42,74331
1723672800000,170.42,170.42,170.17,170.2388,15063
1723676400000,170.2,170.251,169.83,170.0199,19818
1723708800000,170.71,170.83,170.15,170.31,16045
1723712400000,170.44,170.59,170.44,170.59,810
1723716000000,170.5,170.55,170.1,170.1,12361
1723719600000,170.1,172.2,169.62,172.0,186479
1723723200000,170.74,175.14,169.61,174.91,1260264
1723726800000,174.93,176.67,173.99,176.1,10319179
1723730400000,176.11,176.35,174.91,176.045,8853681
1723734000000,176.05,177.263,176.03,176.61,6434329
1723737600000,176.61,176.85,176.0525,176.48,3569276
1723741200000,176.49,176.8992,175.95,176.89,2934675
1723744800000,176.9,177.6401,176.82,177.2,3379476
1723748400000,177.205,177.91,176.97,177.6,5976076
1723752000000,177.61,177.7513,177.38,177.45,7861648
