ts,open,high,low,close,volume
1629086400000,231.9,232.03,227.14,229.06,8171549
1629172800000,226.2,226.24,219.8,222.22,13351958
1629259200000,221.73,223.65,218.9,219.0,9263442
1629345600000,216.3,218.2965,211.73,212.16,11709498
1629432000000,212.31,214.7399,210.94,212.67,9541914
1629691200000,215.83,220.18,215.38,219.4,10643036
1629777600000,220.11,223.1,219.8,221.43,9313336
1629864000000,221.5,222.3,219.1,221.03,6671920
1629950400000,221.41,222.9,215.91,216.5,8478071
1630036800000,217.47,222.43,216.86,221.75,7873712
1630296000000,222.35,222.37,217.53,217.66,7812368
1630382400000,217.33,221.325,217.0854,219.5,7076219
1630468800000,220.0,221.76,217.62,218.12,7319925
1630555200000,218.95,223.84,218.08,220.83,9121640
1630641600000,219.454,221.18,217.46,218.17,6601667
1630987200000,215.91,216.71,212.17,214.24,13675853
1631073600000,213.6,216.08,210.51,211.38,9186626
1631160000000,211.15,216.61,210.72,213.94,9409741
1631246400000,215.16,215.89,210.12,210.3,7155269
1631505600000,211.35,215.64,209.88,214.48,10596750
1631592000000,215.84,216.11,210.711,211.57,10396718
1631678400000,211.79,214.35,210.32,214.22,8273649
1631764800000,213.96,216.31,213.31,213.36,6654582
1631851200000,213.12,215.37,211.91,213.36,8810295
1632110400000,210.81,212.43,206.53,209.5,10973383
1632196800000,210.25,211.76,207.72,208.51,7317394
1632283200000,210.0,217.99,209.65,216.98,11344179
1632369600000,217.81,222.62,217.1501,221.1,9565574
1632456000000,219.13,222.41,218.66,221.39,6736043
1632715200000,224.0,228.6,223.8775,224.16,10014067
1632801600000,222.9,224.577,216.4201,218.41,9873475
1632888000000,227.8,229.9399,224.86,225.36,17122490
1632974400000,226.08,226.15,219.46,219.94,10855201
1633060800000,222.85,226.72,220.6,226.0,9458610
1633320000000,225.68,227.9707,222.0,223.79,7304295
1633406400000,224.27,226.45,222.42,224.42,5910052
1633492800000,221.08,225.07,219.2001,224.99,7387834
1633579200000,227.34,229.0,225.9,226.48,8136802
1633665600000,226.75,228.7124,225.4,226.39,4694183
1633924800000,226.5,232.1,225.32,226.45,7448844
1634011200000,226.0,228.66,223.12,223.57,8854901
1634097600000,224.0,224.2995,219.36,221.78,8513373
1634184000000,221.07,222.18,217.0411,217.44,10900012
1634270400000,218.165,219.61,216.28,217.04,9019678
1634529600000,216.0,217.28,214.05,216.98,6940786
1634616000000,217.47,217.6585,215.28,215.97,6342794
1634702400000,215.49,218.66,214.35,216.17,8937598
1634788800000,216.54,218.1122,213.81,214.34,8951831
1634875200000,214.6,216.72,212.575,212.97,7309886
1635134400000,213.25,213.25,212.87,212.87,781819
1635220800000,213.19,214.85,208.18,209.81,11258541
1635307200000,212.85,212.9,205.64,206.61,15152330
1635393600000,206.0,208.74,204.6,207.85,9240853
1635480000000,206.84,208.24,205.29,207.03,8892839
1635739200000,207.0,214.69,206.81,214.58,9704277
1635825600000,213.83,215.715,210.7,212.77,6416420
1635912000000,211.47,213.76,210.8721,213.38,4922192
1635998400000,213.8,214.82,211.87,213.03,6117039
1636084800000,217.7,224.58,217.7,224.46,17558738
1636347600000,225.24,226.99,222.11,222.68,10302583
1636434000000,222.49,222.85,217.54,220.79,7650088
1636520400000,219.36,225.68,217.27,218.5,8683830
1636606800000,220.5,222.65,218.9,219.38,6791435
1636693200000,219.72,223.75,218.9,220.96,6643510
1636952400000,227.37,233.94,226.92,233.09,22583388
1637038800000,232.94,232.95,225.51,225.8,10469101
1637125200000,229.54,231.32,224.2,226.62,11075239
1637211600000,230.3,231.5,224.951,227.25,11545496
1637298000000,225.07,225.33,213.23,214.13,21439506
1637557200000,215.0,215.02,208.95,209.9,11195167
1637643600000,211.5,212.99,207.77,209.13,9596079
1637730000000,207.52,211.22,206.87,210.6,5688617
1637902800000,197.57,199.42,194.0,199.21,17838585
1638162000000,201.87,204.28,195.33,198.5,12767318
1638248400000,196.02,198.82,193.85,197.85,13340238
1638334800000,200.81,201.62,188.0,188.19,13859959
1638421200000,196.8,202.54,192.41,202.38,20582970
1638507600000,198.7,199.9,195.4201,198.49,10956465
1638766800000,199.77,206.4201,199.2,205.88,12627254
1638853200000,207.06,211.65,206.38,208.83,10921233
1638939600000,209.18,212.6799,207.71,211.03,7382142
1639026000000,207.53,208.545,205.2,207.56,7386727
1639112400000,208.81,209.0,203.48,205.06,6311443
1639371600000,202.5,202.81,195.55,197.4,11116076
1639458000000,195.6,200.5,195.18,195.5,9132375
1639544400000,195.28,196.5799,190.32,195.43,10996836
1639630800000,197.0,198.3175,190.44,190.79,8831847
1639717200000,190.27,194.77,187.88,192.63,14200749
1639976400000,188.11,190.36,185.26,188.48,10866023
1640062800000,190.28,199.69,190.04,199.52,12913830
1640149200000,199.46,202.93,197.94,201.69,8482548
1640235600000,202.13,205.13,201.32,204.22,7849830
1640581200000,201.99,203.43,199.1,203.17,8171354
1640667600000,202.23,208.9373,201.65,206.13,9181170
1640754000000,205.36,205.41,202.6,203.66,6407050
1640840400000,203.0,206.0,202.6,202.71,7238518
1640926800000,202.2,203.69,200.03,201.32,8444099
1641186000000,204.0,210.55,203.34,207.86,9612721
1641272400000,211.3,214.5555,209.78,213.63,11885612
1641358800000,216.64,218.93,211.81,213.07,12057035
1641445200000,214.64,216.0,207.86,211.34,7432959
1641531600000,212.98,218.32,212.3825,215.5,10025609
1641790800000,214.26,215.28,207.13,209.31,8820020
1641877200000,209.0,217.03,208.41,216.02,8446695
1641963600000,217.09,221.24,216.3,217.45,9721705
1642050000000,222.25,226.89,220.05,223.9,18125722
1642136400000,222.16,226.2,220.25,225.96,8446647
1642482000000,224.5,229.67,224.26,225.01,9348267
1642568400000,225.1,225.42,216.94,217.08,9726141
1642654800000,217.38,221.95,213.42,214.19,8261529
1642741200000,213.79,213.79,204.57,205.44,12082936
1643000400000,199.85,204.2,193.94,204.2,4852766
1643086800000,200.1,205.63,197.5501,204.1,9497277
1643173200000,206.214,206.214,191.92,194.27,19401257
1643259600000,196.38,199.7073,188.64,189.75,13123253
1643346000000,188.78,190.72,183.77,190.57,11372008
1643605200000,190.73,200.34,190.0,200.24,16201190
1643691600000,202.48,208.89,200.495,208.34,12752298
1643778000000,205.43,208.3857,203.21,207.52,8434739
1643864400000,206.06,209.1,204.26,206.39,7514653
1643950800000,205.0,208.25,203.1,206.45,6214747
1644210000000,205.79,214.37,205.42,211.92,12174337
1644296400000,212.68,213.87,209.69,213.27,7654775
1644382800000,214.91,217.04,213.3004,215.86,7942637
1644469200000,213.71,223.23,213.695,218.75,12025161
1644555600000,217.87,221.42,210.27,212.3,11851845
1644814800000,213.0,215.63,208.76,210.04,6793870
1644901200000,214.84,219.5394,213.69,217.73,10719791
1644987600000,216.1,219.68,215.28,218.93,6027787
1645074000000,218.47,218.5799,212.67,213.58,6460018
1645160400000,212.56,214.7288,208.6,209.03,7446944
1645506000000,205.0,206.9,197.82,198.74,10857176
1645592400000,201.13,203.2499,195.91,196.42,7661860
1645678800000,189.29,198.855,186.88,198.43,13783760
1645765200000,201.09,204.07,199.1006,201.48,9292713
1646024400000,198.58,207.31,196.75,205.34,10716652
1646110800000,203.11,203.5,192.93,194.91,12279776
1646197200000,196.27,199.85,194.6413,197.81,7856745
1646283600000,197.94,198.5,188.71,188.85,12951734
1646370000000,187.37,188.3203,178.97,180.84,13485804
1646629200000,181.03,182.72,169.06,169.17,13381793
1646715600000,169.91,173.8,169.91,173.8,1139728
1646802000000,179.8,182.87,177.41,178.56,10550780
1646888400000,175.76,182.02,175.39,178.39,8828222
1646974800000,183.59,184.86,175.95,176.23,9645058
1647230400000,175.88,178.2289,172.57,175.52,8478840
1647316800000,176.3,180.5,175.6,179.89,8525755
1647403200000,183.39,189.6,182.3,188.99,12566306
1647489600000,186.36,190.24,185.27,190.19,8543210
1647576000000,192.07,193.38,190.1,192.83,15692562
1647835200000,184.4,187.265,180.61,185.9,29110089
1647921600000,185.24,192.8629,184.52,191.04,15221523
1648008000000,189.67,190.16,185.03,186.04,8974613
1648094400000,186.35,189.19,184.72,189.05,7655137
1648180800000,187.76,191.7,186.93,188.95,6948526
1648440000000,188.43,189.26,184.47,188.16,7613428
1648526400000,191.62,196.36,191.2,193.8,8768304
1648612800000,192.32,197.45,191.36,194.91,10750336
1648699200000,195.0,197.5799,191.45,191.5,6990652
1648785600000,192.58,192.616,188.78,190.76,5154142
1649044800000,190.02,191.8448,186.91,191.18,8721575
1649131200000,189.7,192.35,182.52,182.65,9764197
1649217600000,180.4,180.57,176.5802,178.72,8552114
1649304000000,178.13,178.66,173.87,177.97,7758626
1649390400000,176.54,178.13,174.24,175.2,6823107
1649649600000,173.84,179.67,173.4,175.03,6313493
1649736000000,175.5,178.5,174.53,176.28,6421320
1649822400000,176.96,183.46,176.96,182.87,7664018
1649908800000,182.75,185.54,181.64,181.94,5567553
1650254400000,181.45,182.46,178.55,179.85,5245724
1650340800000,180.36,187.61,180.28,185.98,7799547
1650427200000,187.24,187.34,182.86,183.55,7143934
1650513600000,188.73,189.85,180.55,181.02,8337663
1650600000000,180.78,182.67,176.5,176.92,6683136
1650859200000,174.51,176.08,172.45,175.91,6576478
1650945600000,174.76,174.87,166.85,167.04,9669539
1651032000000,161.25,161.25,146.0,154.46,40606434
1651118400000,156.61,156.79,149.0,154.22,14022247
1651204800000,153.44,157.0299,148.52,148.84,11464302
1651464000000,147.63,149.4517,143.3821,148.61,12992244
1651550400000,149.09,154.4494,147.91,153.58,10565738
1651636800000,152.91,157.14,150.7723,156.97,9931323
1651723200000,155.69,157.99,149.05,150.47,8570531
1651809600000,149.96,150.9,145.85,148.9,8068905
1652068800000,146.0,146.95,132.65,133.31,13049506
1652155200000,136.76,137.835,130.3301,132.95,12274392
1652241600000,132.95,138.96,129.11,129.39,12101078
1652328000000,126.89,128.53,120.28,123.14,16334253
1652414400000,124.98,130.8,122.38,127.2,20944301
1652673600000,127.05,131.1242,122.35,124.05,11185148
1652760000000,126.905,132.83,125.79,132.05,12526469
1652846400000,130.34,132.1,124.36,125.52,10030079
1652932800000,124.4,128.4,123.7,127.14,8413381
1653019200000,128.77,128.85,117.08,120.7,19455381
1653278400000,121.7,124.48,120.34,124.07,10818367
1653364800000,122.44,122.7,117.29,119.4,9496735
1653451200000,119.17,122.595,118.76,122.06,8064141
1653537600000,123.1,128.8416,122.74,127.73,8719852
1653624000000,128.77,132.23,128.32,132.23,7646224
1653969600000,131.03,132.99,128.86,131.4,8624309
1654056000000,133.0,134.33,127.01,130.65,10373855
1654142400000,132.14,140.55,131.87,140.5,13537510
1654228800000,138.52,140.7,137.585,139.25,10474884
1654488000000,139.99,141.14,136.83,139.24,6622717
1654574400000,137.49,141.24,135.91,140.82,5779566
1654660800000,139.13,142.2063,138.4401,139.63,5898410
1654747200000,139.35,139.66,133.7,133.73,6347205
1654833600000,130.27,132.1949,126.85,127.0,8272607
1655092800000,123.0,123.25,114.14,115.86,17239675
1655179200000,116.65,122.19,113.02,122.16,18132827
1655265600000,124.35,134.99,123.83,133.72,26108654
1655352000000,131.7,135.34,131.26,133.36,20312353
1655438400000,132.25,138.98,131.5,136.8,19334956
1655784000000,139.17,140.9395,135.84,136.75,11270601
1655870400000,134.03,138.79,133.28,137.16,8292699
1655956800000,136.42,137.42,130.0917,133.97,11174474
1656043200000,135.01,141.87,134.95,141.53,15128848
1656302400000,140.28,140.5725,136.22,138.72,9653380
1656388800000,140.89,147.18,138.54,138.7,12529775
1656475200000,138.61,138.92,134.84,138.45,8181872
1656561600000,134.3,137.49,131.6,136.72,9135350
1656648000000,135.88,141.79,135.4,139.84,8075528
1656993600000,136.25,138.07,131.29,137.7,10534048
1657080000000,137.54,138.71,134.46,136.31,6970038
1657166400000,137.93,142.275,137.8985,139.97,8076558
1657252800000,139.7,140.7391,137.3747,139.07,5895623
1657512000000,137.77,139.24,134.89,136.99,6668124
1657598400000,136.86,149.32,136.81,147.15,18958049
1657684800000,142.785,146.41,142.18,143.95,9425505
1657771200000,141.11,147.49,140.61,147.15,10047823
1657857600000,149.17,149.7359,144.65,147.74,8378425
1658116800000,153.305,155.94,147.2,147.72,14392985
1658203200000,149.61,156.28,148.97,156.13,14577294
1658289600000,156.0,159.4,154.26,158.38,8980293
1658376000000,158.89,161.655,156.19,161.41,8407663
1658462400000,161.8,163.3399,157.77,158.16,8027023
1658721600000,156.94,157.31,152.84,156.64,6186348
1658808000000,155.24,158.18,154.5,155.92,6441659
1658894400000,161.12,162.74,152.8,156.09,16738400
1658980800000,154.02,160.1,153.03,159.09,9066419
1659067200000,157.95,159.84,155.54,159.31,6281599
1659326400000,165.95,171.76,164.25,169.07,18925010
1659412800000,167.0,167.325,163.14,163.28,11343857
1659499200000,164.51,167.52,162.33,166.64,6988439
1659585600000,165.77,168.12,164.41,166.5,5317188
1659672000000,164.4,167.07,163.93,165.04,5186104
1659931200000,166.41,171.09,164.7115,165.89,11582653
1660017600000,166.51,166.51,163.45,164.85,6413576
1660104000000,168.35,171.14,167.25,169.02,7581842
1660190400000,170.5,171.7599,167.05,167.88,5238869
1660276800000,168.39,170.11,167.57,169.99,4620226
1660536000000,169.29,172.55,168.32,170.47,4976322
1660622400000,170.0,173.85,169.15,172.08,5537170
1660708800000,169.61,169.85,166.09,167.2,6857631
1660795200000,167.2,169.1799,165.77,168.69,4795693
1660881600000,166.33,166.84,162.58,162.92,6179811
1661140800000,159.4,160.2682,157.91,158.98,5724016
1661227200000,159.14,161.6899,159.0806,160.07,3637890
1661313600000,162.27,164.14,161.3801,163.6,4539459
1661400000000,164.56,169.65,163.7,169.38,5397306
1661486400000,170.0,171.37,164.27,164.53,5348561
1661745600000,162.28,166.9021,162.2,165.42,5256534
1661832000000,167.27,169.92,160.7201,162.21,6598434
1661918400000,163.0,163.551,160.14,160.25,4688692
1662004800000,158.0,158.9,150.82,153.66,8105132
1662091200000,155.19,156.99,151.48,151.82,5623716
1662436800000,152.39,154.48,150.46,152.39,6269892
1662523200000,151.26,156.345,150.87,155.95,5681921
1662609600000,155.0,158.3,153.84,157.79,5441349
1662696000000,158.0,159.75,156.95,157.52,6199448
1662955200000,158.46,160.97,157.45,158.72,5798489
1663041600000,153.6,155.19,147.13,147.31,9308526
1663128000000,146.9,149.7,144.3,149.26,9380782
1663214400000,147.88,153.45,147.28,149.78,10489898
1663300800000,145.23,145.63,141.35,144.29,12493425
1663560000000,142.62,146.99,142.35,144.88,5549605
1663646400000,145.26,147.67,143.9,145.94,7009816
1663732800000,146.77,149.87,143.21,143.29,6685404
1663819200000,143.13,143.7,138.29,138.71,6596425
1663905600000,135.65,136.185,129.5,131.26,9346110
1664164800000,129.77,132.45,126.88,127.34,7559229
1664251200000,129.32,130.45,125.6,127.51,7100311
1664337600000,128.04,133.89,127.4,133.44,10691370
1664424000000,131.2,131.61,123.8,125.33,9327998
1664510400000,123.14,125.475,120.99,121.08,9112827
1664769600000,122.0,127.15,121.02,126.05,8396396
1664856000000,129.4,133.57,129.33,133.51,7605618
1664942400000,130.28,133.55,128.26,132.11,6862595
1665028800000,131.13,133.3099,129.7407,132.2,4697722
1665115200000,130.36,130.607,128.02,129.79,5619414
1665374400000,131.42,135.74,130.2007,131.9,7169935
1665460800000,132.96,135.36,129.5101,131.57,8885653
1665547200000,128.43,131.34,127.86,130.42,6716536
1665633600000,126.5,134.7,124.17,132.4,8282188
1665720000000,135.59,136.41,131.37,133.15,6406356
1665979200000,136.98,137.28,133.2601,136.09,10218650
1666065600000,139.0,139.42,135.22,137.34,6468059
1666152000000,137.17,141.2,136.63,138.39,6914772
1666238400000,138.36,141.88,138.36,139.13,4581809
1666324800000,138.48,141.33,136.62,141.32,6030554
1666584000000,142.85,142.88,139.2815,142.05,5456261
1666670400000,142.09,146.88,141.88,146.65,6835530
1666756800000,147.05,150.14,132.205,133.79,30334657
1666843200000,137.1,143.1024,136.6201,139.76,14441628
1666929600000,141.16,144.73,139.9314,143.84,8483241
1667188800000,141.88,144.449,139.52,142.51,6805809
1667275200000,143.99,145.25,141.835,143.38,6211694
1667361600000,142.12,153.59,141.54,147.41,20749947
1667448000000,148.79,158.69,147.5,156.75,16647413
1667534400000,156.66,160.98,154.495,160.01,9856097
1667797200000,161.4,166.6999,160.63,164.91,10220309
1667883600000,166.0,170.55,164.9117,169.62,11274519
1667970000000,169.29,171.62,166.86,168.74,8893769
1668056400000,172.14,179.32,171.75,177.58,12374959
1668142800000,176.4,178.0299,172.99,177.49,8885945
1668402000000,176.5,178.19,173.5,173.55,5598338
1668488400000,175.49,176.69,172.75,175.35,7207867
1668574800000,174.11,174.79,171.85,172.69,4438554
1668661200000,169.3,173.15,168.52,172.78,4881887
1668747600000,173.98,175.1899,171.53,173.89,4690886
1669006800000,172.53,174.72,171.12,172.94,3501842
1669093200000,173.65,174.99,171.0,172.5,4370635
1669179600000,172.09,175.0,171.77,174.85,3523516
1669352400000,174.35,178.46,174.0301,178.36,3476919
1669611600000,176.17,177.14,171.7,171.83,5358932
1669698000000,172.88,175.95,172.56,175.32,5077828
1669784400000,178.0,179.98,174.2005,178.88,6778734
1669870800000,178.88,179.7,174.69,175.78,4517476
1669957200000,173.12,183.45,172.85,182.87,10550599
1670216400000,182.0,188.4499,180.8002,185.1,10456278
1670302800000,184.01,184.79,177.01,178.43,8236878
1670389200000,176.28,178.43,174.62,176.5,5871242
1670475600000,179.32,184.88,178.61,179.08,6707652
1670562000000,180.75,183.89,179.2501,179.54,6348215
1670821200000,180.8,186.69,180.5,186.27,8098395
1670907600000,191.11,191.11,184.85,187.13,10975251
1670994000000,187.33,189.67,185.41,188.25,5814881
1671080400000,186.25,187.975,181.2801,183.72,5347787
1671166800000,182.79,186.61,181.295,184.7,7901551
1671426000000,184.92,188.04,184.71,185.68,6605378
1671512400000,186.18,189.91,185.74,188.29,6156847
1671598800000,190.04,196.4,189.72,196.0,9175376
1671685200000,193.82,194.17,185.67,188.25,6928514
1671771600000,188.25,189.43,184.72,189.06,3980759
1672117200000,189.58,192.44,187.6169,189.4,5014846
1672203600000,189.32,191.32,187.425,188.38,4426251
1672290000000,189.0,190.25,186.19,188.91,4518946
1672376400000,187.5,190.65,187.04,190.49,4004503
1672722000000,192.95,197.175,192.4,195.39,8624570
1672808400000,195.18,203.76,195.1758,203.64,9746939
1672894800000,201.72,204.99,200.78,204.99,6913273
1672981200000,205.3,213.04,203.55,213.0,11245021
1673240400000,212.36,213.88,207.91,208.57,9005601
1673326800000,203.9,209.6022,203.4608,206.69,8183236
1673413200000,209.87,210.47,206.69,208.03,7190749
1673499600000,209.58,214.92,207.3701,214.32,8208101
1673586000000,212.0,216.64,211.58,214.13,6208598
1673931600000,212.71,213.34,209.07,211.41,6150658
1674018000000,212.9,213.4245,209.2,209.41,5403094
1674104400000,206.77,209.67,204.82,207.09,5813518
1674190800000,207.47,207.99,204.78,206.76,5466561
1674450000000,208.36,211.09,206.99,209.97,5481938
1674536400000,205.0,212.15,205.0,211.98,4753703
1674622800000,205.8,214.75,203.11,212.68,16106547
1674709200000,213.48,213.79,207.2,212.73,7288144
1674795600000,211.32,212.88,209.42,211.17,5218884
1675054800000,209.19,211.36,207.71,209.67,6066779
1675141200000,210.15,213.11,208.24,213.0,5162983
1675227600000,212.11,218.97,211.9,214.75,8462076
1675314000000,215.15,215.29,208.3,209.34,6513357
1675400400000,207.71,210.75,205.618,206.01,5392288
1675659600000,205.19,208.21,203.69,206.81,3903023
1675746000000,208.04,215.15,206.92,214.76,7311187
1675832400000,213.07,215.77,211.78,213.5,4229794
1675918800000,214.46,215.4521,210.06,211.99,5018879
1676005200000,212.01,214.5,210.5,212.89,4860124
1676264400000,213.6,216.355,211.5,215.65,5193329
1676350800000,214.02,221.33,213.15,218.45,10033115
1676437200000,217.16,218.25,214.6,217.44,4852436
1676523600000,215.0,216.52,212.17,212.21,4387973
1676610000000,211.21,211.76,207.6196,211.66,4983508
1676955600000,208.99,210.84,205.05,205.52,4663756
1677042000000,205.31,207.665,204.65,205.76,2920010
1677128400000,207.45,209.692,205.76,208.13,4139351
1677214800000,200.0,201.7,197.36,198.15,9652861
1677474000000,199.87,203.1259,199.06,200.46,4318866
1677560400000,201.0,202.38,199.32,201.55,3589900
1677646800000,201.47,205.435,200.85,204.55,4402266
1677733200000,203.78,210.33,203.15,210.06,5454074
1677819600000,210.25,216.12,209.4,215.11,7491132
1678078800000,214.12,214.75,209.6,211.92,7004436
1678165200000,211.31,213.175,207.775,207.92,4619710
1678251600000,208.25,208.88,205.94,207.2,2406897
1678338000000,208.32,209.02,200.3,201.24,4284026
1678424400000,201.43,205.0,197.79,203.07,8534787
1678680000000,200.2,207.08,197.11,203.37,6670595
1678766400000,207.53,213.5599,205.0,207.28,8245664
1678852800000,201.92,202.2077,192.41,198.21,10894034
1678939200000,196.205,203.9104,194.43,203.19,6752125
1679025600000,201.35,202.8336,199.0,201.05,9853492
1679284800000,201.12,205.87,200.87,204.77,4763997
1679371200000,207.3,207.86,203.89,204.7,4673304
1679457600000,203.68,203.83,196.01,196.16,7311578
1679544000000,197.9,201.5,195.14,197.9,6266894
1679630400000,195.5,197.57,193.9202,197.53,4511462
1679889600000,198.63,201.55,198.63,200.57,3891702
1679976000000,200.82,206.3,200.485,204.96,5460587
1680062400000,206.5,208.6467,205.88,207.97,3572163
1680148800000,208.97,212.8699,206.5207,211.04,6583391
1680235200000,211.75,214.8,211.39,212.43,5142712
1680494400000,212.8,218.57,212.53,215.39,6085935
1680580800000,212.0,213.99,209.12,213.9,6192254
1680667200000,212.23,214.23,208.671,210.0,4138426
1680753600000,210.0,212.37,208.22,211.37,5618125
1681099200000,211.0,214.1,209.73,210.78,3729340
1681185600000,213.29,214.5,211.86,212.32,5277549
1681272000000,213.66,214.3,210.13,212.34,4600326
1681358400000,213.0,213.68,211.495,213.59,4501594
1681444800000,202.59,204.2819,198.1541,201.71,19049418
1681704000000,202.0,206.1,200.8,205.03,6306078
1681790400000,205.5,208.9356,203.72,208.37,7445759
1681876800000,207.12,210.87,206.94,208.71,4757402
1681963200000,207.42,209.88,206.0776,207.23,3322910
1682049600000,208.0,208.376,204.18,205.15,3428675
1682308800000,204.87,206.5,203.25,205.77,3058925
1682395200000,204.54,204.94,201.12,202.19,4699498
1682481600000,208.25,211.7,202.68,203.03,9137206
1682568000000,204.65,209.09,203.53,206.04,5105173
1682654400000,204.51,206.95,202.9,206.78,3709162
1682913600000,206.25,208.52,203.62,203.87,3776842
1683000000000,203.0,204.19,200.09,203.25,3970843
1683086400000,204.36,206.1014,200.55,200.93,4537939
1683172800000,200.65,201.25,193.27,197.05,6934072
1683259200000,198.09,199.04,196.76,198.34,3869862
1683518400000,199.16,199.66,196.4,197.26,4677387
1683604800000,201.21,204.61,198.78,201.88,9329516
1683691200000,203.14,203.2,198.25,200.84,3923706
1683777600000,199.25,202.55,198.07,201.84,3322037
1683864000000,201.84,203.11,198.82,200.7,3168041
1684123200000,200.01,203.32,198.65,202.77,2842669
1684209600000,201.82,202.36,199.9401,200.87,3013181
1684296000000,202.71,208.58,202.71,206.87,6641940
1684382400000,206.45,208.17,204.01,207.24,4349708
1684468800000,208.11,208.37,204.63,205.49,3891483
1684728000000,205.51,206.98,203.9,205.91,3094296
1684814400000,204.58,207.4891,202.445,202.6,4011110
1684900800000,201.32,201.32,197.5,199.27,4371635
1684987200000,199.99,201.75,196.6,200.87,3909225
1685073600000,201.6,204.8,201.18,203.63,3817669
1685419200000,204.09,207.7999,203.3101,204.69,3978166
1685505600000,203.5,206.19,200.91,205.7,5461557
1685592000000,206.46,210.23,206.0,207.96,5125111
1685678400000,210.0,215.24,210.0,213.32,7486308
1685937600000,213.28,213.28,207.5,208.78,5781323
1686024000000,208.37,211.68,200.61,207.29,10957200
1686110400000,207.99,212.38,207.2,211.93,6462334
1686196800000,212.34,220.0,212.05,218.11,9364668
1686283200000,217.99,219.1574,215.69,217.31,5300208
1686542400000,217.16,223.91,216.63,221.56,8072614
1686628800000,222.35,223.12,219.35,220.38,5880968
1686715200000,221.4,221.585,216.0313,216.9,5629060
1686801600000,217.17,220.61,215.31,219.41,5001434
1686888000000,220.72,223.87,218.975,219.99,7803924
1687233600000,218.89,219.29,211.88,212.37,8226382
1687320000000,211.83,212.99,209.3875,212.08,5356373
1687406400000,205.61,208.4999,203.65,205.61,7066257
1687492800000,204.02,205.61,202.55,205.41,6380230
1687752000000,206.11,207.09,204.66,205.58,3444886
1687838400000,206.15,209.66,206.08,209.43,4465457
1687924800000,211.21,212.19,209.45,210.72,4276104
1688011200000,211.12,213.22,210.23,211.83,3443613
1688097600000,213.14,213.24,209.38,211.16,5410798
1688356800000,210.5,212.1686,210.24,210.92,2131076
1688529600000,210.0,214.28,207.89,213.31,4928369
1688616000000,212.48,213.61,209.58,212.62,4683146
1688702400000,212.94,215.66,211.83,212.1,4893552
1688961600000,211.84,213.59,211.22,213.31,3497126
1689048000000,212.915,218.98,211.35,218.76,7458379
1689134400000,219.51,221.56,216.92,217.11,5123180
1689220800000,218.13,218.9,216.3,216.85,4291711
1689307200000,217.0,217.016,212.81,213.12,4295545
1689566400000,212.5,214.23,211.735,211.87,3621510
1689652800000,211.0,213.04,209.5699,211.57,5895775
1689739200000,211.12,211.87,208.235,208.6,4814147
1689825600000,208.83,215.1,208.8,213.61,5782188
1689912000000,213.89,215.6,211.64,211.8,4056797
1690171200000,212.06,215.94,211.46,215.87,4898343
1690257600000,214.2,214.82,210.81,214.12,6513324
1690344000000,222.16,233.09,221.77,232.8,24923798
1690430400000,235.245,238.67,231.83,233.75,12018318
1690516800000,236.12,240.13,235.7,238.69,7059535
1690776000000,238.99,239.07,236.21,238.85,4897786
1690862400000,237.55,243.1,237.31,238.01,4983842
1690948800000,234.985,236.68,230.69,231.38,5332963
1691035200000,231.0,233.577,230.4,231.36,3285836
1691121600000,232.29,234.91,230.08,231.36,3500706
1691380800000,232.74,238.98,232.74,238.25,6068012
1691467200000,236.52,240.73,236.0,238.04,5149188
1691553600000,238.54,241.24,236.4061,237.86,4044413
1691640000000,238.45,241.58,237.04,238.26,3710810
1691726400000,237.61,238.26,235.12,235.72,2652075
1691985600000,237.0,238.65,235.75,236.71,2486937
1692072000000,235.0,235.56,231.5401,232.26,3201850
1692158400000,231.5,234.67,229.6002,229.95,2273334
1692244800000,230.57,231.64,224.26,224.54,4359412
1692331200000,222.23,226.79,221.68,226.65,3583166
1692590400000,226.8,227.6899,225.1006,227.22,2734618
1692676800000,228.08,230.48,226.93,230.07,3012892
1692763200000,230.0,230.54,227.105,228.58,3004523
1692849600000,222.51,224.2,217.09,217.31,9132574
1692936000000,218.41,223.77,212.8801,223.41,12352325
1693195200000,224.21,227.45,223.2901,227.06,4641754
1693281600000,225.88,229.4,225.6638,227.25,3716674
1693368000000,227.08,231.17,226.65,228.85,3328307
1693454400000,229.33,230.4339,222.93,224.03,6953817
1693540800000,226.0,226.23,221.95,223.4,3658372
1693886400000,223.1,224.0916,221.2,222.57,3246493
1693972800000,221.77,222.7878,216.4249,217.95,4233539
1694059200000,217.5,220.55,214.86,216.05,4929554
1694145600000,215.825,216.0,210.51,211.27,5759416
1694404800000,213.76,214.2,208.77,211.01,4522284
1694491200000,209.35,212.26,208.58,210.65,3256456
1694577600000,210.0,212.18,207.75,208.4,3538052
1694664000000,209.14,210.44,208.1,209.05,3974822
1694750400000,209.28,209.83,206.88,208.11,4670575
1695009600000,207.91,207.91,204.98,205.12,4299154
1695096000000,205.395,205.658,202.39,204.48,4043319
