ts,open,high,low,close,volume
1781395200000,64415.6796875,64445.1796875,64355.05078125,64398.0,141651968
1781396100000,64399.98828125,64503.78125,64361.6015625,64431.62109375,605908992
1781397000000,64429.48828125,64537.66015625,64429.48828125,64533.48046875,22514688
1781397900000,64536.44140625,64554.51953125,64483.5703125,64532.28125,619311104
1781398800000,64528.5703125,64658.01171875,64474.75,64600.1796875,12638208
1781399700000,64605.30859375,64681.98828125,64591.12109375,64627.30859375,172472320
1781400600000,64616.640625,64616.640625,64536.01171875,64538.0,37183488
1781401500000,64534.48828125,64610.26171875,64534.48828125,64569.33984375,119271424
1781402400000,64544.16015625,64609.4296875,64535.859375,64587.94140625,82001920
1781403300000,64587.94921875,64608.01953125,64488.26171875,64515.3203125,24893440
1781404200000,64515.3203125,64535.94921875,64476.390625,64482.87890625,0
1781405100000,64482.890625,64484.12890625,64448.80078125,64456.28125,603652096
1781406000000,64456.26953125,64490.62109375,64446.4296875,64465.83984375,5371904
1781406900000,64465.83984375,64514.6796875,64463.51953125,64501.1484375,0
1781407800000,64501.1484375,64509.8515625,64436.30859375,64457.1484375,0
1781408700000,64454.421875,64516.44140625,64442.80859375,64513.578125,148896768
1781409600000,64521.078125,64535.171875,64460.33984375,64469.28125,13870080
1781410500000,64469.26953125,64497.5390625,64440.94921875,64440.94921875,14077952
1781411400000,64440.94921875,64446.3515625,64358.25,64364.62890625,56491008
1781412300000,64361.96875,64362.0,64305.16015625,64310.1015625,711816192
1781413200000,64319.9609375,64364.62109375,64300.578125,64349.71875,24981504
1781414100000,64344.80859375,64347.83984375,64270.01171875,64276.87109375,14196736
1781415000000,64276.859375,64377.390625,64262.55078125,64329.28125,380947456
1781415900000,64337.98828125,64361.4296875,64312.76171875,64330.390625,96958464
1781416800000,64331.55078125,64449.21875,64331.55078125,64444.359375,258243584
1781417700000,64444.359375,64448.30078125,64299.33984375,64350.37890625,652749824
1781418600000,64356.05078125,64356.05078125,64212.78125,64224.26953125,390875136
1781419500000,64229.2109375,64265.73828125,64218.19140625,64258.23828125,135368704
1781420400000,64258.25,64258.91015625,64192.33984375,64205.140625,81223680
1781421300000,64205.44921875,64339.1015625,64205.44921875,64323.96875,40624128
1781422200000,64323.98046875,64323.98046875,64261.48828125,64272.23046875,62353408
1781423100000,64272.23046875,64412.48046875,64272.23046875,64396.51953125,0
1781424000000,64390.16015625,64426.12109375,64350.33984375,64413.28125,274530304
1781424900000,64407.23828125,64478.109375,64407.23828125,64459.828125,141119488
1781425800000,64456.01953125,64476.41015625,64412.48828125,64426.6015625,50935808
1781426700000,64417.80078125,64446.51953125,64405.078125,64422.05859375,51908608
1781427600000,64422.0703125,64440.0,64376.0,64390.171875,26036224
1781428500000,64394.9296875,64399.69921875,64288.71875,64318.4609375,19144704
1781429400000,64313.6015625,64550.23828125,64303.91015625,64508.01953125,106840064
1781430300000,64518.01953125,64580.62890625,64498.3984375,64577.98828125,608351232
1781431200000,64575.2890625,64575.2890625,64459.859375,64492.5,101357568
1781432100000,64486.51953125,64607.01953125,64479.51953125,64558.98046875,42594304
1781433000000,64558.98046875,64626.8203125,64547.58984375,64570.73046875,711733248
1781433900000,64570.73046875,64577.76953125,64479.98046875,64486.44921875,0
1781434800000,64486.44921875,64546.2890625,64420.8515625,64523.62890625,63877120
1781435700000,64530.609375,64562.2109375,64477.0,64546.3203125,25196544
1781436600000,64546.01171875,64605.25,64542.48828125,64575.1015625,11937792
1781437500000,64575.5390625,64608.578125,64503.73828125,64506.0703125,46569472
1781438400000,64518.73828125,64530.078125,64435.390625,64438.0,5158912
1781439300000,64436.0,64473.109375,64428.8515625,64428.8515625,58882048
1781440200000,64428.8515625,64435.98828125,64280.828125,64322.0,351499264
1781441100000,64293.0,64345.578125,64266.0,64294.21875,733362176
1781442000000,64294.23046875,64350.66015625,64277.98046875,64324.51171875,0
1781442900000,64324.5,64365.140625,64248.01171875,64248.01171875,65104896
1781443800000,64245.6796875,64346.51953125,64212.3984375,64328.62109375,118941696
1781444700000,64327.01953125,64352.0,64243.94921875,64276.1015625,0
1781445600000,64285.640625,64312.2890625,64229.05078125,64273.0390625,56003584
1781446500000,64273.0390625,64289.98046875,64124.26171875,64126.0,0
1781447400000,64122.0,64142.44921875,63857.23828125,63908.109375,865939456
1781448300000,63906.01171875,63951.76953125,63829.6484375,63950.23828125,453740544
1781449200000,63943.25,64109.8515625,63943.25,64075.859375,557633536
1781450100000,64065.87890625,64092.6015625,63955.98828125,64025.8984375,61787136
1781451000000,64019.37890625,64075.51171875,63961.44921875,63999.41015625,0
1781451900000,63995.01953125,64043.80078125,63963.30078125,63986.1796875,0
1781452800000,63975.94140625,64099.171875,63969.30078125,64068.890625,0
1781453700000,64068.859375,64155.5390625,64049.21875,64105.8203125,30016512
1781454600000,64101.6015625,64157.21875,64097.078125,64122.01171875,0
1781455500000,64123.98046875,64133.12109375,63897.3515625,63908.80859375,321740800
1781456400000,63900.01171875,63985.5390625,63880.3984375,63922.69140625,78573568
