ts,open,high,low,close,volume
1629086400000,217.36,218.0,214.34,217.71,3917737
1629172800000,216.22,216.39,210.58,213.44,4433817
1629259200000,212.5,213.55,209.72,209.81,3186233
1629345600000,208.17,208.9561,203.21,204.45,5155510
1629432000000,205.42,207.26,203.59,204.94,2960287
1629691200000,207.25,209.75,205.83,209.14,3046599
1629777600000,209.75,213.27,209.53,212.59,2679820
1629864000000,213.17,215.7,212.15,214.76,2784268
1629950400000,214.51,214.51,210.48,211.24,2638891
1630036800000,212.26,214.0335,212.215,212.83,2737171
1630296000000,213.22,213.74,210.8,211.45,2064684
1630382400000,211.28,212.295,210.42,210.87,3315034
1630468800000,210.87,210.99,206.61,207.96,4342922
1630555200000,208.92,212.95,208.92,211.78,3121275
1630641600000,211.15,212.8,210.0,210.37,2759009
1630987200000,210.04,210.3423,207.845,208.23,2928786
1631073600000,207.12,208.1244,204.77,206.77,2768542
1631160000000,206.5,208.15,204.895,205.42,2934055
1631246400000,207.1,207.88,204.82,205.01,2860507
1631505600000,207.16,207.86,203.93,206.2,3398178
1631592000000,206.04,206.1,201.64,202.33,4241741
1631678400000,202.17,206.59,201.87,205.73,4031425
1631764800000,205.45,206.39,202.82,203.6,3697107
1631851200000,202.63,203.27,199.45,199.75,7308164
1632110400000,193.06,193.99,188.475,190.82,9816739
1632196800000,192.0,192.71,186.98,189.84,5949452
1632283200000,192.0,194.5,191.16,191.35,4356182
1632369600000,192.91,197.6,192.85,196.62,3634869
1632456000000,195.65,197.79,194.93,196.82,2429346
1632715200000,197.6,201.99,197.6,200.0,3350061
1632801600000,200.2,201.89,198.75,200.55,3516920
1632888000000,200.48,201.16,197.7,197.87,3138521
1632974400000,198.62,198.8743,191.63,191.97,5407975
1633060800000,192.9,195.87,191.24,194.33,4074930
1633320000000,194.74,195.91,192.41,193.13,3118680
1633406400000,192.76,194.4,190.73,192.5,3367037
1633492800000,190.0,192.39,187.8,191.86,4037289
1633579200000,193.73,196.39,193.61,195.75,3752377
1633665600000,195.8,196.58,194.74,195.16,3186659
1633924800000,196.34,197.1707,192.68,192.89,2371402
1634011200000,192.32,193.5846,189.58,189.92,4932406
1634097600000,190.5,191.25,187.72,188.94,3666642
1634184000000,193.55,194.8,192.6124,194.33,5606695
1634270400000,195.96,199.45,195.3,199.02,5105254
1634529600000,197.38,198.68,195.545,198.18,3347969
1634616000000,198.6,201.48,198.46,201.14,2885945
1634702400000,201.16,205.18,200.5301,204.19,3412006
1634788800000,201.6,202.3,199.74,202.14,3383541
1634875200000,200.64,202.345,199.2,200.65,3014032
1635134400000,201.28,202.21,201.28,202.21,470778
1635220800000,202.75,202.785,199.47,199.64,3136236
1635307200000,200.25,200.43,195.92,196.13,3712013
1635393600000,197.36,204.5,197.05,204.09,4776793
1635480000000,207.99,209.75,203.24,204.01,5030669
1635739200000,204.29,206.88,203.81,205.38,3439862
1635825600000,205.75,207.81,203.0,207.12,3655629
1635912000000,206.26,206.5767,201.82,203.55,3658731
1635998400000,204.0,204.89,202.61,203.59,2832358
1636084800000,205.48,208.88,205.23,205.88,2817907
1636347600000,215.89,216.47,211.25,214.25,6332453
1636434000000,215.18,215.57,208.96,209.81,3613869
1636520400000,209.27,209.9521,206.43,206.67,3532713
1636606800000,207.88,210.44,207.88,208.53,5014674
1636693200000,209.35,210.69,208.3,209.27,2203863
1636952400000,210.0,210.69,206.76,207.71,2683220
1637038800000,208.0,208.18,205.26,205.43,2345391
1637125200000,205.0,205.19,200.85,202.98,3442994
1637211600000,203.27,203.71,200.66,201.42,2332966
1637298000000,200.92,202.92,199.66,200.44,3479773
1637557200000,201.49,204.5333,200.09,202.38,2962797
1637643600000,203.05,205.57,201.59,205.33,3503023
1637730000000,203.66,208.26,203.08,207.07,4668287
1637902800000,201.0,201.45,196.614,198.73,3492569
1638162000000,201.23,201.5,193.28,195.92,5408093
1638248400000,193.835,196.78,191.5501,193.35,7906989
1638334800000,197.58,198.43,191.36,191.47,3799587
1638421200000,192.31,197.62,191.81,196.79,3823006
1638507600000,197.67,199.39,195.74,197.8,3773679
1638766800000,199.58,203.26,198.3424,201.28,3203156
1638853200000,203.29,206.21,203.065,204.49,3161357
1638939600000,204.41,206.2,203.61,204.19,2660754
1639026000000,203.1,204.97,200.88,204.13,1830460
1639112400000,205.4,205.9,202.11,203.46,3613558
1639371600000,203.82,204.25,200.45,201.25,2222170
1639458000000,200.0,203.98,199.8024,201.64,2498201
1639544400000,201.0,202.6,198.635,202.55,2531191
1639630800000,205.0,208.229,204.65,206.17,3297870
1639717200000,204.95,205.25,201.23,201.37,8674681
1639976400000,197.55,197.55,193.06,195.46,4166980
1640062800000,197.0,199.02,196.74,198.31,2590852
1640149200000,200.98,203.4039,200.83,202.15,3934745
1640235600000,203.42,207.3,203.29,206.2,3032562
1640581200000,205.94,206.9,205.14,206.38,1897169
1640667600000,206.18,208.26,206.14,206.62,1558960
1640754000000,206.27,208.55,206.08,207.33,1522934
1640840400000,207.33,208.91,205.93,206.08,1609304
1640926800000,206.2,207.74,205.67,206.74,1723194
1641186000000,207.33,208.6,205.8001,207.0,2461355
1641272400000,208.28,218.92,207.94,218.08,5691176
1641358800000,218.18,223.36,218.18,219.75,5912102
1641445200000,221.49,222.705,218.06,221.99,4297211
1641531600000,222.5,225.97,222.23,224.19,4108002
1641790800000,224.95,225.7532,220.6114,221.64,4135042
1641877200000,222.0,222.09,216.59,219.95,3323674
1641963600000,222.12,223.69,220.07,222.4,2908909
1642050000000,222.89,227.88,222.64,227.0,5383631
1642136400000,224.72,229.64,223.5819,228.94,4376991
1642482000000,227.71,230.43,226.86,229.87,6115992
1642568400000,229.66,229.81,220.93,221.66,5638148
1642654800000,221.08,221.87,216.04,216.63,3987443
1642741200000,217.51,217.51,212.4196,214.09,4424010
1643000400000,211.16,214.33,208.05,214.33,2131767
1643086800000,212.08,216.83,207.1,214.31,4974072
1643173200000,215.0,218.88,212.24,214.29,3379449
1643259600000,215.21,217.9,210.15,212.17,3987001
1643346000000,205.59,208.0,196.8,201.16,11294987
1643605200000,199.45,201.6,194.68,201.56,6992186
1643691600000,200.8,205.79,200.5371,205.35,4442787
1643778000000,203.2,205.8,201.4,204.94,3981064
1643864400000,205.0,205.87,200.09,200.59,3042393
1643950800000,200.21,201.005,196.49,198.41,4249913
1644210000000,198.84,201.53,198.0253,199.82,2808070
1644296400000,200.26,202.31,199.23,201.5,2695448
1644382800000,202.64,204.1,202.086,203.6,3064674
1644469200000,202.57,206.75,201.56,203.07,4090126
1644555600000,203.42,204.65,200.13,201.24,4363572
1644814800000,200.95,201.7,198.11,199.89,3015864
1644901200000,200.7,204.45,200.0096,203.41,3190193
1644987600000,203.11,205.415,203.0,203.64,2619757
1645074000000,201.0,201.76,194.44,194.74,5088112
1645160400000,193.36,195.62,191.175,191.95,5190841
1645506000000,191.95,194.9,190.55,191.21,3804549
1645592400000,191.72,192.319,186.37,186.67,3800083
1645678800000,182.03,185.27,179.67,184.69,7196955
1645765200000,184.94,187.925,184.12,187.06,3942759
1646024400000,184.34,188.77,183.673,187.58,6166719
1646110800000,187.77,188.22,180.64,182.83,5659025
1646197200000,185.2,193.56,185.0,192.61,6219469
1646283600000,193.32,196.58,192.34,194.85,4779978
1646370000000,191.1,196.01,190.311,195.66,4770845
1646629200000,194.79,203.5,193.6233,196.7,7353644
1646715600000,210.0,210.0,210.0,210.0,552883
1646802000000,212.57,213.6,207.45,209.78,5219399
1646888400000,209.39,217.5201,208.18,211.79,5436487
1646974800000,212.3,217.77,212.3,214.83,4478208
1647230400000,216.3,218.4825,212.93,215.44,3926479
1647316800000,216.12,217.38,210.51,216.46,4833259
1647403200000,217.5,219.49,212.32,216.08,4834308
1647489600000,215.32,221.78,214.34,221.7,4217000
1647576000000,219.48,221.7,218.0,220.91,5932080
1647835200000,221.0,227.05,220.99,223.71,3281883
1647921600000,224.46,225.85,221.3375,222.71,2865518
1648008000000,221.69,224.78,221.69,222.17,2361520
1648094400000,222.54,225.0,221.51,222.21,2370388
1648180800000,222.09,223.8,221.14,223.36,1812967
1648440000000,222.34,222.68,219.04,221.85,3698938
1648526400000,220.8,221.43,216.54,221.04,4005646
1648612800000,222.0,225.8799,220.7,223.08,3011308
1648699200000,223.21,225.19,222.43,222.82,3694627
1648785600000,224.35,225.52,218.165,219.77,3054925
1649044800000,219.16,221.3535,216.6,220.81,2514424
1649131200000,220.0,222.37,215.14,216.02,3980590
1649217600000,215.12,217.13,213.545,216.21,3072663
1649304000000,215.46,216.31,213.5599,215.9,2510993
1649390400000,215.79,217.875,214.03,217.03,2875749
1649649600000,217.03,218.76,215.75,216.05,2750083
1649736000000,215.45,219.479,214.98,216.7,2744469
1649822400000,216.93,219.68,216.4,218.27,2079797
1649908800000,219.92,229.215,218.61,227.81,5803223
1650254400000,228.0,234.375,228.0,229.92,4032223
1650340800000,230.25,232.94,227.57,232.16,3002035
1650427200000,233.55,236.37,232.58,235.08,3168743
1650513600000,237.24,237.9,231.65,232.57,4013295
1650600000000,228.4,229.79,215.6,216.3,5513106
1650859200000,215.31,217.0,209.57,216.7,4480184
1650945600000,216.13,218.2,209.35,210.3,4488801
1651032000000,211.11,215.55,207.3,213.96,3398853
1651118400000,207.425,212.96,202.0,212.44,6532100
1651204800000,212.7,217.21,210.16,210.54,4012247
1651464000000,210.0,212.765,207.6601,212.07,2931881
1651550400000,211.9,215.3636,210.79,213.62,2421106
1651636800000,214.95,223.29,213.825,222.59,3372436
1651723200000,222.4,223.15,213.77,215.93,3463593
1651809600000,217.01,217.01,210.35,214.65,2492214
1652068800000,212.03,212.05,205.44,206.29,3296437
1652155200000,208.24,209.52,201.39,202.99,3064522
1652241600000,205.56,209.71,203.59,205.21,2824109
1652328000000,203.61,205.34,199.295,203.03,3553879
1652414400000,205.15,206.46,202.92,204.33,2364113
1652673600000,205.02,209.21,203.68,207.19,2833433
1652760000000,212.8,213.77,209.14,213.09,2524060
1652846400000,213.84,217.9,207.52,207.94,4770347
1652932800000,205.86,209.28,201.705,206.76,3149511
1653019200000,206.45,206.63,194.04,197.82,5898101
1653278400000,199.93,205.49,199.16,204.15,3541953
1653364800000,202.01,205.7,201.29,205.65,2777172
1653451200000,205.0,210.09,204.82,209.31,3424487
1653537600000,211.55,213.635,210.4,212.99,2295885
1653624000000,215.0,217.63,214.16,217.14,2265509
1653969600000,214.79,218.09,213.49,215.85,4936052
1654056000000,218.46,219.0,214.3,217.57,2621733
1654142400000,219.59,220.84,217.25,220.0,2004676
1654228800000,218.25,224.1,218.25,222.9,2240217
1654488000000,222.9,224.763,222.25,223.63,1731887
1654574400000,222.0,227.27,221.65,227.1,2102731
1654660800000,225.29,232.35,224.62,229.8,4473114
1654747200000,227.43,228.211,223.62,223.67,3471836
