ts,open,high,low,close,volume
1723472700000,337.51,337.66,336.835,336.895,20065
1723473000000,336.99,337.58,336.785,337.54,15402
1723473300000,337.57,337.97,337.41,337.84,12782
1723473600000,338.0,338.04,337.33,337.33,13195
1723473900000,337.19,337.6451,337.01,337.54,10771
1723474200000,337.31,337.36,337.04,337.16,8241
1723474500000,337.32,337.59,336.96,337.58,13770
1723474800000,337.36,337.7799,337.3,337.7799,12385
1723475100000,337.5,337.59,337.11,337.25,16673
1723475400000,337.46,337.46,337.08,337.19,13469
1723475700000,337.19,337.33,336.6401,336.83,13400
1723476000000,337.03,337.11,334.72,334.72,27214
1723476300000,334.73,335.11,334.3525,334.855,25474
1723476600000,334.855,335.16,334.49,334.69,19542
1723476900000,334.86,335.0,334.61,334.69,12570
1723477200000,334.56,334.92,334.3,334.45,24178
1723477500000,334.45,334.97,334.155,334.97,30576
1723477800000,335.06,335.95,335.01,335.77,10973
1723478100000,335.78,336.15,335.32,336.07,26957
1723478400000,336.15,336.53,335.67,335.815,13427
1723478700000,335.92,335.94,335.09,335.26,10630
1723479000000,335.335,335.355,335.04,335.295,7764
1723479300000,335.45,335.45,334.92,335.17,7315
1723479600000,335.13,335.345,334.875,335.28,11110
1723479900000,335.29,335.4799,334.835,334.99,7125
1723480200000,334.99,335.33,334.89,334.98,6166
1723480500000,334.84,334.85,334.52,334.73,11903
1723480800000,334.61,334.75,334.17,334.3101,5673
1723481100000,334.49,334.84,334.49,334.645,7607
1723481400000,334.64,335.12,334.29,335.12,14267
1723481700000,334.81,334.96,334.17,334.3,19722
1723482000000,334.16,334.43,333.77,334.28,26759
1723482300000,334.215,334.215,333.75,333.905,8447
1723482600000,333.89,334.04,333.595,334.0,13515
1723482900000,334.09,334.565,334.01,334.36,38576
1723483200000,334.36,334.68,334.25,334.31,10229
1723483500000,334.32,334.34,333.74,334.19,14746
1723483800000,334.2,334.59,334.09,334.59,9440
1723484100000,334.59,334.64,334.2,334.305,5557
1723484400000,334.45,334.47,334.03,334.185,8884
1723484700000,334.25,334.99,334.25,334.95,20748
1723485000000,334.81,334.85,334.35,334.57,15544
1723485300000,334.71,334.71,334.4,334.42,3579
1723485600000,334.5,334.99,334.35,334.96,13521
1723485900000,334.81,334.81,334.58,334.58,7009
1723486200000,334.67,334.99,334.57,334.94,8877
1723486500000,334.85,334.85,334.5919,334.5919,8503
1723486800000,334.58,335.0499,334.58,334.74,8834
1723487100000,334.69,335.02,334.4701,334.91,7265
1723487400000,334.79,334.8999,334.53,334.67,6178
1723487700000,334.67,334.88,334.35,334.845,20393
1723488000000,334.84,334.94,334.57,334.76,7614
1723488300000,334.7425,334.94,334.57,334.67,6708
1723488600000,334.83,334.96,334.725,334.7325,8694
1723488900000,334.84,335.04,334.715,334.88,19751
1723489200000,334.88,334.94,334.68,334.91,10411
1723489500000,334.85,334.93,334.58,334.62,9211
1723489800000,334.72,335.155,334.72,334.94,11421
1723490100000,334.89,335.12,334.805,335.04,10016
1723490400000,335.17,335.25,334.91,335.25,10477
1723490700000,335.22,335.3,334.85,334.95,11922
1723491000000,334.85,335.4441,334.85,335.25,16583
1723491300000,335.32,335.655,335.32,335.51,20605
1723491600000,335.51,335.55,335.21,335.245,26413
1723491900000,335.245,335.56,335.09,335.415,54622
1723492200000,335.485,335.96,335.21,335.845,54369
1723492500000,335.87,336.21,335.58,336.21,151047
1723492800000,336.2,336.2,336.03,336.03,589455
1723493100000,336.03,336.03,336.03,336.03,783
1723496100000,337.0,337.0,337.0,337.0,100
1723552200000,337.0,339.0,337.0,339.0,488
1723553400000,338.0,338.0,338.0,338.0,215
1723554600000,336.51,336.51,336.5,336.5,955
1723555800000,337.18,338.5,336.84,336.84,36367
1723556100000,337.09,337.09,336.0,336.97,12496
1723556400000,337.37,337.99,336.71,337.76,12889
1723556700000,338.0,339.52,338.0,338.97,31998
1723557000000,338.89,339.38,337.74,337.74,19011
1723557300000,337.73,337.73,336.33,336.94,22568
1723557600000,336.94,337.05,334.55,334.55,52858
1723557900000,334.635,335.465,333.77,334.695,18379
1723558200000,334.65,334.78,334.2,334.2,12758
1723558500000,334.375,334.675,333.73,334.145,17511
1723558800000,334.38,335.2,334.02,335.2,18788
1723559100000,335.305,335.86,334.8301,335.55,12444
1723559400000,335.56,335.56,334.0,334.515,16563
1723559700000,334.52,334.95,334.4967,334.7,11640
1723560000000,334.72,335.43,334.71,335.32,18045
1723560300000,335.09,335.55,335.09,335.26,13017
1723560600000,335.36,335.815,335.21,335.7965,59942
1723560900000,335.935,336.35,335.8306,335.8306,12720
1723561200000,335.8,336.29,335.62,336.19,15303
1723561500000,336.07,336.22,335.62,335.69,15347
1723561800000,335.61,336.15,335.35,336.06,12120
1723562100000,336.06,336.5,336.005,336.17,13335
1723562400000,336.225,336.3,335.7801,336.08,12068
1723562700000,335.9706,335.985,335.35,335.47,16309
1723563000000,335.36,335.72,335.36,335.66,15582
1723563300000,335.725,336.15,335.47,335.5,22326
1723563600000,335.37,335.61,335.15,335.15,12098
1723563900000,335.12,335.75,335.12,335.75,10424
1723564200000,335.645,336.14,335.5,336.05,16581
1723564500000,336.05,336.12,335.875,335.93,11928
1723564800000,335.947,336.73,335.9,336.73,8778
1723565100000,336.88,337.28,336.8458,337.2,11484
1723565400000,337.345,337.345,337.02,337.33,11693
1723565700000,337.24,338.1,337.239,337.61,12804
1723566000000,337.58,337.85,337.3,337.3,7997
1723566300000,337.425,337.43,337.04,337.15,7313
1723566600000,337.04,337.04,336.6,336.81,3503
1723566900000,336.76,336.87,336.6235,336.7302,12282
1723567200000,336.715,337.3,336.715,337.2,11541
1723567500000,337.1,337.92,337.048,337.76,12970
1723567800000,337.92,338.27,337.785,337.95,7417
1723568100000,338.27,338.27,337.68,337.721,12189
1723568400000,337.7,337.72,337.17,337.35,8943
1723568700000,337.35,337.47,337.255,337.33,5860
1723569000000,337.2,337.45,337.091,337.39,7247
1723569300000,337.42,337.685,337.31,337.535,8508
1723569600000,337.535,337.535,337.225,337.225,8052
1723569900000,337.17,337.42,337.17,337.3,9484
1723570200000,337.33,337.44,336.98,337.11,8401
1723570500000,337.12,337.32,337.0225,337.32,8982
1723570800000,337.38,337.58,337.26,337.47,9594
1723571100000,337.41,337.49,336.585,337.061,21839
1723571400000,337.04,337.83,337.005,337.83,7619
1723571700000,337.99,338.18,337.87,338.08,10317
1723572000000,338.24,338.35,337.904,338.29,7004
1723572300000,338.285,338.37,338.045,338.045,7093
1723572600000,338.09,338.25,337.93,337.99,11181
1723572900000,337.99,338.07,337.437,337.68,9333
1723573200000,337.86,337.92,337.68,337.7,11095
1723573500000,337.66,338.0,337.62,337.93,10489
1723573800000,337.88,338.07,337.8,338.07,7543
1723574100000,338.09,338.42,338.065,338.3243,9118
1723574400000,338.25,338.36,338.01,338.27,7261
1723574700000,338.42,338.6199,338.02,338.6199,10426
1723575000000,338.5,338.62,338.43,338.62,7300
1723575300000,338.44,338.68,338.32,338.615,10895
1723575600000,338.59,338.89,338.52,338.55,16586
1723575900000,338.44,338.84,338.25,338.54,7657
1723576200000,338.54,338.64,338.29,338.48,8503
1723576500000,338.28,338.55,338.17,338.405,12404
