ts,open,high,low,close,volume
1723474800000,86.245,86.32,85.86,86.3,1202240
1723478400000,86.29,86.34,85.945,86.09,1152178
1723482000000,86.08,86.24,85.62,85.65,1063631
1723485600000,85.6501,85.7974,85.53,85.7822,850590
1723489200000,85.79,85.97,85.54,85.96,2249406
1723492800000,85.95,86.1594,85.71,85.88,1553189
1723496400000,85.88,85.99,85.88,85.99,4305
1723500000000,85.97,85.9899,85.95,85.95,9142
1723503600000,85.98,85.99,85.9001,85.9001,7581
1723536000000,86.03,86.1,86.0,86.0,1639
1723539600000,86.0,86.0,86.0,86.0,735
1723543200000,85.88,85.9,85.88,85.9,1546
1723546800000,85.9,86.03,85.9,86.03,2219
1723550400000,85.89,86.37,85.89,86.37,29727
1723554000000,86.36,86.5,85.4,85.5,1501786
1723557600000,85.49,85.74,85.41,85.705,2387408
1723561200000,85.71,85.85,85.48,85.635,1901749
1723564800000,85.635,85.745,85.48,85.585,1332674
1723568400000,85.585,85.62,85.4123,85.585,1264687
1723572000000,85.585,85.67,85.51,85.63,1320179
1723575600000,85.635,85.67,85.31,85.61,2853896
1723579200000,85.6,85.6095,85.4,85.51,1313293
1723582800000,85.5597,85.62,85.513,85.62,13644
1723586400000,85.63,85.63,85.57,85.5801,7582
1723590000000,85.58,85.62,85.58,85.6,6235
1723622400000,85.76,85.82,85.73,85.75,4326
1723626000000,85.74,85.8,85.66,85.66,3250
1723633200000,85.66,85.69,85.5,85.64,9656
1723636800000,85.61,86.0,85.5282,85.78,118051
1723640400000,85.75,86.54,85.67,85.83,1580907
1723644000000,85.83,86.06,85.56,85.765,1108871
1723647600000,85.765,86.145,85.71,86.03,1045766
1723651200000,86.02,86.19,85.79,86.16,895292
1723654800000,86.16,86.41,86.05,86.3848,745041
1723658400000,86.38,86.4,86.05,86.185,805481
1723662000000,86.18,86.365,86.01,86.24,1687504
1723665600000,86.26,86.35,86.1,86.2,1197681
1723669200000,86.25,86.3,86.22,86.3,4078
1723672800000,86.3,86.3,86.27,86.27,1503
1723676400000,86.29,86.29,86.2,86.2,1482
1723708800000,86.55,86.55,86.4,86.4,3853
1723712400000,86.4,86.4,86.4,86.4,356
1723719600000,86.36,86.4,86.31,86.4,920
1723723200000,86.3997,87.0,86.3,86.8731,69856
1723726800000,86.92,87.89,86.72,87.68,1621388
1723730400000,87.685,88.52,87.33,88.425,2069390
1723734000000,88.43,88.53,88.17,88.34,1266324
1723737600000,88.33,88.5,88.15,88.3804,980461
1723741200000,88.39,88.66,88.221,88.5803,1020784
1723744800000,88.59,88.75,88.37,88.65,1063354
1723748400000,88.6489,88.925,88.46,88.83,2438280
1723752000000,88.79,88.87,88.603,88.72,1568411
1723755600000,88.64,88.79,88.62,88.7,129845
1723759200000,88.7,88.87,88.7,88.75,4053
1723762800000,88.88,88.89,88.7349,88.7562,2130
1723795200000,89.0,89.09,88.94,89.09,5526
1723798800000,89.06,89.36,89.02,89.34,3498
1723806000000,89.13,89.17,88.95,88.97,7754
1723809600000,89.1217,89.1217,88.3,88.5,50099
1723813200000,88.5,89.09,88.31,88.54,1266436
1723816800000,88.53,89.52,88.36,89.4027,1793729
1723820400000,89.4,89.4,89.09,89.21,1160442
1723824000000,89.21,89.67,89.19,89.62,875322
1723827600000,89.63,89.64,89.35,89.505,673916
1723831200000,89.5031,89.595,89.23,89.4173,734093
1723834800000,89.4187,89.48,89.1204,89.29,1710253
1723838400000,89.1505,89.34,89.1505,89.255,1746055
1723842000000,89.29,89.3298,89.2719,89.2719,2827
1723845600000,89.29,89.33,89.25,89.25,8815
1723849200000,89.25,89.3,89.2,89.3,1606
1724054400000,89.2,89.3,89.09,89.09,4459
1724058000000,89.12,89.38,89.12,89.37,6016
1724061600000,89.37,89.39,89.35,89.35,3143
1724065200000,89.36,89.45,89.36,89.45,5453
1724068800000,89.34,89.47,89.1636,89.25,69217
1724072400000,89.25,90.68,89.25,90.435,1321781
1724076000000,90.44,90.77,90.25,90.71,1372683
1724079600000,90.715,90.725,90.39,90.585,898001
1724083200000,90.5862,90.6894,90.285,90.675,1054422
1724086800000,90.675,90.77,90.52,90.74,800345
1724090400000,90.735,90.87,90.6114,90.835,906116
1724094000000,90.84,90.95,90.66,90.8,2127146
1724097600000,90.82,90.82,90.69,90.7415,1075817
1724101200000,90.75,90.82,90.71,90.71,3418
1724104800000,90.79,90.82,90.76,90.76,1868
1724108400000,90.78,90.78,90.7,90.7001,8038
1724140800000,90.94,90.94,90.82,90.82,1783
1724144400000,90.98,90.99,90.98,90.99,542
1724151600000,90.87,90.98,90.87,90.98,7830
1724155200000,90.91,90.98,90.73,90.75,24312
1724158800000,90.75,90.82,89.51,89.575,1395189
1724162400000,89.58,89.72,89.31,89.71,1507314
1724166000000,89.72,89.945,89.52,89.745,1356576
1724169600000,89.76,89.84,89.69,89.83,449154
1724173200000,89.81,89.92,89.66,89.8601,503003
1724176800000,89.87,90.19,89.81,89.915,650950
1724180400000,89.915,90.12,89.7,89.731,1340538
1724184000000,89.73,89.97,89.73,89.76,1420515
1724187600000,89.77,89.78,89.62,89.64,118388
1724191200000,89.5203,89.74,89.52,89.63,15426
1724194800000,89.7362,89.7362,89.65,89.7,1920
1724227200000,89.95,89.95,89.94,89.95,833
1724238000000,89.89,89.89,89.76,89.76,939
1724241600000,89.88,89.9,89.7101,89.799,26409
1724245200000,89.78,90.52,89.65,89.76,885005
1724248800000,89.76,90.03,89.43,89.68,1048343
1724252400000,89.6899,89.8,89.5286,89.6,802830
1724256000000,89.605,89.81,89.5701,89.795,447519
1724259600000,89.7935,90.2,89.71,90.1,798741
1724263200000,90.1,90.39,89.98,90.28,687759
1724266800000,90.285,90.78,90.17,90.68,1492574
1724270400000,90.8,90.8,90.54,90.62,1383478
1724274000000,90.65,90.72,90.51,90.6,8822
1724277600000,90.54,90.6985,90.52,90.6985,7271
1724281200000,90.7,90.7,90.65,90.6986,2045
1724320800000,90.65,90.65,90.51,90.51,4261
1724324400000,90.62,90.85,90.62,90.85,6855
1724328000000,90.7582,90.9,90.494,90.89,30740
1724331600000,90.9,91.3757,90.48,90.65,1033675
1724335200000,90.66,90.7499,90.235,90.52,1093283
1724338800000,90.52,90.625,90.133,90.295,1027820
1724342400000,90.295,90.5,90.14,90.2,572868
1724346000000,90.1963,90.325,89.97,90.01,684442
1724349600000,90.0,90.15,89.9201,90.0,563220
1724353200000,89.99,90.14,89.695,89.94,1522499
1724356800000,89.92,89.99,89.87,89.92,979296
1724360400000,89.94,89.96,89.92,89.92,2603
1724364000000,89.95,89.96,89.91,89.96,4002
1724367600000,89.97,89.99,89.95,89.99,2673
1724403600000,90.18,90.18,90.18,90.18,305
1724407200000,90.2,90.29,90.19,90.29,2034
1724410800000,90.28,90.28,90.24,90.24,485
1724414400000,90.22,90.27,89.696,90.2699,16678
1724418000000,90.27,90.355,89.78,89.82,566855
1724421600000,89.815,90.52,89.76,90.05,1382514
1724425200000,90.04,90.48,89.9757,90.06,787195
1724428800000,90.06,90.2,89.68,90.1468,1161493
1724432400000,90.15,90.33,90.06,90.275,412788
1724436000000,90.27,90.48,90.2413,90.48,465406
1724439600000,90.48,90.75,90.4301,90.56,1384442
1724443200000,90.56,90.73,90.44,90.58,1099280
1724446800000,90.5,90.6,90.5,90.6,4922
1724450400000,90.58,90.58,90.58,90.58,1010
1724454000000,90.57,90.6496,90.55,90.6,2576
1724659200000,90.65,91.08,90.65,90.9,4681
1724662800000,90.9,90.92,90.9,90.92,1610
1724666400000,90.89,90.89,90.89,90.89,200
1724670000000,90.86,90.86,90.63,90.63,4935
1724673600000,90.77,90.97,90.47,90.5,16104
1724677200000,90.51,91.47,90.5,91.19,735834
1724680800000,91.2,91.49,91.0,91.25,887047
1724684400000,91.25,91.46,91.14,91.36,774876
1724688000000,91.355,91.745,91.2976,91.68,701528
1724691600000,91.68,91.7,91.34,91.3795,857509
1724695200000,91.37,91.77,91.305,91.715,1508847
1724698800000,91.72,91.8,91.4038,91.78,1760831
1724702400000,91.8,91.8,91.353,91.61,731652
1724706000000,91.63,91.78,91.6,91.6,17172
1724709600000,91.7,91.75,91.469,91.52,479
1724713200000,91.6,91.75,91.5,91.5,1601
1724749200000,91.7,91.74,91.65,91.65,2128
1724752800000,91.72,91.72,91.6,91.6,866
1724756400000,91.74,91.74,91.54,91.63,1987
1724760000000,91.5695,91.75,91.4,91.5,24613
1724763600000,91.35,91.72,90.98,91.2,1054292
1724767200000,91.2,91.39,91.08,91.3,950021
1724770800000,91.31,91.385,90.83,90.91,848828
1724774400000,90.906,91.04,90.75,90.8,813108
1724778000000,90.805,91.02,90.76,90.985,542416
