ts,open,high,low,close,volume
1629086400000,137.11,137.99,133.365,135.0,174446
1629172800000,135.39,136.13,132.2,133.48,248199
1629259200000,133.4,133.97,129.14,131.5,344835
1629345600000,130.78,131.0,125.1,126.16,307672
1629432000000,126.5,127.4,125.01,126.03,135305
1629691200000,125.26,126.0,123.0,124.01,158698
1629777600000,123.69,130.62,123.69,127.16,228283
1629864000000,127.28,130.58,126.29,127.33,115700
1629950400000,127.43,128.0,119.68,120.0,254321
1630036800000,119.8,120.775,118.545,120.1,190894
1630296000000,121.04,128.8,119.4,128.7,225776
1630382400000,127.16,130.81,125.4,129.56,214327
1630468800000,130.0,137.72,128.94,137.48,141149
1630555200000,138.17,152.77,136.6005,152.09,404606
1630641600000,149.0,163.84,146.561,163.06,327929
1630987200000,164.83,164.83,158.02,163.38,234178
1631073600000,163.38,163.58,153.66,158.11,234675
1631160000000,156.73,170.58,155.015,169.75,209732
1631246400000,171.97,181.27,170.49,173.37,338194
1631505600000,174.45,174.655,158.22,158.71,284532
1631592000000,159.0,166.46,159.0,160.09,314876
1631678400000,161.33,164.16,158.6,160.29,324151
1631764800000,158.57,185.85,158.0,185.0,463295
1631851200000,185.2,191.5,183.05,184.98,975249
1632110400000,178.0,183.5,174.6,181.7,435459
1632196800000,183.79,202.04,181.9,200.21,362806
1632283200000,201.65,204.995,200.25,201.86,306928
1632369600000,202.21,203.617,198.12,202.69,104688
1632456000000,202.23,204.3611,198.51,199.37,107247
1632715200000,199.99,201.94,188.11,189.38,117490
1632801600000,184.24,186.84,171.46,171.73,186556
1632888000000,176.44,176.44,167.24,168.89,131029
1632974400000,167.23,171.606,162.54,166.36,111072
1633060800000,167.01,171.45,158.4,160.58,181241
1633320000000,159.01,159.1574,147.11,150.87,210691
1633406400000,152.3,156.019,142.51,144.85,204649
1633492800000,144.47,144.47,136.07,141.45,425162
1633579200000,143.97,160.86,143.97,156.86,276152
1633665600000,157.34,168.6,157.34,166.52,280457
1633924800000,168.73,169.8,162.18,165.0,216642
1634011200000,166.31,170.74,162.36,170.74,224822
1634097600000,172.05,181.79,171.68,180.0,135432
1634184000000,182.71,186.77,167.68,168.59,147712
1634270400000,169.27,173.86,154.34,156.7,139676
1634529600000,157.14,164.81,153.03,157.34,167228
1634616000000,157.51,168.955,157.5,165.69,157111
1634702400000,165.75,167.4154,155.16,157.91,127753
1634788800000,157.37,179.965,154.005,178.14,378103
1634875200000,178.5,183.905,176.23,178.26,227880
1635134400000,178.26,191.82,174.1746,187.48,200267
1635220800000,189.37,190.835,183.31,188.05,102512
1635307200000,188.05,190.0,173.7,175.29,107099
1635393600000,176.06,182.3056,171.01,172.83,126428
1635480000000,172.72,183.37,172.72,173.69,398727
1635739200000,174.77,175.04,168.43,175.04,78864
1635825600000,174.63,174.63,163.48,166.24,159386
1635912000000,168.21,175.0,165.57,169.12,134743
1635998400000,170.58,175.01,158.02,158.59,170933
1636084800000,160.23,167.3294,152.72,153.73,209095
1636347600000,153.85,157.345,150.51,155.35,141675
1636434000000,153.89,157.25,146.29,146.73,181153
1636520400000,146.9,151.765,140.08,148.06,231453
1636606800000,174.1,174.65,148.51,151.51,400936
1636693200000,152.5,155.27,145.53,155.02,357378
1636952400000,148.46,151.05,137.695,140.48,1764576
1637038800000,138.96,141.83,135.13,138.93,388945
1637125200000,136.69,145.0,136.69,141.28,805762
