ts,open,high,low,close,volume
1723474800000,183.47,185.66,182.355,184.63,57784
1723478400000,184.3,184.52,182.39,182.585,37597
1723482000000,182.62,183.365,182.49,183.195,28361
1723485600000,183.15,183.755,182.85,183.415,46854
1723489200000,183.395,183.6199,181.62,181.74,107694
1723492800000,181.75,181.75,181.75,181.75,35206
1723546800000,183.67,183.71,183.67,183.71,616
1723550400000,184.0,184.0,184.0,184.0,1088
1723554000000,184.1,191.65,184.1,190.33,79790
1723557600000,190.235,191.97,189.66,191.52,118896
1723561200000,191.88,192.44,190.5,190.5,127396
1723564800000,190.45,192.33,190.26,192.33,112255
1723568400000,192.255,193.77,191.43,192.645,67610
1723572000000,192.5,193.25,192.07,192.63,58903
1723575600000,192.94,193.06,191.27,191.33,217423
1723579200000,191.54,191.54,191.54,191.54,82284
1723636800000,193.99,194.0,193.5,194.0,937
1723640400000,194.0,196.0,192.71,194.56,50423
1723644000000,194.72,196.45,193.63,196.255,82054
1723647600000,196.28,197.0575,196.14,196.73,43008
1723651200000,196.55,197.69,195.51,196.29,71775
1723654800000,196.3,196.8,193.98,195.05,29475
1723658400000,195.255,196.15,194.85,196.06,38637
1723662000000,196.055,197.33,195.01,197.29,120211
1723665600000,197.07,197.07,197.07,197.07,50012
1723723200000,199.4,199.97,199.4,199.97,3362
1723726800000,200.62,200.62,196.2,197.57,71832
1723730400000,197.65,197.97,196.12,197.35,72607
1723734000000,197.5,198.24,196.57,196.87,89835
1723737600000,196.97,197.79,195.94,197.79,60986
1723741200000,197.635,200.68,197.48,200.25,79817
1723744800000,200.32,201.68,199.255,200.4176,119506
1723748400000,200.385,202.58,199.97,202.48,302098
1723752000000,202.34,202.34,202.0,202.0,210107
1723813200000,199.08,204.43,198.328,203.06,72844
1723816800000,203.19,204.32,201.9266,202.4,82063
1723820400000,202.37,204.5,202.37,204.2899,56061
1723824000000,204.105,205.77,203.91,205.6,80445
1723827600000,205.71,206.425,205.23,205.8,34603
1723831200000,205.86,206.23,204.1,204.22,49434
1723834800000,204.31,204.66,202.224,203.01,142768
1723838400000,203.16,203.29,203.1,203.29,83055
1723849200000,205.253,205.253,203.0,203.0,751
1724072400000,203.59,204.25,201.56,201.56,29015
1724076000000,201.56,204.75,201.22,204.34,50982
1724079600000,204.395,206.8,203.23,204.0,89736
1724083200000,204.245,204.8,203.83,203.92,27922
1724086800000,204.03,204.205,203.44,203.82,15771
1724090400000,203.877,206.8,203.66,206.68,71084
1724094000000,206.675,208.195,206.0,207.11,145328
1724097600000,207.515,207.515,207.18,207.18,110829
1724158800000,206.35,208.31,206.35,207.09,31591
1724162400000,206.47,206.47,201.64,202.91,50202
1724166000000,203.01,204.0,202.19,204.0,24603
1724169600000,204.085,204.085,201.48,201.48,20157
1724173200000,201.48,202.63,201.0209,202.2,22568
1724176800000,202.105,203.9899,202.105,203.68,37061
1724180400000,203.82,205.2968,203.57,203.89,104033
1724184000000,203.83,203.83,203.83,203.83,99354
