ts,open,high,low,close,volume
1723473000000,163.6,163.71,163.33,163.53,427142
1723473900000,163.55,163.89,163.44,163.87,381349
1723474800000,163.87,163.96,163.445,163.46,434345
1723475700000,163.4999,163.5,162.11,162.365,744068
1723476600000,162.36,162.82,162.16,162.7938,536809
1723477500000,162.79,163.41,162.61,163.41,344832
1723478400000,163.42,163.6,163.27,163.47,355106
1723479300000,163.44,163.45,163.18,163.31,299943
1723480200000,163.3,163.585,163.19,163.52,313171
1723481100000,163.52,163.6,162.66,162.67,257680
1723482000000,162.67,162.87,162.42,162.7205,311368
1723482900000,162.71,163.22,162.65,162.85,279847
1723483800000,162.88,162.99,162.67,162.78,203159
1723484700000,162.79,162.84,162.33,162.61,300117
1723485600000,162.6199,162.79,162.51,162.735,199330
1723486500000,162.73,162.89,162.53,162.6399,263188
1723487400000,162.625,162.69,162.51,162.5999,205139
1723488300000,162.6,162.85,162.6,162.84,219688
1723489200000,162.82,162.87,162.54,162.585,266458
1723490100000,162.585,162.66,162.38,162.4,315238
1723491000000,162.39,162.4897,162.13,162.175,474644
1723491900000,162.17,162.33,161.84,162.28,1764861
1723492800000,162.29,162.4192,161.98,162.36,3434818
1723493700000,162.32,162.32,162.29,162.29,305951
1723494600000,162.1515,162.4,162.1515,162.4,7155
1723495500000,162.29,162.3,162.29,162.3,37971
1723496400000,162.4791,162.4791,162.3535,162.3535,205
1723497300000,162.29,162.45,162.29,162.45,4260
1723500000000,162.4,162.4,162.3999,162.3999,750
1723500900000,162.38,162.45,162.26,162.26,1456
1723501800000,162.29,162.46,162.29,162.46,1491
1723502700000,162.35,162.35,162.35,162.35,501
1723503600000,162.4599,162.4599,162.4394,162.4394,532
1723504500000,162.33,162.33,162.27,162.32,2796
1723505400000,162.32,162.42,162.2335,162.26,3279
1723506300000,162.34,162.34,162.34,162.34,144
1723536000000,163.3,163.67,163.2,163.43,9379
1723536900000,163.38,163.38,163.28,163.33,3168
1723537800000,163.22,163.22,163.22,163.22,532
1723538700000,163.33,163.33,163.33,163.33,338
1723542300000,163.29,163.29,163.2,163.2,619
1723543200000,163.16,163.16,163.16,163.16,404
1723544100000,163.01,163.01,162.86,162.89,1902
1723545000000,162.93,162.93,162.86,162.86,448
1723545900000,162.88,162.9,162.81,162.81,3475
1723546800000,162.8,162.8,162.59,162.59,4195
1723547700000,162.88,163.11,162.82,162.82,4065
1723548600000,162.9,162.9,162.82,162.83,647
1723549500000,162.98,162.98,162.92,162.92,1408
1723550400000,162.75,163.307,162.5,163.2,22514
1723551300000,163.1902,163.38,163.19,163.38,9094
1723552200000,163.49,163.75,163.34,163.47,24754
1723553100000,163.4,163.59,163.17,163.4352,18871
1723554000000,163.51,163.6,163.4,163.45,12210
1723554900000,163.49,163.7,163.28,163.3,57576
1723555800000,163.37,164.73,163.2,163.79,1273116
1723556700000,163.78,163.79,163.022,163.035,692547
1723557600000,163.05,163.38,163.03,163.2,574549
1723558500000,163.23,163.575,162.97,163.575,467100
1723559400000,163.575,163.575,163.09,163.26,443674
1723560300000,163.268,163.7499,163.24,163.5,524581
1723561200000,163.51,163.88,163.51,163.82,568511
1723562100000,163.82,163.93,163.65,163.9,346549
1723563000000,163.89,163.97,163.61,163.61,316189
1723563900000,163.62,164.05,163.58,163.8268,312259
1723564800000,163.83,163.84,163.47,163.53,387216
1723565700000,163.53,163.81,163.51,163.68,372336
1723566600000,163.69,163.87,163.605,163.825,326935
1723567500000,163.83,164.29,163.77,164.2731,441997
1723568400000,164.275,164.6,163.99,164.24,1119491
1723569300000,164.25,164.26,163.79,164.1851,599318
1723570200000,164.2,164.32,164.09,164.2576,294709
1723571100000,164.25,164.25,163.61,163.965,440648
1723572000000,163.97,163.9799,163.67,163.71,336609
1723572900000,163.72,163.79,163.56,163.75,339487
1723573800000,163.76,164.1434,163.745,164.13,295183
1723574700000,164.14,164.36,164.12,164.245,375120
1723575600000,164.25,164.315,163.95,164.12,342945
1723576500000,164.125,164.23,163.855,163.975,467810
1723577400000,163.97,164.12,163.86,164.085,402019
1723578300000,164.09,164.36,163.95,164.15,1408467
1723579200000,164.16,164.16,164.06,164.15,4000104
1723580100000,164.12,164.1597,160.11,162.0,142768
1723581000000,162.23,163.0,161.51,161.85,271049
1723581900000,161.84,164.16,161.75,162.0,187034
1723582800000,161.98,162.08,161.85,161.96,75982
1723583700000,161.95,162.5,161.9,162.4,33352
1723584600000,162.45,162.55,162.16,162.25,91571
1723585500000,162.25,162.4,162.15,162.3,12317
1723586400000,162.3,162.58,162.3,162.58,15314
1723587300000,162.57,162.61,162.47,162.6,15102
1723588200000,162.5607,162.7,162.5607,162.7,4694
1723589100000,162.7,162.73,162.65,162.7,6566
1723590000000,162.65,162.7193,162.61,162.7193,6257
1723590900000,162.68,162.76,162.68,162.76,6555
1723591800000,162.73,162.7995,162.69,162.71,5999
1723592700000,162.74,162.81,162.69,162.69,12921
1723622400000,162.96,163.32,162.37,162.54,17006
1723623300000,162.6,162.61,162.6,162.61,1709
1723624200000,162.73,162.78,162.36,162.36,5366
1723625100000,162.53,162.53,161.95,161.95,11947
1723626000000,162.18,162.18,162.08,162.1,5601
1723626900000,162.15,162.42,162.1,162.4,5475
1723627800000,162.38,162.44,162.3,162.44,2316
1723628700000,162.39,162.41,162.39,162.41,1021
1723629600000,162.5,162.7,162.4,162.64,3268
1723630500000,162.5,162.5,162.5,162.5,338
1723631400000,162.67,162.75,162.55,162.55,4946
1723632300000,162.6,162.6,162.21,162.21,3416
1723633200000,162.27,162.41,162.0,162.15,15192
1723634100000,162.2,162.2,161.75,161.94,16670
1723635000000,161.9,162.0,161.82,161.88,10618
1723635900000,161.84,162.09,161.76,162.09,30812
1723636800000,162.28,163.75,161.75,162.27,69117
1723637700000,162.35,162.91,162.22,162.75,50091
1723638600000,162.88,163.2,161.7,162.62,124237
1723639500000,162.7,162.8,162.33,162.6,34418
1723640400000,162.5513,162.62,162.07,162.24,60881
