ts,open,high,low,close,volume
1723474800000,163.87,163.96,162.11,163.41,2060054
1723478400000,163.42,163.6,162.66,162.67,1225900
1723482000000,162.67,163.22,162.33,162.61,1094491
1723485600000,162.6199,162.89,162.51,162.84,887345
1723489200000,162.82,162.87,161.84,162.28,2821201
1723492800000,162.29,162.4192,161.98,162.3,3785895
1723496400000,162.4791,162.4791,162.29,162.45,4465
1723500000000,162.4,162.46,162.26,162.35,4198
1723503600000,162.4599,162.4599,162.2335,162.34,6751
1723536000000,163.3,163.67,163.2,163.33,13417
1723539600000,163.29,163.29,163.2,163.2,619
1723543200000,163.16,163.16,162.81,162.81,6229
1723546800000,162.8,163.11,162.59,162.92,10315
1723550400000,162.75,163.75,162.5,163.4352,75233
1723554000000,163.51,164.73,163.022,163.035,2035449
1723557600000,163.05,163.7499,162.97,163.5,2009904
1723561200000,163.51,164.05,163.51,163.8268,1543508
1723564800000,163.83,164.29,163.47,164.2731,1528484
1723568400000,164.275,164.6,163.61,163.965,2454166
1723572000000,163.97,164.36,163.56,164.245,1346399
1723575600000,164.25,164.36,163.855,164.15,2621241
1723579200000,164.16,164.16,160.11,162.0,4600955
1723582800000,161.98,162.55,161.85,162.3,213222
1723586400000,162.3,162.73,162.3,162.7,41676
1723590000000,162.65,162.81,162.61,162.69,31732
1723622400000,162.96,163.32,161.95,161.95,36028
1723626000000,162.18,162.44,162.08,162.41,14413
1723629600000,162.5,162.75,162.21,162.21,11968
1723633200000,162.27,162.41,161.75,162.09,73292
1723636800000,162.28,163.75,161.7,162.6,277863
1723640400000,162.5513,163.22,159.37,159.385,6934035
1723644000000,159.3925,159.4,157.71,158.4485,8487612
1723647600000,158.4439,160.015,158.065,159.9902,5146481
1723651200000,159.995,160.14,158.99,159.44,3201411
1723654800000,159.44,159.5,158.87,158.935,1753390
1723658400000,158.935,159.26,158.72,158.89,3439198
1723662000000,158.89,160.6,158.48,160.32,5939486
1723665600000,160.37,160.71,159.92,160.1918,4626386
1723669200000,160.22,160.4103,160.1161,160.26,579527
1723672800000,160.26,160.26,160.0,160.0,23843
1723676400000,160.05,160.1,159.7,159.75,13192
1723708800000,161.0,161.0,160.11,160.46,37493
1723712400000,160.45,160.58,160.34,160.58,2837
1723716000000,160.5,160.5,159.77,159.77,7442
1723719600000,159.88,160.42,159.88,160.12,26967
1723723200000,160.0,161.295,159.7441,160.95,220408
1723726800000,160.94,161.32,159.61,160.55,4613206
1723730400000,160.5332,160.96,159.75,159.9,4787156
1723734000000,159.92,160.97,159.68,160.91,3420661
1723737600000,160.9195,161.5999,160.83,161.07,2532859
