ts,open,high,low,close,volume
1723473000000,345.88,347.99,345.6,347.58,150245
1723473900000,347.595,347.83,347.13,347.63,111147
1723474800000,347.56,347.7,346.36,346.73,79596
1723475700000,346.765,346.83,344.0,344.925,128354
1723476600000,344.99,345.6867,344.4615,345.605,91792
1723477500000,345.69,347.12,345.37,346.99,60179
1723478400000,346.93,347.6399,346.755,346.8601,77773
1723479300000,346.9725,347.28,346.6101,347.0,68235
1723480200000,347.1,347.1,346.3501,346.79,52302
1723481100000,346.93,347.02,346.0,346.24,73350
1723482000000,346.03,346.168,345.23,345.86,67292
1723482900000,345.99,346.57,345.83,345.98,55695
1723483800000,346.14,346.87,346.11,346.83,40263
1723484700000,346.56,346.8269,345.51,346.06,71511
1723485600000,345.95,346.4,345.82,346.315,59566
1723486500000,346.43,346.49,345.75,345.88,61277
1723487400000,345.96,346.26,345.65,346.105,62991
1723488300000,346.105,346.14,345.34,345.55,63491
1723489200000,345.48,345.6399,344.36,344.5039,80238
1723490100000,344.54,344.78,344.38,344.5,101363
1723491000000,344.5999,344.75,344.2,344.58,145265
1723491900000,344.62,346.14,344.25,346.01,490613
1723492800000,345.81,348.0,345.81,347.0,698722
1723495500000,346.0,346.0,346.0,346.0,551
1723496400000,346.75,346.75,346.75,346.75,309
1723497300000,346.5,346.5,345.79,345.79,261
1723498200000,346.55,346.55,346.5,346.5,506
1723499100000,345.81,345.81,345.2789,345.2789,711
1723500000000,345.81,346.25,345.81,346.25,504
1723501800000,346.0,346.17,346.0,346.0,779
1723502700000,346.0,346.17,346.0,346.0,2494
1723503600000,346.1,346.2,346.1,346.2,3540
1723504500000,346.2,346.2,346.0,346.1,1930
1723505400000,346.0,346.2,346.0,346.0,2199
1723506300000,346.0,346.0,346.0,346.0,118
1723536000000,347.0,347.0,347.0,347.0,115
1723538700000,346.99,346.99,346.06,346.06,300
1723539600000,346.0,346.0,346.0,346.0,160
1723543200000,346.0,346.0,333.72,335.0,12847
1723544100000,334.6,336.0,333.0,334.0,5563
1723545000000,332.0,332.0,328.0,330.0,12370
1723545900000,330.0,333.25,329.0,333.25,5321
1723546800000,334.15,338.89,333.0,337.44,36472
1723547700000,337.5,339.79,337.0,338.69,44602
1723548600000,338.84,339.0,337.0,337.67,30222
1723549500000,337.9,339.0,337.4,338.9,14209
1723550400000,339.0,341.4829,333.0,341.0,62356
1723551300000,340.505,343.97,340.505,343.0,19660
1723552200000,343.11,352.0,342.6901,342.6901,78061
1723553100000,342.8,345.28,342.5,343.39,18054
1723554000000,343.6802,344.5,342.0,343.5,13291
1723554900000,343.0,343.0,339.0,340.21,56446
1723555800000,341.87,348.29,339.37,347.15,1111279
1723556700000,347.23,348.6599,345.7701,346.085,455496
1723557600000,345.81,347.29,342.53,346.24,296988
1723558500000,346.205,349.43,344.8,348.13,240114
1723559400000,348.03,348.425,346.0,347.925,182382
1723560300000,347.82,348.55,345.83,346.0,166665
1723561200000,345.945,346.02,344.71,344.865,151654
1723562100000,344.865,347.97,344.865,347.44,311011
1723563000000,347.15,348.52,346.29,348.27,94140
1723563900000,348.25,350.12,348.18,349.56,109329
1723564800000,349.665,351.2399,349.0301,351.04,104236
1723565700000,351.03,353.39,350.8,352.154,134044
1723566600000,352.03,352.84,351.53,352.315,125994
1723567500000,352.315,352.315,351.0,351.2,105128
1723568400000,351.2,351.31,349.62,350.45,106986
1723569300000,350.375,351.8,350.29,350.85,83688
1723570200000,350.84,351.07,349.955,350.505,80023
1723571100000,350.505,350.85,349.89,350.26,87412
1723572000000,350.26,351.72,350.15,351.55,86796
1723572900000,351.54,352.38,351.3221,351.915,146046
1723573800000,351.82,352.61,351.45,352.36,110746
1723574700000,352.44,352.67,351.9502,352.35,113924
1723575600000,352.28,352.3,349.51,349.83,131054
1723576500000,349.83,351.3,349.22,351.26,112488
1723577400000,351.17,351.59,350.35,350.42,140180
1723578300000,350.405,351.32,349.92,350.25,450895
1723579200000,350.07,350.33,350.07,350.07,661791
1723580100000,350.98,350.98,350.98,350.98,180
1723581000000,350.9818,350.9818,350.9818,350.9818,340
1723581900000,350.5,350.5,350.07,350.49,6891
1723583700000,350.0,350.0,350.0,350.0,469
1723584600000,349.196,349.196,349.196,349.196,101
1723589100000,349.21,349.21,349.21,349.21,350
1723590000000,349.5,349.5,349.5,349.5,200
1723590900000,350.0,350.0,350.0,350.0,470
1723634100000,349.39,349.39,349.39,349.39,143
1723636800000,349.0,349.15,349.0,349.15,17639
1723637700000,349.2,349.4,349.2,349.4,413
1723638600000,349.11,350.0,349.11,349.92,1430
1723639500000,349.92,350.0,349.71,349.71,1633
1723640400000,349.63,349.63,349.63,349.63,139
1723641300000,349.75,349.9999,349.63,349.63,1853
1723642200000,349.55,356.918,349.4,356.82,329450
1723643100000,356.705,357.7592,354.14,354.14,243180
1723644000000,354.21,355.7554,354.09,355.435,180405
1723644900000,355.29,357.59,355.07,356.66,144946
1723645800000,356.7879,356.7879,354.8401,355.2375,132070
1723646700000,355.46,356.1,355.3447,355.655,83890
1723647600000,355.625,356.36,355.45,356.08,118475
1723648500000,356.08,356.76,355.861,356.515,115386
1723649400000,356.515,357.5,356.44,356.835,118292
1723650300000,356.83,358.485,356.79,357.91,171221
1723651200000,357.905,359.49,357.8,358.79,336184
1723652100000,358.87,358.923,356.9103,356.9291,107914
1723653000000,356.915,357.34,356.73,357.0,109280
1723653900000,356.89,357.66,356.78,357.55,86694
1723654800000,357.36,357.7,356.98,357.39,58640
1723655700000,357.49,358.82,357.36,358.72,129584
1723656600000,358.78,359.6,358.6401,359.535,95474
