ts,open,high,low,close,volume
1723474800000,347.56,347.7,344.0,346.99,359921
1723478400000,346.93,347.6399,346.0,346.24,271660
1723482000000,346.03,346.87,345.23,346.06,234761
1723485600000,345.95,346.49,345.34,345.55,247325
1723489200000,345.48,346.14,344.2,346.01,817479
1723492800000,345.81,348.0,345.81,346.0,699273
1723496400000,346.75,346.75,345.2789,345.2789,1787
1723500000000,345.81,346.25,345.81,346.0,3777
1723503600000,346.1,346.2,346.0,346.0,7787
1723536000000,347.0,347.0,346.06,346.06,415
1723539600000,346.0,346.0,346.0,346.0,160
1723543200000,346.0,346.0,328.0,333.25,36101
1723546800000,334.15,339.79,333.0,338.9,125505
1723550400000,339.0,352.0,333.0,343.39,178131
1723554000000,343.6802,348.6599,339.0,346.085,1636512
1723557600000,345.81,349.43,342.53,346.0,886149
1723561200000,345.945,350.12,344.71,349.56,666134
1723564800000,349.665,353.39,349.0301,351.2,469402
1723568400000,351.2,351.8,349.62,350.26,358109
1723572000000,350.26,352.67,350.15,352.35,457512
1723575600000,352.28,352.3,349.22,350.25,834617
1723579200000,350.07,350.9818,350.07,350.49,669202
1723582800000,350.0,350.0,349.196,349.196,570
1723586400000,349.21,349.21,349.21,349.21,350
1723590000000,349.5,350.0,349.5,350.0,670
1723633200000,349.39,349.39,349.39,349.39,143
1723636800000,349.0,350.0,349.0,349.71,21115
1723640400000,349.63,357.7592,349.4,354.14,574622
1723644000000,354.21,357.59,354.09,355.655,541311
1723647600000,355.625,358.485,355.45,357.91,523374
1723651200000,357.905,359.49,356.73,357.55,640072
1723654800000,357.36,359.6899,356.98,359.21,389628
1723658400000,359.21,359.55,357.9401,359.405,348947
1723662000000,359.395,359.395,355.5,355.61,950877
1723665600000,355.66,358.0,355.66,358.0,601675
1723669200000,355.66,356.0,355.66,356.0,6033
1723672800000,356.0,356.4,356.0,356.4,714
1723676400000,356.0,356.0,356.0,356.0,316
1723716000000,356.9,356.9,356.9,356.9,113
1723719600000,356.15,356.15,356.15,356.15,300
1723723200000,358.0,360.0,356.6,360.0,47228
1723726800000,360.0,365.41,359.8396,360.065,563406
1723730400000,360.065,360.84,358.8,360.0,401570
