ts,open,high,low,close,volume
1723474800000,205.5,205.62,205.13,205.1801,657943
1723475700000,205.19,205.3,204.11,204.61,986021
1723476600000,204.6,204.6,203.87,204.23,933000
1723477500000,204.18,204.92,203.92,204.84,785200
1723478400000,204.84,204.92,204.33,204.59,384912
1723479300000,204.56,204.6,204.24,204.4,279108
1723480200000,204.38,204.61,204.19,204.41,764288
1723481100000,204.42,204.625,204.07,204.07,424093
1723482000000,204.06,204.27,203.82,204.25,720852
1723482900000,204.245,204.84,204.23,204.67,860077
1723483800000,204.67,204.98,204.65,204.75,456917
1723484700000,204.73,204.9,204.31,204.5,353684
1723485600000,204.5,204.83,204.43,204.78,336525
1723486500000,204.78,204.79,204.525,204.54,372499
1723487400000,204.52,204.72,204.38,204.655,274827
1723488300000,204.655,204.8101,204.55,204.685,374844
1723489200000,204.685,204.72,204.4099,204.61,317987
1723490100000,204.61,204.925,204.55,204.7699,484020
1723491000000,204.77,204.875,204.4,204.41,744130
1723491900000,204.41,204.68,204.08,204.62,2285023
1723492800000,204.6,204.7,204.32,204.61,876906
1723493700000,204.62,204.71,204.56,204.56,109753
1723494600000,204.56,204.56,204.51,204.53,13540
1723495500000,204.56,204.6,204.5,204.6,38445
1723496400000,204.62,204.75,204.6104,204.64,5135
1723497300000,204.6,204.6,204.59,204.6,1052
1723498200000,204.66,204.66,204.56,204.65,2482
1723499100000,204.66,204.66,204.6,204.66,4974
1723500000000,204.66,204.73,204.61,204.73,8632
1723500900000,204.69,204.72,204.68,204.72,4335
1723501800000,204.71,204.72,204.62,204.66,1377
1723502700000,204.63,204.63,204.58,204.6,5512
1723503600000,204.66,204.66,204.66,204.66,300
1723504500000,204.6431,204.6431,204.58,204.58,25349
1723505400000,204.74,205.0,204.51,204.54,8779
1723506300000,204.56,204.64,204.56,204.6,4357
1723536000000,205.43,205.48,205.39,205.39,4783
1723536900000,205.33,205.33,204.75,204.92,5830
1723537800000,205.02,205.02,204.88,204.9,1133
1723538700000,204.71,204.9,204.69,204.9,2331
1723539600000,204.54,204.71,204.16,204.28,10043
1723540500000,204.35,204.45,204.19,204.44,4826
1723541400000,204.5,204.58,204.5,204.54,1917
1723542300000,204.57,204.73,204.57,204.6,1045
1723543200000,204.51,204.51,204.0,204.2,6392
1723544100000,204.2,204.2,203.92,204.07,4417
1723545000000,204.1,204.1,203.78,203.92,8772
1723545900000,203.94,204.07,203.88,203.92,6772
1723546800000,203.89,204.23,203.8,204.23,25725
1723547700000,204.22,204.28,204.129,204.26,12647
1723548600000,204.25,204.33,204.17,204.26,10913
1723549500000,204.38,204.54,204.28,204.54,6113
1723550400000,203.9699,205.54,203.87,205.11,55886
1723551300000,205.04,205.18,204.72,205.05,43927
1723552200000,204.91,206.74,204.85,205.97,435603
1723553100000,206.15,206.41,205.96,206.22,64415
1723554000000,206.2,206.42,205.81,206.04,172331
1723554900000,206.0,206.32,205.89,206.0904,60158
1723555800000,206.09,206.51,205.31,206.21,1660023
1723556700000,206.21,206.83,205.84,206.03,1513150
1723557600000,206.03,206.03,204.86,205.64,1098205
1723558500000,205.67,205.79,205.0,205.5,867934
1723559400000,205.5,205.85,204.94,205.79,878722
1723560300000,205.8,206.2,205.66,206.2,670953
1723561200000,206.2,206.2405,205.82,206.06,429633
1723562100000,206.06,206.2,205.91,206.08,263049
1723563000000,206.07,206.23,206.0,206.12,421833
1723563900000,206.14,206.405,206.12,206.28,358623
1723564800000,206.285,206.955,206.06,206.78,806062
1723565700000,206.795,207.054,206.76,206.845,422091
1723566600000,206.865,207.18,206.5875,207.13,371898
1723567500000,207.13,207.57,207.07,207.51,524620
1723568400000,207.51,207.56,207.1,207.25,519181
1723569300000,207.27,207.34,207.0201,207.1112,365186
1723570200000,207.14,207.18,206.845,207.09,231174
1723571100000,207.085,207.264,206.6,207.23,653049
1723572000000,207.23,207.47,207.09,207.15,454351
1723572900000,207.15,207.35,206.91,207.316,519446
1723573800000,207.32,207.66,207.23,207.525,416154
1723574700000,207.51,207.515,207.22,207.3528,467762
1723575600000,207.35,207.51,207.145,207.145,521185
1723576500000,207.135,207.38,206.9995,207.3787,731108
1723577400000,207.37,207.7,207.34,207.7,1251881
1723578300000,207.685,208.38,207.605,207.9,3456232
1723579200000,207.97,208.0,207.69,207.8,4209998
1723580100000,207.8,207.8,207.68,207.68,72359
1723581000000,207.71,207.8,207.68,207.7,249518
1723581900000,207.68,207.97,207.56,207.74,28145
1723582800000,207.6609,207.76,207.65,207.71,4204
1723583700000,207.681,207.75,207.67,207.7,10735
1723584600000,207.74,207.8,207.74,207.74,1629
1723585500000,207.7,207.72,207.6176,207.69,1302
1723586400000,207.81,207.97,207.81,207.92,12235
1723587300000,207.949,207.949,207.7,207.82,2540
1723588200000,207.74,207.79,207.71,207.71,1578
1723589100000,207.79,207.8,207.75,207.75,2046
1723590000000,207.75,207.76,207.75,207.75,878
1723590900000,207.83,207.83,207.83,207.83,111
1723591800000,207.83,207.85,207.7499,207.85,26130
1723592700000,207.87,207.9,207.77,207.9,3396
1723622400000,208.09,208.17,208.01,208.08,6451
1723623300000,208.12,208.23,208.12,208.2,4147
1723624200000,208.31,208.31,208.07,208.09,2372
1723625100000,208.16,208.21,208.14,208.2,920
1723626000000,208.12,208.22,208.12,208.22,644
1723626900000,208.37,208.52,208.37,208.52,1471
1723627800000,208.48,208.48,208.45,208.45,1183
1723628700000,208.52,208.6,208.45,208.45,1436
1723629600000,208.52,208.53,208.49,208.5,2387
1723630500000,208.5,208.71,208.4,208.71,38129
1723631400000,208.66,208.99,208.66,208.99,38349
1723632300000,208.97,209.08,208.91,209.08,21043
1723633200000,209.07,209.11,208.65,208.7,48703
1723634100000,208.65,209.0,208.62,208.84,79862
1723635000000,208.88,209.01,208.69,209.01,16576
1723635900000,208.99,209.49,208.94,209.36,106722
1723636800000,208.8219,209.64,207.8,209.511,127596
1723637700000,209.57,209.9,209.04,209.26,127297
1723638600000,209.8,211.46,207.29,209.38,1065811
1723639500000,209.38,210.21,208.64,208.85,214862
1723640400000,208.8,209.3,208.47,208.59,146545
1723641300000,208.57,208.8,208.31,208.6,112307
1723642200000,208.63,208.75,207.28,207.35,2294010
1723643100000,207.34,207.81,206.45,206.6101,1584250
1723644000000,206.65,206.77,206.19,206.28,1120880
1723644900000,206.3,206.95,206.23,206.78,691573
1723645800000,206.8,206.87,205.83,206.04,1044642
1723646700000,206.04,206.58,205.94,206.46,1257369
1723647600000,206.47,206.73,206.2661,206.5199,585472
1723648500000,206.51,206.91,206.34,206.91,425577
1723649400000,206.92,207.48,206.89,207.265,970105
1723650300000,207.27,207.57,207.24,207.55,488838
1723651200000,207.55,207.64,207.27,207.3,507676
1723652100000,207.29,207.38,205.84,206.15,1038318
1723653000000,206.13,206.47,205.79,205.83,463733
1723653900000,205.84,206.44,205.74,206.35,594647
1723654800000,206.33,206.65,206.13,206.34,360236
