ts,open,high,low,close,volume
1723474800000,205.5,205.62,203.87,204.84,3362164
1723478400000,204.84,204.92,204.07,204.07,1852401
1723482000000,204.06,204.98,203.82,204.5,2391530
1723485600000,204.5,204.83,204.38,204.685,1358695
1723489200000,204.685,204.925,204.08,204.62,3831160
1723492800000,204.6,204.71,204.32,204.6,1038644
1723496400000,204.62,204.75,204.56,204.66,13643
1723500000000,204.66,204.73,204.58,204.6,19856
1723503600000,204.66,205.0,204.51,204.6,38785
1723536000000,205.43,205.48,204.69,204.9,14077
1723539600000,204.54,204.73,204.16,204.6,17831
1723543200000,204.51,204.51,203.78,203.92,26353
1723546800000,203.89,204.54,203.8,204.54,55398
1723550400000,203.9699,206.74,203.87,206.22,599831
1723554000000,206.2,206.83,205.31,206.03,3405662
1723557600000,206.03,206.2,204.86,206.2,3515814
1723561200000,206.2,206.405,205.82,206.28,1473138
1723564800000,206.285,207.57,206.06,207.51,2124671
1723568400000,207.51,207.56,206.6,207.23,1768590
1723572000000,207.23,207.66,206.91,207.3528,1857713
1723575600000,207.35,208.38,206.9995,207.9,5960406
1723579200000,207.97,208.0,207.56,207.74,4560020
1723582800000,207.6609,207.8,207.6176,207.69,17870
1723586400000,207.81,207.97,207.7,207.75,18399
1723590000000,207.75,207.9,207.7499,207.9,30515
1723622400000,208.09,208.31,208.01,208.2,13890
1723626000000,208.12,208.6,208.12,208.45,4734
1723629600000,208.52,209.08,208.4,209.08,99908
1723633200000,209.07,209.49,208.62,209.36,251863
1723636800000,208.8219,211.46,207.29,208.85,1535566
1723640400000,208.8,209.3,206.45,206.6101,4137112
1723644000000,206.65,206.95,205.83,206.46,4114464
1723647600000,206.47,207.57,206.2661,207.55,2469992
1723651200000,207.55,207.64,205.74,206.35,2604374
1723654800000,206.33,206.8,205.8,206.69,1505762
1723658400000,206.69,206.88,206.01,206.82,2554137
1723662000000,206.81,207.02,206.3495,206.66,4489705
1723665600000,206.68,206.91,206.65,206.71,1456178
1723669200000,206.71,206.91,206.68,206.8,38637
1723672800000,206.81,206.82,206.52,206.66,21101
1723676400000,206.63,206.78,206.37,206.45,38815
1723708800000,207.1,207.1,206.17,206.24,18187
1723712400000,206.3,206.47,206.18,206.18,7328
1723716000000,206.37,206.37,205.79,205.92,48523
1723719600000,205.89,206.92,205.72,206.64,178596
1723723200000,206.66,211.55,205.8308,211.11,1800269
1723726800000,211.2,212.09,210.168,210.32,6818052
1723730400000,210.32,211.86,209.91,211.78,6744419
1723734000000,211.77,212.615,211.75,211.92,4555603
1723737600000,211.91,212.98,211.88,212.65,3847975
1723741200000,212.66,213.0897,212.38,212.79,3435292
1723744800000,212.8,213.1,212.44,212.94,3393490
1723748400000,212.94,212.94,211.51,212.04,9518268
1723752000000,212.02,212.28,211.78,212.22,2059753
1723755600000,212.2,212.28,212.04,212.15,32020
1723759200000,212.14,212.55,212.14,212.49,19094
1723762800000,212.48,212.79,212.48,212.6,74556
1723795200000,212.83,213.04,212.66,213.04,16460
1723798800000,212.92,213.14,212.71,213.09,4823
1723802400000,213.0,213.02,212.59,212.74,15933
1723806000000,212.8,212.87,211.74,212.14,82584
1723809600000,212.79,213.16,210.85,211.27,269185
1723813200000,211.2,213.69,210.94,213.35,4903218
1723816800000,213.34,213.98,211.45,211.6552,4587342
