ts,open,high,low,close,volume
1723473000000,159.2,159.55,159.02,159.51,119797
1723473900000,159.49,159.86,159.385,159.7905,92561
1723474800000,159.81,159.82,159.39,159.56,85490
1723475700000,159.55,159.55,159.22,159.28,140775
1723476600000,159.2504,159.5,159.2,159.38,107881
1723477500000,159.36,159.76,159.29,159.75,106392
1723478400000,159.74,159.805,159.59,159.68,97196
1723479300000,159.68,159.86,159.61,159.67,81510
1723480200000,159.7,160.17,159.645,160.1201,106499
1723481100000,160.14,160.26,159.82,159.82,122154
1723482000000,159.83,159.83,159.63,159.6701,73841
1723482900000,159.69,159.96,159.69,159.89,103560
1723483800000,159.9,160.0,159.87,159.955,70173
1723484700000,159.95,159.99,159.48,159.6093,104099
1723485600000,159.59,159.69,159.51,159.68,74698
1723486500000,159.68,159.7364,159.55,159.56,66280
1723487400000,159.56,161.7,159.56,160.835,697345
1723488300000,160.875,161.45,159.56,159.58,963293
1723489200000,159.56,159.97,159.26,159.675,492464
1723490100000,159.68,159.8999,159.52,159.68,223905
1723491000000,159.68,159.96,159.515,159.52,351150
1723491900000,159.515,159.94,159.4,159.86,677350
1723492800000,159.88,159.88,159.88,159.88,1765735
1723501800000,159.66,159.88,159.66,159.88,1000
1723504500000,160.48,160.48,160.48,160.48,600
1723552200000,159.88,159.89,159.88,159.89,436
1723554000000,160.46,160.46,160.21,160.21,573
1723554900000,160.18,160.18,160.0,160.0,2067
1723555800000,160.27,160.37,159.0,159.3099,373885
1723556700000,159.25,159.43,157.54,157.625,351410
1723557600000,157.59,157.75,156.44,156.6,449872
1723558500000,156.6,157.06,156.52,157.03,365949
1723559400000,157.01,157.38,156.5,156.625,275435
1723560300000,156.625,157.62,156.62,157.385,253891
1723561200000,157.39,157.475,157.13,157.21,180245
1723562100000,157.1875,157.57,157.0,157.525,203670
1723563000000,157.525,157.855,157.525,157.76,208632
1723563900000,157.75,157.75,157.27,157.48,122847
1723564800000,157.49,157.62,157.23,157.27,97866
1723565700000,157.265,157.59,157.26,157.56,115177
1723566600000,157.57,157.77,157.4001,157.6998,109099
1723567500000,157.7032,158.16,157.675,157.83,175028
1723568400000,157.84,157.865,157.58,157.6824,126853
1723569300000,157.66,158.09,157.61,157.88,104285
1723570200000,157.88,158.1024,157.84,158.005,98113
1723571100000,158.02,158.19,157.92,157.99,104835
1723572000000,157.98,158.13,157.85,158.115,102562
1723572900000,158.115,158.31,158.01,158.08,101669
1723573800000,158.08,158.22,158.04,158.14,105153
1723574700000,158.13,158.24,158.0101,158.15,142739
1723575600000,158.14,158.4,158.13,158.25,570614
1723576500000,158.24,158.59,158.23,158.505,135215
1723577400000,158.505,158.54,158.32,158.475,234209
1723578300000,158.475,158.66,157.8,158.38,1051801
1723579200000,158.39,158.39,158.08,158.08,2455508
1723580100000,158.6,158.6,157.84,158.31,1832
1723581000000,157.86,157.86,157.85,157.85,429
1723582800000,158.5,158.5,158.5,158.5,197
1723583700000,158.5,158.5,158.5,158.5,129
1723586400000,158.39,158.39,158.39,158.39,199
1723590000000,158.45,158.45,158.45,158.45,101
1723592700000,158.4,158.4,158.4,158.4,164
1723636800000,158.55,158.55,158.55,158.55,100
1723638600000,158.65,158.65,158.65,158.65,538
1723639500000,158.55,158.55,158.55,158.55,650
1723640400000,158.39,158.39,158.25,158.25,1360
1723642200000,157.83,159.15,157.4,159.09,290547
1723643100000,159.09,159.24,158.42,158.88,223823
1723644000000,158.86,159.34,158.52,159.15,135452
1723644900000,159.15,159.205,158.51,158.66,104592
1723645800000,158.68,158.82,158.54,158.55,94039
1723646700000,158.55,158.66,158.35,158.515,160662
1723647600000,158.49,158.75,158.34,158.65,101218
1723648500000,158.665,158.72,158.53,158.605,72449
1723649400000,158.62,158.718,158.41,158.5,72771
1723650300000,158.47,158.58,158.2401,158.44,122575
1723651200000,158.39,158.8,158.315,158.78,73163
1723652100000,158.76,159.55,158.5701,158.7,338991
1723653000000,158.67,158.73,158.45,158.5301,64723
1723653900000,158.53,158.62,158.31,158.55,63829
1723654800000,158.55,158.55,158.25,158.35,60580
1723655700000,158.35,158.6,158.13,158.6,105997
1723656600000,158.57,158.785,158.47,158.75,77633
1723657500000,158.74,158.77,158.58,158.74,69750
1723658400000,158.735,158.85,158.64,158.69,65479
1723659300000,158.66,158.85,158.6405,158.84,65161
1723660200000,158.85,159.03,158.84,158.96,106699
1723661100000,158.975,159.0737,158.95,159.01,72220
1723662000000,159.01,159.04,158.869,158.92,83915
1723662900000,158.92,158.92,158.79,158.87,105347
1723663800000,158.85,158.85,158.47,158.56,157989
1723664700000,158.54,158.71,158.41,158.44,559567
1723665600000,158.48,158.48,158.48,158.48,1082784
1723666500000,158.48,158.48,158.48,158.48,208
1723672800000,159.0,159.0,159.0,159.0,100
1723676400000,158.39,159.0,158.39,159.0,510
1723723200000,158.58,158.58,158.58,158.58,174
1723725000000,158.49,158.49,158.49,158.49,393
1723725900000,158.4,158.4,158.17,158.17,779
1723726800000,158.3,158.5,158.19,158.47,3674
1723727700000,158.5,158.5,157.74,157.75,3822
1723728600000,158.37,159.31,158.26,158.945,303752
1723729500000,158.966,159.11,158.55,158.6851,140556
1723730400000,158.685,158.8175,158.28,158.5,185615
1723731300000,158.52,158.69,158.07,158.12,123662
1723732200000,158.12,158.315,157.84,157.985,124096
1723733100000,158.0,158.49,157.85,158.2908,133882
1723734000000,158.29,158.87,158.29,158.81,113846
1723734900000,158.79,159.05,158.71,158.77,123371
1723735800000,158.82,158.95,158.64,158.68,104254
1723736700000,158.67,158.92,158.65,158.68,106905
1723737600000,158.66,158.94,158.65,158.7888,66372
1723738500000,158.79,158.935,158.64,158.664,80004
1723739400000,158.66,158.865,158.4,158.47,102075
1723740300000,158.49,158.735,158.45,158.695,114604
1723741200000,158.72,158.76,158.51,158.61,120472
1723742100000,158.62,158.74,158.555,158.67,93879
1723743000000,158.6799,158.715,158.41,158.43,132668
1723743900000,158.4267,158.555,158.355,158.405,93933
1723744800000,158.38,158.67,158.34,158.67,89146
1723745700000,158.67,158.835,158.67,158.74,84488
1723746600000,158.75,158.9,158.7401,158.822,81555
1723747500000,158.82,158.84,158.685,158.74,134988
1723748400000,158.735,159.08,158.735,159.08,175298
1723749300000,159.06,159.35,158.94,159.32,242071
1723750200000,159.32,159.42,159.2445,159.385,224143
1723751100000,159.385,159.495,158.66,159.13,839072
1723752000000,159.09,159.09,159.09,159.09,2571061
1723756500000,159.0,159.0,159.0,159.0,100
1723795200000,159.49,159.49,159.49,159.49,541
1723810500000,158.85,159.09,158.85,159.09,203
1723811400000,159.08,159.08,159.08,159.08,120
1723812300000,158.98,159.09,158.98,159.09,331
1723813200000,159.09,159.3758,159.09,159.3758,442
1723814100000,159.0905,159.0905,159.09,159.09,768
1723815000000,159.14,159.77,158.67,159.09,484587
1723815900000,159.07,159.2989,158.745,159.06,118280
1723816800000,159.015,159.21,158.555,158.76,266879
1723817700000,158.81,158.901,158.34,158.34,160975
1723818600000,158.355,158.53,158.18,158.515,172308
1723819500000,158.515,159.04,158.515,158.955,93636
1723820400000,158.955,159.065,158.88,158.9999,67192
1723821300000,158.965,159.22,158.94,159.17,91946
1723822200000,159.18,159.19,158.7,158.735,126174
1723823100000,158.72,159.0,158.69,159.0,129746
1723824000000,158.99,159.07,158.94,159.04,60718
1723824900000,159.0463,159.0572,158.785,158.81,89599
1723825800000,158.79,159.14,158.78,159.14,57060
1723826700000,159.16,159.37,159.1075,159.36,46920
