ts,open,high,low,close,volume
1629086400000,176.55,177.89,175.95,177.84,5474184
1629172800000,177.31,179.51,177.31,179.47,6816107
1629259200000,179.5,179.5,177.13,177.19,8376223
1629345600000,176.62,179.3269,176.07,178.57,6313440
1629432000000,178.89,179.92,178.07,179.44,6164566
1629691200000,178.39,178.93,177.54,177.61,7548386
1629777600000,176.99,177.21,175.28,175.39,6436855
1629864000000,175.69,175.9,173.892,174.23,6483400
1629950400000,173.95,174.72,173.05,173.3,6109710
1630036800000,174.28,174.28,172.75,172.93,8062305
1630296000000,172.79,174.28,172.78,173.66,3785222
1630382400000,173.49,174.49,172.48,173.13,9027630
1630468800000,172.9,173.74,172.06,173.74,6471780
1630555200000,174.34,175.19,173.91,174.93,5163884
1630641600000,175.1,175.22,173.81,175.04,5137571
1630987200000,174.35,175.03,171.67,172.32,7616367
1631073600000,171.62,172.98,171.08,171.9,5189069
1631160000000,171.19,171.48,167.7,168.07,8077117
1631246400000,168.55,169.09,166.87,166.97,8465751
1631505600000,167.92,168.12,165.13,165.8,7091366
1631592000000,166.4,166.54,164.51,164.8,5962905
1631678400000,165.0,165.96,164.31,165.42,9142564
1631764800000,165.65,166.46,164.19,165.22,6586682
1631851200000,164.3,164.91,163.555,164.75,17768579
1632110400000,163.48,165.17,162.165,163.81,8725977
1632196800000,164.61,165.98,164.24,164.53,7358623
1632283200000,165.35,165.95,163.63,163.93,6709460
1632369600000,164.4,165.77,164.15,164.86,5469238
1632456000000,164.75,165.65,163.89,164.36,5118771
1632715200000,164.0,164.36,162.85,163.17,7227109
1632801600000,163.1,163.91,161.771,162.81,8788361
1632888000000,163.0,164.66,162.78,164.02,5930115
1632974400000,164.64,165.4,161.41,161.5,8578015
1633060800000,161.53,161.9,158.62,160.47,9981748
1633320000000,159.99,161.0,157.6737,159.22,10694678
1633406400000,159.86,161.11,159.15,159.58,6097663
1633492800000,159.87,159.95,157.84,159.91,8681563
1633579200000,160.02,162.61,160.02,161.34,6011437
1633665600000,161.32,161.61,160.25,160.93,5213957
1633924800000,160.86,161.855,159.94,160.25,4776324
1634011200000,160.0,160.18,157.34,157.69,9044098
1634097600000,157.82,160.08,157.75,159.2,8129839
1634184000000,159.71,161.14,159.6,160.11,5282581
1634270400000,161.03,161.81,160.41,161.3,7893684
1634529600000,160.25,160.89,159.2,160.12,8558922
1634616000000,160.9,165.15,160.725,163.87,10906445
1634702400000,163.98,164.75,163.26,163.78,6958786
1634788800000,164.3,164.39,162.28,163.4,5232223
1634875200000,163.06,164.06,162.96,163.72,4946048
1635134400000,163.72,164.11,163.72,164.08,1257077
1635220800000,164.56,166.03,164.05,165.75,8289630
1635307200000,165.68,165.76,163.305,163.74,8497587
1635393600000,163.77,165.2,162.32,162.85,7095420
1635480000000,162.35,163.25,160.61,162.88,10351824
1635739200000,163.16,163.98,159.4,163.02,6974572
