ts,open,high,low,close,volume
1723472700000,206.01,206.3,205.7925,206.1,62011
1723473000000,206.07,206.59,206.07,206.57,62405
1723473300000,206.585,206.67,206.45,206.5829,54109
1723473600000,206.605,206.73,206.36,206.57,56828
1723473900000,206.49,206.79,206.445,206.73,46348
1723474200000,206.69,206.745,206.365,206.55,49645
1723474500000,206.55,207.01,206.54,206.87,55806
1723474800000,206.895,207.0,206.765,206.81,52048
1723475100000,206.78,206.95,206.63,206.78,46282
1723475400000,206.83,207.03,206.37,206.37,41495
1723475700000,206.37,206.58,206.31,206.465,43970
1723476000000,206.45,206.54,205.74,205.755,46915
1723476300000,205.79,206.08,205.66,205.99,52549
1723476600000,205.97,205.99,205.69,205.845,50978
1723476900000,205.7966,205.95,205.63,205.65,64116
1723477200000,205.7,205.95,205.5733,205.94,53111
1723477500000,205.95,205.98,205.78,205.96,31343
1723477800000,205.955,206.455,205.9175,206.45,39259
1723478100000,206.45,206.6,206.31,206.55,51872
1723478400000,206.6,206.76,206.38,206.3838,41637
1723478700000,206.46,206.485,206.08,206.27,32849
1723479000000,206.28,206.38,206.07,206.26,30157
1723479300000,206.26,206.3,206.0601,206.105,27013
1723479600000,206.12,206.2953,206.04,206.19,28160
1723479900000,206.19,206.22,206.05,206.19,33954
1723480200000,206.17,206.25,206.01,206.03,58282
1723480500000,206.02,206.17,205.83,206.17,42732
1723480800000,206.17,206.29,206.07,206.235,75964
1723481100000,206.32,206.46,206.29,206.305,20145
1723481400000,206.28,206.435,206.22,206.355,25104
1723481700000,206.33,206.33,205.82,205.875,29844
1723482000000,205.84,205.8699,205.5901,205.7834,47092
1723482300000,205.765,205.944,205.725,205.8902,31354
1723482600000,205.9,206.08,205.87,206.05,28211
1723482900000,206.15,206.27,206.1243,206.2583,27122
1723483200000,206.24,206.42,206.15,206.17,24956
1723483500000,206.15,206.15,205.81,206.07,32505
1723483800000,206.055,206.25,206.055,206.25,44935
1723484100000,206.24,206.28,206.015,206.16,34000
1723484400000,206.185,206.21,205.83,205.8595,32769
1723484700000,205.83,205.96,205.76,205.78,36543
1723485000000,205.73,205.7899,205.54,205.62,51322
1723485300000,205.6,205.72,205.595,205.695,43123
1723485600000,205.67,205.9342,205.61,205.87,34814
1723485900000,205.8699,205.8699,205.75,205.84,31821
1723486200000,205.87,206.0599,205.86,206.0599,35876
1723486500000,206.0599,206.0599,205.92,205.92,29461
1723486800000,205.925,206.125,205.77,205.77,31400
1723487100000,205.77,205.96,205.75,205.92,42703
1723487400000,205.92,206.0,205.8782,205.91,35749
1723487700000,205.935,206.03,205.87,206.0148,29816
1723488000000,206.01,206.12,205.87,206.12,31262
1723488300000,206.14,206.17,206.0722,206.1,50051
1723488600000,206.1,206.25,206.1,206.16,39852
1723488900000,206.1614,206.25,206.08,206.11,31751
1723489200000,206.1299,206.1299,205.84,205.92,53513
1723489500000,205.92,205.92,205.775,205.82,39345
1723489800000,205.84,205.99,205.805,205.92,42353
1723490100000,205.915,206.03,205.84,206.01,38119
1723490400000,205.965,206.03,205.85,205.93,42334
1723490700000,205.9442,206.06,205.92,206.01,56403
1723491000000,206.03,206.25,206.03,206.19,136537
1723491300000,206.19,206.24,206.1,206.15,63534
1723491600000,206.15,206.185,205.7201,205.73,99919
1723491900000,205.71,206.0,205.57,206.0,78099
1723492200000,205.89,206.28,205.72,205.98,128927
1723492500000,205.95,206.28,205.72,206.27,240538
1723492800000,206.19,206.2,206.19,206.19,1741924
1723493100000,205.8,206.19,205.8,206.19,1897
1723494300000,205.9,205.9,205.9,205.9,150
1723494900000,206.19,206.19,206.19,206.19,25488
1723497300000,206.19,206.19,206.19,206.19,11853
1723497900000,205.95,205.95,205.95,205.95,100
1723498500000,205.95,205.95,205.95,205.95,300
1723505400000,206.1,206.1,206.1,206.1,4802
1723506000000,206.1,206.1,206.1,206.1,200
1723506300000,206.1,206.1,206.1,206.1,601
1723506600000,206.1,206.1,206.1,206.1,512
1723552500000,206.19,206.88,206.19,206.88,1138
1723552800000,206.95,206.95,206.21,206.21,306
1723553400000,207.0,207.0,207.0,207.0,320
1723554600000,206.85,207.01,206.85,207.01,1166
1723554900000,207.36,207.36,207.36,207.36,543
1723555200000,207.3,207.3,207.2,207.2,580
1723555500000,207.75,208.0,207.75,208.0,1165
1723555800000,207.73,207.75,205.965,206.7,237851
1723556100000,206.72,206.81,206.03,206.55,108495
1723556400000,206.61,207.29,206.57,207.11,79204
1723556700000,207.15,207.3238,206.46,206.56,87088
1723557000000,206.59,206.83,206.35,206.4,74944
1723557300000,206.46,206.52,205.96,206.355,80265
1723557600000,206.36,206.44,205.7049,205.8465,95429
1723557900000,205.78,206.165,205.56,205.83,90323
1723558200000,205.835,205.945,205.44,205.62,114794
1723558500000,205.61,205.8,205.4,205.79,91300
1723558800000,205.8,206.028,205.66,205.98,66235
1723559100000,206.0,206.14,205.9,206.04,65385
1723559400000,206.02,206.07,205.64,205.8,57252
1723559700000,205.77,206.0,205.725,205.95,70201
1723560000000,205.9775,206.3388,205.94,206.32,55922
1723560300000,206.315,206.49,206.25,206.41,75770
1723560600000,206.44,206.59,206.21,206.55,72000
1723560900000,206.565,206.7,206.28,206.28,66555
1723561200000,206.31,206.4397,206.09,206.21,65113
1723561500000,206.225,206.26,206.02,206.09,43956
1723561800000,206.09,206.26,205.81,206.1,49978
1723562100000,206.09,206.3,206.07,206.23,46139
1723562400000,206.21,206.245,205.96,206.11,44420
1723562700000,206.11,206.27,206.09,206.11,41454
1723563000000,206.11,206.11,205.88,206.02,37860
1723563300000,206.01,206.06,205.8,205.8,69952
1723563600000,205.84,206.01,205.815,206.01,46669
1723563900000,206.01,206.255,205.98,206.255,26573
1723564200000,206.265,206.54,206.22,206.4468,38713
1723564500000,206.48,206.555,206.34,206.42,56271
1723564800000,206.43,206.53,206.22,206.505,45061
1723565100000,206.49,206.67,206.47,206.64,45435
1723565400000,206.64,206.7399,206.4601,206.59,39994
1723565700000,206.59,206.98,206.57,206.88,42403
1723566000000,206.91,207.15,206.8,206.815,39643
1723566300000,206.82,206.85,206.56,206.62,40994
1723566600000,206.59,206.63,206.4,206.6099,41008
1723566900000,206.56,206.78,206.56,206.7575,29786
1723567200000,206.76,206.96,206.7328,206.87,45516
1723567500000,206.87,207.125,206.79,207.01,40688
1723567800000,207.02,207.235,207.02,207.14,36795
1723568100000,207.16,207.19,207.0,207.06,39686
1723568400000,207.04,207.04,206.72,206.735,37391
1723568700000,206.72,206.96,206.72,206.81,29673
1723569000000,206.79,206.8583,206.75,206.845,25622
1723569300000,206.87,206.96,206.82,206.93,38828
1723569600000,206.92,206.98,206.845,206.95,30604
1723569900000,206.94,207.01,206.9,206.97,37764
1723570200000,206.98,207.06,206.88,206.94,29119
1723570500000,206.93,206.96,206.81,206.87,38100
1723570800000,206.89,206.93,206.8,206.81,35294
