ts,open,high,low,close,volume
1313380800000,3.305345,3.379155,3.03301,3.053372,112910000
1313985600000,3.124637,3.197599,3.030465,3.164512,103328000
1314590400000,3.210325,3.305345,3.050827,3.072885,117475000
1315195200000,2.972774,3.215415,2.962593,3.15433,119935000
1315800000000,3.100883,3.458905,3.08646,3.372369,175281000
1316404800000,3.276499,3.325706,3.069491,3.130575,175689000
1317009600000,3.189115,3.403759,3.087308,3.222203,138705000
1317614400000,3.201841,3.508112,3.059311,3.463146,158335000
1318219200000,3.505565,3.754993,3.479265,3.716815,131305000
1318824000000,3.703242,3.712575,3.223899,3.44533,167137000
1319428800000,3.47672,3.765174,3.456358,3.760083,160196000
1320033600000,3.705787,3.753297,3.52423,3.718513,100668000
1320642000000,3.704939,3.821169,3.536108,3.807594,108649000
1321246800000,3.813533,3.858498,3.431756,3.434301,138791000
1321851600000,3.393579,3.401214,3.104276,3.118699,78831000
1322456400000,3.195055,3.625191,3.167058,3.583619,150278000
1323061200000,3.625189,3.704939,3.490295,3.616706,98623000
1323666000000,3.565802,3.610767,3.0118,3.047433,361384000
1324270800000,3.04913,3.148392,2.953261,3.133121,254969000
1324875600000,3.116153,3.212021,3.088156,3.140756,74684000
1325480400000,3.200145,3.218809,3.066947,3.210325,124955000
1326085200000,3.220505,3.393578,3.213718,3.266319,213150000
1326690000000,3.347764,3.653187,3.309587,3.58277,237068000
1327294800000,3.599738,3.77281,3.528472,3.65658,285850000
1327899600000,3.626886,3.821168,3.575134,3.749055,210923000
1328504400000,3.722755,3.729542,3.570893,3.591254,129979000
1329109200000,3.615857,3.675244,3.525078,3.561559,112555000
1329714000000,3.495386,3.50387,3.38764,3.441089,110462000
1330318800000,3.423272,3.579377,3.385094,3.481812,194658000
1330923600000,3.475024,3.563257,3.2765,3.559015,213186000
1331524800000,3.550532,3.700697,3.509809,3.671852,150687000
1332129600000,3.667611,3.775357,3.650643,3.717666,147950000
1332734400000,3.742268,3.842378,3.690516,3.785536,154475000
1333339200000,3.765176,3.779598,3.584467,3.603981,108486000
1333944000000,3.562408,3.696454,3.49793,3.578527,139777000
1334548800000,3.609919,3.659974,3.41903,3.426666,131136000
1335153600000,3.389335,3.575982,3.350309,3.569195,128334000
1335758400000,3.559015,3.5938,3.393578,3.41394,103048000
1336363200000,3.393579,3.580225,3.274803,3.514051,165851000
1336968000000,3.469085,3.529321,3.176389,3.187418,243188000
1337572800000,3.206083,3.28159,3.16027,3.25529,160424000
1338177600000,3.275652,3.308739,3.061008,3.06525,157774000
1338782400000,3.065249,3.287528,3.040646,3.19166,482437000
1339387200000,3.210325,3.251896,3.069491,3.203538,186118000
1339992000000,3.199296,3.30789,3.180631,3.219657,174019000
1340596800000,3.168753,3.21287,3.01689,3.20184,164990000
1341201600000,3.222202,3.223051,2.979561,3.010952,138506000
1341806400000,2.98041,3.021133,2.842122,2.904055,235864000
1342411200000,2.885389,3.004165,2.854847,2.952413,146798000
1343016000000,2.893874,2.960897,2.820063,2.896419,206974000
1343620800000,2.91678,2.9592,2.84297,2.9329,158126000
1344225600000,2.938838,3.053371,2.932899,3.015193,109869000
1344830400000,3.010953,3.016891,2.936294,2.987197,105127000
1345435200000,2.989742,3.035556,2.909145,2.937142,117652000
1346040000000,2.936293,2.938838,2.832789,2.89557,120383000
1346644800000,2.892177,2.968533,2.814125,2.945626,132207000
1347249600000,2.939687,2.976168,2.824305,2.914235,181426000
1347854400000,2.918477,2.920173,2.708923,2.792066,229762000
1348459200000,2.762373,2.794612,2.644446,2.696198,189666000
1349064000000,2.697046,2.783582,2.65802,2.736921,192064000
