ts,open,high,low,close,volume
1723473000000,514.27,515.8607,514.14,515.04,276537
1723473900000,515.19,516.29,514.38,515.355,240390
1723474800000,515.5,516.0,514.87,514.87,195573
1723475700000,514.9122,515.12,509.1,512.1899,718673
1723476600000,512.148,514.7,510.85,513.62,371865
1723477500000,513.7,516.23,513.18,515.93,344118
1723478400000,515.95,516.42,514.8101,516.29,228128
1723479300000,516.18,516.2899,514.61,515.1101,175673
1723480200000,515.24,516.56,514.8,515.8245,165122
1723481100000,515.85,516.18,514.3,514.5,198154
1723482000000,514.49,515.57,513.8667,515.44,224322
1723482900000,515.47,516.41,514.8,515.0835,150529
1723483800000,515.21,515.53,514.6,514.97,141423
1723484700000,514.9,515.2899,513.57,514.01,239601
1723485600000,514.01,514.9,513.81,514.69,179896
1723486500000,514.68,515.2464,514.45,515.05,203993
1723487400000,515.0104,515.3404,514.54,515.01,152422
1723488300000,515.24,516.0199,515.01,515.9179,137850
1723489200000,515.8186,516.06,514.9,515.012,183442
1723490100000,515.06,515.445,514.34,514.41,221375
1723491000000,514.48,515.22,514.47,515.0,272082
1723491900000,515.0,516.29,514.343,515.97,707137
1723492800000,515.95,516.44,515.87,516.44,1244055
1723493700000,516.33,516.44,516.26,516.26,821
1723494600000,516.08,516.1,515.95,515.95,189515
1723495500000,516.06,516.1,516.05,516.05,2073
1723496400000,516.1,516.1,516.06,516.06,676
1723497300000,516.15,516.15,516.05,516.05,376
1723498200000,516.0501,516.0501,516.0501,516.0501,353
1723499100000,516.05,516.05,515.88,516.0,7827
1723500000000,516.0,516.24,515.88,516.22,4156
1723500900000,516.2785,516.4,516.01,516.01,991
1723501800000,516.47,516.55,516.05,516.3995,2177
1723502700000,516.15,516.6435,516.15,516.32,1144
1723504500000,516.5,516.5,516.15,516.15,898
1723505400000,516.06,516.06,515.61,515.61,377
1723506300000,515.31,515.97,515.3,515.97,1725
1723536000000,518.82,519.16,517.5,519.16,4317
1723536900000,519.3,519.3,519.18,519.27,1459
1723537800000,519.21,519.21,519.05,519.13,1384
1723538700000,519.09,519.09,519.0,519.01,1427
1723539600000,518.82,518.82,518.6,518.6,1244
1723544100000,518.0,518.0,517.5,517.5,1052
1723545000000,516.39,516.46,516.35,516.35,793
1723545900000,516.32,516.4,515.95,515.95,1332
1723546800000,516.0,517.28,516.0,517.2,5408
1723547700000,516.98,517.2,516.98,517.05,544
1723548600000,517.4,517.4,516.18,516.75,5013
1723549500000,517.0,517.2,516.97,516.97,885
1723550400000,517.19,518.58,516.1501,517.9,14118
1723551300000,517.45,517.94,517.0,517.08,8414
1723552200000,517.56,520.36,517.0144,520.06,74663
1723553100000,519.8,520.24,518.67,520.0,19097
1723554000000,520.24,520.88,519.66,519.66,18745
1723554900000,519.5,521.0,518.45,519.61,38446
1723555800000,519.45,526.64,518.15,525.356,1663682
1723556700000,525.4447,525.6954,521.45,522.23,684810
1723557600000,522.32,524.18,521.28,522.17,423901
1723558500000,522.17,523.8,521.26,523.2072,292963
1723559400000,523.23,523.6163,521.11,522.415,250193
1723560300000,522.395,524.3099,522.27,523.6001,405651
1723561200000,523.685,525.42,523.0564,525.07,424563
1723562100000,525.0001,526.0,524.501,525.0,469297
1723563000000,525.0,525.4,524.71,525.225,282735
1723563900000,525.3,526.2499,524.82,525.785,285739
1723564800000,525.7875,526.35,525.44,526.07,244845
1723565700000,526.15,526.71,525.25,526.28,362387
1723566600000,526.28,527.3928,525.81,527.355,289937
1723567500000,527.39,529.98,527.27,529.9399,665025
1723568400000,529.92,531.4999,529.25,530.7164,881607
1723569300000,530.7,531.3,529.05,529.1534,345494
1723570200000,529.22,529.61,528.32,529.27,560176
1723571100000,529.37,529.4336,526.51,526.82,378617
1723572000000,526.77,528.37,526.2,528.16,336707
1723572900000,528.11,528.22,526.6282,527.0,242513
1723573800000,526.96,527.5099,526.35,526.82,189285
1723574700000,526.73,527.764,526.56,527.14,264527
1723575600000,527.14,527.45,526.32,527.26,305031
1723576500000,527.155,527.96,526.93,527.28,228870
1723577400000,527.29,528.0,527.05,527.6325,313336
1723578300000,527.58,529.15,527.145,528.56,1106199
1723579200000,528.54,528.54,527.5,528.07,1371253
1723580100000,528.01,528.37,527.8,528.1,5693
1723581000000,527.51,528.05,527.4,527.4,3115
1723581900000,527.29,528.54,527.29,527.5,189269
