ts,open,high,low,close,volume
1723474800000,407.1,408.34,404.35,408.32,1963542
1723478400000,408.32,408.76,405.85,405.86,1129964
1723482000000,405.8,407.85,405.3,406.01,885634
1723485600000,406.0282,406.51,405.52,406.33,809340
1723489200000,406.29,407.02,405.13,406.92,1862509
1723492800000,406.95,406.96,405.97,406.2,3345886
1723496400000,406.31,406.75,406.2243,406.75,4485
1723500000000,406.79,406.9,406.0,406.0,15776
1723503600000,406.0,406.57,406.0,406.29,5365
1723536000000,408.5,409.4,407.49,409.25,18091
1723539600000,409.17,409.5,409.01,409.5,3621
1723543200000,409.0,409.13,406.81,407.5,14911
1723546800000,407.31,408.2,407.3,408.03,13651
1723550400000,407.6,410.241,406.51,410.11,87039
1723554000000,410.08,412.88,409.02,411.52,1829458
1723557600000,411.56,412.295,409.93,412.12,1683059
1723561200000,412.11,413.77,412.06,413.22,1499696
1723564800000,413.22,414.95,412.88,414.8,1142025
1723568400000,414.79,414.87,412.85,414.0,1045780
1723572000000,414.0,414.63,413.73,414.6,799854
1723575600000,414.65,414.84,412.51,413.96,3176368
1723579200000,414.02,414.4,413.0,414.01,6055210
1723582800000,414.37,414.6299,414.0001,414.4936,21307
1723586400000,414.5,414.7,414.0,414.04,7636
1723590000000,414.04,414.8,414.04,414.8,6270
1723622400000,415.07,415.7,414.35,415.13,18240
1723626000000,415.28,415.28,414.79,414.79,4957
1723629600000,414.72,415.49,414.72,415.49,4092
1723633200000,415.32,415.4,414.8,415.13,15606
1723636800000,415.0097,416.3,412.41,414.51,87545
1723640400000,414.6,416.637,413.86,415.38,1963259
1723644000000,415.395,415.56,412.4456,414.865,3203008
1723647600000,414.915,417.56,414.77,417.445,1434993
1723651200000,417.33,417.3699,415.11,416.45,1022404
1723654800000,416.41,417.0383,415.58,416.455,859863
1723658400000,416.44,416.58,415.7,416.54,696032
1723662000000,416.545,417.72,415.12,416.62,2460810
1723665600000,416.86,418.28,416.72,418.05,5001797
1723669200000,418.224,418.28,417.77,417.77,8470
1723672800000,418.23,418.23,417.25,417.54,3386
1723676400000,417.55,417.8,417.0,417.25,11107
1723708800000,418.1,418.1,417.05,417.44,5881
1723712400000,417.5,417.8,417.5,417.8,4255
1723716000000,417.8,417.92,417.13,417.13,4193
1723719600000,417.1,418.19,417.01,418.08,8541
1723723200000,417.3,420.5,417.11,419.74,102216
1723726800000,419.7,420.78,417.66,420.63,1872275
1723730400000,420.58,420.936,418.2,418.4675,2023531
1723734000000,418.48,420.0699,417.95,419.735,2298107
1723737600000,419.715,420.55,418.82,418.93,2049126
1723741200000,418.92,419.86,418.54,419.849,942543
1723744800000,419.85,420.26,419.47,419.94,1041687
1723748400000,419.92,421.11,419.11,421.1,2602106
1723752000000,421.05,421.24,420.26,420.45,6271851
1723755600000,420.5,420.5691,420.0,420.4,20360
