ts,open,high,low,close,volume
1313380800000,12.403,12.781,10.547,10.592,11571000
1313985600000,10.888,12.297,10.623,11.476,8026000
1314590400000,11.627,12.549,11.025,11.101,7316000
1315195200000,10.657,11.541,10.113,10.423,7726000
1315800000000,10.252,12.2,10.086,12.16,10143000
1316404800000,11.9,12.192,10.698,11.541,8033000
1317009600000,11.598,12.487,11.175,11.407,6218000
1317614400000,11.416,11.926,10.431,11.599,7939000
1318219200000,11.811,13.9,11.405,13.578,7349000
1318824000000,13.415,13.737,12.683,13.304,7009000
1319428800000,13.334,14.398,13.007,14.336,7505000
1320033600000,14.121,14.242,10.61,11.637,16523000
1320642000000,11.564,13.033,11.323,12.981,13201000
1321246800000,12.926,13.469,12.419,12.446,8443000
1321851600000,12.201,12.5,10.968,10.972,4389000
1322456400000,11.239,12.492,11.181,12.132,7618000
1323061200000,12.385,13.095,11.749,12.147,7992000
1323666000000,11.927,12.25,10.555,10.868,7690000
1324270800000,10.93,10.991,10.113,10.735,8529000
1324875600000,10.706,11.15,10.399,10.832,4112000
1325480400000,11.118,11.452,10.417,10.737,5988000
1326085200000,10.799,10.832,10.272,10.624,6302000
1326690000000,10.674,11.54,10.329,11.521,6347000
1327294800000,11.533,11.6,10.973,11.465,5716000
1327899600000,11.001,12.792,10.9,12.645,17293000
1328504400000,12.591,12.693,12.195,12.272,9639000
1329109200000,12.405,13.0,12.209,12.61,8496000
1329714000000,12.79,14.034,12.79,13.782,11948000
1330318800000,13.675,14.275,13.465,13.547,13407000
1330923600000,13.517,13.55,12.796,13.125,8170000
1331524800000,13.117,13.727,12.988,13.075,7385000
1332129600000,13.074,14.245,13.063,13.893,8736000
1332734400000,14.103,14.277,13.683,14.0,9192000
1333339200000,13.968,14.799,13.927,14.526,8476000
1333944000000,14.243,14.758,14.069,14.71,8956000
1334548800000,14.743,15.081,14.286,14.52,11377000
1335153600000,14.311,14.326,13.701,14.111,9540000
1335758400000,14.134,16.0,13.638,15.232,12893000
1336363200000,15.151,15.332,14.095,14.284,7620000
1336968000000,14.121,14.358,12.737,12.905,8631000
1337572800000,12.911,13.368,12.542,12.676,6748000
1338177600000,12.758,12.789,11.87,11.89,4776000
1338782400000,11.941,12.633,11.779,12.216,8441000
1339387200000,12.358,12.545,11.747,12.433,7347000
1339992000000,12.308,13.1,12.249,12.914,5618000
1340596800000,12.707,13.25,12.456,12.986,5083000
1341201600000,12.942,13.586,11.738,11.957,6852000
1341806400000,11.949,12.165,11.14,11.656,8505000
1342411200000,11.685,12.198,11.274,11.533,5672000
1343016000000,11.306,11.916,11.138,11.708,6528000
1343620800000,11.67,12.339,10.86,12.233,10373000
1344225600000,12.483,12.909,12.327,12.764,6189000
1344830400000,12.726,12.91,12.364,12.681,6250000
1345435200000,12.688,12.993,12.288,12.458,5692000
1346040000000,12.497,12.773,12.438,12.551,4358000
1346644800000,12.608,13.025,12.485,12.989,5877000
1347249600000,12.979,13.44,12.737,13.305,3983000
1347854400000,13.287,13.716,13.228,13.492,5452000
1348459200000,13.431,13.583,12.972,13.407,5481000
1349064000000,13.458,13.619,12.38,12.44,9445000
1349668800000,12.395,12.458,11.712,11.826,6796000
1350273600000,11.828,12.149,11.658,11.814,6375000
1350878400000,11.822,12.026,10.728,10.981,13315000
1351483200000,9.474,9.813,9.2,9.647,10371000
1352091600000,9.603,9.969,9.417,9.562,6974000
1352696400000,9.584,9.688,9.1,9.178,6574000
1353301200000,8.992,9.12,8.376,8.63,11302000
1353906000000,8.611,8.937,8.455,8.849,6901000
1354510800000,8.927,8.966,8.688,8.856,4220000
1355115600000,8.873,9.289,8.842,9.1,3262000
1355720400000,9.155,9.635,9.133,9.616,5724000
1356325200000,9.599,9.701,9.301,9.355,2460000
1356930000000,9.323,9.777,9.179,9.299,4650000
1357534800000,9.259,9.474,9.2,9.394,5350000
1358139600000,9.353,9.645,9.29,9.379,3430000
1358744400000,9.353,10.451,9.16,10.181,3989000
1359349200000,10.231,10.589,9.6,10.236,8086000
1359954000000,10.149,10.225,9.739,9.893,3184000
1360558800000,9.917,10.534,9.75,10.408,4255000
1361163600000,10.437,10.703,10.01,10.225,4393000
1361768400000,10.252,10.501,9.867,10.309,6686000
1362373200000,10.267,11.481,10.155,11.419,7109000
1362974400000,11.353,11.43,11.146,11.228,2987000
1363579200000,11.083,11.177,10.331,10.386,6151000
1364184000000,10.423,10.427,10.034,10.108,3376000
1364788800000,10.13,10.43,9.912,10.054,4214000
1365393600000,10.065,10.5,9.991,10.288,3607000
1365998400000,10.237,10.261,9.509,9.576,3999000
1366603200000,9.564,9.98,9.338,9.771,5001000
1367208000000,9.778,9.988,8.635,9.114,11488000
1367812800000,9.101,9.494,8.976,9.47,5847000
1368417600000,9.478,9.61,9.198,9.595,6436000
1369022400000,9.413,9.543,8.921,9.241,6699000
1369627200000,9.328,9.439,9.0,9.148,3718000
1370232000000,9.177,9.199,8.911,8.971,6115000
1370836800000,8.989,9.122,8.699,9.094,3889000
1371441600000,9.146,9.146,8.388,8.427,6842000
1372046400000,8.376,8.741,8.272,8.696,4966000
1372651200000,8.75,9.014,8.712,8.974,2583000
1373256000000,9.022,9.888,8.911,9.771,4395000
1373860800000,9.775,9.862,9.494,9.677,3142000
1374465600000,9.634,9.942,9.551,9.737,2408000
1375070400000,9.697,9.941,9.299,9.51,3489000
1375675200000,9.85,9.987,9.484,9.935,3475000
1376280000000,9.862,10.131,9.589,9.631,1784000
1376884800000,9.574,9.959,9.368,9.51,3269000
1377489600000,9.588,9.588,9.146,9.181,2286000
1378094400000,9.264,9.389,9.016,9.34,1602000
1378699200000,9.369,10.672,9.296,10.617,2844000
1379304000000,10.677,10.888,10.336,10.855,3731000
1379908800000,10.85,10.85,10.34,10.383,3011000
1380513600000,10.313,10.805,10.157,10.556,2781000
1381118400000,10.432,10.548,9.834,10.259,3439000
1381723200000,10.181,10.299,9.522,10.018,8518000
1382328000000,10.015,10.274,9.847,10.024,3051000
1382932800000,9.998,12.84,9.93,12.228,13936000
1383541200000,12.321,12.972,12.0,12.423,5688000
1384146000000,12.364,12.915,12.255,12.698,4188000
1384750800000,12.71,12.978,12.378,12.663,3325000
1385355600000,12.666,13.0,12.262,12.933,3314000
1385960400000,12.881,13.0,12.301,12.658,6167000
1386565200000,12.677,12.788,12.052,12.419,4279000
1387170000000,12.503,12.537,12.146,12.232,4369000
1387774800000,12.232,12.615,12.08,12.471,3244000
1388379600000,12.445,12.535,12.236,12.326,3331000
1388984400000,12.35,12.417,12.055,12.307,3293000
1389589200000,12.263,12.726,12.063,12.293,2470000
1390194000000,12.274,12.468,11.688,11.912,2082000
1390798800000,11.891,13.4,11.389,12.57,8758000
1391403600000,12.554,12.856,12.071,12.402,4273000
1392008400000,12.372,13.192,12.215,13.017,5700000
1392613200000,13.039,13.485,12.92,13.211,2483000
1393218000000,13.133,13.583,12.722,12.913,2524000
1393822800000,12.834,13.294,12.694,13.136,4121000
1394424000000,12.986,13.1,12.3,12.569,2580000
1395028800000,12.859,12.946,12.345,12.435,3010000
1395633600000,12.424,12.46,11.266,11.35,3346000
1396238400000,11.238,11.846,11.116,11.166,3675000
1396843200000,11.14,11.417,9.968,10.054,6151000
1397448000000,10.142,10.5,9.879,10.45,2243000
1398052800000,10.444,12.689,10.141,12.08,9325000
1398657600000,11.974,12.355,11.409,11.902,8977000
1399262400000,11.845,12.2,11.523,12.142,4794000
1399867200000,12.187,13.163,12.105,13.163,8148000
1400472000000,13.171,14.353,13.167,14.262,6072000
1401076800000,14.377,14.613,13.858,14.112,3237000
1401681600000,14.113,14.415,13.76,14.304,4358000
1402286400000,14.014,14.478,13.924,14.328,3829000
1402891200000,14.384,14.499,14.1,14.46,4567000
1403496000000,14.42,14.485,13.775,14.075,4191000
1404100800000,14.053,14.449,13.911,14.36,3364000
1404705600000,14.348,14.348,13.565,14.055,3183000
1405310400000,14.189,14.452,13.836,13.955,2316000
1405915200000,13.876,14.169,13.617,13.865,2570000
1406520000000,13.892,15.586,13.693,14.021,8227000
1407124800000,14.036,14.661,13.883,14.286,2025000
1407729600000,14.144,14.148,13.302,13.486,4097000
1408334400000,13.6,13.995,13.525,13.674,2667000
1408939200000,13.762,14.005,13.526,13.893,2130000
1409544000000,13.968,14.251,13.594,13.821,2203000
1410148800000,13.769,14.345,13.769,13.926,2264000
1410753600000,13.82,14.067,13.511,13.729,2431000
1411358400000,13.674,13.674,12.948,13.122,1998000
1411963200000,13.025,13.779,12.746,13.679,2818000
1412568000000,13.679,14.822,13.353,14.756,4344000
1413172800000,14.647,14.976,14.269,14.53,4241000
1413777600000,14.502,15.853,14.415,15.75,4121000
1414382400000,15.649,16.573,14.904,16.087999,8044000
1414990800000,16.056999,16.26,15.51,15.744,4349000
1415595600000,15.751,16.896,15.64,16.674999,5403000
1416200400000,16.620001,17.080999,16.346001,16.577999,5869000
1416805200000,16.700001,17.695999,16.700001,17.174,4444000
1417410000000,17.094,17.444,16.700001,16.976,4363000
1418014800000,16.917999,17.107,15.727,15.824,4087000
1418619600000,15.943,17.040001,15.282,16.406,5359000
1419224400000,16.422001,16.864,16.195999,16.378,1924000
1419829200000,16.333,16.479,15.865,16.312,2216000
1420434000000,16.174999,16.42,15.508,15.962,2620000
1421038800000,16.002001,16.247999,15.001,15.789,2254000
1421643600000,15.835,16.719,15.537,16.521,3668000
1422248400000,16.465,16.841,15.25,16.16,6584000
1422853200000,16.341999,17.736,15.979,17.516001,6749000
1423458000000,17.497999,18.224001,17.254,18.124001,4752000
1424062800000,18.202999,18.261999,17.68,17.955,1630000
1424667600000,17.843,18.173,17.476999,17.834,2574000
1425272400000,17.860001,18.218,15.975,16.172001,6940000
1425873600000,16.200001,16.551001,15.91,16.426001,4702000
1426478400000,16.486,17.648001,16.325001,17.476,6632000
1427083200000,17.487,17.754,16.271999,17.013,3482000
1427688000000,17.167999,17.167999,16.591,16.952,3254000
1428292800000,16.891001,17.690001,16.882999,17.599001,2846000
