ts,open,high,low,close,volume
1536552000000,6.0,13.8,5.35,9.9,397669100
1537156800000,9.61,9.75,7.54,8.59,201851500
1537761600000,8.32,8.39,6.68,6.98,84924700
1538366400000,7.06,7.08,5.87,6.26,69395200
1538971200000,6.07,8.35,5.95,7.46,162219700
1539576000000,7.86,8.3,7.22,7.32,75219700
1540180800000,7.68,7.69,6.13,6.35,61097800
1540785600000,6.53,6.84,5.62,6.49,95384600
1541394000000,6.52,7.32,6.15,6.77,120106800
1541998800000,6.72,7.65,6.56,7.19,90544800
1542603600000,7.38,8.21,7.15,7.46,98208300
1543208400000,7.61,8.15,7.16,7.71,67549000
1543813200000,8.1,8.13,6.72,6.99,70314400
1544418000000,7.03,7.9,6.74,7.7,59838700
1545022800000,7.63,7.64,6.06,6.07,63796600
1545627600000,6.0,6.56,5.84,6.47,35276500
1546232400000,6.56,6.57,6.0,6.36,34459500
1546837200000,6.41,6.73,6.17,6.59,48926100
1547442000000,6.51,7.15,6.37,6.71,56778100
1548046800000,6.63,6.79,6.47,6.65,24709200
1548651600000,6.56,8.11,6.48,7.9,90108800
1549256400000,7.96,8.59,7.28,7.67,95927400
1549861200000,7.67,7.78,7.14,7.41,64231100
1550466000000,7.4,8.22,7.21,8.17,66130900
1551070800000,9.04,10.64,8.6,10.06,270596500
1551675600000,10.32,10.63,6.85,7.06,255467000
1552276800000,6.95,6.98,5.71,5.71,290648100
1552881600000,5.69,6.03,5.44,5.62,216394400
1553486400000,5.62,5.66,4.9,5.1,198830300
1554091200000,5.29,5.61,5.14,5.36,173206800
1554696000000,5.33,5.38,4.95,4.99,109102500
1555300800000,4.99,5.0,4.43,4.79,135596500
1555905600000,4.74,5.15,4.62,4.92,81889100
1556510400000,4.89,5.11,4.57,5.02,82271600
1557115200000,4.72,4.92,4.51,4.56,81053200
1557720000000,4.5,4.85,4.3,4.42,100372900
1558324800000,4.38,4.45,3.81,3.86,136383200
1558929600000,4.12,4.14,3.0,3.05,251490300
1559534400000,2.98,3.11,2.54,2.76,206388300
1560139200000,2.75,2.82,2.35,2.42,148187000
1560744000000,2.39,3.05,2.35,2.64,219972400
1561348800000,2.61,2.73,2.44,2.55,104972200
1561953600000,2.67,3.34,2.57,3.26,166037100
1562558400000,3.21,4.0,3.13,3.45,309458700
1563163200000,3.49,3.52,3.25,3.37,103631400
1563768000000,3.38,3.75,3.31,3.51,105803300
1564372800000,3.55,3.58,3.16,3.27,105905500
1564977600000,3.14,3.26,2.85,3.13,111892100
1565582400000,3.05,3.2,2.77,2.95,92359200
1566187200000,3.0,3.27,2.89,2.92,77847700
1566792000000,2.95,3.0,2.83,2.86,65470200
1567396800000,2.82,3.0,2.58,2.98,79786300
1568001600000,3.0,3.33,2.93,3.21,71184500
1568606400000,3.15,3.21,3.0,3.04,58532400
1569211200000,2.98,2.98,1.71,1.75,312281600
1569816000000,1.72,1.73,1.19,1.62,329802300
1570420800000,1.58,1.8,1.45,1.56,169426300
1571025600000,1.56,1.64,1.4,1.52,118889500
1571630400000,1.52,1.77,1.49,1.51,133358200
1572235200000,1.43,1.55,1.36,1.52,116094800
1572843600000,1.65,2.46,1.58,1.98,436326800
1573448400000,1.9,2.05,1.66,1.8,165702800
1574053200000,1.88,2.05,1.73,1.94,140051800
1574658000000,1.99,2.5,1.96,2.27,201968000
1575262800000,2.35,2.58,2.2,2.26,202502700
1575867600000,2.21,2.43,2.11,2.39,136792800
1576472400000,2.44,2.73,2.39,2.69,201655200
1577077200000,2.74,2.76,2.35,2.42,142328700
1577682000000,2.92,4.87,2.88,3.83,834361800
1578286800000,4.19,4.24,3.13,3.51,368345100
1578891600000,3.71,4.71,3.52,4.67,558847600
1579496400000,4.6,5.65,4.31,4.66,556629600
1580101200000,3.99,4.38,3.67,3.78,357785100
1580706000000,3.54,4.7,3.52,3.81,427478400
1581310800000,3.67,4.2,3.62,3.77,284296900
1581915600000,3.9,4.4,3.76,4.08,248256600
1582520400000,3.79,5.19,3.76,4.13,473547300
1583125200000,4.15,4.21,3.42,3.55,287109400
1583726400000,3.01,3.54,2.98,3.11,215541800
1584331200000,2.87,3.12,2.11,2.4,256587700
1584936000000,2.34,3.07,2.15,2.84,237485000
1585540800000,2.81,2.88,2.22,2.4,145992700
1586145600000,2.48,2.82,2.4,2.67,132139200
1586750400000,2.67,3.41,2.63,3.21,163064000
1587355200000,3.18,3.35,2.91,2.94,92479300
1587960000000,3.0,3.98,2.95,3.18,237016000
1588564800000,3.08,3.8,3.08,3.77,154425800
1589169600000,3.72,3.78,3.27,3.37,107199500
1589774400000,3.5,3.82,3.18,3.27,166051300
1590379200000,3.42,4.2,3.4,3.98,243626700
1590984000000,4.0,6.2,3.96,5.59,614773000
1591588800000,5.81,6.95,5.66,6.1,509378700
1592193600000,5.97,7.63,5.92,7.34,466550900
1592798400000,7.86,7.9,6.5,6.9,376985200
1593403200000,6.98,9.4,6.71,9.38,416895200
1594008000000,11.05,15.73,10.7,14.98,1979849000
1594612800000,15.26,16.440001,10.46,11.09,1048311500
1595217600000,11.42,13.58,10.91,11.82,584356200
1595822400000,12.03,13.0,11.27,11.94,350270200
1596427200000,12.53,14.53,12.46,13.42,416236400
1597032000000,13.94,15.45,12.54,13.1,456183200
1597636800000,13.07,14.69,13.06,14.12,310532400
1598241600000,14.63,20.969999,14.31,18.5,1116500200
1598846400000,17.190001,21.049999,15.61,17.98,808985700
1599451200000,17.17,18.719999,16.51,17.969999,315666300
1600056000000,18.18,20.25,17.9,19.41,347608500
1600660800000,19.049999,19.450001,16.75,18.32,322790300
1601265600000,18.879999,22.59,18.43,21.18,561306600
1601870400000,21.66,22.450001,20.6,21.469999,308480100
1602475200000,21.879999,29.4,21.17,28.48,1042696800
1603080000000,28.209999,28.559999,26.48,27.16,410257300
1603684800000,26.610001,32.200001,25.459999,30.58,616885000
1604293200000,33.950001,43.299999,31.68,41.630001,1413970800
1604898000000,41.650002,54.200001,38.110001,44.560001,1558836100
1605502800000,41.119999,50.59,41.099998,49.25,1366351300
1606107600000,50.860001,57.200001,49.25,54.0,824176300
1606712400000,54.209999,54.389999,38.43,43.040001,1104659900
1607317200000,42.5,48.299999,41.259998,41.98,656688900
1607922000000,39.939999,48.0,39.509998,46.720001,680299500
1608526800000,45.630001,49.84,45.02,45.77,391506800
1609131600000,46.669998,50.5,42.23,48.740002,471803900
1609736400000,51.200001,59.310001,49.080002,58.919998,874924200
1610341200000,64.949997,66.989998,55.669998,56.27,811735100
1610946000000,58.209999,62.169998,55.880001,61.950001,401582300
1611550800000,64.050003,64.519997,55.150002,57.0,408091300
1612155600000,59.07,59.200001,54.369999,56.669998,317960500
1612760400000,57.080002,64.599998,56.18,59.849998,347609200
1613365200000,60.400002,62.139999,52.599998,55.040001,224807300
1613970000000,54.18,54.369999,41.66,45.779999,489693500
1614574800000,48.549999,50.419998,31.91,38.110001,840111800
1615179600000,36.970001,46.16,34.900002,45.5,758727300
1615780800000,45.549999,46.290001,40.439999,43.349998,423342100
1616385600000,44.07,44.560001,34.0,36.130001,543197500
1616990400000,35.259998,42.060001,34.5,39.66,403945600
1617595200000,40.540001,40.650002,36.950001,38.119999,352375300
1618200000000,37.959999,39.330002,34.060001,36.09,378802600
1618804800000,36.779999,41.200001,35.360001,41.080002,426993600
1619409600000,41.959999,43.220001,37.349998,39.84,415261300
1620014400000,40.34,41.450001,35.77,36.939999,341890300
1620619200000,36.779999,36.790001,30.709999,33.419998,475607500
1621224000000,33.330002,34.779999,32.59,34.060001,296309800
1621828800000,34.259998,39.759998,33.560001,38.619999,311101800
1622433600000,39.990002,42.880001,39.939999,41.939999,271358400
1623038400000,41.669998,46.259998,41.439999,45.68,260448800
1623643200000,45.950001,48.369999,43.77,46.91,313099400
1624248000000,46.549999,46.990002,43.810001,45.07,215642600
1624852800000,45.720001,55.130001,45.549999,50.400002,449918100
1625457600000,49.400002,51.740002,42.73,45.529999,311915900
1626062400000,45.970001,46.91,42.400002,42.799999,261953100
1626667200000,41.490002,47.380001,40.48,43.990002,251569600
1627272000000,42.669998,45.200001,38.66,44.68,329790700
1627876800000,44.650002,46.779999,43.450001,43.84,221315200
1628481600000,43.700001,46.380001,40.610001,41.029999,183773400
1629086400000,39.459999,39.630001,36.240002,36.919998,275732800
1629691200000,37.439999,39.740002,37.040001,38.049999,161107600
1630296000000,38.169998,41.02,36.639999,40.369999,214163300
1630900800000,40.849998,41.860001,37.549999,37.98,150178200
1631505600000,38.009998,39.400002,36.560001,37.509998,158896900
1632110400000,36.110001,36.5,34.540001,35.380001,166834100
1632715200000,35.43,37.029999,34.419998,35.380001,167842700
1633320000000,35.02,36.639999,33.169998,35.830002,190054500
1633924800000,36.09,38.290001,35.18,37.709999,163499100
1634529600000,37.490002,40.900002,37.27,38.880001,159844700
1635134400000,39.400002,42.610001,39.189999,39.41,197759200
1635739200000,38.110001,44.0,38.110001,42.290001,220191300
1636347600000,42.650002,44.27,38.830002,42.669998,210830300
1636952400000,42.599998,42.689999,37.450001,38.66,192829900
1637557200000,40.419998,43.119999,39.099998,39.990002,190017500
1638162000000,40.849998,41.419998,31.5,32.150002,322720600
1638766800000,32.349998,35.549999,29.66,34.259998,239160100
1639371600000,33.68,34.669998,28.02,30.0,255939900
1639976400000,29.450001,30.799999,27.790001,30.52,207347400
1640581200000,30.389999,33.040001,27.52,31.68,320873000
1641186000000,33.52,33.799999,28.280001,29.299999,244100700
1641790800000,29.0,31.860001,27.780001,30.950001,210844900
1642395600000,30.030001,30.91,27.219999,27.35,172697600
1643000400000,25.73,25.98,19.309999,20.9,394281500
1643605200000,21.73,25.23,21.6,23.959999,339631500
1644210000000,23.780001,26.41,23.530001,24.1,241024500
1644814800000,23.76,26.27,22.74,23.209999,207938300
1645419600000,22.360001,22.959999,18.469999,20.940001,239695700
1646024400000,21.43,23.35,18.549999,18.629999,319433300
1646629200000,18.85,20.549999,16.07,16.07,438037500
1647230400000,15.09,21.24,13.01,20.860001,644934200
1647835200000,20.75,22.6,19.33,19.91,462408100
1648440000000,20.42,23.860001,20.32,21.93,443650500
1649044800000,23.309999,23.98,19.73,20.0,386744900
1649649600000,18.049999,20.559999,17.77,19.65,246005300
1650254400000,19.51,19.889999,16.98,17.18,259607600
1650859200000,16.809999,18.190001,15.91,16.700001,280447900
1651464000000,16.530001,18.219999,14.46,14.92,307505100
1652068800000,14.33,14.68,11.67,14.31,373122700
1652673600000,14.81,17.6,14.28,16.440001,395668500
1653278400000,15.8,16.690001,14.09,16.57,274577900
1653883200000,17.77,18.93,16.76,18.08,324522700
1654488000000,18.99,20.450001,17.809999,18.139999,318235400
1655092800000,17.32,20.889999,15.84,20.77,446849900
1655697600000,21.84,24.17,21.58,24.08,316150200
1656302400000,24.129999,24.43,20.6,21.360001,319441700
1656907200000,21.040001,23.280001,20.26,22.6,230538300
1657512000000,21.6,21.799999,19.93,20.719999,235735100
1658116800000,20.959999,21.82,19.0,19.24,239424200
1658721600000,18.98,19.84,18.59,19.73,158903000
1659326400000,20.190001,21.469999,19.43,20.219999,221481500
1659931200000,20.25,21.969999,19.01,21.110001,194335500
1660536000000,20.51,21.549999,18.92,19.049999,140809300
1661140800000,18.879999,21.26,17.73,19.92,194790400
1661745600000,19.66,20.67,17.709999,17.73,194250000
1662350400000,17.6,19.59,16.540001,19.16,176532800
1662955200000,20.1,22.74,19.959999,20.15,321741700
1663560000000,19.75,20.959999,17.42,17.639999,206394700
1664164800000,17.77,18.4,15.2,15.77,210854300
1664769600000,15.85,16.879999,13.54,13.76,244262000
1665374400000,13.66,13.73,11.73,11.75,263792200
1665979200000,12.19,13.22,10.41,11.21,297902400
1666584000000,10.01,11.09,8.38,9.69,482250800
1667188800000,9.51,11.69,9.03,11.68,369212900
1667797200000,12.23,12.38,9.14,11.56,411752700
1668402000000,11.86,12.12,9.93,10.47,287315800
1669006800000,10.22,10.74,9.67,10.17,162055100
1669611600000,10.05,13.32,9.99,13.13,426398900
1670216400000,13.99,14.03,12.15,12.63,306882700
1670821200000,12.3,13.24,11.6,11.6,208644500
1671426000000,11.66,11.71,10.58,10.97,185708900
1672030800000,10.53,10.61,9.52,9.75,186635000
1672635600000,10.21,10.97,9.5,10.37,226028800
1673240400000,10.63,11.81,10.63,11.8,211496900
1673845200000,11.32,11.69,10.62,11.07,164852400
1674450000000,11.28,13.22,11.06,12.71,249231100
1675054800000,12.43,12.44,11.16,11.19,291411900
1675659600000,10.95,11.03,10.02,10.31,188046900
1676264400000,10.47,10.6,9.91,10.19,180618500
1676869200000,10.05,10.4,9.13,9.3,176216600
