ts,open,high,low,close,volume
1780372800000,30383.75,30389.25,30375.25,30375.25,478
1780373700000,30377.5,30412.5,30370.5,30405.25,1639
1780374600000,30404.25,30414.25,30393.75,30412.5,1170
1780375500000,30411.5,30445.0,30408.75,30442.75,1474
1780376400000,30444.0,30469.5,30428.75,30468.5,2366
1780377300000,30468.0,30475.5,30456.25,30470.5,1370
1780378200000,30471.75,30495.0,30471.75,30482.0,1738
1780379100000,30482.0,30484.75,30457.75,30476.25,1578
1780380000000,30476.0,30492.75,30469.25,30482.0,1923
1780380900000,30482.25,30503.25,30481.5,30487.5,1547
1780381800000,30486.75,30509.0,30469.0,30496.5,2367
1780382700000,30496.5,30515.75,30494.0,30514.5,1282
1780383600000,30514.25,30543.0,30509.75,30536.0,2564
1780384500000,30535.25,30547.25,30526.25,30531.0,1890
1780385400000,30532.0,30539.25,30520.25,30529.75,1273
1780386300000,30529.25,30531.0,30511.0,30529.5,1686
1780387200000,30529.75,30569.0,30529.75,30556.0,2975
1780388100000,30555.75,30567.75,30532.5,30546.0,2142
1780389000000,30547.0,30566.0,30543.75,30548.5,1110
1780389900000,30548.5,30564.25,30540.5,30547.75,1190
1780390800000,30548.0,30549.5,30525.75,30539.75,1162
1780391700000,30539.5,30553.0,30527.5,30535.75,1266
1780392600000,30536.0,30584.5,30533.25,30577.25,2067
1780393500000,30577.25,30586.0,30563.25,30565.5,1628
1780394400000,30565.75,30571.75,30554.0,30560.0,1109
1780395300000,30560.25,30567.5,30548.25,30554.75,1092
1780396200000,30556.25,30557.5,30532.25,30535.75,1122
1780397100000,30538.0,30544.0,30527.75,30529.25,960
1780398000000,30529.75,30546.0,30502.5,30544.25,2169
1780398900000,30543.25,30549.5,30523.75,30548.0,1774
1780399800000,30548.25,30574.5,30547.25,30551.5,3394
1780400700000,30551.75,30554.5,30530.75,30531.25,1490
1780401600000,30531.5,30545.0,30527.75,30530.5,1754
1780402500000,30530.75,30559.75,30523.0,30548.25,2912
1780403400000,30548.5,30560.0,30526.75,30554.25,2460
1780404300000,30555.5,30555.75,30526.5,30529.75,2034
1780405200000,30529.75,30536.25,30481.25,30493.75,5474
1780406100000,30493.25,30560.0,30488.5,30557.0,6876
1780407000000,30557.0,30567.75,30423.75,30503.25,39858
1780407900000,30502.5,30604.75,30497.0,30601.75,29534
1780408800000,30603.0,30647.25,30570.0,30633.75,24652
1780409700000,30634.0,30638.5,30537.75,30559.5,23935
1780410600000,30559.25,30625.0,30555.25,30623.75,18202
1780411500000,30623.5,30643.5,30600.75,30642.25,11946
1780412400000,30642.5,30666.0,30611.75,30666.0,15338
1780413300000,30666.0,30676.5,30651.75,30665.5,13122
1780414200000,30666.0,30685.75,30650.0,30668.0,11685
1780415100000,30668.25,30697.75,30657.25,30689.5,12374
1780416000000,30690.0,30713.25,30668.25,30700.0,12254
1780416900000,30700.25,30700.25,30651.0,30658.25,10332
1780417800000,30658.75,30676.0,30640.5,30647.5,8574
1780418700000,30647.25,30694.0,30642.0,30691.25,9818
1780419600000,30691.0,30703.25,30677.75,30695.75,8764
1780420500000,30696.0,30696.5,30632.0,30643.75,11084
1780421400000,30643.0,30649.75,30608.75,30635.5,11126
1780422300000,30635.0,30650.0,30625.0,30627.5,7811
1780423200000,30628.5,30664.0,30614.0,30647.75,8858
1780424100000,30648.25,30648.25,30629.25,30637.75,6582
1780425000000,30638.25,30654.5,30598.5,30619.0,10359
1780425900000,30617.75,30641.5,30614.0,30638.5,6783
1780426800000,30639.0,30682.25,30637.5,30672.75,10037
1780427700000,30673.25,30686.5,30662.0,30664.25,8332
1780428600000,30663.75,30687.0,30662.5,30681.75,7865
1780429500000,30682.0,30721.25,30678.25,30707.25,25751
1780430400000,30707.25,30763.25,30697.75,30738.5,12816
1780431300000,30738.75,30762.5,30737.0,30737.25,3454
1780432200000,30737.75,30745.75,30737.0,30743.25,1638
1780433100000,30742.0,30749.25,30736.0,30743.0,1681
1780437600000,30741.75,30751.75,30715.25,30730.5,1987
1780438500000,30729.5,30742.75,30722.75,30740.5,1132
1780439400000,30739.25,30757.0,30734.5,30737.5,1182
1780440300000,30737.75,30740.5,30698.0,30703.5,2296
1780441200000,30705.0,30710.0,30667.75,30674.75,2788
