ts,open,high,low,close,volume
1723474800000,109.45,110.6825,108.17,109.34,51366600
1723478400000,109.34,110.38,108.81,109.28,33150614
1723482000000,109.2999,110.26,109.0,109.59,27341319
1723485600000,109.6,110.17,109.36,110.0519,23047432
1723489200000,110.06,110.08,108.68,109.1216,38903111
1723492800000,109.12,109.18,108.641,108.76,20271917
1723496400000,108.75,109.02,108.75,108.82,609295
1723500000000,108.83,109.13,106.3,109.04,2481150
1723503600000,109.05,109.06,108.92,108.9239,468582
1723536000000,110.9,111.38,109.88,110.76,1175991
1723539600000,110.76,111.09,110.52,110.7,528250
1723543200000,110.71,110.71,109.82,109.83,617352
1723546800000,109.83,111.0,109.57,110.98,1379330
1723550400000,109.68,113.3699,109.292,113.16,8931548
1723554000000,113.18,113.95,111.58,113.7816,53412792
1723557600000,113.79,114.75,113.31,114.5615,52969672
1723561200000,114.56,115.0,113.93,113.9801,33402818
1723564800000,113.985,115.13,113.85,115.11,25942540
1723568400000,115.11,115.73,114.4301,115.265,30956337
1723572000000,115.265,116.18,115.1,115.99,26576231
1723575600000,115.99,116.23,115.14,116.17,42121767
1723579200000,116.14,116.74,115.98,116.2896,31496227
1723582800000,116.29,116.59,116.22,116.58,1343824
1723586400000,116.58,116.73,116.4899,116.691,763150
1723590000000,116.7,116.8,116.45,116.77,1028831
1723622400000,116.9,117.25,116.15,116.78,1049190
1723626000000,116.81,117.9,116.75,117.65,635399
1723629600000,117.68,118.33,117.6,117.79,1013702
1723633200000,117.79,118.3,117.7,118.25,2393873
1723636800000,118.24,119.0,116.4631,118.2398,10879860
1723640400000,118.22,119.5,114.07,115.01,75569296
1723644000000,115.03,117.189,114.51,117.04,61469626
1723647600000,117.04,118.43,116.61,118.3494,43187426
1723651200000,118.3444,118.47,116.22,116.7,40316962
1723654800000,116.69,117.59,116.51,116.7899,24509471
1723658400000,116.78,117.5,116.55,117.47,18601946
1723662000000,117.47,118.24,116.75,117.97,36634716
1723665600000,117.98,118.35,117.55,117.78,20369918
1723669200000,117.77,118.0,117.7501,117.94,1547401
1723672800000,117.96,118.0,117.69,117.7296,435782
1723676400000,117.7109,117.79,117.26,117.28,631839
1723708800000,118.1,118.37,117.02,117.3,697584
1723712400000,117.33,117.91,117.31,117.71,319142
1723716000000,117.71,117.81,117.16,117.2,278464
1723719600000,117.16,117.86,116.98,117.2,1069687
1723723200000,117.26,119.55,116.95,119.02,6841011
1723726800000,119.04,120.55,117.47,120.54,55070803
1723730400000,120.53,121.9799,119.6501,121.5503,61508133
1723734000000,121.55,122.49,121.435,121.88,39997603
1723737600000,121.885,122.49,121.77,122.095,26569036
1723741200000,122.09,122.95,121.84,122.9301,24869336
1723744800000,122.94,123.24,122.42,122.886,29031458
1723748400000,122.886,122.97,122.1,122.9413,37642026
1723752000000,122.86,122.915,122.38,122.44,29388413
1723755600000,122.4109,122.86,121.46,122.43,3198167
1723759200000,122.44,122.68,122.36,122.68,551880
1723762800000,122.679,123.0,122.65,122.95,1053930
1723795200000,123.6,123.84,123.06,123.51,881220
1723798800000,123.49,123.8,123.44,123.6,368574
1723802400000,123.59,123.6,123.2,123.48,418755
1723806000000,123.48,123.66,122.95,122.98,1365363
1723809600000,123.0,124.01,120.43,121.48,10076528
1723813200000,121.48,123.9,121.08,122.88,51049197
1723816800000,122.85,125.0,122.33,122.95,68727599
1723820400000,122.96,123.66,122.49,123.48,38225940
1723824000000,123.48,124.5699,123.18,124.4342,31151729
