ts,open,high,low,close,volume
1723474800000,29.665,29.89,29.35,29.765,9680771
1723478400000,29.7699,29.7894,29.51,29.52,4869008
1723482000000,29.515,29.8,29.49,29.6899,4006729
1723485600000,29.6982,29.78,29.56,29.595,3008847
1723489200000,29.595,29.595,29.27,29.36,6764124
1723492800000,29.35,29.3995,29.15,29.22,1509616
1723496400000,29.24,29.25,29.2,29.25,93198
1723500000000,29.24,29.35,29.22,29.28,102232
1723503600000,29.26,29.34,29.26,29.29,52688
1723536000000,29.45,29.73,29.22,29.64,78242
1723539600000,29.65,29.69,29.52,29.64,49505
1723543200000,29.6,29.6,29.44,29.47,68900
1723546800000,29.52,29.53,29.3,29.46,106570
1723550400000,29.47,29.76,29.33,29.76,647142
1723554000000,29.77,30.66,29.56,30.5227,12024474
1723557600000,30.5287,30.826,30.18,30.775,12697062
1723561200000,30.775,30.8498,30.24,30.245,7244988
1723564800000,30.245,30.56,30.14,30.4828,5575283
1723568400000,30.485,30.5,29.852,30.1474,6346337
1723572000000,30.14,30.25,30.01,30.15,3580668
1723575600000,30.1495,30.42,30.0701,30.37,6956172
1723579200000,30.39,30.42,30.262,30.3,1627348
1723582800000,30.31,30.42,30.28,30.4199,99659
1723586400000,30.4195,30.42,30.33,30.38,94144
1723590000000,30.3601,30.39,30.35,30.37,89424
1723622400000,30.55,30.55,30.17,30.29,60277
1723626000000,30.28,30.32,30.24,30.32,20799
1723629600000,30.31,30.37,30.29,30.34,29192
1723633200000,30.37,30.6,30.35,30.58,127398
1723636800000,30.48,30.79,30.2047,30.69,847853
1723640400000,30.69,31.04,30.33,30.61,9158505
1723644000000,30.61,31.07,30.4,30.8599,9750055
1723647600000,30.855,31.34,30.82,31.34,8193291
1723651200000,31.336,31.37,30.96,31.145,7704142
1723654800000,31.14,31.19,30.82,30.8958,4036851
1723658400000,30.8948,30.99,30.71,30.98,3213331
1723662000000,30.985,31.0,30.82,30.9999,4867876
1723665600000,31.0,31.04,30.96,31.01,1590855
1723669200000,31.02,31.0599,31.0,31.0599,77168
1723672800000,31.06,31.08,31.0,31.01,87226
1723676400000,31.01,31.01,30.9,30.9009,109377
1723708800000,30.95,31.16,30.9,31.14,50725
1723712400000,31.14,31.22,31.11,31.21,25093
1723716000000,31.21,31.23,31.06,31.06,23200
1723719600000,31.08,31.15,31.02,31.05,75850
1723723200000,31.11,31.57,31.01,31.45,687768
1723726800000,31.47,31.5,30.92,31.2798,8274664
1723730400000,31.275,31.495,31.08,31.1199,8032152
1723734000000,31.115,31.21,30.83,31.155,8058987
1723737600000,31.155,31.17,30.91,30.975,4103319
1723741200000,30.975,31.24,30.94,31.192,3741856
1723744800000,31.19,31.25,31.11,31.225,2981921
1723748400000,31.225,31.32,31.14,31.215,5764734
1723752000000,31.22,31.25,31.11,31.11,1325315
1723755600000,31.11,31.22,31.1,31.14,94457
1723759200000,31.12,31.17,31.1097,31.16,46946
1723762800000,31.17,31.24,31.15,31.22,102894
1723795200000,31.35,31.36,31.11,31.14,60488
1723798800000,31.13,31.22,31.13,31.2,23318
1723802400000,31.19,31.2,31.05,31.17,26061
1723806000000,31.15,31.19,31.05,31.05,81980
1723809600000,31.1,31.55,30.6,30.83,865905
1723813200000,30.85,32.04,30.78,31.875,13100969
1723816800000,31.86,32.42,31.83,32.0499,14238703
1723820400000,32.045,32.28,31.81,32.2,6617986
1723824000000,32.2,32.75,32.175,32.4799,9368667
1723827600000,32.475,32.57,32.245,32.2815,5164279
1723831200000,32.285,32.34,32.08,32.265,4785147
1723834800000,32.268,32.34,31.96,32.069,8658273
1723838400000,32.08,32.12,32.0,32.09,1552796
1723842000000,32.1,32.1,32.04,32.07,79599
1723845600000,32.07,32.07,32.0,32.05,55210
1723849200000,32.05,32.05,32.0,32.02,80315
1724054400000,32.22,33.0,31.7,32.18,138900
1724058000000,32.2,32.6,32.09,32.6,127971
1724061600000,32.63,32.93,32.53,32.53,278282
