ts,open,high,low,close,volume
1601265600000,10.0,11.41,8.94,9.2,517900300
1601870400000,9.43,10.49,8.9,9.95,236496000
1602475200000,10.04,10.05,9.18,9.71,80190000
1603080000000,9.79,9.83,9.2,9.49,60001200
1603684800000,9.72,11.1,9.6,10.13,148626100
1604293200000,10.23,14.96,10.23,13.83,187652000
1604898000000,14.96,17.059999,13.18,15.8,319464400
1605502800000,15.96,19.66,15.01,18.15,400231800
1606107600000,18.629999,33.5,18.57,27.66,610582800
1606712400000,28.24,30.15,21.15,23.85,512033500
1607317200000,24.440001,31.24,24.440001,27.200001,433391900
1607922000000,28.26,28.26,25.110001,25.969999,262893800
1608526800000,26.190001,29.42,25.4,27.75,227841200
1609131600000,28.389999,28.59,23.52,23.549999,177690300
1609736400000,23.91,26.440001,22.5,25.200001,180307500
1610341200000,24.610001,28.0,24.309999,25.639999,235906300
1610946000000,26.809999,32.650002,25.299999,32.580002,272870900
1611550800000,34.459999,45.0,29.559999,35.18,555255700
1612155600000,35.330002,35.619999,30.5,34.049999,242361100
1612760400000,37.220001,39.220001,31.34,31.91,274816900
1613365200000,30.02,30.440001,24.5,29.0,964540100
1613970000000,29.959999,30.190001,22.700001,23.9,699799600
1614574800000,25.190001,25.9,20.18,23.950001,573182900
1615179600000,23.77,26.92,22.4,26.92,440742700
1615780800000,27.35,27.469999,23.389999,24.32,321855600
1616385600000,24.889999,24.92,21.049999,22.58,298158700
1616990400000,22.48,23.950001,20.860001,23.07,222934400
1617595200000,23.780001,24.450001,22.74,24.040001,230062200
1618200000000,24.52,26.200001,22.299999,22.469999,366805100
1618804800000,22.15,23.549999,21.24,23.41,218917600
1619409600000,23.690001,24.26,22.809999,23.040001,144901400
1620014400000,23.01,23.08,19.41,19.75,292425300
1620619200000,19.280001,20.299999,17.055,20.08,603403600
1621224000000,19.73,21.620001,19.629999,20.75,236701300
1621828800000,21.059999,24.75,20.674999,22.950001,327522400
1622433600000,23.190001,24.84,22.360001,24.030001,229870500
1623038400000,24.0,25.23,23.440001,24.67,207731800
1623643200000,24.73,25.940001,23.860001,25.370001,287208300
1624248000000,25.1,27.01,24.51,26.780001,343590400
1624852800000,26.98,27.5,24.33,24.440001,194439900
1625457600000,24.6,25.200001,22.25,23.290001,152806800
1626062400000,23.26,23.495001,21.01,21.370001,133376300
1626667200000,20.969999,22.68,20.549999,21.809999,108827900
1627272000000,21.799999,22.85,21.09,21.709999,99528500
1627876800000,21.91,22.77,21.48,21.82,96726300
1628481600000,21.85,25.76,21.799999,24.9,337920300
