ts,open,high,low,close,volume
1629086400000,367.67,369.02,363.7,368.98,35323360
1629172800000,366.15,367.15,363.23,365.73,45148475
1629259200000,365.18,366.62,361.865,362.21,38814999
1629345600000,360.22,365.68,359.96,363.96,48837417
1629432000000,365.06,368.14,364.74,367.73,40235008
1629691200000,368.8,373.935,368.79,373.23,34933832
1629777600000,373.84,374.99,373.36,374.37,21962921
1629864000000,374.63,375.39,373.855,374.8,20814452
1629950400000,373.92,374.62,371.97,372.42,29411267
1630036800000,373.07,376.56,372.57,376.04,27457678
1630296000000,376.85,380.76,376.83,380.26,27664313
1630382400000,380.51,380.579,378.36,379.95,30063516
1630468800000,381.04,382.71,380.37,380.58,28458369
1630555200000,381.97,382.31,379.15,380.4,25850186
1630641600000,379.22,381.98,379.2003,381.57,24796256
1630987200000,381.68,382.778,380.4882,382.11,24198041
1631073600000,381.93,381.93,378.45,380.78,33188536
1631160000000,381.01,382.15,379.22,379.47,29642984
1631246400000,381.23,381.97,376.245,376.59,40527372
1631505600000,378.98,379.43,374.22,376.33,49057908
1631592000000,377.86,378.61,374.28,375.26,42117537
1631678400000,375.73,378.41,373.37,378.05,34423315
1631764800000,376.68,378.9,374.695,378.31,35404392
1631851200000,377.82,377.87,372.76,373.83,61413071
1632110400000,367.5,369.25,360.93,365.7,77208060
1632196800000,367.58,368.81,364.99,366.15,42531985
1632283200000,367.09,371.07,365.9584,369.57,47332181
1632369600000,370.76,374.04,370.099,372.98,45837671
1632456000000,370.65,373.76,370.27,373.33,36310928
1632715200000,370.2,371.2516,367.73,370.35,43779373
1632801600000,365.67,370.302,359.35,359.87,99354897
1632888000000,361.17,363.37,358.635,359.28,58863340
1632974400000,360.97,362.68,357.1,357.96,61692655
1633060800000,358.6,361.25,354.38,360.18,56763921
1633320000000,358.52,358.86,350.32,352.62,77538289
1633406400000,353.71,359.69,353.48,357.38,47834508
1633492800000,354.08,359.95,353.15,359.67,57105852
1633579200000,362.8,365.69,362.25,362.97,39930017
1633665600000,364.08,364.3166,360.61,361.16,42604387
1633924800000,359.58,363.2,358.3,358.39,35098395
1634011200000,359.88,360.33,356.48,357.14,44199126
1634097600000,359.51,360.69,357.43,360.0,40498129
1634184000000,363.69,366.85,363.01,366.63,44141436
1634270400000,367.88,369.06,366.82,368.94,40901462
1634529600000,367.61,372.87,366.99,372.65,35251014
1634616000000,373.75,375.52,372.6974,375.47,29658114
1634702400000,375.94,376.565,373.46,374.98,31954960
1634788800000,374.16,377.47,373.85,377.27,26306303
1634875200000,375.98,376.97,372.385,374.1,36602091
1635134400000,375.56,378.87,373.56,377.93,33084254
1635220800000,380.23,382.71,377.905,379.12,47841546
1635307200000,379.58,383.15,379.31,380.0,46796947
1635393600000,381.95,384.48,381.155,384.22,38387707
1635480000000,381.06,386.28,380.7,386.11,37818091
1635739200000,386.56,387.56,384.42,387.43,31313893
1635825600000,386.8,389.54,386.75,389.05,25629669
1635912000000,389.55,393.61,388.48,393.18,34364065
1635998400000,394.48,399.2,393.92,398.22,40785657
1636084800000,400.04,400.99,397.16,398.6,43734299
1636347600000,398.57,399.62,397.4,398.06,29512472
1636434000000,399.16,399.57,393.92,395.32,50845597
1636520400000,392.47,395.36,387.53,389.51,55854359
1636606800000,392.57,392.75,390.24,390.59,33061745
1636693200000,391.77,395.25,390.13,394.7,35182317
1636952400000,395.91,396.24,392.095,394.61,34119764
1637038800000,393.86,397.93,393.66,397.42,27654938
1637125200000,397.75,399.7196,396.64,397.63,29263327
1637211600000,399.73,402.27,397.45,401.75,46205169
1637298000000,403.43,405.3,402.58,403.99,46184632
1637557200000,405.57,408.71,399.19,399.3,62062851
1637643600000,398.11,400.23,392.92,397.48,70660073
1637730000000,394.93,399.05,392.54,398.76,47390764
1637902800000,396.11,397.54,389.77,391.2,52341556
1638162000000,395.89,400.73,395.14,399.69,55666197
1638248400000,398.74,401.19,391.75,393.82,82053120
1638334800000,398.28,400.48,386.64,387.12,79289582
1638421200000,385.8,391.74,384.34,389.91,85073576
1638507600000,391.31,392.34,378.9,383.13,106402589
1638766800000,383.63,387.6,379.3,386.2,67998860
1638853200000,393.03,398.46,392.99,397.83,56894424
1638939600000,398.17,399.82,396.22,399.61,40093406
1639026000000,398.35,400.2,393.5299,393.73,50414230
1639112400000,396.62,398.28,393.36,398.01,53243462
1639371600000,398.0,398.325,391.88,392.26,50538933
1639458000000,387.3,390.09,383.63,388.2,75965866
1639544400000,387.98,397.4198,383.88,397.05,74454845
