ts,open,high,low,close,volume
1723474800000,453.45,454.37,449.85,453.285,5780556
1723478400000,453.28,453.56,450.88,450.905,2502086
1723482000000,450.9225,452.53,450.05,450.82,2365780
1723485600000,450.83,451.57,450.36,451.505,2266168
1723489200000,451.52,451.59,449.93,451.48,3979781
1723492800000,451.49,451.77,450.85,451.11,1726064
1723496400000,451.15,451.34,451.0229,451.34,8925
1723500000000,451.38,451.57,450.5254,451.34,39239
1723503600000,451.3799,452.0,451.2,451.66,46141
1723536000000,453.12,454.79,453.12,453.93,101334
1723539600000,453.87,454.34,453.6,453.96,16595
1723543200000,453.87,453.87,451.63,451.86,169702
1723546800000,451.77,453.15,451.6,453.15,112469
1723550400000,451.85,455.91,451.042,455.7,969817
1723554000000,455.72,457.979,455.1,457.66,5187708
1723557600000,457.67,458.9,456.633,458.675,4540732
1723561200000,458.71,460.05,458.51,459.626,3657509
1723564800000,459.65,461.88,459.27,461.85,4257763
1723568400000,461.88,462.18,460.22,461.46,3531962
1723572000000,461.46,462.13,460.9514,462.08,3795210
1723575600000,462.08,462.85,460.89,462.6,8387107
1723579200000,462.58,463.04,462.12,462.52,5171678
1723582800000,462.55,462.9,462.31,462.52,48384
1723586400000,462.5,463.05,462.24,462.5,60084
1723590000000,462.45,463.04,462.4,462.95,66724
1723622400000,462.55,462.91,461.71,462.34,68400
1723626000000,462.29,462.62,462.03,462.53,74549
1723629600000,462.6,463.11,462.6,462.71,32681
1723633200000,462.85,463.07,462.45,462.81,106072
1723636800000,462.81,464.21,460.26,463.37,1378350
1723640400000,463.4,464.43,460.48,460.89,5608065
1723644000000,460.91,461.95,458.4,461.805,6606338
1723647600000,461.84,465.1093,461.49,464.95,4581277
1723651200000,464.94,464.98,460.65,461.93,3983598
1723654800000,461.91,462.67,461.5,461.94,2809456
1723658400000,461.94,462.91,461.3,462.84,2635879
1723662000000,462.82,463.63,461.15,462.81,5590319
1723665600000,462.79,464.1,462.69,463.7,961236
1723669200000,463.77,464.08,463.2,463.92,91252
1723672800000,463.88,463.88,463.16,463.3,61874
1723676400000,463.37,463.69,462.66,462.81,135333
1723708800000,465.03,465.03,463.31,463.82,32088
1723712400000,463.97,464.36,463.91,464.28,27545
1723716000000,464.4,464.4,463.02,463.02,50387
1723719600000,463.01,464.7,462.9,464.22,166032
1723723200000,464.29,469.15,463.02,468.42,1316697
