ts,open,high,low,close,volume
1629086400000,83.7,84.56,73.9,82.77,61918641
1629691200000,83.05,90.95,80.85,85.4,41490299
1630296000000,84.6,86.74,80.0,82.87,29175728
1630900800000,83.82,90.43,81.66,87.88,38981063
1631505600000,87.47,88.88,78.77,80.81,34231225
1632110400000,78.15,84.4999,76.77,83.22,28574729
1632715200000,83.18,83.3,73.48,75.59,31794026
1633320000000,75.38,78.21,70.1901,70.44,50135685
1633924800000,70.63,77.21,69.77,76.58,24545229
1634529600000,77.46,84.7799,76.23,83.98,28366595
1635134400000,81.46,86.15,79.11,84.02,26470739
1635739200000,83.95,84.09,77.05,77.99,29850896
1636347600000,79.02,109.97,76.83,107.58,221089393
1636952400000,108.44,138.77,103.82,134.72,222428868
1637557200000,140.735,141.5999,113.3301,122.65,124650083
1638162000000,125.1365,137.71,109.36,113.79,125345105
1638766800000,108.52,125.99,104.21,115.89,75068743
1639371600000,115.68,115.8,93.2704,102.4,108813641
1639976400000,97.18,106.9799,96.59,101.82,45393338
1640581200000,101.6,108.78,94.275,103.16,70977019
1641186000000,101.91,103.79,82.58,84.37,99551432
1641790800000,83.69,90.31,77.42,79.05,88870395
1642395600000,80.44,82.45,68.33,68.93,85174890
1643000400000,65.41,70.74,53.63,58.18,122363130
1643605200000,60.66,69.25,59.63,63.74,129978207
1644210000000,63.95,73.3899,60.91,66.81,111915682
1644814800000,68.21,73.71,48.13,49.72,279450259
1645419600000,48.23,50.5,43.1,50.05,115939699
1646024400000,50.69,52.7,41.95,42.29,97121405
1646629200000,43.17,45.7498,39.2,39.24,76669196
1647230400000,38.06,50.24,36.044,49.62,140338199
1647835200000,49.01,53.0,45.51,47.07,111219183
1648440000000,47.67,52.52,44.7,46.02,91579174
1649044800000,46.81,50.72,42.55,43.1,102537552
1649649600000,42.48,46.79,40.86,42.36,67787921
1650254400000,41.9,42.87,33.54,34.35,121518307
1650859200000,33.99,35.13,29.52,30.65,119227199
1651464000000,30.28,35.06,27.33,27.81,108715628
1652068800000,27.15,33.19,21.65,32.97,341601978
1652673600000,32.23,36.43,29.5,31.6,251323426
1653278400000,31.0,32.09,26.31,31.81,138955943
1653883200000,32.56,33.899,28.19,30.0,136681543
1654488000000,30.95,34.25,27.67,27.76,109496076
