ts,open,high,low,close,volume
1723472700000,37.135,37.31,37.1,37.25,101152
1723473000000,37.25,37.34,37.2,37.33,42693
1723473300000,37.33,37.38,37.25,37.265,52846
1723473600000,37.28,37.34,37.25,37.31,107000
1723473900000,37.32,37.385,37.25,37.355,95700
1723474200000,37.35,37.45,37.31,37.44,44845
1723474500000,37.445,37.5,37.4324,37.4598,62049
1723474800000,37.46,37.66,37.44,37.65,117593
1723475100000,37.645,37.71,37.6,37.66,110461
1723475400000,37.6501,37.75,37.65,37.715,58687
1723475700000,37.715,37.8,37.705,37.8,43960
1723476000000,37.805,37.82,37.55,37.57,58265
1723476300000,37.575,37.7,37.46,37.6399,56575
1723476600000,37.63,37.71,37.56,37.69,46928
1723476900000,37.69,37.8,37.66,37.77,38401
1723477200000,37.78,37.835,37.73,37.835,34334
1723477500000,37.85,37.86,37.77,37.8593,30602
1723477800000,37.86,37.9,37.79,37.85,72162
1723478100000,37.84,37.88,37.79,37.83,42177
1723478400000,37.83,37.87,37.78,37.79,56674
1723478700000,37.795,37.83,37.74,37.83,40182
1723479000000,37.83,37.83,37.755,37.78,29503
1723479300000,37.78,37.78,37.64,37.72,45753
1723479600000,37.72,37.72,37.52,37.58,35870
1723479900000,37.58,37.61,37.52,37.57,61908
1723480200000,37.57,37.63,37.52,37.52,22949
1723480500000,37.51,37.57,37.5,37.56,24285
1723480800000,37.56,37.57,37.4,37.415,46843
1723481100000,37.42,37.58,37.415,37.57,31220
1723481400000,37.58,37.58,37.5002,37.54,27946
1723481700000,37.56,37.56,37.42,37.435,62391
1723482000000,37.425,37.485,37.355,37.475,68522
1723482300000,37.47,37.47,37.43,37.46,25220
1723482600000,37.45,37.45,37.39,37.435,32674
1723482900000,37.435,37.495,37.415,37.49,28731
1723483200000,37.49,37.495,37.4,37.445,39746
1723483500000,37.44,37.45,37.38,37.4,26681
1723483800000,37.41,37.48,37.405,37.48,38424
1723484100000,37.49,37.49,37.39,37.43,31337
1723484400000,37.43,37.48,37.43,37.461,29987
1723484700000,37.47,37.49,37.41,37.41,27191
1723485000000,37.405,37.44,37.4,37.43,38658
1723485300000,37.43,37.485,37.43,37.47,38118
1723485600000,37.47,37.49,37.4699,37.475,29576
1723485900000,37.48,37.515,37.44,37.47,36508
1723486200000,37.475,37.52,37.4567,37.5,28233
1723486500000,37.5,37.515,37.4601,37.4601,29914
1723486800000,37.465,37.53,37.46,37.465,32261
1723487100000,37.475,37.52,37.47,37.495,32120
1723487400000,37.495,37.495,37.4001,37.4001,40748
1723487700000,37.4,37.505,37.39,37.49,33243
1723488000000,37.5,37.5,37.42,37.465,25231
1723488300000,37.465,37.49,37.44,37.455,22600
1723488600000,37.455,37.47,37.39,37.39,44654
1723488900000,37.4,37.48,37.39,37.41,56710
1723489200000,37.41,37.43,37.395,37.41,32461
1723489500000,37.41,37.43,37.4,37.42,26169
1723489800000,37.42,37.46,37.415,37.44,30340
1723490100000,37.445,37.49,37.43,37.435,45150
1723490400000,37.435,37.5,37.435,37.48,40576
1723490700000,37.475,37.48,37.45,37.465,54649
1723491000000,37.465,37.47,37.41,37.425,76009
1723491300000,37.429,37.445,37.3413,37.3413,68011
1723491600000,37.34,37.375,37.33,37.33,131825
1723491900000,37.335,37.365,37.3,37.31,124277
1723492200000,37.31,37.34,37.28,37.31,190234
1723492500000,37.31,37.36,37.28,37.32,371342
1723492800000,37.32,37.32,37.32,37.32,450343
1723493100000,37.32,37.32,37.32,37.32,1753
1723494000000,37.132,37.132,37.132,37.132,870
1723495500000,37.32,37.32,37.32,37.32,28125
1723496700000,37.12,37.12,37.12,37.12,600
1723503600000,37.35,37.37,37.35,37.37,15134
1723503900000,37.37,37.37,37.37,37.37,250
1723504500000,37.37,37.6592,37.37,37.6592,703
1723505100000,37.36,37.36,37.36,37.36,200
1723506000000,37.4,37.4,37.4,37.4,300
1723506900000,37.68,37.68,37.4,37.68,556
1723539300000,37.71,37.79,37.7,37.79,1973
1723540500000,37.51,37.51,37.51,37.51,200
