ts,open,high,low,close,volume
1459137600000,2.06,2.528182,2.06,2.345368,129800
1459742400000,2.345368,2.942857,2.345368,2.648571,397500
1460347200000,2.666407,2.818009,2.550476,2.702078,326500
1460952000000,2.719913,2.786797,2.639654,2.737749,100800
1461556800000,2.69316,2.835844,2.49697,2.755584,84800
1462161600000,2.755584,2.755584,2.247273,2.505888,72900
1462766400000,2.568312,2.85368,2.398874,2.85368,206600
1463371200000,2.826927,5.930303,2.826927,3.263896,3171700
1463976000000,3.290649,3.40658,2.862597,3.014199,323300
1464580800000,2.996363,3.388744,2.880433,3.193446,132100
1465185600000,3.165801,3.477922,3.058788,3.121212,127200
1465790400000,3.076623,3.219307,2.675325,3.13013,217600
1466395200000,3.112294,3.32632,3.014199,3.103377,69500
1467000000000,3.023117,3.192554,2.835844,3.112294,89000
1467604800000,3.058788,3.174719,2.996364,3.112294,14200
1468209600000,3.127454,3.263896,2.96961,3.246061,141600
1468814400000,3.263896,3.299567,2.925022,3.201472,238600
1469419200000,3.121212,3.290649,2.947316,3.005281,86900
1470024000000,3.032035,3.032035,2.715455,2.815333,210500
1470628800000,2.862597,3.032035,2.666407,2.818009,99600
1471233600000,2.809091,2.931264,2.755584,2.782338,64800
1471838400000,2.85368,3.040952,2.764502,2.916104,153500
1472443200000,2.960693,3.477922,2.925022,3.353074,492600
1473048000000,3.379827,3.64736,3.174719,3.513593,155000
1473652800000,3.424415,3.995152,3.076623,3.995152,539000
1474257600000,4.004069,4.057576,3.085541,3.183636,255200
1474862400000,3.299567,3.353074,2.389957,2.702078,252200
1475467200000,2.648571,2.648571,2.318615,2.363204,142500
1476072000000,2.359636,2.359636,1.908398,2.14026,134600
1476676800000,2.14026,2.648571,2.14026,2.461299,118700
1477281600000,2.49697,2.728831,2.220519,2.363204,38500
1477886400000,2.364095,2.479134,2.149178,2.149178,65300
1478494800000,2.354286,2.603091,2.068918,2.372121,82100
1479099600000,2.104589,2.756476,2.077836,2.505888,236700
1479704400000,2.505887,2.541558,2.398875,2.49697,24300
1480309200000,2.514805,5.279307,2.373013,3.611688,3223000
1480914000000,3.611689,4.102165,3.174719,3.513593,222700
1481518800000,3.861385,3.941645,3.040952,3.353074,65400
1482123600000,3.13013,3.477922,2.96961,3.147965,299600
1482728400000,3.272814,3.424416,3.076623,3.424416,138900
1483333200000,3.219307,4.28052,3.219307,3.745454,122600
1483938000000,3.73297,3.864953,2.96961,3.263896,506500
1484542800000,3.397662,3.397662,2.942857,3.058788,60600
1485147600000,3.067706,3.070381,2.69316,2.77342,108100
1485752400000,2.755584,3.032035,2.737749,2.791255,24100
1486357200000,2.764502,3.254978,2.764502,3.014199,122500
1486962000000,2.942857,3.014199,2.746667,2.925022,59000
1487566800000,2.809091,2.942857,2.737749,2.809091,34200
1488171600000,2.82871,2.889351,2.728831,2.791255,40900
1488776400000,2.791255,3.214848,2.782338,3.067706,77400
1489377600000,2.982987,3.245169,2.847437,2.978528,118400
1489982400000,2.898268,3.183636,2.728831,3.005281,30000
1490587200000,3.040952,3.931835,3.005281,3.5671,280000
1491192000000,3.567099,3.745454,3.308485,3.584935,85200
1491796800000,3.584935,3.781125,3.246061,3.584935,53100
1492401600000,3.709784,3.816797,3.361991,3.397662,100400
1493006400000,3.415498,3.754372,3.156883,3.254978,80500
1493611200000,3.299567,3.397662,3.094459,3.353074,100200
1494216000000,3.21039,3.700866,3.032035,3.228225,156900
1494820800000,3.237143,3.369126,3.040953,3.237143,40600
1495425600000,3.507351,3.507351,3.103377,3.228225,45600
1496030400000,3.296892,3.522511,3.21039,3.48684,76300
1496635200000,3.469004,3.602771,3.367342,3.5671,73700
1497240000000,3.5671,3.674112,3.201472,3.201472,80100
1497844800000,3.424416,3.656277,3.344156,3.513593,98400
1498449600000,3.5671,3.64736,3.308485,3.638442,50100
1499054400000,3.593853,3.654494,3.254978,3.531429,41900
1499659200000,3.602771,3.674113,3.219307,3.48684,120800
1500264000000,3.540346,3.647359,3.442251,3.442251,31400
1500868800000,3.513593,3.540346,3.121212,3.361991,76700
1501473600000,3.370909,3.584935,3.17561,3.415498,41500
1502078400000,3.397662,3.549264,3.281732,3.281732,24700
1502683200000,3.281732,3.344156,3.081082,3.228225,13200
1503288000000,3.118537,3.301351,3.076623,3.103377,41700
1503892800000,3.103377,3.567099,3.101593,3.433333,48300
1504497600000,3.308485,3.578693,3.290649,3.540346,79700
1505102400000,3.48684,3.790043,3.344156,3.790043,160500
1505707200000,3.611688,4.164589,3.567991,3.807879,102000
1506312000000,3.807879,4.735325,3.540346,4.601558,97800
1506916800000,4.806667,8.471862,4.512381,6.599134,1352700
1507521600000,7.88,11.17,7.2,7.9,6056600
1508126400000,7.89,8.7,7.14,8.49,2868300
1508731200000,8.84,9.5,6.73,6.91,3407300
1509336000000,7.06,7.989,6.331,6.75,2178600
