ts,open,high,low,close,volume
1313380800000,1.373,1.424,1.274,1.328,11239000
1313985600000,1.361,1.403,1.275,1.322,14254000
1314590400000,1.341,1.432,1.258,1.267,9767000
1315195200000,1.223,1.35,1.196,1.241,6364000
1315800000000,1.22,1.371,1.218,1.359,8604000
1316404800000,1.332,1.372,1.215,1.289,7465000
1317009600000,1.297,1.368,1.241,1.253,5732000
1317614400000,1.237,1.42,1.142,1.365,9653000
1318219200000,1.393,1.534,1.391,1.524,5567000
1318824000000,1.514,1.55,1.393,1.463,7958000
1319428800000,1.471,1.677,1.437,1.631,14533000
1320033600000,1.601,1.63,1.515,1.593,6308000
1320642000000,1.586,1.6,1.498,1.563,5605000
1321246800000,1.556,1.586,1.43,1.484,6668000
1321851600000,1.45,1.484,1.291,1.291,5155000
1322456400000,1.334,1.396,1.304,1.371,10145000
1323061200000,1.408,1.517,1.375,1.508,6943000
1323666000000,1.484,1.544,1.423,1.485,11633000
1324270800000,1.496,1.6,1.452,1.582,7382000
1324875600000,1.578,1.623,1.552,1.568,4718000
1325480400000,1.607,1.646,1.542,1.628,5503000
1326085200000,1.637,1.671,1.451,1.648,10691000
1326690000000,1.662,1.74,1.608,1.69,9833000
1327294800000,1.689,1.77,1.684,1.707,9077000
1327899600000,1.679,1.74,1.678,1.74,8382000
1328504400000,1.724,1.77,1.67,1.678,8310000
1329109200000,1.695,1.78,1.666,1.771,8107000
1329714000000,1.772,1.78,1.69,1.744,4121000
1330318800000,1.725,1.762,1.617,1.667,7945000
1330923600000,1.658,1.709,1.6,1.698,7338000
1331524800000,1.696,1.709,1.654,1.683,4081000
1332129600000,1.674,1.717,1.637,1.697,3298000
1332734400000,1.711,1.785,1.698,1.746,4560000
1333339200000,1.745,1.77,1.724,1.754,3279000
1333944000000,1.725,1.744,1.667,1.671,6047000
1334548800000,1.676,1.728,1.673,1.718,5348000
1335153600000,1.688,1.887,1.676,1.803,16033000
1335758400000,1.798,1.808,1.663,1.674,9351000
1336363200000,1.663,1.7,1.597,1.651,7485000
1336968000000,1.634,1.685,1.596,1.619,6551000
1337572800000,1.627,1.665,1.588,1.606,5306000
1338177600000,1.622,1.647,1.476,1.482,7090000
1338782400000,1.486,1.657,1.455,1.627,10200000
1339387200000,1.641,1.641,1.471,1.493,7394000
1339992000000,1.479,1.559,1.465,1.55,9009000
1340596800000,1.525,1.62,1.486,1.586,10949000
1341201600000,1.589,1.643,1.569,1.584,3750000
1341806400000,1.58,1.581,1.437,1.463,4962000
1342411200000,1.462,1.482,1.229,1.298,19515000
1343016000000,1.272,1.3,1.208,1.297,14543000
1343620800000,1.296,1.31,1.185,1.243,16357000
1344225600000,1.248,1.288,1.164,1.206,19722000
