ts,open,high,low,close,volume
1723473000000,6.59,6.63,6.58,6.595,941567
1723473900000,6.595,6.63,6.58,6.625,645482
1723474800000,6.6295,6.67,6.61,6.6557,674021
1723475700000,6.6501,6.66,6.55,6.585,1559900
1723476600000,6.58,6.61,6.54,6.595,1341656
1723477500000,6.5999,6.62,6.58,6.615,727563
1723478400000,6.61,6.62,6.56,6.5715,708626
1723479300000,6.5754,6.58,6.56,6.565,621566
1723480200000,6.565,6.57,6.55,6.555,571204
1723481100000,6.5596,6.58,6.54,6.54,829864
1723482000000,6.54,6.5591,6.52,6.5399,869405
1723482900000,6.535,6.57,6.53,6.545,602797
1723483800000,6.545,6.56,6.54,6.5501,444024
1723484700000,6.56,6.56,6.52,6.5489,1408643
1723485600000,6.545,6.55,6.52,6.539,772200
1723486500000,6.535,6.54,6.52,6.525,463749
1723487400000,6.525,6.54,6.51,6.5217,750339
1723488300000,6.5201,6.53,6.52,6.5201,380284
1723489200000,6.525,6.525,6.49,6.505,1022853
1723490100000,6.505,6.52,6.5,6.506,616416
1723491000000,6.505,6.51,6.48,6.495,803395
1723491900000,6.495,6.52,6.47,6.475,2850182
1723492800000,6.48,6.49,6.48,6.49,1244800
1723493700000,6.49,6.49,6.48,6.49,22142
1723494600000,6.48,6.49,6.47,6.4703,79533
1723495500000,6.48,6.48,6.46,6.47,22668
1723496400000,6.47,6.49,6.47,6.49,17087
1723497300000,6.4899,6.49,6.48,6.4803,5917
1723498200000,6.49,6.49,6.48,6.48,5792
1723499100000,6.49,6.49,6.47,6.48,9687
1723500000000,6.48,6.48,6.47,6.48,7034
1723500900000,6.4797,6.48,6.47,6.48,8361
1723501800000,6.48,6.48,6.47,6.48,9099
1723502700000,6.48,6.49,6.48,6.49,8947
1723503600000,6.48,6.49,6.48,6.49,5142
1723504500000,6.485,6.49,6.48,6.49,4293
1723505400000,6.49,6.49,6.45,6.47,65077
1723506300000,6.48,6.48,6.45,6.48,104748
1723536000000,6.5,6.51,6.47,6.51,11341
1723536900000,6.505,6.505,6.5,6.505,900
1723537800000,6.505,6.51,6.5,6.51,2465
1723538700000,6.51,6.51,6.51,6.51,1431
1723539600000,6.51,6.51,6.48,6.48,18438
1723540500000,6.47,6.48,6.45,6.48,12214
1723541400000,6.48,6.48,6.47,6.47,2069
1723542300000,6.47,6.47,6.47,6.47,230
1723543200000,6.46,6.48,6.46,6.46,10455
1723544100000,6.47,6.48,6.47,6.48,10986
1723545000000,6.48,6.48,6.47,6.47,12796
1723545900000,6.47,6.5,6.47,6.5,10525
1723546800000,6.49,6.5,6.49,6.5,10619
1723547700000,6.49,6.49,6.49,6.49,10909
1723548600000,6.5,6.5,6.49,6.49,5980
1723549500000,6.5,6.5,6.5,6.5,2918
1723550400000,6.5,6.5,6.4723,6.5,125331
1723551300000,6.5,6.51,6.49,6.5,58458
1723552200000,6.51,6.58,6.51,6.58,246690
1723553100000,6.58,6.58,6.55,6.57,85170
1723554000000,6.57,6.58,6.55,6.57,105977
1723554900000,6.57,6.58,6.5,6.51,98713
1723555800000,6.5,6.62,6.49,6.56,1715233
1723556700000,6.565,6.63,6.5601,6.565,1103346
1723557600000,6.57,6.58,6.55,6.57,815877
1723558500000,6.57,6.575,6.52,6.545,1078184
1723559400000,6.545,6.56,6.52,6.55,917322
1723560300000,6.555,6.58,6.545,6.575,984058
1723561200000,6.575,6.58,6.55,6.575,832233
1723562100000,6.575,6.58,6.55,6.56,545305
1723563000000,6.565,6.58,6.5533,6.555,779950
1723563900000,6.5529,6.56,6.54,6.54,465885
1723564800000,6.54,6.57,6.53,6.555,676904
1723565700000,6.56,6.57,6.55,6.555,464049
1723566600000,6.555,6.57,6.53,6.565,553825
1723567500000,6.565,6.6,6.56,6.58,1039750
1723568400000,6.585,6.59,6.56,6.58,538641
1723569300000,6.5799,6.58,6.55,6.57,471181
1723570200000,6.5679,6.57,6.55,6.565,315174
1723571100000,6.5671,6.59,6.53,6.59,654310
1723572000000,6.58,6.59,6.565,6.575,279012
1723572900000,6.58,6.59,6.565,6.585,479726
1723573800000,6.585,6.61,6.58,6.61,738147
1723574700000,6.605,6.65,6.59,6.64,1411409
1723575600000,6.635,6.64,6.58,6.585,1864264
1723576500000,6.58,6.62,6.57,6.6,1037436
1723577400000,6.605,6.63,6.6,6.615,705725
1723578300000,6.615,6.65,6.6,6.645,3146722
1723579200000,6.64,6.64,6.62,6.62,1120412
1723580100000,6.6198,6.63,6.61,6.63,74640
1723581000000,6.63,6.64,6.62,6.6202,66393
1723581900000,6.6201,6.63,6.62,6.62,16886
1723582800000,6.62,6.63,6.62,6.63,4567
1723583700000,6.63,6.63,6.62,6.6201,49353
1723584600000,6.62,6.63,6.62,6.62,28958
1723585500000,6.63,6.63,6.62,6.63,22625
1723586400000,6.63,6.64,6.62,6.63,6643
1723587300000,6.63,6.63,6.62,6.63,8844
1723588200000,6.63,6.63,6.62,6.63,4621
1723589100000,6.6297,6.64,6.6201,6.63,25969
1723590000000,6.63,6.64,6.63,6.63,12112
1723590900000,6.6302,6.65,6.6297,6.6297,47891
1723591800000,6.63,6.64,6.63,6.64,22057
1723592700000,6.64,6.65,6.63,6.64,40664
1723622400000,6.65,6.65,6.62,6.62,12793
1723623300000,6.63,6.63,6.625,6.63,2902
1723624200000,6.63,6.65,6.63,6.65,7949
1723625100000,6.65,6.66,6.65,6.66,17425
1723626000000,6.66,6.66,6.66,6.66,2055
1723626900000,6.67,6.7,6.67,6.7,12183
1723627800000,6.7,6.71,6.7,6.71,9582
1723628700000,6.7,6.73,6.69,6.7,68005
1723629600000,6.7,6.72,6.7,6.705,10401
1723630500000,6.71,6.71,6.71,6.71,1448
1723631400000,6.71,6.71,6.69,6.71,9416
1723632300000,6.71,6.71,6.7,6.71,10771
1723633200000,6.7,6.72,6.69,6.7,28138
1723634100000,6.7,6.7,6.68,6.69,18054
1723635000000,6.69,6.71,6.67,6.71,62205
1723635900000,6.71,6.71,6.68,6.7,24625
1723636800000,6.7,6.75,6.6288,6.75,357050
1723637700000,6.75,6.75,6.73,6.74,83120
1723638600000,6.75,6.8,6.67,6.72,350987
1723639500000,6.72,6.75,6.7002,6.72,105746
1723640400000,6.72,6.75,6.72,6.73,95629
1723641300000,6.73,6.77,6.71,6.76,84627
1723642200000,6.75,6.78,6.7,6.705,2373783
1723643100000,6.705,6.74,6.645,6.665,1317901
1723644000000,6.66,6.68,6.62,6.645,1144221
1723644900000,6.645,6.65,6.62,6.6491,879972
1723645800000,6.6433,6.65,6.62,6.625,905579
1723646700000,6.625,6.65,6.62,6.645,687072
1723647600000,6.645,6.65,6.62,6.6378,629586
1723648500000,6.63,6.64,6.62,6.6385,475126
1723649400000,6.635,6.66,6.63,6.655,824937
1723650300000,6.655,6.66,6.65,6.655,421163
1723651200000,6.651,6.651,6.62,6.63,888588
1723652100000,6.621,6.63,6.56,6.5705,905603
1723653000000,6.575,6.6,6.5639,6.565,680691
1723653900000,6.565,6.61,6.56,6.6099,506024
1723654800000,6.6,6.61,6.58,6.58,847213
1723655700000,6.585,6.61,6.58,6.595,445016
1723656600000,6.595,6.61,6.575,6.595,795534
1723657500000,6.595,6.63,6.59,6.615,458816
1723658400000,6.6197,6.6197,6.59,6.605,548645
1723659300000,6.605,6.62,6.6,6.605,265925
1723660200000,6.605,6.62,6.6,6.62,350621
1723661100000,6.615,6.63,6.61,6.63,273934
1723662000000,6.625,6.63,6.605,6.625,584147
1723662900000,6.625,6.63,6.62,6.625,265622
1723663800000,6.625,6.63,6.61,6.615,634150
1723664700000,6.615,6.65,6.6,6.6,2113376
1723665600000,6.61,6.62,6.61,6.6198,748690
1723666500000,6.62,6.63,6.61,6.63,16083
1723667400000,6.63,6.63,6.62,6.63,34287
1723668300000,6.63,6.63,6.62,6.63,11102
1723669200000,6.63,6.64,6.6202,6.64,25770
1723670100000,6.64,6.65,6.63,6.64,6827
1723671000000,6.64,6.64,6.63,6.64,6517
1723671900000,6.63,6.64,6.63,6.64,8874
1723672800000,6.64,6.64,6.62,6.64,57029
1723673700000,6.63,6.64,6.63,6.64,11413
1723674600000,6.64,6.64,6.63,6.64,6347
1723675500000,6.64,6.65,6.635,6.65,10367
1723676400000,6.64,6.65,6.64,6.64,5518
1723677300000,6.64,6.64,6.63,6.64,3459
1723678200000,6.64,6.64,6.63,6.64,2711
1723679100000,6.64,6.64,6.61,6.61,20125
1723708800000,6.65,6.66,6.63,6.63,23217
1723709700000,6.64,6.64,6.64,6.64,4076
1723710600000,6.63,6.63,6.63,6.63,328
1723711500000,6.63,6.64,6.63,6.64,6354
1723712400000,6.64,6.64,6.64,6.64,3730
1723713300000,6.63,6.65,6.63,6.64,9443
1723714200000,6.65,6.65,6.64,6.65,887
1723716000000,6.64,6.65,6.64,6.64,4056
1723716900000,6.63,6.635,6.62,6.62,13619
1723717800000,6.61,6.61,6.61,6.61,1535
1723718700000,6.62,6.62,6.61,6.61,10132
1723719600000,6.61,6.62,6.61,6.61,5992
1723720500000,6.62,6.62,6.62,6.62,13616
1723721400000,6.62,6.63,6.62,6.63,5059
1723722300000,6.64,6.64,6.63,6.63,1200
1723723200000,6.61,6.64,6.61,6.63,149959
1723724100000,6.64,6.64,6.62,6.64,32034
1723725000000,6.64,6.75,6.64,6.74,293594
1723725900000,6.74,6.77,6.73,6.74,250866
1723726800000,6.75,6.77,6.73,6.74,127368
1723727700000,6.74,6.75,6.72,6.74,43352
1723728600000,6.74,6.84,6.69,6.825,3980462
1723729500000,6.821,6.84,6.78,6.795,1893561
1723730400000,6.795,6.91,6.795,6.89,2956272
1723731300000,6.8947,6.92,6.86,6.875,2005590
1723732200000,6.875,6.91,6.865,6.8903,1629962
1723733100000,6.895,6.92,6.874,6.8941,1435281
1723734000000,6.8901,6.93,6.885,6.9001,1231046
1723734900000,6.905,6.91,6.87,6.88,1072930
1723735800000,6.885,6.89,6.85,6.89,1117511
1723736700000,6.885,6.93,6.87,6.905,1043964
1723737600000,6.905,6.91,6.86,6.86,915016
1723738500000,6.865,6.89,6.86,6.885,744930
1723739400000,6.885,6.9,6.86,6.86,912434
1723740300000,6.865,6.88,6.85,6.87,560069
1723741200000,6.865,6.87,6.85,6.85,400841
1723742100000,6.855,6.88,6.84,6.865,482474
1723743000000,6.865,6.9,6.86,6.895,668775
1723743900000,6.9,6.9,6.87,6.8754,708455
1723744800000,6.875,6.88,6.87,6.875,254625
1723745700000,6.88,6.93,6.87,6.9201,973340
1723746600000,6.925,6.94,6.91,6.935,754265
1723747500000,6.9344,6.96,6.9344,6.9556,1298243
1723748400000,6.955,6.96,6.94,6.94,781811
1723749300000,6.945,6.955,6.93,6.935,1115882
1723750200000,6.935,6.96,6.93,6.94,980369
1723751100000,6.945,6.95,6.88,6.915,3848107
1723752000000,6.91,6.92,6.9,6.91,1206980
1723752900000,6.91,6.91,6.9,6.9,6970
1723753800000,6.9,6.91,6.9,6.91,8340
1723754700000,6.905,6.91,6.9,6.9,7663
1723755600000,6.91,6.91,6.9,6.9,9614
1723756500000,6.91,6.91,6.88,6.8999,37665
1723757400000,6.9,6.91,6.9,6.9,2687
1723758300000,6.9,6.91,6.9,6.91,3982
1723759200000,6.91,6.92,6.9,6.92,6583
1723760100000,6.92,6.92,6.91,6.91,11557
