ts,open,high,low,close,volume
1629086400000,15.005,15.14,14.18,14.29,26535702
1629172800000,14.08,14.7,13.56,13.75,32244435
1629259200000,13.98,14.58,13.85,14.22,21107689
1629345600000,13.99,14.12,13.77,13.82,15846671
1629432000000,13.98,14.27,13.9,14.04,18256286
1629691200000,14.255,14.5,14.22,14.43,13582250
1629777600000,14.48,14.93,14.47,14.76,14164026
1629864000000,14.76,15.08,14.51,14.85,14087012
1629950400000,14.7631,14.79,14.2,14.36,17060639
1630036800000,14.31,14.41,14.04,14.04,20044539
1630296000000,14.1789,14.3796,14.0105,14.19,15797787
1630382400000,14.18,14.25,13.97,14.18,14756408
1630468800000,14.1432,14.69,14.11,14.57,17015545
1630555200000,14.6,15.2,14.4,15.06,19817672
1630641600000,15.02,15.53,14.92,15.16,19018511
1630987200000,15.5,16.13,15.46,15.84,22075771
1631073600000,15.81,16.006,15.135,15.47,15863655
1631160000000,15.31,15.84,15.26,15.69,18768223
1631246400000,15.77,15.91,15.23,15.29,17327952
1631505600000,15.33,15.39,14.67,15.01,20471701
1631592000000,15.0219,15.33,14.38,14.5,24831743
1631678400000,14.84,15.5,14.6308,15.45,42937858
1631764800000,15.4712,15.66,15.23,15.5,32014120
1631851200000,15.5197,15.58,15.06,15.09,86122291
1632110400000,14.58,14.91,14.42,14.57,36911330
1632196800000,14.62,15.28,14.56,15.17,31656038
1632283200000,15.86,17.085,15.61,16.84,56216615
1632369600000,17.2,17.35,16.67,17.14,29990619
1632456000000,16.86,17.79,16.62,17.64,23389021
1632715200000,17.66,18.08,16.85,17.7,36053162
1632801600000,17.4,17.67,16.795,17.04,25962649
1632888000000,16.35,17.17,16.01,16.01,39770752
1632974400000,15.9,16.06,15.3,15.88,39537254
1633060800000,15.875,16.49,15.75,16.45,19198133
1633320000000,16.29,16.68,15.8801,16.09,22389157
1633406400000,16.145,16.76,16.08,16.25,14245777
1633492800000,16.0,16.64,15.92,16.62,12239011
1633579200000,16.9365,17.09,16.34,16.4,15859121
1633665600000,16.5271,16.65,16.17,16.21,11278735
1633924800000,16.9,18.51,16.83,18.39,70654386
1634011200000,18.17,19.02,17.84,18.97,47861578
1634097600000,19.0,19.31,18.49,18.92,32071339
1634184000000,19.8,19.81,18.945,19.62,34656638
1634270400000,19.56,19.86,19.32,19.38,22467106
1634529600000,19.18,21.0,19.12,20.85,49060138
1634616000000,21.04,21.08,20.185,20.22,27115695
1634702400000,20.365,21.19,19.87,21.05,26230093
1634788800000,20.89,21.775,20.765,20.99,25229501
1634875200000,20.86,21.06,20.2,20.58,19283159
1635134400000,20.62,21.08,20.1,20.69,15399522
1635220800000,20.945,20.97,19.46,19.96,27071873
1635307200000,20.0,20.48,19.14,19.25,17793397
1635393600000,19.555,20.2,19.48,19.91,15427850
1635480000000,19.8,20.16,19.69,20.09,11873146
1635739200000,20.53,22.81,20.28,22.62,53202775
1635825600000,22.67,22.93,21.6,22.68,36705421
1635912000000,22.67,23.63,22.44,22.96,26792335
1635998400000,23.18,23.55,22.83,23.29,18864602
1636084800000,22.89,23.2189,22.24,22.57,19919393
1636347600000,22.63,23.07,22.445,22.74,17184465
1636434000000,23.14,23.25,21.61,22.14,24952533
1636520400000,21.14,21.85,19.85,20.42,46585389
1636606800000,23.99,24.65,22.6,22.97,73546795
1636693200000,23.17,23.6,22.17,22.76,29675330
1636952400000,22.975,24.12,22.75,22.92,30850060
1637038800000,22.6,22.63,21.42,21.67,42877277
1637125200000,21.85,22.04,21.025,21.12,19411539
1637211600000,21.2,21.32,20.2,20.57,25882367
1637298000000,20.11,21.1,19.94,20.37,26895288
1637557200000,20.52,20.6,18.32,18.75,40164995
1637643600000,18.5342,18.655,17.38,17.81,31777701
1637730000000,17.45,18.58,17.351,18.33,29237285
1637902800000,17.875,18.32,17.8,18.21,13581356
1638162000000,18.58,18.69,17.87,18.43,24162647
1638248400000,18.25,18.54,17.13,17.2,83183831
1638334800000,17.4122,17.91,16.23,16.39,35306469
1638421200000,16.41,16.625,15.96,16.43,27573281
1638507600000,16.43,16.44,14.62,15.19,64958944
1638766800000,15.06,15.84,14.5,15.72,34677852
1638853200000,16.14,16.72,16.12,16.62,31834084
1638939600000,16.79,17.165,16.25,16.94,26471608
1639026000000,16.66,16.91,15.55,15.66,32966154
1639112400000,15.79,15.87,14.87,15.01,41814279
1639371600000,14.89,15.25,14.02,14.58,41093559
1639458000000,14.27,14.72,14.16,14.48,27439841
1639544400000,14.44,15.28,14.03,15.16,33844675
1639630800000,15.356,15.44,14.18,14.27,43620588
1639717200000,14.08,14.77,13.66,14.65,47768289
1639976400000,14.48,15.21,14.28,14.59,32149707
1640062800000,14.87,15.17,14.72,14.97,28380742
1640149200000,14.86,15.37,14.73,14.99,24828377
1640235600000,14.981,15.19,14.73,15.09,20233125
1640581200000,15.11,15.49,14.85,15.39,20198323
1640667600000,15.28,15.49,14.67,14.85,24354937
1640754000000,14.8311,14.833,14.18,14.47,21234990
1640840400000,14.505,16.35,14.5,15.95,41938830
1640926800000,15.925,16.49,15.74,15.81,32253610
1641186000000,16.1,16.13,15.45,15.68,28886464
1641272400000,15.61,15.8612,14.59,15.05,35040057
1641358800000,14.88,15.23,14.04,14.1,35193841
1641445200000,14.0162,14.27,13.01,13.78,46864718
1641531600000,13.8205,14.4,13.62,13.74,28989115
1641790800000,13.455,13.49,12.82,13.37,37555351
1641877200000,13.295,14.14,13.25,13.94,24887837
1641963600000,14.3,14.42,13.75,13.86,25438919
1642050000000,14.0,14.04,13.055,13.09,30342675
1642136400000,12.952,13.32,12.66,13.2,32961797
1642482000000,12.8,13.11,12.02,12.06,59441418
1642568400000,14.37,14.39,13.37,13.71,188614332
1642654800000,14.27,16.47,14.01,15.0,271033022
1642741200000,14.985,14.985,13.64,13.89,136352426
1643000400000,13.01,13.35,11.83,13.3,138509408
1643086800000,12.7455,13.45,12.58,12.76,73639530
1643173200000,13.14,13.86,12.45,12.58,84477117
1643259600000,12.72,12.7901,11.27,11.36,84968798
1643346000000,11.34,11.34,10.51,11.1,79276616
1643605200000,11.2,12.495,11.05,12.48,74057474
1643691600000,12.682,13.55,12.37,13.27,90887562
1643778000000,13.03,13.06,11.9,12.16,74345109
1643864400000,11.8,12.22,11.38,11.57,56522941
1643950800000,11.54,12.075,11.16,11.89,47217246
1644210000000,11.9317,12.4,11.662,11.72,38311597
1644296400000,11.72,12.15,11.53,12.13,33248608
1644382800000,12.41,12.99,12.19,12.86,48234092
1644469200000,12.425,13.41,12.29,12.39,58186734
1644555600000,12.725,13.25,12.29,12.4,77515934
1644814800000,12.588,12.87,11.92,12.0,74065260
1644901200000,12.26,12.6373,11.97,12.58,51899693
1644987600000,12.61,13.28,12.6032,13.08,59025898
1645074000000,12.9104,13.17,12.15,12.18,45278877
1645160400000,12.1738,12.23,11.17,11.39,60166971
1645506000000,11.03,11.16,10.19,10.26,76837359
1645592400000,10.679,10.69,9.82,9.82,62743984
1645678800000,8.86,10.38,8.82,10.33,77833088
1645765200000,10.47,10.72,9.97,10.67,47291907
1646024400000,10.68,11.76,10.67,11.45,65995976
1646110800000,11.96,11.98,11.2,11.2,110820294
1646197200000,12.95,13.0,11.51,11.58,149442043
1646283600000,11.49,11.51,10.6144,10.69,71762317
1646370000000,10.642,11.01,9.92,10.0,64273638
1646629200000,9.975,10.22,9.59,9.62,54966345
1646715600000,9.51,10.0891,9.28,9.72,51526380
1646802000000,9.96,10.09,9.645,9.87,54868615
1646888400000,9.71,9.82,9.18,9.41,48299082
1646974800000,9.51,9.5368,8.52,8.55,71962957
1647230400000,8.45,8.45,7.735,7.93,76991634
1647316800000,7.96,8.29,7.79,8.2,53582512
1647403200000,8.08,8.76,8.05,8.57,86532426
1647489600000,8.55,9.08,8.38,8.91,69454562
1647576000000,8.92,9.975,8.82,9.87,68917610
1647835200000,9.82,9.93,9.33,9.57,41221530
1647921600000,9.56,10.06,9.25,9.72,59191918
1648008000000,9.6,9.78,9.325,9.37,39389726
1648094400000,9.4,9.5093,9.07,9.47,30676862
1648180800000,9.42,9.42,8.91,9.01,42821586
1648440000000,9.03,9.28,8.84,9.25,34496045
1648526400000,9.25,10.21,9.22,10.14,73716908
1648612800000,10.03,10.57,9.6316,9.77,60516041
1648699200000,9.82,9.87,9.42,9.45,34692670
1648785600000,9.47,9.62,9.21,9.33,30306682
1649044800000,9.42,10.03,9.4,9.77,34941249
1649131200000,9.83,10.095,9.09,9.12,47868057
1649217600000,8.98,9.03,8.46,8.75,57093051
1649304000000,8.275,8.385,7.64,8.12,109733410
1649390400000,8.07,8.1,7.78,7.87,39262366
1649649600000,7.7,7.93,7.56,7.72,38321225
1649736000000,7.81,8.09,7.37,7.48,59112598
1649822400000,7.45,7.68,7.24,7.61,39981003
1649908800000,7.66,7.66,7.22,7.26,43438351
1650254400000,7.26,7.315,6.97,7.13,51147890
1650340800000,7.11,7.58,7.05,7.41,40305555
1650427200000,7.36,7.36,6.93,6.95,57610259
1650513600000,7.03,7.11,6.48,6.6,67883816
1650600000000,6.6,6.68,6.32,6.39,46099419
1650859200000,6.27,6.61,6.23,6.55,38431381
1650945600000,6.5,6.5,6.14,6.29,50313898
1651032000000,6.25,6.46,6.09,6.15,42898708
1651118400000,6.3,6.54,6.02,6.45,46784521
1651204800000,6.37,6.75,6.1,6.12,34207779
1651464000000,6.105,6.34,6.01,6.33,44412644
1651550400000,6.28,6.42,6.18,6.4,27825085
1651636800000,6.36,7.17,6.2,7.14,77704728
1651723200000,7.05,7.11,6.57,6.83,47503637
1651809600000,6.82,6.87,6.345,6.44,51245661
1652068800000,6.23,6.39,5.79,5.97,51994827
1652155200000,5.75,5.8,4.82,5.25,126750292
1652241600000,5.21,5.61,4.95,5.49,78122843
1652328000000,5.31,5.79,5.05,5.66,67567748
1652414400000,6.08,6.86,6.01,6.75,76246513
1652673600000,7.02,7.235,6.835,6.91,61352300
1652760000000,7.09,7.34,6.96,7.05,55676545
1652846400000,6.93,7.56,6.8,7.23,54457715
1652932800000,7.25,7.99,7.15,7.75,58619915
1653019200000,8.02,8.04,7.13,7.49,58020403
1653278400000,7.36,7.49,7.1,7.27,33936811
1653364800000,7.07,7.15,6.62,6.72,39152989
1653451200000,6.74,7.16,6.6775,7.01,36751870
1653537600000,7.07,7.39,6.905,7.14,36164015
1653624000000,7.29,7.68,7.19,7.55,39035982
1653969600000,7.495,7.7,7.26,7.48,61720230
1654056000000,7.495,7.62,6.95,7.05,38470331
1654142400000,7.04,7.42,6.955,7.42,29508052
1654228800000,7.15,7.25,6.89,6.98,29459702
1654488000000,7.08,7.265,6.77,6.86,40195622
1654574400000,6.75,6.9,6.6706,6.86,27276956
1654660800000,6.78,6.97,6.61,6.66,31080254
1654747200000,6.68,6.69,6.11,6.11,36226038
1654833600000,5.97,6.25,5.85,5.94,38774910
1655092800000,5.61,5.7379,5.345,5.61,51779889
1655179200000,5.75,6.0383,5.72,5.925,39894995
1655265600000,5.95,6.17,5.6819,5.94,62558987
1655352000000,5.71,5.84,5.44,5.47,34838404
1655438400000,5.57,5.85,5.51,5.7,61168920
1655784000000,5.82,5.9792,5.72,5.72,34898863
1655870400000,5.62,5.82,5.54,5.6,37126112
1655956800000,5.65,5.92,5.6248,5.78,29926619
1656043200000,5.88,6.18,5.79,6.13,124901104
1656302400000,6.1,6.21,5.85,5.93,27752799
1656388800000,5.93,5.97,5.5,5.56,32151772
1656475200000,5.52,5.55,5.34,5.54,33418198
1656561600000,5.43,5.5099,5.23,5.27,28815668
1656648000000,5.26,5.485,5.17,5.41,22295182
1656993600000,5.33,5.84,5.14,5.84,29056847
1657080000000,5.8,6.1,5.78,5.9,25472500
1657166400000,5.9,6.28,5.85,6.26,31911657
1657252800000,6.0,6.3699,5.93,6.19,27608743
1657512000000,6.035,6.09,5.82,6.01,19966609
1657598400000,6.02,6.23,5.9,6.04,18476207
1657684800000,5.85,6.06,5.75,5.95,26236238
1657771200000,5.88,5.97,5.76,5.91,17670816
1657857600000,6.04,6.3,5.93,6.29,22599582
1658116800000,6.33,6.595,6.31,6.35,20465226
1658203200000,6.48,6.63,6.27,6.62,21783558
1658289600000,6.69,7.08,6.66,6.97,25469112
1658376000000,6.975,7.15,6.9,7.04,20599306
1658462400000,7.05,7.06,6.52,6.62,21697170
1658721600000,6.57,6.61,6.3695,6.46,14531735
1658808000000,6.37,6.37,6.12,6.14,16766496
1658894400000,6.25,6.47,6.19,6.44,17847755
1658980800000,6.45,6.56,6.09,6.3,22607034
1659067200000,6.27,6.37,6.15,6.31,20225365
1659326400000,6.27,6.41,6.14,6.36,21837753
1659412800000,6.34,6.63,6.31,6.41,50007130
1659499200000,7.28,8.42,7.05,8.23,148838212
1659585600000,8.17,8.52,7.86,8.23,62566650
1659672000000,8.02,8.26,7.82,7.96,44007114
1659931200000,8.14,8.49,7.88,7.98,57557297
1660017600000,7.7,7.76,7.25,7.39,50719412
1660104000000,7.78,7.95,7.51,7.81,52579004
1660190400000,8.08,8.14,7.365,7.42,66005150
1660276800000,7.51,7.7,7.3,7.65,36177490
1660536000000,7.57,7.7,7.39,7.62,38703098
1660622400000,7.5,7.809,7.19,7.58,57814319
1660708800000,7.43,7.45,6.82,6.88,76487435
1660795200000,6.95,6.96,6.62,6.68,39342792
1660881600000,6.52,6.5299,6.27,6.33,47611969
1661140800000,6.15,6.33,6.01,6.1,42530720
1661227200000,6.15,6.25,6.01,6.17,56692833
1661313600000,6.695,6.87,6.37,6.45,115179594
1661400000000,6.63,6.72,6.39,6.69,54706571
1661486400000,6.86,6.89,6.12,6.18,75738374
1661745600000,6.09,6.226,5.97,6.0,56734980
1661832000000,6.08,6.13,5.81,5.91,38683976
1661918400000,5.97,6.08,5.87,5.92,33454544
1662004800000,5.815,5.86,5.61,5.85,34995262
1662091200000,5.99,6.0,5.7,5.74,30196045
1662436800000,5.75,5.79,5.57,5.65,29234200
1662523200000,5.6,5.85,5.57,5.82,25791963
1662609600000,5.69,6.19,5.68,6.19,40350354
1662696000000,6.23,6.34,6.17,6.33,31889796
1662955200000,6.35,6.49,6.2901,6.41,29319414
1663041600000,6.02,6.14,5.79,5.84,45620344
1663128000000,6.06,6.19,5.9,6.17,64684192
1663214400000,6.13,6.65,6.1,6.41,60059372
