ts,open,high,low,close,volume
1629086400000,15.005,15.14,13.56,14.04,113990783
1629691200000,14.255,15.08,14.04,14.04,78938466
1630296000000,14.1789,15.53,13.97,15.16,86405923
1630900800000,15.5,16.13,15.135,15.29,74035601
1631505600000,15.33,15.66,14.38,15.09,206377713
1632110400000,14.58,17.79,14.42,17.64,178163623
1632715200000,17.66,18.08,15.3,16.45,160521950
1633320000000,16.29,17.09,15.8801,16.21,76011801
1633924800000,16.9,19.86,16.83,19.38,207711047
1634529600000,19.18,21.775,19.12,20.58,146918586
1635134400000,20.62,21.08,19.14,20.09,87565788
1635739200000,20.53,23.63,20.28,22.57,155484526
1636347600000,22.63,24.65,19.85,22.76,191944512
1636952400000,22.975,24.12,19.94,20.37,145916531
1637557200000,20.52,20.6,17.351,18.21,114761337
1638162000000,18.58,18.69,14.62,15.19,235185172
1638766800000,15.06,17.165,14.5,15.01,167763977
1639371600000,14.89,15.44,13.66,14.65,193766952
1639976400000,14.48,15.37,14.28,15.09,105591951
1640581200000,15.11,16.49,14.18,15.81,139980690
1641186000000,16.1,16.13,13.01,13.74,174974195
1641790800000,13.455,14.42,12.66,13.2,151186579
1642395600000,12.8,16.47,12.02,13.89,655441198
1643000400000,13.01,13.86,10.51,11.1,460871469
1643605200000,11.2,13.55,11.05,11.89,343030332
1644210000000,11.9317,13.41,11.53,12.4,255496965
1644814800000,12.588,13.28,11.17,11.39,290436699
1645419600000,11.03,11.16,8.82,10.67,264706338
1646024400000,10.68,13.0,9.92,10.0,462294268
1646629200000,9.975,10.22,8.52,8.55,281623379
1647230400000,8.45,9.975,7.735,9.87,355478744
1647835200000,9.82,10.06,8.91,9.01,213301622
1648440000000,9.03,10.57,8.84,9.33,233728346
1649044800000,9.42,10.095,7.64,7.87,288898133
1649649600000,7.7,8.09,7.22,7.26,180853177
1650254400000,7.26,7.58,6.32,6.39,263046939
1650859200000,6.27,6.75,6.02,6.12,212636287
1651464000000,6.105,7.17,6.01,6.44,248691755
1652068800000,6.23,6.86,4.82,6.75,400682223
1652673600000,7.02,8.04,6.8,7.49,288126878
1653278400000,7.36,7.68,6.62,7.55,185041667
1653883200000,7.495,7.7,6.89,6.98,159158315
1654488000000,7.08,7.265,5.85,5.94,173553780
1655092800000,5.61,6.17,5.345,5.7,250241195
1655697600000,5.82,6.18,5.54,6.13,226852698
1656302400000,6.1,6.21,5.17,5.41,144433619
1656907200000,5.33,6.3699,5.14,6.19,114049747
1657512000000,6.035,6.3,5.75,6.29,104949452
1658116800000,6.33,7.15,6.27,6.62,110014372
1658721600000,6.57,6.61,6.09,6.31,91978385
1659326400000,6.27,8.52,6.14,7.96,327256859
1659931200000,8.14,8.49,7.25,7.65,263038353
1660536000000,7.57,7.809,6.27,6.33,259959613
1661140800000,6.15,6.89,6.01,6.18,344848092
1661745600000,6.09,6.226,5.61,5.74,194064807
1662350400000,5.75,6.34,5.57,6.33,127266313
1662955200000,6.35,6.65,5.79,6.05,249124763
1663560000000,5.95,6.12,5.16,5.31,180260481
1664164800000,5.3,5.51,4.79,4.88,226064514
1664769600000,4.94,5.47,4.81,5.01,167401570
1665374400000,5.01,5.28,4.77,4.81,155773736
1665979200000,4.95,5.35,4.85,5.15,173377908
1666584000000,5.14,5.77,4.97,5.45,177464925
1667188800000,5.56,6.47,5.01,5.18,441689990
1667797200000,5.23,6.0,4.94,5.95,291778417
1668402000000,5.89,6.13,5.16,5.18,225186006
1669006800000,5.13,5.1899,4.51,4.6,265384474
1669611600000,4.54,4.91,4.41,4.7,200159146
1670216400000,4.7,4.73,4.24,4.34,130930110
1670821200000,4.31,4.92,4.27,4.64,201958874
1671426000000,4.66,4.76,4.37,4.61,139029613
1672030800000,4.55,4.65,4.24,4.61,123054028
1672635600000,4.65,4.88,4.43,4.62,142370685
1673240400000,4.67,5.49,4.67,5.44,218896048
1673845200000,5.45,5.75,5.31,5.67,141772502
1674450000000,5.71,6.04,5.54,5.94,182361459
1675054800000,6.59,8.24,6.37,7.46,474407177
1675659600000,7.35,7.64,6.64,6.81,198609074
1676264400000,6.75,7.29,6.43,6.62,153375696
1676869200000,6.46,6.69,6.31,6.38,87496240
1677474000000,6.45,6.79,6.23,6.72,102931795
1678078800000,6.8,6.97,5.21,5.58,188642448
1678680000000,5.46,5.74,5.1,5.46,188141296
1679284800000,5.47,6.03,5.19,5.74,182350994
1679889600000,5.82,6.17,5.51,6.07,145509800
1680494400000,6.14,6.275,5.58,5.75,110721640
1681099200000,5.69,6.06,5.66,5.92,130361922
1681704000000,5.89,6.1,5.81,5.94,97779110
1682308800000,5.92,6.3,5.66,6.23,166496969
