ts,open,high,low,close,volume
1313380800000,2.147578,2.252998,1.789387,1.799576,593210400
1313985600000,1.916752,2.130726,1.784292,2.051956,607248000
1314590400000,2.135037,2.348228,2.013159,2.035888,548344800
1315195200000,1.857184,2.193821,1.857184,1.928117,511017600
1315800000000,1.853266,2.272985,1.834063,2.247511,645681600
1316404800000,2.139876,2.27477,1.712449,1.817149,761107200
1317009600000,1.873225,2.118701,1.792053,1.799112,718492800
1317614400000,1.763819,1.981454,1.528146,1.902635,991432800
1318219200000,2.00106,2.257123,2.000276,2.252417,496879200
1318824000000,2.220656,2.330061,2.071645,2.32065,533990400
1319428800000,2.33359,2.625338,2.222224,2.58534,411391200
1320033600000,2.492404,2.498286,2.165756,2.379862,522561600
1320642000000,2.378293,2.524952,2.222224,2.433977,523274400
1321246800000,2.405743,2.435545,2.124582,2.163796,564945600
1321851600000,2.068508,2.078311,1.866951,1.866951,435038400
1322456400000,2.024981,2.389273,1.992433,2.29869,516439200
1323061200000,2.405743,2.431231,2.227322,2.357118,418977600
1323666000000,2.29673,2.328493,2.106544,2.152424,466195200
1324270800000,2.175952,2.408095,2.069684,2.407311,333422400
1324875600000,2.396332,2.431231,2.313199,2.358686,193675200
1325480400000,2.481424,2.51554,2.404173,2.483385,250048800
1326085200000,2.496326,2.593968,2.462603,2.556715,315369600
1326690000000,2.616712,2.70651,2.557107,2.704942,232653600
1327294800000,2.702588,2.819443,2.647297,2.720625,337656000
1327899600000,2.641022,2.895518,2.612396,2.891203,321727200
1328504400000,2.854736,2.956298,2.833169,2.882185,359592000
1329109200000,2.938654,3.019433,2.869246,3.009238,342136800
1329714000000,3.02806,3.059823,2.947672,3.040216,200712000
1330318800000,2.98218,3.125701,2.966103,3.068058,330736800
1330923600000,3.051196,3.101782,2.868854,3.077862,273854400
1331524800000,3.0759,3.317848,3.045706,3.30922,225048000
1332129600000,3.299808,3.374314,3.182168,3.257065,258580800
1332734400000,3.326865,3.418232,3.215107,3.324905,351813600
1333339200000,3.323337,3.435488,3.224912,3.262164,262809600
1333944000000,3.136681,3.191972,2.98414,3.067665,486412800
1334548800000,3.118642,3.219421,3.033158,3.120995,372931200
1335153600000,3.025707,3.31471,2.986102,3.286084,273470400
1335758400000,3.2653,3.375098,3.044921,3.050803,222357600
1336363200000,3.017471,3.087272,2.882578,2.954338,273674400
1336968000000,2.871598,2.917478,2.571616,2.582203,336052800
1337572800000,2.6073,2.795132,2.593967,2.726116,346358400
1338177600000,2.791602,2.836698,2.479071,2.479071,364857600
1338782400000,2.492797,2.797485,2.419075,2.769644,383436000
1339387200000,2.838658,2.881401,2.650434,2.871205,318686400
1339992000000,2.840024,3.011445,2.754117,2.824333,314488800
1340596800000,2.737249,2.995362,2.659188,2.990263,273043200
1341201600000,3.011445,3.079307,2.902395,2.943583,148296000
1341806400000,2.939268,2.992224,2.75804,2.957705,283994400
1342411200000,2.935346,3.117358,2.879251,3.001638,256896000
1343016000000,2.869444,3.167176,2.777261,3.145601,352903200
1343620800000,3.132657,3.201304,2.9326,3.18169,259056000
1344225600000,3.207971,3.289564,3.196596,3.283287,171849600
1344830400000,3.268773,3.386062,3.228762,3.377432,181130400
1345435200000,3.364094,3.442156,3.237784,3.329575,181831200
1346040000000,3.35468,3.36841,3.234254,3.29741,189636000
1346644800000,3.292702,3.528847,3.229939,3.526494,168448800
1347249600000,3.513156,3.805788,3.460984,3.74028,302246400
1347854400000,3.717136,3.755579,3.616715,3.691246,172699200
1348459200000,3.640252,3.720666,3.47393,3.545322,205159200
1349064000000,3.589649,3.785391,3.537085,3.705368,261964800
1349668800000,3.665748,3.6885,3.440979,3.457454,171854400
1350273600000,3.489229,3.730866,3.457455,3.486091,234120000
1350878400000,3.477853,3.514334,3.275442,3.342912,289406400
1351483200000,3.382138,3.510803,3.295055,3.350364,89078400
1352091600000,3.340558,3.493151,3.069893,3.104805,247627200
1352696400000,3.141286,3.184043,2.879643,2.987125,270096000
1353301200000,3.089507,3.324868,3.084407,3.320552,156645600
1353906000000,3.271912,3.402145,3.157369,3.367625,221997600
1354510800000,3.423327,3.431172,3.249553,3.391161,257030400
1355115600000,3.380178,3.547284,3.353896,3.368017,198393600
1355720400000,3.39783,3.6226,3.394299,3.492759,212964000
1356325200000,3.46754,3.481665,3.278038,3.282746,160845600
1356930000000,3.269406,3.759837,3.252927,3.744927,257757600
1357534800000,3.702946,3.799855,3.637032,3.798285,198590400
1358139600000,3.780238,3.901472,3.726487,3.892841,167325600
1358744400000,3.890487,4.040361,3.863022,4.039577,139874400
1359349200000,4.045462,4.132955,3.981903,4.117261,132864000
1359954000000,4.045072,4.167484,3.972096,4.160814,182988000
1360558800000,4.156497,4.226334,4.127071,4.189454,126391200
1361163600000,4.205934,4.281264,4.003876,4.160814,139939200
1361768400000,4.219664,4.239674,3.903042,4.176507,237763200
1362373200000,4.141587,4.466841,4.122754,4.451147,161721600
1362974400000,4.441731,4.563751,4.423684,4.539818,113664000
1363579200000,4.413283,4.54709,4.34736,4.51099,154072800
1364184000000,4.551799,4.622823,4.407005,4.594178,114796800
1364788800000,4.602811,4.65343,4.349716,4.468612,197990400
1365393600000,4.480776,4.870817,4.43565,4.789984,208780800
1365998400000,4.717392,4.728771,4.314008,4.47803,375187200
1366603200000,4.505888,4.807641,4.415637,4.717391,168396000
1367208000000,4.753885,5.043473,4.701696,4.996386,139231200
1367812800000,5.006979,5.213771,5.00227,5.190228,135667200
1368417600000,5.166292,5.533967,5.130584,5.528474,141991200
1369022400000,5.508854,5.734483,5.226722,5.358174,226804800
1369627200000,5.532791,5.60146,5.154913,5.17414,136108800
1370232000000,5.212202,5.331883,4.87121,5.293036,346060800
1370836800000,5.34758,5.353074,4.959893,5.134901,193737600
1371441600000,5.236138,5.39702,4.667163,4.807641,340918800
1372046400000,4.66516,5.056933,4.512847,4.903835,309906000
1372651200000,5.007471,5.172345,4.905406,5.167635,163008000
1373256000000,5.250855,5.635563,5.220236,5.600233,215720400
1373860800000,5.648125,5.776098,5.557837,5.772173,175930800
1374465600000,5.790231,5.837338,5.595523,5.758042,164341200
1375070400000,5.715645,5.943328,5.655976,5.941759,170350800
1375675200000,5.906428,5.944899,5.693661,5.772173,131854800
1376280000000,5.685812,5.827918,5.384328,5.419658,120849600
1376884800000,5.401599,5.506804,5.254782,5.487177,179210400
1377489600000,5.506021,5.555483,5.137015,5.182552,179397600
1378094400000,5.341145,5.51073,5.197469,5.416516,96835200
1378699200000,5.461268,5.769033,5.461268,5.744694,112842000
1379304000000,5.930768,6.183575,5.816927,5.966098,107067600
1379908800000,5.945496,5.962777,5.73341,5.782112,132397200
1380513600000,5.630507,5.833953,5.562168,5.768756,117066000
1381118400000,5.615584,5.902294,5.328089,5.896795,167640000
1381723200000,5.788394,6.337463,5.771113,6.315469,170631600
1382328000000,6.331967,6.492995,6.276195,6.491425,125732400
1382932800000,6.487496,6.664235,6.40816,6.514203,123789600
1383541200000,6.576257,6.673659,6.350031,6.621031,123687600
1384146000000,6.610034,6.938376,6.492994,6.937591,97036800
1384750800000,6.972153,7.020069,6.697225,7.01457,124364400
1385355600000,7.054631,7.125327,6.96744,7.034993,59242800
1385960400000,7.05306,7.089192,6.729431,7.021639,137802000
1386565200000,7.085266,7.108046,6.655594,6.687015,170318400
1387170000000,6.790702,7.247081,6.602966,7.19838,175832400
1387774800000,7.300494,7.510224,7.257291,7.468592,74833200
1388379600000,7.472519,7.56678,7.298922,7.336627,113461200
1388984400000,7.415964,7.501584,7.24708,7.491373,125870400
1389589200000,7.435599,7.580133,7.150461,7.419104,122870400
1390194000000,7.547929,7.556571,6.840974,6.840974,106869600
1390798800000,6.869251,6.941518,6.611605,6.754567,153808800
1391403600000,6.727076,6.925809,6.242418,6.912455,182721600
1392008400000,6.906956,7.451313,6.851971,7.407324,137912400
1392613200000,7.429317,7.522792,7.240796,7.397896,112753200
1393218000000,7.440316,7.78594,7.427749,7.676754,131300400
1393822800000,7.480378,8.008239,7.36648,7.913193,172921200
1394424000000,7.883339,7.976029,7.439528,7.466235,123528000
1395028800000,7.576207,7.994096,7.557354,7.750589,117649200
1395633600000,7.82914,7.887268,7.461523,7.650831,131470800
1396238400000,7.798508,8.183407,7.721529,7.762375,122694000
1396843200000,7.700316,7.848777,7.12297,7.143392,163264800
1397448000000,7.311494,7.790652,7.13554,7.725455,82018800
1398052800000,7.734094,7.977601,7.652401,7.711314,71660400
1398657600000,7.804006,8.06558,7.546359,7.935185,94003200
1399262400000,7.815,8.046724,7.670466,7.917116,74606400
1399867200000,8.017659,8.225033,7.717597,7.917116,84140400
1400472000000,7.868416,8.219538,7.788294,8.203042,59863200
1401076800000,8.298089,8.521172,8.283949,8.499179,39272400
1401681600000,8.539239,8.870722,8.410415,8.866795,51447600
1402286400000,8.858152,8.955554,8.555732,8.693981,57538800
1402891200000,8.654707,9.076523,8.624857,9.063955,58603200
1403496000000,9.070755,9.141498,8.808222,9.042459,54078000
1404100800000,9.024377,9.378089,9.00001,9.367871,36844800
1404705600000,9.315206,9.337216,8.922194,9.144639,57813600
1405310400000,9.275121,9.367086,8.968571,9.279838,62044800
1405915200000,9.193373,9.469269,9.100621,9.283766,45536400
1406520000000,9.28062,9.377302,8.426209,8.544113,98031600
