ts,open,high,low,close,volume
1317614400000,606749982720.0,612000006144.0,421200003072.0,441299992576.0,0
1318219200000,413699997696.0,413999988736.0,287100010496.0,292199989248.0,0
1318824000000,289349992448.0,391950008320.0,289349992448.0,325500010496.0,0
1319428800000,317550002176.0,343650009088.0,211650002944.0,214350004224.0,0
1320033600000,234600005632.0,352199999488.0,230850002944.0,296550006784.0,0
1320642000000,299850006528.0,365249986560.0,262500007936.0,289349992448.0,0
1321246800000,297900015616.0,369750016000.0,292350001152.0,332699992064.0,0
1321851600000,368100016128.0,369150001152.0,324899995648.0,365249986560.0,0
1322456400000,316649996288.0,337500012544.0,226049998848.0,247049994240.0,0
1323061200000,226799992832.0,287400001536.0,226199994368.0,244199997440.0,0
1323666000000,253049995264.0,262500007936.0,210749997056.0,223050006528.0,0
1324270800000,218250002432.0,222000005120.0,152549998592.0,173999996928.0,0
1324875600000,172499992576.0,186749992960.0,167399997440.0,182399991808.0,0
1325480400000,165600002048.0,170550001664.0,141900005376.0,144899997696.0,0
1326085200000,142199996416.0,150300000256.0,129450000384.0,142199996416.0,0
1326690000000,133049999360.0,141599997952.0,114900000768.0,115650002944.0,0
1327294800000,115049996288.0,116399996928.0,95849996288.0,96899997696.0,0
1327899600000,103950000128.0,105300000768.0,81600004096.0,81600004096.0,0
1328504400000,82800001024.0,120300003328.0,79349997568.0,108899999744.0,0
1329109200000,97199996928.0,117749997568.0,92249997312.0,99000000512.0,0
1329714000000,95249997824.0,100199997440.0,76950003712.0,85949997056.0,0
1330318800000,91800002560.0,92549996544.0,77699997696.0,80550002688.0,0
1330923600000,81299996672.0,93450002432.0,70125002752.0,73225003008.0,0
1331524800000,71199997952.0,71499997184.0,59225001984.0,61924999168.0,0
1332129600000,61249998848.0,61624999936.0,38849998848.0,39149998080.0,0
1332734400000,36074999808.0,45499998208.0,31499999232.0,36400001024.0,0
1333339200000,36724998144.0,43100000256.0,33749999616.0,40900001792.0,0
1333944000000,45924999168.0,53750001664.0,41600000000.0,46475001856.0,0
1334548800000,43100000256.0,48025001984.0,38200000512.0,39075000320.0,0
1335153600000,42800001024.0,44500000768.0,31549999104.0,32099999744.0,0
1335758400000,32949999616.0,37349998592.0,30624999424.0,36424998912.0,0
1336363200000,38074998784.0,40824999936.0,34325000192.0,37075001344.0,0
1336968000000,40299999232.0,62174998528.0,39199997952.0,60200001536.0,0
1337572800000,59299999744.0,61075001344.0,41250000896.0,47750000640.0,0
1338177600000,44949999616.0,59050000384.0,42924998656.0,58674999296.0,0
1338782400000,56249999360.0,60224999424.0,38324998144.0,38525001728.0,0
1339387200000,35575001088.0,48749998080.0,35174998016.0,37950001152.0,0
1339992000000,37399998464.0,38124998656.0,26325000192.0,26724999168.0,0
1340596800000,30850000896.0,32249999360.0,24399998976.0,24600000512.0,0
1341201600000,23625000960.0,24099999744.0,19750000640.0,21450000384.0,0
1341806400000,21124999168.0,22950000640.0,18749999104.0,18800001024.0,0
1342411200000,18624999424.0,19025000448.0,16325000192.0,18125000704.0,0
1343016000000,21074999296.0,23600001024.0,16650000384.0,17250000896.0,0
1343620800000,17025000448.0,19474999296.0,15025000448.0,15050000384.0,0
1344225600000,14549999616.0,15175000064.0,13150000128.0,13175000064.0,0
1344830400000,13299999744.0,14250000384.0,12375000064.0,12574999552.0,0
1345435200000,12800000000.0,14424999936.0,12174999552.0,12874999808.0,0
1346040000000,12675000320.0,14524999680.0,12449999872.0,13249999872.0,0
1346644800000,13425000448.0,13850000384.0,8652499968.0,8679999488.0,0
1347249600000,8984999936.0,9834999808.0,7127499776.0,8169999872.0,0
1347854400000,8482500096.0,8487499776.0,7125000192.0,7314999808.0,0
1348459200000,7497500160.0,9217500160.0,6960000000.0,7729999872.0,0
1349064000000,7357499904.0,8120000000.0,6550000128.0,6944999936.0,0
1349668800000,7152500224.0,7900000256.0,6965000192.0,7447499776.0,0
1350273600000,7340000256.0,7652499968.0,6259999744.0,7240000000.0,0
1350878400000,7194999808.0,8354999808.0,7040000000.0,7732499968.0,0
1351483200000,7434999808.0,8205000192.0,6485000192.0,7045000192.0,0
1352091600000,7227500032.0,8122500096.0,6600000000.0,7925000192.0,0
1352696400000,7717499904.0,7982499840.0,6485000192.0,6842500096.0,0
1353301200000,6335000064.0,6362500096.0,5045000192.0,5049999872.0,0
1353906000000,5227500032.0,5550000128.0,4645000192.0,4892499968.0,0
1354510800000,4652499968.0,5514999808.0,4640000000.0,4845000192.0,0
1355115600000,4927499776.0,5245000192.0,4550000128.0,5114999808.0,0
1355720400000,5150000128.0,6027500032.0,4335000064.0,5820000256.0,0
1356325200000,5657500160.0,7070000128.0,5602500096.0,6885000192.0,0
1356930000000,7154999808.0,7299999744.0,3792499968.0,3824999936.0,0
1357534800000,3924999936.0,3987500032.0,3532499968.0,3540000000.0,0
1358139600000,3522500096.0,3580000000.0,2860000000.0,2889999872.0,0
1358744400000,2895000064.0,3000000000.0,2524999936.0,2640000000.0,0
1359349200000,2624999936.0,3020000000.0,2575000064.0,2660000000.0,0
1359954000000,2820000000.0,3030000128.0,2602500096.0,2632499968.0,0
1360558800000,2607500032.0,2655000064.0,2367500032.0,2400000000.0,0
1361163600000,2362500096.0,2847500032.0,2177499904.0,2477499904.0,0
1361768400000,2312499968.0,3460000000.0,2249999872.0,2815000064.0,0
1362373200000,2897499904.0,2924999936.0,2187500032.0,2215000064.0,0
