ts,open,high,low,close,volume
1724417100000,44.26,44.26,44.26,44.26,224
1724418900000,44.3,44.3,44.3,44.3,958
1724419800000,44.26,44.38,44.26,44.34,265324
1724420700000,44.34,44.36,44.23,44.26,200960
1724421600000,44.26,44.59,44.26,44.56,356802
1724422500000,44.57,44.6,44.43,44.57,278170
1724423400000,44.58,44.63,44.54,44.62,213938
1724424300000,44.63,44.63,44.45,44.59,267416
1724425200000,44.59,44.69,44.56,44.69,220692
1724426100000,44.69,44.75,44.69,44.73,352524
1724427000000,44.73,44.77,44.68,44.69,345280
1724427900000,44.69,44.69,44.55,44.55,154276
1724428800000,44.55,44.56,44.44,44.48,196078
1724429700000,44.49,44.51,44.44,44.46,205198
1724430600000,44.46,44.52,44.4,44.41,177126
1724431500000,44.42,44.53,44.4,44.51,112690
1724432400000,44.5,44.53,44.49,44.53,53888
1724433300000,44.53,44.58,44.52,44.57,61316
1724434200000,44.57,44.59,44.56,44.59,86900
1724435100000,44.59,44.59,44.55,44.56,56432
1724436000000,44.56,44.59,44.54,44.55,81742
1724436900000,44.55,44.56,44.5,44.53,88570
1724437800000,44.53,44.54,44.5,44.52,101796
1724438700000,44.52,44.55,44.52,44.55,65978
1724439600000,44.55,44.61,44.5,44.59,73664
1724440500000,44.6,44.64,44.59,44.64,106540
1724441400000,44.64,44.65,44.59,44.6,331792
1724442300000,44.6,44.7,44.57,44.65,1003348
1724443200000,44.66,44.66,44.66,44.66,213084
1724676300000,44.79,44.79,44.79,44.79,1434
1724679000000,44.85,45.01,44.85,45.01,531622
1724679900000,45.01,45.11,45.0,45.1,239914
1724680800000,45.1,45.19,45.08,45.15,168576
1724681700000,45.15,45.17,45.1,45.15,159046
1724682600000,45.15,45.16,45.1,45.11,166804
1724683500000,45.1,45.12,45.01,45.01,193828
1724684400000,45.01,45.01,44.92,44.95,326730
1724685300000,44.95,44.95,44.9,44.93,91466
1724686200000,44.91,44.93,44.88,44.89,127600
1724687100000,44.88,44.88,44.84,44.85,354832
1724688000000,44.85,44.88,44.83,44.88,258968
1724688900000,44.88,44.93,44.87,44.91,218922
1724689800000,44.91,44.93,44.9,44.92,281552
1724690700000,44.92,44.98,44.92,44.98,150916
1724691600000,44.98,45.0,44.95,44.97,137476
1724692500000,44.97,44.98,44.93,44.94,140764
1724693400000,44.93,44.94,44.84,44.86,242164
1724694300000,44.86,44.86,44.81,44.84,263658
1724695200000,44.84,44.86,44.81,44.84,222150
1724696100000,44.84,44.87,44.83,44.86,210870
1724697000000,44.86,44.86,44.81,44.85,247710
1724697900000,44.86,44.86,44.81,44.86,192916
1724698800000,44.86,44.88,44.84,44.87,233010
1724699700000,44.87,44.88,44.85,44.85,243470
1724700600000,44.84,44.84,44.8,44.81,319096
1724701500000,44.81,44.86,44.78,44.86,1752790
1724702400000,44.85,44.9,44.85,44.9,162842
1724706000000,44.79,44.79,44.79,44.79,348
1724765400000,44.82,44.87,44.72,44.83,616302
1724766300000,44.82,44.86,44.77,44.78,259488
1724767200000,44.78,44.86,44.76,44.76,244366
1724768100000,44.75,44.84,44.74,44.84,131636
1724769000000,44.84,44.87,44.82,44.85,164476
1724769900000,44.86,44.86,44.79,44.79,290018
