ts,open,high,low,close,volume
1724414400000,44.26,44.26,44.26,44.26,224
1724418000000,44.3,44.38,44.23,44.26,467242
1724421600000,44.26,44.63,44.26,44.59,1116326
1724425200000,44.59,44.77,44.55,44.55,1072772
1724428800000,44.55,44.56,44.4,44.51,691092
1724432400000,44.5,44.59,44.49,44.56,258536
1724436000000,44.56,44.59,44.5,44.55,338086
1724439600000,44.55,44.7,44.5,44.65,1515344
1724443200000,44.66,44.66,44.66,44.66,213084
1724673600000,44.79,44.79,44.79,44.79,1434
1724677200000,44.85,45.11,44.85,45.1,771536
1724680800000,45.1,45.19,45.01,45.01,688254
1724684400000,45.01,45.01,44.84,44.85,900628
1724688000000,44.85,44.98,44.83,44.98,910358
1724691600000,44.98,45.0,44.81,44.84,784062
1724695200000,44.84,44.87,44.81,44.86,873646
1724698800000,44.86,44.88,44.78,44.86,2548366
1724702400000,44.85,44.9,44.85,44.9,162842
1724706000000,44.79,44.79,44.79,44.79,348
1724763600000,44.82,44.87,44.72,44.78,875790
1724767200000,44.78,44.87,44.74,44.79,830496
1724770800000,44.8,44.83,44.64,44.68,665182
1724774400000,44.67,44.67,44.57,44.62,576014
1724778000000,44.63,44.81,44.63,44.8,321682
1724781600000,44.79,44.85,44.79,44.82,422736
1724785200000,44.82,44.86,44.8,44.85,2801028
1724788800000,44.86,45.08,44.8,45.08,2105396
1724846400000,44.75,44.75,44.75,44.75,464
1724850000000,44.71,44.9,44.64,44.81,802160
1724853600000,44.81,44.83,44.72,44.81,922996
1724857200000,44.81,44.83,44.71,44.76,1027752
1724860800000,44.76,44.76,44.6,44.71,501586
1724864400000,44.71,44.74,44.56,44.56,625468
1724868000000,44.56,44.67,44.5,44.67,591180
1724871600000,44.66,44.72,44.57,44.68,1425116
1724875200000,44.67,44.67,44.57,44.57,581666
1724936400000,44.82,44.91,44.54,44.62,916998
1724940000000,44.62,44.88,44.62,44.83,740844
1724943600000,44.84,44.99,44.83,44.98,420428
1724947200000,44.98,45.15,44.98,45.15,464054
1724950800000,45.15,45.18,45.08,45.18,400508
1724954400000,45.18,45.19,44.9,44.97,1167926
1724958000000,44.97,45.07,44.82,44.92,1700562
1724961600000,44.91,45.01,44.64,44.64,217698
1725022800000,45.04,45.27,45.02,45.16,848976
1725026400000,45.16,45.29,45.14,45.18,695512
1725030000000,45.18,45.21,44.94,45.0,653078
1725033600000,45.0,45.04,44.82,44.94,1067432
1725037200000,44.94,44.99,44.91,44.97,614314
1725040800000,44.97,45.16,44.96,45.14,572728
1725044400000,45.14,45.47,45.12,45.39,2871474
1725048000000,45.4,45.4,45.35,45.4,1228362
