ts,open,high,low,close,volume
1723473900000,42.35,42.425,42.325,42.42,398059
1723474800000,42.429,42.45,42.375,42.375,489626
1723475700000,42.375,42.39,42.2089,42.26,718585
1723476600000,42.26,42.26,42.21,42.2485,380416
1723477500000,42.25,42.36,42.22,42.355,512874
1723478400000,42.35,42.3899,42.2501,42.285,480189
1723479300000,42.285,42.2851,42.24,42.2636,447906
1723480200000,42.26,42.275,42.2,42.255,531719
1723481100000,42.255,42.29,42.2001,42.205,625369
1723482000000,42.2,42.215,42.14,42.21,547392
1723482900000,42.22,42.295,42.195,42.23,323391
1723483800000,42.24,42.25,42.19,42.19,703924
1723484700000,42.1999,42.21,42.1,42.125,488573
1723485600000,42.125,42.19,42.11,42.1799,405561
1723486500000,42.175,42.19,42.13,42.145,508082
1723487400000,42.145,42.18,42.135,42.175,362133
1723488300000,42.175,42.2,42.16,42.185,567939
1723489200000,42.185,42.195,42.14,42.155,1171306
1723490100000,42.15,42.19,42.1436,42.175,553344
1723491000000,42.18,42.2,42.11,42.115,940410
1723491900000,42.11,42.19,42.09,42.18,3509054
1723492800000,42.18,42.2,42.18,42.2,821264
1723493700000,42.21,42.2203,42.21,42.22,14121
1723494600000,42.21,42.21,42.19,42.19,5225
1723495500000,42.19,42.2,42.18,42.19,9672
1723496400000,42.2,42.2,42.2,42.2,100
1723497300000,42.18,42.18,42.18,42.18,27140
1723498200000,42.2,42.2,42.2,42.2,1118
1723500000000,42.21,42.21,42.21,42.21,860
1723500900000,42.19,42.19,42.19,42.19,106
1723501800000,42.2,42.2,42.19,42.19,3108
1723502700000,42.2,42.22,42.18,42.2,6359
1723503600000,42.19,42.22,42.19,42.2,1781
1723505400000,42.24,42.25,42.22,42.22,2734
1723506300000,42.2,42.22,42.19,42.19,800
1723536900000,42.27,42.27,42.27,42.27,805
1723541400000,42.26,42.26,42.26,42.26,251
1723542300000,42.29,42.29,42.29,42.29,100
1723543200000,42.27,42.27,42.25,42.25,5083
1723544100000,42.25,42.25,42.24,42.24,1913
1723545000000,42.21,42.21,42.2,42.2,632
1723546800000,42.2,42.21,42.2,42.21,3059
1723547700000,42.21,42.22,42.21,42.22,2504
1723548600000,42.22,42.22,42.21,42.22,2025
1723550400000,42.22,42.31,42.18,42.31,20372
1723551300000,42.27,42.27,42.27,42.27,600
1723552200000,42.34,42.39,42.33,42.35,26744
1723553100000,42.33,42.35,42.33,42.35,2541
1723554000000,42.35,42.37,42.3,42.31,16025
1723554900000,42.3,42.4,42.3,42.4,5154
1723555800000,42.43,42.43,42.245,42.355,1520705
1723556700000,42.36,42.395,42.215,42.26,994350
1723557600000,42.26,42.28,42.12,42.155,1371698
1723558500000,42.155,42.225,42.12,42.215,606091
1723559400000,42.21,42.2899,42.175,42.2845,817278
1723560300000,42.285,42.315,42.27,42.3,408804
1723561200000,42.3,42.3298,42.26,42.29,422368
1723562100000,42.29,42.33,42.285,42.3,650680
1723563000000,42.3,42.305,42.2575,42.28,508550
1723563900000,42.28,42.335,42.28,42.3167,274325
1723564800000,42.315,42.37,42.304,42.34,555934
1723565700000,42.34,42.41,42.33,42.34,420815
1723566600000,42.34,42.39,42.31,42.38,609850
1723567500000,42.385,42.425,42.36,42.385,438419
1723568400000,42.385,42.385,42.33,42.35,485481
1723569300000,42.35,42.365,42.33,42.35,624658
1723570200000,42.35,42.356,42.32,42.33,551001
1723571100000,42.335,42.39,42.28,42.38,1392057
1723572000000,42.375,42.4199,42.37,42.41,513241
1723572900000,42.41,42.42,42.3701,42.41,478869
1723573800000,42.41,42.475,42.405,42.445,544010
1723574700000,42.445,42.4599,42.425,42.445,522392
1723575600000,42.44,42.485,42.43,42.455,584112
1723576500000,42.45,42.46,42.425,42.455,520252
1723577400000,42.45,42.49,42.44,42.48,1361713
1723578300000,42.475,42.56,42.4301,42.53,6471226
1723579200000,42.53,42.54,42.48,42.54,1090618
1723580100000,42.55,42.56,42.52,42.52,23197
1723581000000,42.52,42.52,42.51,42.51,1901
1723581900000,42.505,42.51,42.5,42.51,4020
1723582800000,42.5296,42.53,42.5296,42.53,34819
1723590000000,42.53,42.53,42.53,42.53,180
1723592700000,42.56,42.57,42.56,42.57,1604
1723625100000,42.57,42.57,42.57,42.57,165
1723626900000,42.57,42.57,42.57,42.57,501
1723627800000,42.57,42.57,42.57,42.57,2638
1723628700000,42.56,42.56,42.55,42.55,5090
1723629600000,42.55,42.55,42.53,42.53,1518
1723631400000,42.55,42.55,42.55,42.55,338
1723632300000,42.54,42.55,42.54,42.55,3269
1723633200000,42.55,42.56,42.54,42.54,6073
1723634100000,42.54,42.54,42.53,42.53,590
1723635000000,42.54,42.54,42.54,42.54,641
1723635900000,42.55,42.56,42.55,42.56,12051
1723636800000,42.53,42.57,42.53,42.57,1715
1723637700000,42.58,42.59,42.58,42.59,4318
1723638600000,42.6,42.66,42.52,42.66,44412
1723639500000,42.65,42.65,42.63,42.65,2899
1723640400000,42.65,42.65,42.63,42.64,9770
1723641300000,42.63,42.65,42.62,42.63,1812
1723642200000,42.63,42.69,42.6,42.67,1257671
1723643100000,42.67,42.77,42.61,42.715,1904461
1723644000000,42.715,42.8,42.68,42.78,1816551
1723644900000,42.78,42.85,42.765,42.8179,1338985
1723645800000,42.815,42.82,42.715,42.77,1188925
1723646700000,42.7774,42.7999,42.73,42.775,587674
1723647600000,42.775,42.83,42.755,42.82,464022
1723648500000,42.815,42.8874,42.8,42.885,697961
1723649400000,42.885,42.94,42.87,42.89,809737
1723650300000,42.8999,42.92,42.8837,42.915,520890
1723651200000,42.915,42.975,42.895,42.965,889893
1723652100000,42.965,42.98,42.865,42.87,1462108
1723653000000,42.87,42.97,42.865,42.905,449744
1723653900000,42.905,42.99,42.89,42.98,512623
1723654800000,42.97,42.98,42.92,42.9399,452732
1723655700000,42.935,42.976,42.935,42.965,511047
1723656600000,42.9699,43.02,42.95,43.015,539620
1723657500000,43.01,43.04,42.995,43.0259,574853
1723658400000,43.02,43.03,42.9646,42.965,450333
1723659300000,42.965,42.99,42.96,42.98,344269
1723660200000,42.975,43.05,42.975,43.045,507317
1723661100000,43.04,43.1,43.03,43.095,538946
1723662000000,43.095,43.13,43.055,43.065,629249
1723662900000,43.06,43.065,43.0344,43.045,724321
1723663800000,43.0456,43.0952,43.03,43.085,2570266
1723664700000,43.085,43.13,43.02,43.05,6759287
1723665600000,43.05,43.07,43.05,43.06,1481143
1723666500000,43.07,43.1,43.07,43.09,29404
1723667400000,43.09,43.09,43.07,43.0706,19763
1723668300000,43.09,43.09,43.04,43.05,14575
