ts,open,high,low,close,volume
1629086400000,38.33,38.52,37.995,38.48,49820802
1629172800000,38.22,38.5,37.8337,38.21,57763000
1629259200000,38.06,38.33,37.7101,37.74,40401677
1629345600000,37.33,37.74,37.215,37.46,48961333
1629432000000,37.46,37.75,37.32,37.69,34881843
1629691200000,37.88,38.16,37.88,38.0,30007517
1629777600000,38.07,38.32,38.04,38.23,39674786
1629864000000,38.33,38.92,38.25,38.68,47904760
1629950400000,38.85,38.9,38.45,38.49,38484292
1630036800000,38.54,39.01,38.53,39.0,39879045
1630296000000,39.02,39.04,38.43,38.45,30638953
1630382400000,38.42,38.69,38.26,38.4,51346396
1630468800000,38.43,38.45,38.05,38.18,44583200
1630555200000,38.27,38.445,38.16,38.31,31818518
1630641600000,38.24,38.32,37.98,38.07,35736185
1630987200000,38.2,38.2,37.84,37.84,41383268
1631073600000,37.75,37.93,37.55,37.75,33297201
1631160000000,37.7,38.22,37.67,37.86,35409120
1631246400000,38.07,38.11,37.57,37.58,40536292
1631505600000,37.85,38.065,37.74,38.01,41454743
1631592000000,38.14,38.28,37.375,37.5,47040425
1631678400000,37.48,37.95,37.44,37.86,37786850
1631764800000,38.0,38.19,37.58,37.75,42630194
1631851200000,37.7,37.935,37.48,37.58,90670825
1632110400000,36.59,36.685,36.03,36.55,108120261
1632196800000,36.78,36.915,36.41,36.5,48665704
1632283200000,36.96,37.37,36.88,37.11,60241608
1632369600000,37.47,38.2,37.41,38.02,74283170
1632456000000,37.99,38.355,37.935,38.22,58042695
1632715200000,38.56,38.85,38.49,38.74,64267923
1632801600000,38.73,38.92,38.0409,38.1,104121985
1632888000000,38.22,38.3,37.95,38.13,51200399
1632974400000,38.35,38.36,37.52,37.53,85971537
1633060800000,37.63,38.41,37.49,38.15,70423341
1633320000000,38.09,38.59,37.755,37.82,75786435
1633406400000,38.1,38.75,37.955,38.56,56058435
1633492800000,38.21,38.63,37.93,38.6,63431067
1633579200000,39.0,39.24,38.78,38.83,53306005
1633665600000,38.87,39.1557,38.69,39.02,40656846
1633924800000,39.11,39.4,38.61,38.63,54900133
1634011200000,38.58,38.765,38.41,38.51,59800003
1634097600000,38.5,38.54,37.74,38.29,72954078
1634184000000,38.72,38.94,38.35,38.93,53146319
1634270400000,39.31,39.71,39.18,39.51,58337673
1634529600000,39.43,39.7499,39.32,39.52,56312728
1634616000000,39.7,39.91,39.55,39.91,33873751
1634702400000,39.84,40.23,39.73,40.23,47018484
1634788800000,40.22,40.3099,39.855,40.06,36011970
1634875200000,40.25,40.6879,40.21,40.62,42378293
1635134400000,40.72,40.77,40.465,40.57,33440285
1635220800000,40.67,40.86,40.54,40.6,49834979
1635307200000,40.5,40.68,39.92,39.93,66716979
1635393600000,40.09,40.44,40.0649,40.42,48440544
1635480000000,40.47,40.545,40.18,40.26,46290561
1635739200000,40.54,40.63,40.12,40.28,37928458
1635825600000,40.27,40.5,40.16,40.38,32176398
1635912000000,40.25,40.68,40.17,40.53,43637690
1635998400000,40.38,40.48,39.69,40.0,50315852
1636084800000,40.32,40.49,39.89,40.02,62718647
1636347600000,40.27,40.535,40.141,40.24,33417283
1636434000000,40.03,40.155,39.7643,40.02,49334400
1636520400000,39.98,40.2,39.85,39.95,66882135
1636606800000,40.01,40.19,39.84,40.06,35603391
1636693200000,40.12,40.16,39.79,40.15,44721631
1636952400000,40.26,40.36,40.07,40.15,31056129
1637038800000,40.2,40.35,40.0,40.11,34126052
1637125200000,40.05,40.05,39.54,39.65,54359859
1637211600000,39.69,39.765,39.265,39.45,43251343
1637298000000,39.11,39.25,38.715,39.02,76677323
1637557200000,39.54,39.96,39.22,39.57,83130693
1637643600000,39.83,40.22,39.66,40.19,61854368
1637730000000,40.11,40.26,39.945,40.1,42016937
1637902800000,38.84,39.005,38.33,38.77,79095497
1638162000000,39.22,39.36,38.595,38.89,79574601
1638248400000,38.42,38.58,37.9,37.96,123711190
1638334800000,38.63,38.88,37.54,37.54,108733774
