ts,open,high,low,close,volume
1723474800000,42.429,42.45,42.2089,42.355,2101501
1723478400000,42.35,42.3899,42.2,42.205,2085183
1723482000000,42.2,42.295,42.1,42.125,2063280
1723485600000,42.125,42.2,42.11,42.185,1843715
1723489200000,42.185,42.2,42.09,42.18,6174114
1723492800000,42.18,42.2203,42.18,42.19,850282
1723496400000,42.2,42.2,42.18,42.2,28358
1723500000000,42.21,42.22,42.18,42.2,10433
1723503600000,42.19,42.25,42.19,42.19,5315
1723536000000,42.27,42.27,42.27,42.27,805
1723539600000,42.26,42.29,42.26,42.29,351
1723543200000,42.27,42.27,42.2,42.2,7628
1723546800000,42.2,42.22,42.2,42.22,7588
1723550400000,42.22,42.39,42.18,42.35,50257
1723554000000,42.35,42.43,42.215,42.26,2536234
1723557600000,42.26,42.315,42.12,42.3,3203871
1723561200000,42.3,42.335,42.2575,42.3167,1855923
1723564800000,42.315,42.425,42.304,42.385,2025018
1723568400000,42.385,42.39,42.28,42.38,3053197
1723572000000,42.375,42.475,42.37,42.445,2058512
1723575600000,42.44,42.56,42.425,42.53,8937303
1723579200000,42.53,42.56,42.48,42.51,1119736
1723582800000,42.5296,42.53,42.5296,42.53,34819
1723590000000,42.53,42.57,42.53,42.57,1784
1723622400000,42.57,42.57,42.57,42.57,165
1723626000000,42.57,42.57,42.55,42.55,8229
1723629600000,42.55,42.55,42.53,42.55,5125
1723633200000,42.55,42.56,42.53,42.56,19355
1723636800000,42.53,42.66,42.52,42.65,53344
1723640400000,42.65,42.77,42.6,42.715,3173714
1723644000000,42.715,42.85,42.68,42.775,4932135
1723647600000,42.775,42.94,42.755,42.915,2492610
1723651200000,42.915,42.99,42.865,42.98,3314368
1723654800000,42.97,43.04,42.92,43.0259,2078252
1723658400000,43.02,43.1,42.96,43.095,1840865
1723662000000,43.095,43.13,43.02,43.05,10683123
1723665600000,43.05,43.1,43.04,43.05,1544885
1723669200000,43.05,43.05,43.04,43.04,132643
1723672800000,43.05,43.05,43.0292,43.0292,20800
1723676400000,43.04,43.04,43.02,43.02,5226
1723708800000,43.11,43.11,43.1,43.1,3440
1723712400000,43.13,43.13,43.13,43.13,1064
1723716000000,43.1,43.12,43.09,43.09,8430
1723719600000,43.11,43.12,43.07,43.12,13612
1723723200000,43.09,43.53,43.07,43.5,71025
1723726800000,43.49,43.69,43.405,43.44,6019714
1723730400000,43.44,43.49,43.31,43.47,4902224
1723734000000,43.47,43.53,43.45,43.45,3454310
1723737600000,43.4534,43.54,43.435,43.5,3193172
1723741200000,43.4951,43.52,43.44,43.465,2133743
1723744800000,43.465,43.55,43.45,43.5,2527101
1723748400000,43.495,43.57,43.4,43.48,8840982
1723752000000,43.45,43.48,43.41,43.44,1895200
1723755600000,43.43,43.45,43.43,43.43,157065
1723759200000,43.45,43.47,43.45,43.47,6089
1723762800000,43.45,43.5,43.45,43.46,3499
1723795200000,43.51,43.53,43.5,43.52,2470
1723798800000,43.52,43.52,43.48,43.48,13241
1723802400000,43.48,43.48,43.41,43.42,10627
1723806000000,43.43,43.43,43.42,43.43,10681
1723809600000,43.4104,43.5,43.34,43.35,19887
1723813200000,43.35,43.645,43.35,43.6351,2157898
1723816800000,43.63,43.715,43.4801,43.57,3614608
1723820400000,43.575,43.655,43.55,43.63,2476103
1723824000000,43.625,43.75,43.62,43.7356,1802807
1723827600000,43.735,43.76,43.685,43.7329,2116516
1723831200000,43.74,43.755,43.69,43.75,3377284
1723834800000,43.74,43.76,43.68,43.75,7206912
1723838400000,43.77,43.78,43.75,43.77,1390922
1723842000000,43.78,43.79,43.77,43.78,32942
1723845600000,43.7408,43.76,43.71,43.72,6204
1723849200000,43.76,43.77,43.76,43.76,1408
1724054400000,43.77,43.81,43.77,43.81,2030
1724058000000,43.81,43.81,43.81,43.81,1499
1724061600000,43.8,43.81,43.8,43.81,1554
1724065200000,43.78,43.8,43.78,43.78,4779
1724068800000,43.8,43.81,43.78,43.8,10668
1724072400000,43.82,43.9696,43.78,43.85,2750643
1724076000000,43.86,44.02,43.84,43.995,3537400
1724079600000,43.995,43.995,43.9101,43.935,2309229
1724083200000,43.935,44.02,43.93,43.995,1650672
1724086800000,43.995,44.0,43.92,43.945,1589003
1724090400000,43.945,43.98,43.91,43.9499,2124034
1724094000000,43.95,44.01,43.91,44.01,6565721
1724097600000,44.01,44.04,43.97,43.99,1458036
1724101200000,44.01,44.01,43.98,43.98,88093
1724104800000,43.98,44.04,43.98,44.04,19089
1724108400000,43.99,44.01,43.99,44.01,1739
1724140800000,44.02,44.02,44.02,44.02,118
1724148000000,44.0,44.01,43.98,43.99,4809
1724151600000,43.99,44.0,43.97,43.99,5122
1724155200000,43.9998,44.0,43.9704,43.9704,7576
1724158800000,43.97,43.995,43.82,43.935,2187660
1724162400000,43.935,43.995,43.86,43.945,4220162
1724166000000,43.94,43.9899,43.815,43.905,2450991
1724169600000,43.9025,43.92,43.825,43.8601,2011715
1724173200000,43.86,43.86,43.7801,43.8,1446670
1724176800000,43.795,43.93,43.795,43.85,1888337
1724180400000,43.855,43.8851,43.78,43.86,4627618
1724184000000,43.87,43.93,43.86,43.9,510411
1724187600000,43.87,43.9,43.87,43.9,145885
1724191200000,43.9,43.91,43.89,43.89,12653
1724194800000,43.9,43.9,43.88,43.88,1890
1724227200000,43.93,43.93,43.93,43.93,833
1724230800000,43.93,43.93,43.93,43.93,250
1724234400000,43.93,43.94,43.93,43.94,1050
1724238000000,43.94,43.96,43.93,43.96,1015
1724241600000,43.97,43.97,43.93,43.94,13560
1724245200000,43.94,43.99,43.72,43.77,1688987
1724248800000,43.775,43.8,43.57,43.65,3137831
1724252400000,43.64,43.72,43.58,43.605,1984722
1724256000000,43.605,43.73,43.58,43.715,2471029
1724259600000,43.7199,43.77,43.71,43.73,1977979
1724263200000,43.7379,43.81,43.725,43.765,3062207
1724266800000,43.765,43.82,43.69,43.8,4018690
1724270400000,43.8,43.85,43.75,43.75,1170384
1724274000000,43.75,43.8,43.73,43.73,362657
1724277600000,43.75,43.78,43.75,43.78,5189
1724281200000,43.76,43.785,43.76,43.78,3190
1724313600000,43.85,43.85,43.85,43.85,1000
1724317200000,43.85,43.85,43.84,43.85,1208
1724328000000,43.83,43.85,43.8,43.85,75879
1724331600000,43.86,43.985,43.81,43.935,3749585
1724335200000,43.935,43.96,43.835,43.935,2177190
1724338800000,43.935,43.985,43.81,43.91,2662083
1724342400000,43.905,44.0285,43.8801,43.905,2575587
1724346000000,43.9,43.99,43.81,43.85,2517368
1724349600000,43.85,44.015,43.83,43.965,2892148
1724353200000,43.97,44.05,43.92,44.04,4599876
1724356800000,44.05,44.13,44.04,44.119,2949623
1724360400000,44.11,44.12,44.1,44.1,10963
1724364000000,44.11,44.11,44.11,44.11,3144
1724367600000,44.11,44.12,44.09,44.12,4074
1724400000000,44.15,44.18,44.15,44.18,5714
1724403600000,44.18,44.18,44.18,44.18,1803
1724407200000,44.19,44.22,44.19,44.22,4948
1724410800000,44.19,44.2,44.17,44.2,11769
1724414400000,44.19,44.24,44.17,44.22,6944
1724418000000,44.22,44.27,44.105,44.19,3646830
1724421600000,44.19,44.4,44.19,44.38,9212374
1724425200000,44.38,44.54,44.29,44.29,4766483
1724428800000,44.29,44.295,44.09,44.25,3148713
1724432400000,44.24,44.315,44.2215,44.255,1452057
1724436000000,44.255,44.35,44.235,44.325,1978666
1724439600000,44.33,44.46,44.295,44.41,7699882
1724443200000,44.43,44.44,44.39,44.44,727506
1724446800000,44.43,44.44,44.42,44.42,2512
1724450400000,44.43,44.43,44.43,44.43,351
1724454000000,44.45,44.45,44.45,44.45,5971
1724659200000,44.4,44.59,44.4,44.56,17148
1724666400000,44.56,44.56,44.53,44.53,1414
1724670000000,44.52,44.56,44.51,44.54,15267
1724673600000,44.57,44.59,44.5024,44.59,10345
1724677200000,44.6,44.69,44.545,44.68,3281354
1724680800000,44.68,44.81,44.62,44.63,5504156
1724684400000,44.63,44.64,44.53,44.57,2696215
1724688000000,44.565,44.65,44.552,44.64,1942289
1724691600000,44.645,44.665,44.47,44.505,3586726
1724695200000,44.5,44.57,44.47,44.535,1467796
1724698800000,44.53,44.59,44.49,44.57,3875497
1724702400000,44.57,44.6,44.56,44.57,1108172
1724706000000,44.56,44.56,44.56,44.56,2504
1724709600000,44.57,44.57,44.55,44.56,7762
1724713200000,44.57,44.57,44.57,44.57,6013
1724745600000,44.6,44.6,44.6,44.6,357
1724749200000,44.63,44.63,44.61,44.61,5166
1724752800000,44.6,44.6,44.55,44.55,8908
1724756400000,44.55,44.6,44.55,44.6,17660
1724760000000,44.5112,44.59,44.5,44.51,33890
1724763600000,44.5,44.775,44.47,44.66,2555886
1724767200000,44.66,44.745,44.585,44.725,1915601
1724770800000,44.73,44.76,44.65,44.72,2405470
1724774400000,44.715,44.76,44.66,44.72,2845274
1724778000000,44.72,44.82,44.716,44.775,1769170
1724781600000,44.775,44.8,44.745,44.775,2906926
1724785200000,44.775,44.81,44.72,44.79,6276879
1724788800000,44.8,44.8,44.73,44.74,801303
1724792400000,44.74,44.75,44.73,44.75,17126
1724796000000,44.75,44.76,44.72,44.73,10859
1724799600000,44.73,44.7401,44.72,44.7401,6821
1724832000000,44.81,44.83,44.79,44.79,14982
1724835600000,44.8,44.84,44.8,44.84,2130
1724839200000,44.81,44.81,44.79,44.79,2000
1724842800000,44.79,44.8,44.76,44.76,4973
1724846400000,44.75,44.76,44.72,44.72,6994
1724850000000,44.75,45.1,44.68,45.005,3903522
1724853600000,45.005,45.11,44.91,45.085,3273292
1724857200000,45.09,45.155,44.9,44.925,2953386
1724860800000,44.925,44.945,44.81,44.845,1658546
1724864400000,44.85,44.865,44.665,44.675,2051541
1724868000000,44.675,44.8299,44.64,44.825,3067853
1724871600000,44.82,44.97,44.725,44.92,5551288
1724875200000,44.91,44.94,44.83,44.93,598503
1724878800000,44.9297,44.9297,44.84,44.84,48146
1724882400000,44.88,44.92,44.81,44.81,83854
1724886000000,44.869,44.869,44.81,44.849,1069
1724918400000,45.07,45.12,45.06,45.095,37622
1724922000000,45.1,45.12,45.1,45.1,16886
1724925600000,45.1,45.12,45.08,45.08,6574
1724929200000,45.08,45.12,45.08,45.11,17220
1724932800000,45.0895,45.2,45.02,45.18,65708
1724936400000,45.17,45.18,44.75,44.88,4204691
1724940000000,44.89,45.19,44.89,45.105,3684651
1724943600000,45.11,45.305,45.11,45.305,4343033
1724947200000,45.31,45.365,45.3,45.355,2900784
1724950800000,45.355,45.4152,45.31,45.4,2509567
1724954400000,45.4,45.46,45.165,45.2541,4090081
1724958000000,45.255,45.41,45.21,45.295,9588230
1724961600000,45.31,45.38,45.29,45.34,1793632
1724965200000,45.35,45.35,45.34,45.35,18890
1724968800000,45.35,45.35,45.3,45.3,21814
1724972400000,45.34,45.34,45.34,45.34,1800
1725004800000,45.48,45.49,45.44,45.46,3997
1725008400000,45.47,45.47,45.46,45.47,1613
1725012000000,45.48,45.49,45.46,45.48,8013
1725015600000,45.49,45.49,45.44,45.48,15433
1725019200000,45.49,45.49,45.44,45.46,21921
1725022800000,45.46,45.55,45.3621,45.455,2479563
1725026400000,45.455,45.535,45.4,45.485,2759110
1725030000000,45.48,45.5,45.27,45.345,2552786
1725033600000,45.34,45.4,45.23,45.355,3068267
1725037200000,45.355,45.41,45.32,45.37,1563100
1725040800000,45.37,45.51,45.36,45.475,1652725
1725044400000,45.475,45.78,45.445,45.71,10499367
1725048000000,45.74,45.74,45.65,45.67,4262053
1725051600000,45.68,45.71,45.66,45.66,30718
1725058800000,45.71,45.71,45.68,45.71,1936
1725350400000,45.73,45.74,45.68,45.68,22908
1725354000000,45.68,45.68,45.62,45.62,4177
1725357600000,45.58,45.59,45.52,45.58,8063
1725361200000,45.58,45.58,45.51,45.51,2755
1725364800000,45.5799,45.58,45.5112,45.55,28248
1725368400000,45.55,45.875,45.49,45.675,5747240
1725372000000,45.68,45.69,45.4,45.54,9940200
