ts,open,high,low,close,volume
1629086400000,46.67,46.98,46.6,46.79,4963774
1629172800000,46.63,46.895,46.47,46.88,4976083
1629259200000,46.77,46.79,46.33,46.39,5455061
1629345600000,46.25,46.8499,46.12,46.78,5431226
1629432000000,46.76,47.2367,46.43,47.0,4451998
1629691200000,47.14,47.16,46.72,46.82,4718460
1629777600000,46.94,46.94,46.35,46.47,4303746
1629864000000,46.47,46.655,46.26,46.42,4558677
1629950400000,46.47,46.595,46.275,46.45,2888522
1630036800000,46.64,46.96,46.54,46.83,2562835
1630296000000,46.87,47.415,46.77,47.4,6219328
1630382400000,47.24,47.74,47.12,47.68,4922039
1630468800000,47.75,48.55,47.74,48.5,9248516
1630555200000,48.5799,48.73,48.14,48.73,6604405
1630641600000,48.58,48.805,48.155,48.73,5564936
1630987200000,48.55,48.6,47.7336,48.19,7193047
1631073600000,48.01,48.63,47.91,48.48,6716597
1631160000000,48.21,48.26,47.44,47.45,4607474
1631246400000,47.5,47.52,46.83,46.85,6334773
1631505600000,47.33,47.505,46.911,47.11,5510618
1631592000000,47.33,47.39,46.77,47.01,5291314
1631678400000,47.11,47.44,46.83,47.19,5008588
1631764800000,47.19,47.479,46.85,47.28,4653722
1631851200000,47.02,47.33,46.7731,46.85,8772906
1632110400000,46.07,46.615,45.7201,46.27,13073516
1632196800000,46.46,46.83,46.26,46.28,7070727
1632283200000,46.6,46.93,46.35,46.67,6473932
1632369600000,46.78,46.92,46.37,46.44,4600759
1632456000000,46.35,46.52,45.78,45.91,5228643
1632715200000,45.87,46.14,45.105,45.15,6739612
1632801600000,44.87,45.08,44.53,44.88,12092217
1632888000000,45.05,45.38,45.0,45.17,6000354
1632974400000,45.38,45.395,44.45,44.45,6398349
1633060800000,44.74,45.25,44.4,44.93,8348171
1633320000000,44.84,45.16,44.65,44.98,10524567
1633406400000,45.06,45.06,44.43,44.63,5502099
1633492800000,44.46,45.1001,43.95,45.06,9023812
1633579200000,45.3,45.72,45.05,45.11,7442700
