ts,open,high,low,close,volume
1724418900000,35.69,35.69,35.62,35.62,720
1724419800000,35.66,35.68,35.54,35.57,957914
1724420700000,35.57,35.66,35.55,35.66,567770
1724421600000,35.66,35.79,35.66,35.77,827812
1724422500000,35.77,35.8,35.73,35.77,676964
1724423400000,35.77,35.81,35.7,35.73,1439630
1724424300000,35.73,35.78,35.71,35.77,796564
1724425200000,35.76,35.76,35.68,35.72,367080
1724426100000,35.72,35.75,35.69,35.7,428044
1724427000000,35.7,35.75,35.69,35.7,306334
1724427900000,35.7,35.7,35.6,35.6,576380
1724428800000,35.6,35.64,35.55,35.61,429746
1724429700000,35.61,35.63,35.58,35.59,414368
1724430600000,35.59,35.62,35.54,35.55,547968
1724431500000,35.55,35.62,35.53,35.61,282166
1724432400000,35.61,35.63,35.6,35.63,472822
1724433300000,35.63,35.65,35.6,35.61,306456
1724434200000,35.61,35.62,35.58,35.61,252930
1724435100000,35.61,35.62,35.59,35.62,254290
1724436000000,35.62,35.65,35.61,35.65,175186
1724436900000,35.65,35.65,35.59,35.63,198812
1724437800000,35.63,35.64,35.62,35.62,246216
1724438700000,35.62,35.64,35.59,35.61,218638
1724439600000,35.61,35.63,35.59,35.62,224230
1724440500000,35.63,35.65,35.61,35.65,363860
1724441400000,35.64,35.67,35.6,35.6,614564
1724442300000,35.6,35.67,35.6,35.63,2508514
1724443200000,35.64,35.64,35.63,35.63,484818
1724445900000,35.63,35.63,35.59,35.6,3824
1724451300000,35.7,35.72,35.7,35.72,20000
1724454900000,35.64,35.64,35.64,35.64,500
1724455800000,35.64,35.64,35.64,35.64,250
1724673600000,35.72,35.72,35.72,35.72,474
1724674500000,35.72,35.77,35.72,35.77,2060
1724675400000,35.77,35.77,35.74,35.74,2344
1724679000000,35.76,35.89,35.75,35.87,1124346
1724679900000,35.87,35.89,35.82,35.89,1098558
1724680800000,35.89,35.9,35.82,35.9,843980
1724681700000,35.89,35.94,35.88,35.94,546186
1724682600000,35.94,36.01,35.93,35.98,1191496
1724683500000,35.98,36.01,35.86,35.86,1082462
1724684400000,35.85,35.86,35.83,35.84,414382
1724685300000,35.83,35.85,35.81,35.81,402850
1724686200000,35.81,35.83,35.79,35.82,203056
1724687100000,35.81,35.88,35.81,35.87,209458
1724688000000,35.87,35.87,35.85,35.86,257340
1724688900000,35.86,35.88,35.86,35.88,171312
1724689800000,35.88,35.89,35.85,35.86,140884
1724690700000,35.86,35.9,35.86,35.87,138300
1724691600000,35.87,35.9,35.87,35.89,245122
1724692500000,35.89,35.9,35.87,35.88,216266
1724693400000,35.87,35.88,35.81,35.81,232554
1724694300000,35.82,35.83,35.79,35.82,155024
1724695200000,35.82,35.86,35.81,35.85,172266
1724696100000,35.85,35.86,35.83,35.83,181558
1724697000000,35.83,35.85,35.82,35.84,212820
1724697900000,35.84,35.85,35.8,35.83,232884
1724698800000,35.83,35.84,35.81,35.84,396270
1724699700000,35.84,35.88,35.82,35.87,377718
1724700600000,35.87,35.88,35.85,35.88,547670
1724701500000,35.88,35.89,35.8,35.86,2135414
1724702400000,35.87,35.87,35.85,35.86,265686
1724703300000,35.86,35.86,35.86,35.86,290
1724705100000,35.87,35.91,35.82,35.87,11264
1724715900000,35.91,35.91,35.91,35.91,228
1724756400000,35.84,35.84,35.84,35.84,452
1724757300000,35.84,35.84,35.84,35.84,1106
1724758200000,35.84,35.84,35.84,35.84,3112
1724760000000,35.84,35.84,35.84,35.84,862
1724761800000,35.83,35.84,35.82,35.82,3384
1724762700000,35.82,35.82,35.79,35.79,4816
1724763600000,35.79,35.79,35.79,35.79,3200
1724764500000,35.78,35.79,35.77,35.77,5682
1724765400000,35.79,35.88,35.75,35.86,1937502
1724766300000,35.86,35.92,35.81,35.82,3057254
1724767200000,35.82,35.83,35.74,35.75,712358
1724768100000,35.75,35.79,35.73,35.74,521644
1724769000000,35.74,35.76,35.72,35.73,485430
1724769900000,35.73,35.74,35.71,35.72,353252
1724770800000,35.72,35.75,35.7,35.7,296468
1724771700000,35.71,35.72,35.6,35.61,306618
1724772600000,35.61,35.64,35.58,35.62,409674
1724773500000,35.62,35.63,35.6,35.62,223726
1724774400000,35.62,35.64,35.59,35.6,483544
1724775300000,35.6,35.61,35.57,35.58,302004
1724776200000,35.58,35.6,35.57,35.58,880734
1724777100000,35.58,35.61,35.57,35.6,565610
1724778000000,35.6,35.63,35.6,35.62,492716
1724778900000,35.62,35.64,35.59,35.64,337986
1724779800000,35.64,35.64,35.6,35.63,295614
1724780700000,35.63,35.64,35.61,35.64,765492
1724781600000,35.64,35.65,35.61,35.64,286834
1724782500000,35.65,35.66,35.63,35.65,268826
1724783400000,35.65,35.68,35.64,35.66,227388
1724784300000,35.66,35.67,35.64,35.64,318222
1724785200000,35.64,35.65,35.62,35.64,219394
1724786100000,35.64,35.64,35.61,35.64,255162
1724787000000,35.64,35.66,35.61,35.63,441512
1724787900000,35.63,35.64,35.58,35.6,1737390
1724788800000,35.59,35.66,35.59,35.64,450542
1724789700000,35.63,35.63,35.63,35.63,2502
1724791500000,35.6,35.6,35.57,35.57,4620
1724796000000,35.63,35.63,35.63,35.63,200
1724797800000,35.59,35.59,35.59,35.59,400
1724846400000,35.71,35.71,35.6,35.6,678
1724847300000,35.61,35.61,35.61,35.61,232
1724850900000,35.65,35.69,35.65,35.69,6912
1724851800000,35.69,35.73,35.6,35.68,1077682
1724852700000,35.68,35.81,35.68,35.73,478656
1724853600000,35.73,35.78,35.71,35.77,326834
1724854500000,35.77,35.77,35.67,35.69,398578
1724855400000,35.7,35.76,35.68,35.76,330594
1724856300000,35.76,35.83,35.76,35.82,492390
1724857200000,35.81,35.88,35.81,35.87,363544
1724858100000,35.87,35.89,35.77,35.78,562026
1724859000000,35.77,35.77,35.69,35.69,229072
1724859900000,35.7,35.7,35.67,35.68,433910
1724860800000,35.69,35.7,35.66,35.67,269316
1724861700000,35.67,35.68,35.62,35.63,362824
1724862600000,35.63,35.65,35.61,35.63,195868
