ts,open,high,low,close,volume
1629086400000,133.69,135.23,133.23,135.21,8524969
1629172800000,134.85,136.81,134.775,136.81,15017964
1629259200000,136.63,136.78,134.65,134.73,12427698
1629345600000,133.84,136.04,133.8,135.34,11964287
1629432000000,135.47,136.52,135.0,136.11,7449799
1629691200000,136.88,136.98,136.12,136.16,8471263
1629777600000,136.16,136.18,135.29,135.68,6643221
1629864000000,135.55,135.6217,134.75,135.31,7174377
1629950400000,135.39,135.69,134.52,134.78,6039441
1630036800000,135.08,135.45,134.41,134.63,8678737
1630296000000,134.51,135.88,134.5,135.39,6417153
1630382400000,135.42,136.05,134.73,135.21,9429240
1630468800000,135.32,135.44,133.965,135.25,10670412
1630555200000,135.6,136.72,135.6,136.7,6876688
1630641600000,136.56,137.045,135.91,136.85,5699208
1630987200000,136.34,136.56,135.16,136.05,8896486
1631073600000,135.78,136.21,135.42,135.99,7025660
1631160000000,135.8,136.11,134.34,134.42,8905636
1631246400000,134.9,135.02,133.12,133.19,10731283
1631505600000,133.89,133.97,131.7,132.37,11774965
1631592000000,132.99,133.3,132.12,132.35,11082408
1631678400000,132.18,133.83,131.98,133.21,10575890
1631764800000,133.38,133.63,131.96,132.87,11744178
1631851200000,132.76,133.11,132.13,133.0,14822195
1632110400000,131.03,132.32,130.01,131.15,17830938
1632196800000,131.75,132.7,131.33,131.35,12882569
1632283200000,131.74,132.2321,130.94,131.57,12370168
1632369600000,131.87,133.29,131.77,132.52,10366547
1632456000000,132.3,132.79,131.7,131.98,7252633
1632715200000,131.6,131.76,129.82,130.1,11852697
1632801600000,129.27,129.271,127.43,127.87,18086063
1632888000000,128.44,129.48,128.18,128.88,11409738
1632974400000,129.31,130.12,127.19,127.3,23855856
1633060800000,127.47,127.93,125.28,127.33,24812573
1633320000000,126.81,127.46,124.76,125.39,27580669
1633406400000,125.9,127.42,125.73,126.14,19152027
1633492800000,125.44,126.02,124.5,125.91,21322290
1633579200000,126.78,128.4,126.54,127.58,15806657
1633665600000,127.76,128.0,126.68,126.94,9626235
1633924800000,126.83,127.5,125.91,125.95,8007528
1634011200000,126.35,126.48,125.025,125.34,13830821
1634097600000,125.55,126.105,124.765,125.54,10742865
1634184000000,126.84,127.84,126.84,127.34,8857911
1634270400000,128.0,128.55,127.73,127.97,8859643
1634529600000,127.41,127.54,126.55,127.1,13995570
1634616000000,127.79,129.1,127.79,128.77,9515608
1634702400000,129.54,130.8025,129.42,130.61,13692142
1634788800000,130.88,131.215,129.93,131.14,8315936
1634875200000,131.02,131.72,130.82,131.67,8035753
1635134400000,131.73,131.9746,130.71,131.83,10654007
1635220800000,132.13,132.86,131.41,132.48,9519653
1635307200000,132.69,132.83,131.39,131.43,12031443
1635393600000,131.67,133.04,131.665,132.53,9595719
1635480000000,132.36,133.99,131.855,133.82,15423593
1635739200000,133.94,134.49,133.15,133.66,14395415
1635825600000,134.18,135.165,133.01,134.5,23897512
1635912000000,134.24,135.34,133.74,135.29,16319637
1635998400000,134.98,135.19,133.43,134.36,18126314
1636084800000,133.15,133.7,131.895,132.86,16901334
1636347600000,133.1,133.82,132.58,133.65,10402131
1636434000000,133.69,133.81,132.9,133.16,7403853
1636520400000,133.12,134.08,133.1,133.54,8591373
1636606800000,133.52,133.61,132.83,133.15,8985775
1636693200000,134.0,134.12,133.07,133.81,8428598
1636952400000,134.12,134.19,132.85,132.98,6295942
1637038800000,132.95,134.265,132.72,133.54,6337601
1637125200000,133.69,134.25,133.11,133.73,8399949
1637211600000,133.87,134.12,133.32,133.78,10822888
1637298000000,134.18,134.63,132.855,132.97,10954774
1637557200000,133.16,133.62,132.2,132.37,11366904
1637643600000,131.75,132.645,131.35,132.51,12268959
1637730000000,132.26,132.7,131.8,132.46,6962360
1637902800000,132.94,133.72,131.5099,131.97,12323204
1638162000000,132.69,133.22,132.19,132.33,17460132
1638248400000,131.57,132.17,129.54,129.73,20076493
1638334800000,130.35,132.09,129.48,129.5,23548918
1638421200000,129.46,130.66,128.84,130.13,18039552
1638507600000,131.04,131.54,129.29,130.37,23075603
1638766800000,130.71,131.68,130.505,131.11,15456282
1638853200000,132.0,133.12,131.82,132.8,12187188
1638939600000,133.18,133.89,132.51,133.8,16657021
1639026000000,133.67,134.55,133.57,134.11,9206173
1639112400000,133.76,134.86,133.7,134.58,8724589
1639371600000,134.58,136.23,134.58,135.8,12414155
1639458000000,135.22,136.01,134.63,135.3,11206636
1639544400000,135.59,138.14,135.47,138.07,15231904
1639630800000,138.06,139.59,137.81,138.89,19285545
