ts,open,high,low,close,volume
1723474800000,149.92,149.94,149.2,149.69,532271
1723478400000,149.67,149.825,149.4701,149.53,528958
1723482000000,149.525,149.71,149.1,149.16,403548
1723485600000,149.15,149.51,149.105,149.24,555270
1723489200000,149.235,149.4,149.115,149.39,1423961
1723492800000,149.41,149.41,149.41,149.41,103516
1723546800000,149.87,149.87,149.87,149.87,300
1723550400000,149.78,149.8,149.72,149.72,2891
1723554000000,149.72,150.9,149.72,150.49,824376
1723557600000,150.5,150.675,150.14,150.565,665455
1723561200000,150.57,150.68,150.32,150.6,550253
1723564800000,150.61,151.025,150.57,150.905,508446
1723568400000,150.905,150.915,150.64,150.87,570871
1723572000000,150.86,150.935,150.68,150.86,358902
1723575600000,150.85,151.365,150.84,151.16,1198623
1723579200000,151.22,151.23,150.92,151.22,134501
1723582800000,150.7,150.7,150.7,150.7,100
1723590000000,150.8512,150.8512,150.8512,150.8512,200
1723636800000,151.45,151.57,151.17,151.17,6316
1723640400000,151.15,151.45,150.67,151.25,863418
1723644000000,151.255,151.615,151.05,151.515,903265
1723647600000,151.515,151.6929,151.47,151.595,584704
1723651200000,151.575,151.89,151.39,151.59,441626
1723654800000,151.55,151.76,151.3,151.69,390945
1723658400000,151.69,151.93,151.5989,151.91,368268
1723662000000,151.91,151.98,151.5959,151.77,1118418
1723665600000,151.76,151.76,151.6,151.76,158575
1723669200000,151.7,151.7,151.7,151.7,1462
1723723200000,152.24,152.8479,152.24,152.8479,10744
1723726800000,152.47,152.95,152.02,152.05,906454
1723730400000,152.04,152.245,151.75,152.16,999186
1723734000000,152.175,152.37,152.16,152.175,779290
1723737600000,152.17,152.35,152.075,152.23,490933
1723741200000,152.22,152.39,152.15,152.35,439553
1723744800000,152.355,152.575,152.3141,152.495,417875
1723748400000,152.49,152.79,152.45,152.75,1727140
1723752000000,152.71,152.81,152.61,152.79,112519
1723755600000,152.8,152.8,152.71,152.71,663
1723762800000,152.95,152.95,152.95,152.95,100
1723802400000,152.8,152.8,152.8,152.8,425
1723806000000,152.42,152.42,152.42,152.42,294
1723813200000,152.66,152.85,152.36,152.51,613938
1723816800000,152.48,152.78,152.23,152.5013,877945
1723820400000,152.52,152.74,152.505,152.685,468218
1723824000000,152.685,152.925,152.49,152.89,586038
1723827600000,152.9,152.985,152.77,152.975,535870
1723831200000,152.975,153.065,152.8,153.04,333380
1723834800000,153.03,153.115,152.745,152.89,1035347
1723838400000,152.87,153.04,152.87,153.04,78595
1723842000000,152.87,152.87,152.87,152.87,8635
1723845600000,153.1,153.1,153.1,153.1,100
1724058000000,153.25,153.33,153.25,153.33,866
1724072400000,153.0,153.38,152.79,153.32,573233
1724076000000,153.33,153.79,153.22,153.79,635046
1724079600000,153.79,153.935,153.65,153.715,1049272
1724083200000,153.7126,153.8982,153.655,153.846,401044
1724086800000,153.85,153.86,153.595,153.7,325450
1724090400000,153.69,153.73,153.44,153.66,420910
1724094000000,153.65,153.83,153.57,153.82,1115574
1724097600000,153.8,153.99,153.8,153.8,127928
1724101200000,153.8,153.8,153.8,153.8,265
1724148000000,153.95,154.49,153.95,154.49,613
1724151600000,153.91,154.0,153.91,154.0,4797
1724155200000,154.0,154.37,154.0,154.26,4131
1724158800000,154.38,155.16,154.05,155.04,1410745
1724162400000,155.045,155.21,154.505,154.82,935923
1724166000000,154.8,154.8169,154.37,154.645,446444
1724169600000,154.6635,154.68,154.31,154.325,393338
1724173200000,154.33,154.425,154.11,154.42,305591
1724176800000,154.415,154.6,154.35,154.36,270924
1724180400000,154.35,154.49,154.245,154.41,1025478
1724184000000,154.42,154.55,154.41,154.42,52331
1724191200000,154.42,154.42,154.42,154.42,1651
1724234400000,154.71,154.71,154.71,154.71,665
1724241600000,154.937,154.937,154.75,154.75,427
