ts,open,high,low,close,volume
1724419800000,91.35,91.61,91.35,91.53,329142
1724420700000,91.55,91.56,91.33,91.42,133248
1724421600000,91.44,92.25,91.43,92.1,392006
1724422500000,92.12,92.38,91.91,92.3,996018
1724423400000,92.32,92.38,92.05,92.22,314992
1724424300000,92.24,92.24,91.56,91.91,301772
1724425200000,91.91,92.02,91.68,92.02,208276
1724426100000,92.03,92.33,92.0,92.23,161702
1724427000000,92.24,92.43,92.13,92.18,107368
1724427900000,92.12,92.18,92.0,92.02,94526
1724428800000,92.0,92.0,91.72,91.77,113384
1724429700000,91.74,91.85,91.61,91.72,120916
1724430600000,91.71,91.9,91.52,91.58,179290
1724431500000,91.59,91.9,91.47,91.83,165340
1724432400000,91.85,91.91,91.78,91.88,95078
1724433300000,91.88,92.1,91.87,92.08,107354
1724434200000,92.08,92.22,92.08,92.21,81850
1724435100000,92.2,92.2,92.09,92.15,88178
1724436000000,92.14,92.26,92.11,92.24,85612
1724436900000,92.24,92.26,92.13,92.21,78896
1724437800000,92.2,92.3,92.17,92.27,316966
1724438700000,92.26,92.29,92.14,92.22,96416
1724439600000,92.22,92.43,92.11,92.38,142536
1724440500000,92.39,92.48,92.35,92.47,129640
1724441400000,92.47,92.48,92.3,92.3,223826
1724442300000,92.3,92.5,92.22,92.38,989992
1724443200000,92.39,92.39,92.39,92.39,167990
1724444100000,92.22,92.22,92.22,92.22,694
1724445000000,92.55,92.55,92.55,92.55,420
1724448600000,92.54,92.54,92.46,92.46,424
1724659200000,92.45,92.45,92.45,92.45,300
1724671800000,92.46,92.46,92.46,92.46,598
1724678100000,92.37,92.37,92.37,92.37,600
1724679000000,92.3,92.47,92.25,92.31,323220
1724679900000,92.33,92.42,92.26,92.4,90982
1724680800000,92.41,92.5,92.26,92.26,133964
1724681700000,92.21,92.21,92.03,92.07,85494
1724682600000,92.06,92.09,91.85,91.93,155388
1724683500000,91.96,92.04,91.89,91.97,103082
1724684400000,91.96,92.04,91.84,91.92,44574
