ts,open,high,low,close,volume
1723474800000,119.105,119.19,118.52,118.788,1405583
1723478400000,118.79,118.85,118.185,118.27,1102511
1723482000000,118.27,118.71,118.02,118.59,972382
1723485600000,118.58,118.73,118.37,118.655,1097110
1723489200000,118.65,119.03,118.525,119.0,2829326
1723492800000,119.0,119.0,118.95,119.0,1861421
1723496400000,119.07,119.11,119.0,119.0,2130
1723500000000,118.84,119.0,118.7,118.7,730
1723503600000,118.8,118.95,118.8,118.95,330
1723536000000,119.01,119.02,118.89,118.89,735
1723543200000,119.0,119.0,118.86,118.86,1058
1723546800000,118.62,118.74,118.4,118.4,6075
1723550400000,118.67,119.27,118.3838,118.55,10357
1723554000000,118.6,118.6,117.55,117.88,1447529
1723557600000,117.87,118.0,117.5,117.818,1563085
1723561200000,117.83,118.19,117.665,118.09,1072381
1723564800000,118.1,118.27,117.9,118.21,883039
1723568400000,118.21,118.33,117.8201,118.18,791199
1723572000000,118.18,118.32,118.05,118.15,786580
1723575600000,118.14,118.282,117.57,117.86,2811039
1723579200000,117.86,117.99,117.86,117.99,2081663
1723582800000,117.98,118.2664,117.91,118.2664,1000
1723586400000,118.23,118.23,118.05,118.06,1323
1723590000000,118.05,118.05,118.05,118.05,761
1723622400000,118.33,118.33,118.33,118.33,102
1723626000000,118.26,118.26,118.26,118.26,486
1723629600000,118.19,118.19,118.19,118.19,223
1723633200000,118.06,118.06,117.99,118.0,1891
1723636800000,118.2576,118.26,117.95,118.1,8777
1723640400000,118.2,118.8,117.63,118.77,977996
1723644000000,118.77,118.92,118.165,118.18,1480675
1723647600000,118.2,118.57,117.82,118.5,1086239
1723651200000,118.5,119.35,118.45,119.34,849612
1723654800000,119.3128,119.4398,118.93,119.31,924874
1723658400000,119.32,119.755,119.21,119.735,982089
1723662000000,119.73,119.9,118.835,118.9,2878388
1723665600000,118.9,119.0,118.9,118.95,2849206
1723669200000,118.98,119.49,118.95,119.27,25319
1723672800000,119.288,119.288,118.99,119.1,930
1723676400000,119.0,119.19,118.98,119.19,2383
1723712400000,118.49,118.51,118.46,118.51,1610
1723716000000,118.51,118.51,118.35,118.35,1417
1723719600000,118.29,118.55,118.29,118.55,4367
1723723200000,118.35,118.69,118.35,118.61,25990
1723726800000,118.69,118.885,118.12,118.46,1337409
1723730400000,118.465,119.3,118.28,119.3,1699074
1723734000000,119.31,119.63,119.18,119.26,1034161
1723737600000,119.23,119.37,118.942,119.2,773840
1723741200000,119.19,119.25,118.91,118.95,647414
1723744800000,118.95,119.11,118.87,118.905,640857
1723748400000,118.895,118.98,118.49,118.71,2494496
1723752000000,118.05,118.81,118.05,118.75,2399278
1723755600000,118.75,118.75,118.73,118.73,554
1723759200000,118.71,118.78,118.71,118.78,5294
1723762800000,118.73,118.73,118.73,118.73,100
1723795200000,118.75,118.75,118.75,118.75,117
1723798800000,118.74,118.74,118.47,118.59,1184
1723802400000,118.26,118.26,118.13,118.13,1186
1723806000000,118.06,118.06,117.65,117.65,3727
1723809600000,118.06,118.06,117.64,117.66,15960
1723813200000,117.85,118.44,117.65,118.355,1367190
1723816800000,118.34,118.44,117.67,117.93,1234790
1723820400000,117.95,118.13,117.68,117.865,831614
1723824000000,117.89,118.3,117.89,118.2,662369
1723827600000,118.21,118.37,117.96,118.35,625962
1723831200000,118.35,118.48,118.06,118.14,573139
1723834800000,118.13,118.31,118.025,118.17,2066569
1723838400000,118.18,118.22,118.15,118.17,2093562
1723842000000,118.1599,118.2803,118.15,118.2803,1316
1723845600000,118.15,118.3041,118.15,118.3041,230
1724054400000,118.02,118.02,118.02,118.02,501
1724058000000,118.31,118.31,118.31,118.31,120
1724065200000,118.09,118.1,118.09,118.1,1702
1724068800000,118.17,118.33,117.61,118.19,7517
1724072400000,118.21,119.19,118.17,119.0,1004027
1724076000000,119.0,120.5,118.86,120.42,2337589
1724079600000,120.42,120.45,119.485,119.74,1473579
1724083200000,119.75,119.83,119.32,119.5001,928753
1724086800000,119.5,119.7,119.05,119.11,898605
1724090400000,119.12,119.26,118.68,118.77,1245143
1724094000000,118.76,118.79,118.2501,118.52,2738966
1724097600000,118.53,118.53,118.25,118.49,1551609
1724101200000,118.53,118.53,118.41,118.53,23592
1724104800000,118.6,118.6,118.6,118.6,200
1724108400000,118.55,118.59,118.47,118.59,733
1724140800000,118.3,118.3,118.16,118.16,1492
1724144400000,118.21,118.21,118.21,118.21,379
1724148000000,118.5,118.55,118.5,118.55,300
1724151600000,118.57,118.57,118.57,118.57,147
1724155200000,118.5,118.64,118.02,118.5,4745
1724158800000,118.5,118.65,117.28,117.46,1069084
1724162400000,117.465,117.65,115.9,115.93,2071765
1724166000000,115.94,115.98,114.58,115.08,2376954
1724169600000,115.09,115.49,114.95,115.26,1419368
1724173200000,115.26,115.32,114.685,114.7,1402455
1724176800000,114.7,115.24,114.665,115.0701,1409841
1724180400000,115.0701,115.3999,114.51,114.58,3397448
1724184000000,114.58,114.77,114.58,114.72,2446547
1724187600000,114.72,114.74,114.58,114.74,18329
1724191200000,114.71,114.74,114.71,114.74,419
1724194800000,114.7,114.73,114.7,114.7,2700
1724227200000,114.87,115.15,114.87,115.15,657
1724230800000,115.11,115.14,115.1,115.14,386
1724234400000,115.24,115.5,115.24,115.35,576
1724238000000,115.25,115.25,115.01,115.11,2696
1724241600000,115.23,115.23,114.7,115.01,14471
1724245200000,115.09,115.38,114.45,114.67,1025718
1724248800000,114.67,115.57,114.47,115.1244,1558696
1724252400000,115.13,115.5299,114.91,114.92,971610
1724256000000,114.92,114.92,114.67,114.75,630410
1724259600000,114.74,114.8832,114.08,114.115,903730
1724263200000,114.12,114.4998,114.0633,114.35,887529
1724266800000,114.35,114.54,113.76,113.85,2987756
1724270400000,113.5174,114.61,113.5174,113.9,2369649
1724274000000,113.99,113.99,113.85,113.99,333065
1724277600000,113.9997,114.0,113.9997,114.0,2127
1724281200000,113.95,114.07,113.95,113.99,3419
1724313600000,114.01,114.29,114.01,114.29,718
1724317200000,114.33,114.33,114.33,114.33,291
1724320800000,114.29,114.29,114.29,114.29,449
1724324400000,114.18,114.27,114.18,114.25,4220
1724328000000,114.1404,114.31,113.95,113.97,35901
1724331600000,114.04,114.62,113.635,114.4,757823
1724335200000,114.36,114.53,113.7,114.08,1225180
1724338800000,114.08,114.74,113.98,114.54,942843
1724342400000,114.55,114.8,114.44,114.54,613574
1724346000000,114.54,114.76,114.3,114.36,508660
1724349600000,114.35,114.88,114.32,114.65,651258
1724353200000,114.68,115.01,114.37,114.74,2420423
1724356800000,114.74,114.8,114.73,114.8,2232126
1724360400000,114.81,114.81,114.75,114.75,1182
1724364000000,114.85,114.85,114.75,114.75,1104
1724367600000,114.75,114.8488,114.75,114.8488,368
1724400000000,115.0,115.03,115.0,115.0,605
1724403600000,115.11,115.19,115.03,115.14,3829
1724407200000,115.14,115.14,115.05,115.14,1881
1724410800000,115.07,115.15,115.04,115.15,22787
1724414400000,115.1368,115.25,114.86,115.23,23413
1724418000000,115.16,115.74,114.9,115.44,806778
1724421600000,115.44,116.32,115.44,116.26,1299173
1724425200000,116.21,116.37,115.86,115.9,802954
1724428800000,115.9,116.455,115.77,116.42,793938
1724432400000,116.4,116.72,116.34,116.45,712114
1724436000000,116.445,116.475,116.12,116.39,731793
1724439600000,116.3995,116.57,116.16,116.31,2314402
1724443200000,116.32,116.38,116.12,116.38,2488729
1724446800000,116.38,116.38,116.2,116.2,1984
1724450400000,116.37,116.37,116.34,116.34,454
1724454000000,116.32,116.32,116.32,116.32,429
1724659200000,116.59,116.72,116.59,116.65,1509
1724662800000,116.8,116.92,116.8,116.86,835
1724666400000,116.99,117.3,116.99,117.3,1883
1724670000000,117.04,117.59,117.04,117.44,7039
1724673600000,117.2,117.64,116.74,117.64,40584
1724677200000,117.64,118.705,117.64,118.47,1665271
1724680800000,118.46,118.94,118.09,118.09,1510076
1724684400000,118.08,118.11,116.92,117.56,1371658
1724688000000,117.56,118.4,117.43,118.36,881760
1724691600000,118.37,118.8,118.355,118.71,1075568
1724695200000,118.71,118.81,118.34,118.67,919545
1724698800000,118.66,118.88,118.515,118.82,3096749
1724702400000,118.95,118.95,118.69,118.79,3044144
1724706000000,118.81,118.81,118.62,118.7981,5527
1724709600000,118.7013,118.81,118.65,118.65,1300
1724713200000,118.77,118.83,118.77,118.83,704
1724745600000,119.0,119.0,118.96,118.99,806
1724749200000,118.9,118.9,118.9,118.9,260
1724752800000,118.88,118.88,118.87,118.87,747
1724756400000,118.83,118.99,118.83,118.97,3864
1724760000000,118.81,118.99,118.5965,118.64,16175
1724763600000,118.65,119.41,118.55,118.65,1228575
1724767200000,118.65,118.67,117.81,118.14,1133989
1724770800000,118.13,118.24,117.76,117.9,747727
1724774400000,117.885,117.91,117.4,117.57,783908
1724778000000,117.575,117.8,117.5426,117.67,538908
1724781600000,117.6501,117.875,117.51,117.54,557695
1724785200000,117.52,117.975,117.51,117.7,2296830
1724788800000,117.68,118.0,117.68,117.68,2407468
1724792400000,117.76,117.76,117.74,117.74,581
1724796000000,117.68,118.0,117.68,118.0,2357
1724799600000,117.7022,117.73,117.6901,117.6901,1207
1724832000000,117.77,117.77,117.65,117.66,690
1724842800000,117.11,117.11,117.01,117.01,898
1724846400000,117.3,117.76,116.9719,117.21,7882
1724850000000,117.26,117.5,116.74,117.23,1223079
1724853600000,117.245,117.31,116.33,117.224,1178599
1724857200000,117.22,117.58,116.78,116.83,803377
1724860800000,116.83,116.83,116.44,116.5,515469
1724864400000,116.5,116.62,116.26,116.38,590135
1724868000000,116.39,116.63,116.28,116.59,622533
1724871600000,116.58,116.835,116.33,116.49,2729727
1724875200000,116.52,116.52,116.31,116.33,2689044
1724878800000,116.52,116.52,116.32,116.41,4335
1724882400000,116.33,116.33,116.33,116.33,150
1724886000000,116.36,116.41,116.31,116.41,779
1724925600000,116.47,116.69,116.47,116.69,809
1724929200000,116.8,116.89,116.75,116.89,1742
1724932800000,116.78,117.1,116.58,117.09,11357
1724936400000,117.0028,117.67,116.35,116.8,888559
1724940000000,116.79,117.98,116.7869,117.46,1166302
1724943600000,117.46,118.08,117.46,118.0,886222
1724947200000,118.0,118.5501,117.99,118.455,797523
1724950800000,118.46,118.68,118.4076,118.45,683628
1724954400000,118.46,118.64,118.05,118.29,913147
1724958000000,118.28,118.79,118.09,118.17,3133783
1724961600000,118.38,118.38,117.95,117.96,2148748
1724965200000,117.955,118.13,117.955,118.08,86251
1724968800000,118.16,118.16,118.16,118.16,251
1724972400000,118.16,118.16,118.16,118.16,101
1725004800000,118.65,118.74,118.62,118.74,761
1725008400000,118.52,118.52,118.47,118.5,892
1725015600000,118.53,118.69,118.41,118.41,3690
1725019200000,118.6,118.69,118.27,118.27,9815
1725022800000,118.27,118.27,116.29,116.86,976688
1725026400000,116.85,117.44,116.58,117.2301,1372776
1725030000000,117.2487,117.3925,116.69,116.8,851338
1725033600000,116.8,117.0601,116.49,116.88,929946
1725037200000,116.88,117.06,116.8,116.84,422466
1725040800000,116.85,117.105,116.79,117.015,594923
1725044400000,117.02,118.02,116.99,117.91,3185548
1725048000000,117.94,117.94,117.76,117.84,4238873
1725051600000,117.86,117.94,117.86,117.94,1755
1725350400000,117.99,118.07,117.99,118.07,1224
1725354000000,117.72,117.72,117.46,117.46,392
1725357600000,117.25,117.28,116.86,116.87,3316
1725361200000,116.88,116.88,116.78,116.88,4945
1725364800000,116.88,117.99,115.76,116.0,37592
1725368400000,116.0,116.0,114.62,114.695,1592883
1725372000000,114.7,114.89,114.04,114.75,1897660
1725375600000,114.74,115.36,114.46,115.1202,2047644
1725379200000,115.12,115.77,115.12,115.56,1014942
1725382800000,115.55,115.99,115.51,115.79,877963
1725386400000,115.8,116.09,115.645,115.73,974657
1725390000000,115.73,115.88,115.265,115.48,2167043
1725393600000,115.47,115.64,115.47,115.4913,3773788
1725397200000,115.57,115.6,115.47,115.51,36104
1725400800000,115.5,115.55,115.5,115.51,2630
1725404400000,115.5,115.5,115.45,115.45,1241
1725436800000,115.08,115.09,114.9,114.9,842
1725440400000,115.11,115.32,115.09,115.32,1436
1725444000000,115.22,115.89,115.22,115.68,3433
1725447600000,115.72,115.82,115.58,115.58,6514
1725451200000,115.69,115.85,115.19,115.44,14816
1725454800000,115.623,116.15,115.03,115.73,1241090
1725458400000,115.73,115.855,114.53,114.79,1701429
1725462000000,114.79,115.275,114.64,114.81,1052602
1725465600000,114.8,114.9484,114.61,114.84,963281
1725469200000,114.84,115.0,114.63,114.7,942248
1725472800000,114.7,115.085,114.64,114.95,866002
1725476400000,114.94,114.94,113.975,114.06,2911235
1725480000000,114.2,114.25,114.0296,114.17,2078388
1725483600000,114.25,114.25,114.06,114.1,56585
1725487200000,114.3512,114.61,114.3512,114.61,200
1725490800000,114.4,114.4,114.4,114.4,110
1725523200000,114.44,114.44,114.44,114.44,118
1725526800000,114.68,114.9,114.68,114.9,2312
1725530400000,114.84,114.84,114.64,114.64,2298
1725534000000,114.69,114.7,114.41,114.41,5484
1725537600000,114.7,114.7,114.21,114.67,26291
1725541200000,114.69,115.28,113.99,114.13,1295398
1725544800000,114.13,114.67,113.94,114.44,1373270
1725548400000,114.48,114.69,114.07,114.07,1391456
1725552000000,114.075,114.29,113.77,113.885,1042974
1725555600000,113.88,113.96,113.59,113.77,748730
1725559200000,113.78,113.815,113.47,113.63,927142
1725562800000,113.62,113.62,113.07,113.19,2962597
