ts,open,high,low,close,volume
1598241600000,23.1,25.0,21.200001,22.790001,127067000
1598846400000,22.690001,22.790001,18.01,19.030001,64052000
1599451200000,17.91,19.549999,17.370001,19.1,34337900
1600056000000,19.139999,21.139999,18.379999,18.9,20360100
1600660800000,18.27,19.58,17.110001,17.93,21922500
1601265600000,19.02,20.23,17.98,18.190001,36296700
1601870400000,19.58,20.91,19.200001,20.0,33013700
1602475200000,20.450001,23.1,19.309999,21.77,43726600
1603080000000,21.82,21.93,19.82,20.049999,29205800
1603684800000,20.059999,21.360001,18.5,19.379999,33496100
1604293200000,21.469999,39.5,20.25,34.810001,273676300
1604898000000,35.43,51.27,30.49,41.990002,350266600
1605502800000,40.529999,56.77,39.0,53.889999,208944500
1606107600000,56.75,74.489998,56.540001,64.279999,275700200
1606712400000,62.759998,63.349998,46.009998,49.34,208320000
1607317200000,46.07,51.98,42.84,44.310001,171844400
1607922000000,45.93,51.240002,44.299999,46.380001,137798500
1608526800000,45.110001,47.880001,41.639999,41.869999,67147000
1609131600000,41.790001,44.66,37.5,42.830002,97684200
1609736400000,45.599998,47.950001,40.599998,45.450001,127706300
1610341200000,46.310001,54.759998,43.599998,47.82,145010700
1610946000000,49.970001,58.369999,49.849998,56.389999,111498400
1611550800000,58.470001,60.040001,47.049999,48.18,81197300
1612155600000,51.110001,51.34,45.860001,46.93,66699600
1612760400000,46.5,51.189999,45.599998,46.889999,77305400
1613365200000,47.029999,47.349998,39.880001,40.880001,61369500
1613970000000,39.740002,40.470001,32.720001,34.110001,119139800
1614574800000,35.009998,35.82,25.27,28.030001,143829700
1615179600000,29.440001,35.27,26.9,35.150002,169978200
1615780800000,36.09,37.700001,33.580002,37.48,96185800
1616385600000,38.060001,38.389999,29.57,32.139999,100532700
1616990400000,31.52,39.240002,30.690001,36.950001,73699800
1617595200000,37.459999,37.540001,33.950001,34.490002,46916400
1618200000000,34.900002,36.139999,30.35,30.92,78274600
1618804800000,31.299999,33.439999,29.77,33.299999,52614600
1619409600000,33.5,33.59,29.43,29.91,58452100
1620014400000,30.09,30.24,25.77,26.690001,63287800
1620619200000,26.809999,26.809999,22.73,25.700001,90753900
1621224000000,25.82,29.379999,25.33,28.58,62288100
1621828800000,28.610001,33.09,27.690001,32.130001,80709700
1622433600000,33.700001,37.724998,33.040001,37.110001,68044300
1623038400000,37.07,41.77,36.689999,41.5,79049000
1623643200000,41.939999,45.75,38.639999,45.23,99052300
1624248000000,44.93,45.0,39.709999,42.16,81430200
1624852800000,42.400002,47.98,41.509998,43.740002,105347800
1625457600000,42.189999,45.330002,38.380001,39.919998,77424100
1626062400000,39.950001,40.889999,36.919998,39.029999,51158300
1626667200000,38.18,44.419998,37.209999,41.0,55210700
1627272000000,39.610001,43.02,33.860001,40.529999,102657200
1627876800000,42.504002,45.130001,40.369999,41.220001,57564700
1628481600000,41.389999,43.689999,39.330002,40.150002,29620900
1629086400000,38.610001,40.369999,35.799999,38.689999,41112600
1629691200000,38.970001,42.450001,38.25,40.279999,40279300
1630296000000,40.450001,42.5,39.02,39.75,43253500
1630900800000,40.209999,42.5,38.049999,38.540001,39702400
1631505600000,38.889999,39.400002,36.73,39.009998,41569700
1632110400000,37.5,37.709999,35.240002,35.34,34614000
1632715200000,35.18,36.759998,34.310001,35.459999,36375000
1633320000000,35.18,38.880001,33.52,37.66,34825000
1633924800000,38.0,43.0,37.200001,42.790001,41302400
1634529600000,42.220001,44.580002,41.610001,43.139999,35981000
1635134400000,44.75,49.487999,44.240002,46.630001,75674400
1635739200000,48.700001,49.549999,45.669998,46.389999,55539800
1636347600000,45.41,50.400002,43.830002,48.529999,51287000
1636952400000,48.529999,50.099998,45.880001,46.889999,45858600
1637557200000,47.869999,54.990002,47.110001,51.110001,89252600
1638162000000,53.009998,56.450001,42.779999,43.799999,112890600
1638766800000,44.5,48.365002,41.150002,46.830002,55085400
1639371600000,45.810001,47.299999,40.130001,41.759998,47221200
