ts,open,high,low,close,volume
1726138800000,581.85,581.85,581.85,581.85,499
1726139700000,581.8,581.8,581.8,581.8,400
1726142400000,582.0,582.95,578.93,582.27,2631
1726142700000,582.9995,582.9995,582.9905,582.9905,235
1726143000000,582.9997,582.9997,582.9997,582.9997,150
1726143300000,582.9999,582.9999,582.9999,582.9999,561
1726143900000,582.9575,582.9575,582.9575,582.9575,217
1726144200000,582.15,582.15,581.58,581.58,1001
1726144500000,581.0,581.0,580.7,580.7,746
1726144800000,581.4,581.4,581.4,581.4,155
1726145100000,582.0,582.0,582.0,582.0,1064
1726146000000,580.13,580.13,580.03,580.03,746
1726146900000,582.5,582.5,582.0325,582.0325,404
1726147500000,582.4999,582.4999,580.87,580.87,810
1726214400000,534.87,537.46,534.87,537.46,3279
1726214700000,537.55,538.87,537.51,538.07,7680
1726215000000,538.0,538.0,536.1,536.1,3658
1726215300000,537.16,538.07,537.16,538.07,2857
1726215600000,538.44,539.24,538.44,539.24,2228
1726215900000,539.49,540.0,539.39,540.0,3134
1726216500000,540.16,540.16,539.81,539.81,821
1726216800000,539.82,539.85,539.03,539.03,2639
1726217400000,538.3,538.3,538.3,538.3,209
1726217700000,538.7,538.7,538.7,538.7,255
1726218000000,538.28,538.3,538.09,538.3,971
1726218300000,538.4,538.4,538.4,538.4,116
1726218600000,538.07,538.74,538.06,538.74,2041
1726219500000,538.54,538.54,538.54,538.54,105
1726219800000,538.75,538.75,538.75,538.75,233
1726220400000,538.0,538.5,538.0,538.38,784
1726220700000,538.49,538.49,538.49,538.49,106
1726221300000,538.0,538.0,538.0,538.0,302
1726221600000,538.05,538.3,538.0,538.3,653
1726221900000,538.23,538.23,538.23,538.23,117
1726222500000,538.23,538.49,538.23,538.49,634
1726223100000,538.62,538.62,538.6,538.6,391
1726223400000,538.87,538.96,538.87,538.96,830
1726223700000,538.86,539.0,538.86,539.0,756
1726224000000,538.36,539.0,538.36,539.0,1693
1726224300000,539.03,539.03,539.0,539.0,871
1726224600000,539.0,539.19,539.0,539.0,3941
1726224900000,539.19,539.28,538.3,538.3,1860
1726225200000,538.33,538.92,536.31,537.35,14157
1726225500000,537.48,539.85,537.48,539.5,18926
1726225800000,539.5,539.85,538.8,538.8,13545
1726226100000,538.0,538.0,537.25,537.25,1394
1726226400000,536.8,537.0,536.27,536.99,2219
1726226700000,537.78,538.99,537.78,538.99,3992
1726227000000,539.51,539.51,539.5,539.5,1245
1726227300000,539.3,539.85,539.2,539.2,6670
1726227600000,539.2,539.85,539.01,539.01,16962
1726227900000,539.01,539.01,538.0,538.0,6062
1726228200000,538.0,538.05,537.96,538.0,5576
1726228800000,537.0,539.85,533.0,538.0,42255
1726229100000,538.77,539.2,538.77,539.0,3383
1726229400000,538.9999,538.9999,538.0,538.0,2261
