ts,open,high,low,close,volume
1726136100000,184.46,184.6,184.32,184.32,2898
1726136400000,184.32,184.32,184.32,184.32,747
1726136700000,184.46,184.59,184.46,184.53,2845
1726137000000,184.54,184.75,184.54,184.74,4287
1726137300000,184.74,184.74,184.74,184.74,112
1726137600000,184.68,184.7,184.55,184.7,4598
1726137900000,184.71,184.71,184.71,184.71,816
1726138500000,184.71,184.71,184.63,184.68,1631
1726138800000,184.73,184.74,184.52,184.52,3663
1726139100000,184.5,184.52,184.49,184.49,2077
1726139400000,184.46,184.53,184.46,184.53,5064
1726139700000,184.5,184.69,184.49,184.54,12578
1726140000000,184.53,184.65,184.46,184.61,13058
1726140300000,184.63,184.63,184.52,184.6,11103
1726140600000,184.6,184.62,184.52,184.55,11674
1726140900000,184.54,184.86,184.54,184.86,13481
1726141200000,184.85,185.0,184.85,184.94,13640
1726141500000,185.0,185.08,184.95,185.06,20335
1726141800000,185.08,185.11,185.08,185.1,7326
1726142100000,185.1,185.1,184.86,185.0,11252
1726142400000,184.55,185.1195,183.63,184.97,92412
1726142700000,185.0,185.15,184.92,185.1455,91826
1726143000000,185.098,185.12,184.97,184.97,6797
1726143300000,185.0,185.138,184.98,185.12,6739
1726143600000,185.14,185.15,185.0,185.0145,11417
1726143900000,185.1,185.26,185.1,185.23,15334
1726144200000,185.21,185.35,184.86,184.86,33687
1726144500000,184.866,184.93,184.17,184.17,26855
1726144800000,184.243,184.7,184.1165,184.7,18614
1726145100000,184.7,184.75,184.52,184.52,13741
1726145400000,184.52,184.5367,184.2,184.33,14861
1726145700000,184.36,184.49,184.34,184.4499,13006
1726146000000,184.32,184.49,184.3,184.49,19088
1726146300000,184.41,184.9,184.41,184.85,11927
1726146600000,184.7,184.8529,184.5481,184.68,13233
1726146900000,184.56,184.6,184.4301,184.53,39138
1726147200000,184.54,184.6,184.44,184.47,13307
1726147500000,184.34,185.0,184.34,184.9,41288
1726214400000,186.75,186.75,186.56,186.56,1847
1726214700000,186.72,186.82,186.58,186.82,5054
1726215000000,186.67,186.84,186.67,186.84,811
1726215600000,186.77,186.77,186.77,186.77,568
1726216200000,186.77,186.77,186.71,186.71,757
1726216500000,186.7,186.7,186.7,186.7,181
