ts,open,high,low,close,volume
1726138800000,161.26,161.26,160.5,160.5,11754
1726139400000,160.3,160.3,160.3,160.3,1057
1726139700000,160.3,160.3,160.3,160.3,513
1726140000000,160.18,160.18,160.18,160.18,365
1726142100000,160.5,160.6,160.5,160.6,1289
1726142400000,160.41,161.63,160.0,161.0,9173
1726142700000,160.2725,160.2725,160.2725,160.2725,505
1726143000000,160.601,160.6585,160.601,160.6585,1357
1726143300000,160.8,160.8,160.618,160.618,358
1726143600000,160.78,160.78,160.78,160.78,602
1726143900000,160.6001,160.6001,160.51,160.51,2001
1726144200000,160.5,160.5,160.23,160.23,1797
1726144500000,160.13,160.13,159.94,160.0,3270
1726144800000,159.83,160.0,159.83,160.0,1533
1726145100000,160.15,160.15,160.15,160.15,854
1726145400000,160.2135,160.2135,160.2,160.2,791
1726145700000,160.062,160.15,160.062,160.15,657
1726146000000,160.2,160.7,160.1506,160.1506,2328
1726146300000,160.64,160.68,160.64,160.68,1110
1726146600000,160.6,160.6,160.6,160.6,173
1726146900000,160.5,160.6,160.5,160.6,477
1726147200000,160.4,160.4,160.3,160.3,1812
1726147500000,160.22,160.22,159.44,159.44,8992
1726214400000,161.19,161.19,156.5,156.5,9026
1726214700000,156.5,156.5,155.55,155.8,10481
1726215000000,155.72,156.76,155.71,156.4,1982
1726215300000,156.5,157.35,156.5,157.0,8202
1726215600000,156.82,156.82,156.25,156.53,4060
1726215900000,156.74,156.74,156.7,156.7,608
1726216200000,156.87,156.87,156.87,156.87,219
1726216500000,156.75,156.75,156.5,156.5,1104
1726216800000,156.5,156.74,156.34,156.6,6003
1726217100000,156.6,156.6,156.21,156.21,3477
1726217400000,156.28,156.28,156.28,156.28,118
1726217700000,156.53,156.66,156.51,156.64,2123
1726218000000,156.62,156.66,156.49,156.49,734
1726218300000,156.44,156.5,156.44,156.5,1750
1726218900000,156.49,156.49,156.46,156.46,359
1726219200000,156.48,156.48,156.46,156.46,1012
1726219800000,156.59,156.6,156.55,156.55,1837
1726220100000,156.59,156.59,156.4,156.4,988
1726220700000,156.5,156.59,156.5,156.5,749
1726221000000,156.29,156.29,156.29,156.29,493
1726221300000,156.4,156.5,156.4,156.5,415
1726221600000,156.5,156.5,156.5,156.5,452
1726222200000,156.49,156.5,156.49,156.5,300
1726222500000,156.5,156.5,156.5,156.5,420
1726222800000,156.5,156.5,156.5,156.5,2632
1726223100000,156.5,156.51,156.5,156.5,580
1726223400000,156.48,156.48,156.48,156.48,602
1726223700000,156.51,156.51,156.5,156.5,575
1726224600000,156.45,156.55,156.45,156.55,3340
1726224900000,156.55,156.58,156.52,156.52,3585
1726225200000,156.55,156.55,156.47,156.53,18825
1726225500000,156.49,156.5,156.4,156.49,4071
