ts,open,high,low,close,volume
1726138800000,398.09,398.09,398.09,398.09,287
1726139400000,398.07,398.07,398.07,398.07,251
1726142400000,398.09,398.18,398.02,398.18,2401
1726143000000,398.13,398.13,398.04,398.04,419
1726143600000,398.15,398.21,398.15,398.21,1689
1726143900000,398.24,398.24,398.24,398.24,101
1726144200000,398.14,398.21,398.14,398.21,1700
1726144500000,397.87,397.87,397.65,397.65,903
1726144800000,397.96,398.03,397.96,398.03,1103
1726145100000,398.22,398.23,397.96,397.96,1144
1726145400000,397.87,397.87,397.7,397.75,3545
1726145700000,397.73,397.78,397.73,397.78,1601
1726146900000,397.93,397.93,397.88,397.89,2220
1726147200000,397.88,397.88,397.88,397.88,202
1726147500000,397.8,397.83,397.56,397.57,8126
1726214700000,399.98,399.98,399.98,399.98,159
1726215000000,400.07,400.14,400.07,400.14,351
1726217100000,400.18,400.18,400.18,400.18,200
1726218000000,400.14,400.15,400.14,400.15,400
1726218300000,400.29,400.29,400.29,400.29,212
1726219200000,400.41,400.41,400.41,400.41,200
1726219800000,400.55,400.55,400.55,400.55,121
1726220400000,400.69,400.69,400.69,400.69,350
1726221600000,400.65,400.65,400.65,400.65,202
1726222200000,400.67,400.7,400.67,400.69,400
1726222500000,400.71,400.71,400.71,400.71,300
1726224600000,400.66,400.66,400.66,400.66,300
1726224900000,400.74,400.76,400.74,400.76,400
1726225200000,400.71,400.79,400.59,400.69,2993
1726225500000,400.54,400.54,400.54,400.54,131
1726226700000,400.54,400.54,400.49,400.49,243
1726227300000,400.35,400.35,400.35,400.35,315
1726227600000,400.34,400.35,400.34,400.35,1320
1726228200000,400.46,400.46,400.46,400.46,300
1726228800000,400.51,400.69,400.46,400.46,2471
1726229700000,400.48,400.54,400.48,400.54,1752
1726230600000,400.62,400.69,400.62,400.69,2960
1726231800000,400.64,400.67,400.64,400.67,2187
1726232100000,400.77,400.85,400.77,400.78,2177
1726232400000,400.7,400.7,400.7,400.7,450
1726232700000,400.85,401.01,400.85,401.01,2169
1726233000000,401.0,401.01,401.0,401.01,209
1726233300000,401.08,401.08,400.95,401.0,961
1726233600000,400.87,400.87,400.81,400.81,328
1726233900000,400.75,400.83,400.42,400.42,4154
1726473600000,402.91,402.91,402.91,402.91,308
1726480800000,403.4,403.4,403.4,403.4,400
1726483800000,403.67,403.68,403.67,403.68,300
1726484700000,403.53,403.53,403.53,403.53,400
1726485300000,403.53,403.53,403.53,403.53,183
1726485600000,403.58,403.58,403.52,403.53,1500
1726485900000,403.58,403.64,403.57,403.64,2787
1726486200000,403.66,403.67,403.64,403.65,2055
1726486500000,403.68,403.7,403.68,403.7,800
1726486800000,403.68,403.68,403.68,403.68,100
1726487100000,403.69,403.71,403.69,403.71,500
1726487700000,403.74,403.83,403.74,403.83,1797
1726488000000,403.53,403.73,403.51,403.69,7761
1726488300000,403.76,403.82,403.76,403.82,500
1726489200000,403.65,403.65,403.65,403.65,123
1726489500000,403.6,403.61,403.6,403.61,200
1726489800000,403.71,403.71,403.71,403.71,110
1726490100000,403.63,403.85,403.63,403.85,1310
1726490400000,403.64,403.64,403.64,403.64,100
1726490700000,403.64,403.64,403.61,403.64,4929
1726491300000,403.59,403.71,403.59,403.71,2494
1726491600000,403.74,403.8,403.72,403.72,2014
1726491900000,403.63,403.69,403.63,403.69,362
1726492200000,403.68,403.77,403.68,403.76,551
1726492500000,403.72,403.79,403.72,403.78,906
1726492800000,403.69,403.69,403.59,403.59,323
1726493100000,403.8,404.14,403.8,404.14,8657
1726560300000,405.54,405.54,405.54,405.54,800
1726560900000,405.54,405.54,405.54,405.54,202
1726561200000,405.52,405.52,405.52,405.52,300
1726563600000,405.69,405.69,405.69,405.69,125
1726566300000,406.01,406.01,406.01,406.01,300
1726567800000,406.16,406.16,406.16,406.16,300
