ts,open,high,low,close,volume
1726136100000,151.93,151.94,151.83,151.83,2467
1726136400000,151.89,151.89,151.89,151.89,161
1726136700000,151.89,151.89,151.83,151.83,1855
1726137000000,151.78,151.78,151.74,151.74,256
1726137300000,151.83,151.83,151.83,151.83,128
1726137900000,151.93,151.99,151.93,151.99,1560
1726138200000,151.95,151.95,151.83,151.83,993
1726138500000,152.01,152.01,151.97,151.97,1738
1726138800000,151.88,151.88,151.7,151.7,5450
1726139100000,151.68,151.68,151.53,151.53,1702
1726139400000,151.61,151.61,151.61,151.61,191
1726139700000,151.65,151.65,151.65,151.65,2399
1726140000000,151.66,151.71,151.61,151.7,3984
1726140300000,151.68,151.68,151.68,151.68,1280
1726140600000,151.75,151.75,151.69,151.69,1624
1726140900000,151.73,151.78,151.73,151.75,4159
1726141200000,151.82,151.82,151.8,151.8,969
1726141500000,151.81,151.81,151.81,151.81,671
1726141800000,151.96,151.98,151.96,151.97,2954
1726142400000,151.79,152.14,150.91,152.03,48894
1726142700000,152.08,152.42,152.03,152.23,21841
1726143000000,152.17,152.32,152.17,152.28,7319
1726143300000,152.43,152.43,152.28,152.39,12429
1726143600000,152.37,152.38,152.3,152.36,14145
1726143900000,152.36,152.38,152.21,152.22,10164
1726144200000,152.06,152.25,152.0,152.03,22949
1726144500000,152.03,152.18,151.83,151.95,17078
1726144800000,151.95,152.48,151.95,152.48,20454
1726145100000,152.48,152.68,152.22,152.22,18094
1726145400000,152.25,152.3,152.13,152.28,5651
1726145700000,152.46,152.46,152.23,152.23,12325
1726146000000,152.24,152.28,152.23,152.28,26071
1726146300000,152.34,152.58,152.33,152.5,17920
1726146600000,152.58,152.63,152.48,152.58,13773
1726146900000,152.55,152.93,152.55,152.59,24168
1726147200000,152.57,152.67,152.43,152.44,31305
1726147500000,152.51,153.08,152.51,152.93,38876
1726214400000,155.31,155.31,154.94,154.99,13350
1726214700000,155.02,155.18,155.01,155.15,3614
1726215000000,155.16,155.21,155.13,155.2,3262
1726215300000,155.15,155.17,155.11,155.11,2408
1726215600000,155.11,155.11,155.07,155.11,4779
1726215900000,155.06,155.06,154.94,154.94,3861
1726216200000,154.91,154.91,154.76,154.76,5413
1726216500000,154.79,154.81,154.79,154.8,2363
1726216800000,154.79,154.79,154.79,154.79,123
1726217100000,154.8,154.81,154.75,154.81,1665
1726217400000,154.8,154.8,154.73,154.73,681
1726217700000,154.75,154.81,154.75,154.8,3687
1726218000000,154.81,154.9,154.78,154.79,6661
1726218300000,154.79,154.8,154.78,154.79,3801
1726218600000,154.91,155.11,154.9,155.11,7222
1726219200000,155.04,155.06,155.04,155.06,1509
1726219500000,155.01,155.01,154.99,154.99,486
1726219800000,154.97,154.97,154.97,154.97,418
1726220100000,155.0,155.05,155.0,155.05,527
1726221000000,155.04,155.04,155.04,155.04,3079
1726221300000,155.01,155.11,155.01,155.09,2248
1726221600000,154.95,155.08,154.95,155.08,1291
1726222500000,155.11,155.11,155.04,155.04,664
1726223100000,155.04,155.11,155.04,155.11,7317
1726224000000,155.16,155.2,155.1,155.1,6029
1726224300000,155.09,155.16,155.09,155.09,2094
1726224600000,155.09,155.09,155.09,155.09,651
1726224900000,155.11,155.11,155.11,155.11,360
1726225200000,155.1,155.11,154.99,154.99,8852
1726225500000,154.97,154.97,154.94,154.94,2390
1726225800000,154.81,154.81,154.69,154.69,3289
1726226100000,154.7,154.71,154.63,154.71,3181
1726226400000,154.82,154.82,154.82,154.82,162
1726226700000,154.86,154.9,154.86,154.9,934
1726227300000,154.89,154.89,154.65,154.66,4755
1726227900000,154.73,154.73,154.73,154.73,632
1726228200000,154.81,154.81,154.81,154.81,683
1726228500000,154.76,154.76,154.76,154.76,705
1726228800000,155.01,155.5,154.62,155.01,24709
1726229100000,155.05,155.06,154.91,154.91,2544
1726229400000,154.98,155.15,154.96,155.1,3559
1726229700000,155.06,155.22,153.33,155.21,91158
1726230000000,155.35,155.63,155.31,155.59,21195
1726230300000,155.59,155.59,155.51,155.51,26019
1726230600000,155.37,155.45,155.35,155.35,2430
1726230900000,155.29,155.29,154.91,154.91,11356
1726231200000,154.86,154.98,154.69,154.98,14432
1726231500000,155.0,155.0,154.75,154.75,10689
1726231800000,154.77,154.89,154.74,154.86,13230
1726232100000,154.85,155.11,154.84,155.01,8493
1726232400000,154.9,155.24,154.86,155.03,9965
1726232700000,155.11,155.26,155.0,155.03,17317
1726233000000,155.0,155.0,154.87,154.98,3828
1726233300000,154.91,154.91,154.8,154.83,1719
1726233600000,154.86,154.87,154.68,154.72,3816
1726233900000,154.68,154.87,154.51,154.51,23548
1726473600000,156.07,156.65,156.07,156.65,3883
1726473900000,156.77,157.05,156.77,157.04,8139
1726474200000,157.08,157.2,156.95,157.14,2842
1726474500000,157.14,157.18,157.11,157.13,3704
1726474800000,157.09,157.12,157.05,157.12,1882
1726475100000,157.14,157.14,157.14,157.14,165
1726475700000,157.02,157.02,156.96,156.96,1015
1726476000000,156.89,156.89,156.89,156.89,961
1726476300000,156.87,156.87,156.85,156.85,1304
1726476600000,156.92,157.0,156.91,157.0,957
1726477500000,156.94,156.94,156.94,156.94,115
1726477800000,156.94,156.94,156.94,156.94,1857
1726479000000,157.01,157.06,157.01,157.01,588
1726479300000,156.91,156.91,156.89,156.89,599
1726479600000,156.95,157.04,156.93,157.04,1099
1726479900000,157.02,157.1,156.99,157.0,3268
1726480200000,157.0,157.25,157.0,157.25,4317
1726480500000,157.18,157.2,157.18,157.2,2077
1726480800000,156.93,157.0,156.92,157.0,1497
1726481100000,157.0,157.0,156.99,156.99,874
1726481400000,156.99,157.0,156.9,157.0,1014
1726482300000,156.87,156.87,156.65,156.65,1774
1726483800000,157.02,157.02,157.02,157.02,1898
1726484100000,157.05,157.6,157.05,157.37,4541
1726484400000,157.11,157.11,156.86,156.86,4212
1726484700000,156.8,156.8,156.74,156.74,2258
1726485000000,156.85,156.85,156.85,156.85,575
1726485300000,156.85,156.87,156.78,156.78,718
1726485900000,156.66,156.98,156.66,156.89,5912
1726486500000,156.94,156.94,156.94,156.94,365
1726486800000,156.8,156.85,156.8,156.85,677
1726488000000,157.12,157.12,156.12,156.69,22509
