ts,open,high,low,close,volume
1726138200000,510.83,510.83,510.83,510.83,331
1726138800000,510.67,510.82,510.57,510.82,1972
1726139100000,510.48,510.55,510.48,510.55,886
1726139400000,510.42,510.57,510.21,510.57,1427
1726139700000,510.28,510.28,510.18,510.18,1792
1726140000000,510.5,510.51,510.5,510.51,556
1726141500000,510.98,510.98,510.92,510.92,645
1726141800000,511.02,511.02,511.02,511.02,290
1726142100000,511.27,511.28,511.27,511.27,1900
1726142400000,511.15,511.56,510.04,511.26,14240
1726142700000,511.28,511.37,511.12,511.36,1940
1726143000000,511.37,511.38,511.37,511.38,564
1726143300000,511.57,511.57,511.47,511.49,2017
1726143600000,511.45,511.71,511.45,511.58,1514
1726143900000,512.12,512.46,512.12,512.46,1458
1726144200000,512.06,512.43,510.41,510.41,11174
1726144500000,511.13,511.17,509.65,509.94,8967
1726144800000,510.03,512.03,510.03,512.03,6257
1726145100000,512.07,512.07,510.95,511.39,13654
1726145400000,511.27,511.32,510.98,511.32,1906
1726145700000,511.47,511.57,511.27,511.57,11113
1726146000000,511.57,512.22,511.07,512.22,12317
1726146300000,512.44,514.39,512.44,513.55,13600
1726146600000,513.55,513.96,513.16,513.46,6757
1726146900000,513.16,513.47,513.02,513.16,4431
1726147200000,512.96,513.35,512.65,512.86,4563
1726147500000,512.96,513.75,512.96,513.75,7992
1726214700000,522.62,523.39,522.62,523.39,783
1726215300000,523.96,523.96,523.96,523.96,320
1726215600000,523.98,524.11,523.96,524.11,497
1726215900000,524.11,524.11,523.78,523.78,451
1726216800000,523.9,523.9,523.9,523.9,258
1726217100000,524.41,524.42,524.41,524.42,645
1726217400000,524.03,524.03,523.98,523.98,355
1726217700000,523.78,523.78,523.78,523.78,776
1726218000000,524.35,524.42,524.35,524.38,926
1726219200000,524.38,524.41,524.38,524.41,497
1726219800000,524.15,524.15,524.15,524.15,184
1726220700000,524.08,524.08,524.08,524.08,332
1726221600000,523.93,523.93,523.93,523.93,254
1726224000000,523.73,523.78,523.73,523.77,755
1726224900000,523.83,523.83,523.78,523.78,500
1726225200000,523.88,523.88,523.49,523.49,1504
1726225500000,523.38,523.49,523.38,523.49,564
1726226100000,523.2,523.29,523.2,523.29,919
1726226700000,523.29,523.29,522.99,522.99,2037
1726227000000,523.02,523.02,520.01,520.01,7897
1726227300000,520.21,520.61,520.05,520.61,3018
1726227600000,520.61,520.61,520.61,520.61,1094
1726227900000,520.93,520.96,519.96,520.01,4513
1726228200000,519.84,519.84,518.52,518.92,4857
1726228500000,518.77,518.77,516.53,516.53,13683
1726228800000,523.89,524.23,516.83,518.37,20992
1726229100000,518.32,518.51,517.12,517.53,6159
1726229400000,517.53,517.53,515.81,516.53,18347
1726229700000,517.13,517.13,515.54,515.79,17453
1726230000000,515.79,516.04,515.29,515.53,14605
1726230300000,515.64,517.53,515.54,517.28,33192
1726230600000,517.29,517.29,516.42,516.52,10827
1726230900000,516.53,516.67,516.48,516.53,11908
1726231200000,516.53,516.78,516.41,516.78,18782
1726231500000,516.81,517.53,516.41,516.41,11372
1726231800000,516.53,516.53,515.88,516.07,18961
1726232100000,515.84,516.53,515.34,515.34,8635
1726232400000,515.22,515.97,515.14,515.97,3677
1726232700000,515.71,516.18,515.44,516.04,8980
1726233000000,515.91,515.91,515.04,515.04,9011
1726233300000,515.24,515.54,515.15,515.54,14319
1726233600000,515.54,515.54,515.16,515.16,9004
1726233900000,515.32,517.53,515.04,517.1,48495
1726473600000,521.98,521.98,521.98,521.98,423
1726474200000,523.06,523.26,523.06,523.09,1297
1726474500000,523.29,523.29,523.07,523.07,300
1726477800000,522.63,522.63,522.62,522.62,445
1726479600000,522.66,522.66,522.66,522.66,191
1726481400000,521.66,521.66,521.66,521.66,151
1726481700000,522.3,522.3,522.3,522.3,269
1726484400000,522.0,522.0,522.0,522.0,662
1726484700000,521.93,522.0,521.93,522.0,921
1726486800000,521.72,521.72,521.72,521.72,203
1726487700000,521.67,521.67,521.5,521.5,1398
1726488000000,521.7,522.7,520.51,520.61,7481
1726488300000,520.79,521.38,520.78,521.38,2156
1726488600000,521.5,521.5,521.5,521.5,2002
1726488900000,521.65,521.65,521.31,521.31,938
1726489200000,521.1,521.2,521.1,521.2,2995
1726489500000,521.23,521.23,521.23,521.23,328
1726489800000,521.62,521.62,521.35,521.35,1052
1726490100000,521.02,521.15,521.02,521.15,825
1726490400000,521.68,521.81,521.07,521.07,2323
1726490700000,520.95,520.95,520.95,520.95,1009
1726491300000,521.0,521.5,520.85,520.85,648
1726491900000,521.03,521.03,520.82,520.82,1040
1726492200000,520.79,520.79,520.12,520.12,1106
1726492500000,520.8,520.8,520.8,520.8,743
1726492800000,520.95,521.0,520.75,521.0,969
1726493100000,520.21,521.52,518.52,521.48,9460
1726560300000,530.79,530.79,530.79,530.79,361
1726561800000,531.5,531.5,531.5,531.5,444
1726564800000,531.58,531.62,531.37,531.62,1676
1726565100000,531.51,531.64,531.51,531.64,680
1726566000000,531.64,531.64,531.64,531.64,353
1726567200000,531.74,531.74,531.74,531.74,127
1726568100000,531.68,531.72,531.68,531.72,415
1726568700000,531.72,531.94,531.72,531.94,3374
1726569600000,531.93,531.93,531.93,531.93,274
1726570200000,531.94,531.94,531.94,531.94,321
1726570500000,531.84,531.84,531.84,531.84,875
1726570800000,531.74,532.15,531.74,532.14,5754
1726571100000,532.14,532.14,531.74,531.74,3026
1726571700000,531.78,531.85,531.7,531.85,936
1726572000000,531.7,531.7,531.7,531.7,214
1726572300000,531.9,531.96,531.9,531.96,1387
1726572600000,532.04,532.38,532.04,532.38,1616
1726572900000,532.39,532.44,532.18,532.19,2709
1726573200000,532.34,532.54,532.34,532.54,2020
1726573500000,532.93,532.93,532.84,532.84,3336
1726574100000,532.94,533.32,532.93,533.32,3019
1726574400000,531.73,533.84,528.76,533.25,463281
1726574700000,533.28,533.28,532.93,532.93,2830
1726575000000,532.76,532.78,532.19,532.19,3333
1726575300000,532.09,532.14,532.09,532.14,2013
1726575600000,532.15,532.33,531.94,532.33,3722
1726575900000,532.64,532.91,532.51,532.51,1319
1726576200000,533.0,533.0,532.73,532.95,3595
1726576500000,532.93,533.52,532.93,533.4,3817
1726576800000,532.94,533.23,532.93,533.23,7369
1726577100000,533.63,533.82,533.33,533.73,6936
1726577400000,533.76,534.22,533.68,534.22,6033
1726577700000,534.33,535.46,534.33,534.43,14921
1726578000000,534.56,535.49,534.43,534.97,5901
1726578300000,534.75,534.97,534.25,534.97,7846
1726578600000,535.23,535.23,534.33,534.92,22326
1726578900000,534.9,534.9,534.26,534.27,6255
1726579200000,534.26,534.43,534.13,534.13,4889
1726579500000,534.05,534.67,533.6,534.56,10749
1726646400000,533.78,533.78,532.35,532.35,889
1726650300000,532.93,532.93,532.93,532.93,926
1726650600000,533.73,533.73,533.73,533.73,200
1726652100000,534.16,534.16,534.16,534.16,294
1726655700000,533.73,533.73,533.73,533.73,260
1726656600000,533.43,533.43,533.43,533.43,241
1726657200000,533.88,533.88,533.88,533.88,1287
1726657500000,533.93,534.43,533.93,534.43,2319
1726658100000,534.62,534.62,534.62,534.62,164
1726658700000,534.87,534.87,534.64,534.64,1633
1726659900000,534.09,534.09,534.08,534.08,304
1726660800000,533.83,534.92,532.94,532.94,8392
1726661100000,532.95,532.95,532.62,532.73,1860
1726661400000,532.93,533.04,532.57,532.57,1962
1726661700000,532.68,533.2,532.68,533.2,1836
1726662000000,533.18,533.3,533.18,533.3,630
1726662300000,533.18,533.93,533.18,533.93,1539
1726662600000,534.03,534.95,534.03,534.72,8237
1726662900000,534.79,535.84,534.79,535.84,3837
1726663200000,535.86,535.93,535.57,535.84,6250
1726663500000,535.91,536.12,535.8,535.8,4634
1726663800000,536.02,536.41,535.82,535.82,4298
1726664100000,535.87,536.17,535.8,536.17,3171
1726664400000,536.26,536.7,536.17,536.28,85959
1726664700000,536.26,536.26,535.07,535.07,7796
1726665000000,534.95,535.67,534.93,535.33,3045
1726665300000,535.57,535.63,535.43,535.63,1293
1726665600000,535.63,535.63,535.56,535.6,2209
1726665900000,535.37,535.37,533.53,533.72,12639
1726732800000,542.1,543.87,542.1,543.09,4379
1726733100000,543.67,543.77,543.45,543.47,2572
1726733400000,544.65,544.98,544.65,544.87,1912
1726733700000,544.96,545.04,544.67,544.77,4966
1726734000000,544.74,544.74,544.74,544.74,560
1726734300000,544.47,544.47,544.47,544.47,452
1726734600000,545.01,545.01,544.92,544.92,581
1726735200000,544.54,544.54,544.2,544.2,2246
1726735800000,544.33,544.33,544.33,544.33,226
1726736400000,543.87,543.99,543.87,543.88,1711
1726736700000,544.38,544.38,544.05,544.05,674
1726737000000,544.62,544.62,544.3,544.62,3456
1726737300000,544.43,544.52,544.01,544.01,2998
1726737900000,544.71,544.71,544.67,544.67,871
1726738200000,544.39,545.11,544.38,545.11,616
1726738500000,545.11,545.23,545.11,545.21,534
1726738800000,545.3,546.85,545.3,546.76,6861
1726739100000,546.71,546.71,546.71,546.71,461
1726739400000,546.29,546.29,546.29,546.29,153
1726740000000,546.32,546.85,546.26,546.26,2660
1726740300000,546.16,546.35,546.01,546.21,2142
1726740600000,546.55,546.55,546.2,546.26,1297
1726740900000,546.16,546.26,546.16,546.25,1263
1726741200000,546.34,546.36,546.34,546.36,445
1726741500000,546.44,546.44,546.39,546.39,293
1726741800000,546.58,547.05,546.58,547.05,3401
1726742100000,546.89,546.95,546.89,546.95,502
1726742400000,546.86,546.86,546.86,546.86,142
1726742700000,546.63,546.79,546.61,546.79,1403
1726743000000,546.78,547.15,546.78,547.15,3059
1726743300000,547.2,547.2,546.86,546.86,2234
1726743600000,546.51,546.55,545.06,546.45,15417
1726744200000,546.36,546.36,546.11,546.11,1100
1726744500000,545.81,545.84,545.71,545.84,1463
1726744800000,546.12,546.21,545.88,545.88,1461
1726745100000,545.56,545.86,545.56,545.86,1374
1726745400000,546.21,546.36,545.86,546.36,5003
1726745700000,546.66,547.03,546.46,547.03,22996
1726746000000,547.15,547.95,547.15,547.95,5366
1726746300000,548.05,548.05,547.96,547.96,3125
1726746600000,548.05,548.05,547.81,547.85,11533
1726746900000,548.07,548.78,548.07,548.76,7381
1726747200000,545.97,549.78,542.77,548.1,67569
1726747500000,548.2,548.52,547.88,548.15,4079
1726747800000,548.16,548.38,547.26,548.15,14247
1726748100000,547.74,548.0,547.17,547.35,11056
1726748400000,548.04,548.04,547.46,547.7,3780
1726748700000,547.84,547.84,546.86,547.05,5710
1726749000000,547.34,547.83,547.21,547.83,19065
1726749300000,547.71,547.92,547.04,547.31,14742
1726749600000,547.35,547.55,547.3,547.55,8191
1726749900000,547.74,547.83,547.22,547.35,8082
1726750200000,547.35,547.66,547.35,547.45,6453
1726750500000,547.58,547.62,547.26,547.45,3639
1726750800000,547.4,547.4,547.04,547.16,5142
1726751100000,547.21,547.21,546.74,546.92,7576
1726751400000,547.78,548.2,547.34,547.55,16642
1726751700000,547.54,548.34,547.05,548.05,11025
1726752000000,547.61,547.85,547.52,547.76,6367
1726752300000,547.78,548.35,545.27,546.56,49516
1726819500000,555.58,555.73,555.58,555.73,826
1726820100000,554.96,555.56,554.96,555.33,1841
1726820400000,554.81,554.81,554.81,554.81,664
1726820700000,554.02,554.24,553.85,553.85,756
