ts,open,high,low,close,volume
1726136100000,117.86,117.89,117.63,117.74,37744
1726136400000,117.75,117.77,117.58,117.65,37399
1726136700000,117.64,117.66,117.38,117.39,58875
1726137000000,117.38,117.52,117.34,117.47,33418
1726137300000,117.48,117.67,117.45,117.6,28793
1726137600000,117.59,117.72,117.58,117.7,37507
1726137900000,117.7,117.72,117.55,117.58,35440
1726138200000,117.59,117.61,117.44,117.55,51410
1726138500000,117.54,117.62,117.4,117.41,68127
1726138800000,117.42,117.7,116.87,116.88,429042
1726139100000,116.88,117.09,116.86,116.96,114463
1726139400000,116.96,117.27,116.96,117.23,124590
1726139700000,117.24,117.24,117.05,117.18,117727
1726140000000,117.2,117.36,117.12,117.29,126866
1726140300000,117.29,117.39,117.14,117.26,81163
1726140600000,117.25,117.31,117.08,117.19,108038
1726140900000,117.2,117.66,117.19,117.65,177497
1726141200000,117.65,117.72,117.53,117.63,118226
1726141500000,117.64,117.81,117.52,117.81,158327
1726141800000,117.8,118.1,117.71,118.07,246502
1726142100000,118.1,118.1,117.84,117.9,159504
1726142400000,117.9,118.65,116.61,117.68,2012465
1726142700000,117.68,117.97,117.55,117.97,232564
1726143000000,117.97,118.0,117.79,117.91,223874
1726143300000,117.89,117.91,117.79,117.83,209656
1726143600000,117.83,117.96,117.7,117.84,186078
1726143900000,117.84,117.87,117.7,117.72,218826
1726144200000,117.72,117.86,117.04,117.19,805066
1726144500000,117.19,117.54,116.83,116.83,632260
1726144800000,116.83,117.58,116.7,117.56,702508
1726145100000,117.55,117.64,117.12,117.2,458549
1726145400000,117.19,117.22,116.91,117.1,312855
1726145700000,117.11,117.2,116.6,116.6,457696
1726146000000,116.62,117.03,116.45,117.02,532982
1726146300000,117.02,117.12,116.77,116.88,374237
1726146600000,116.84,116.98,116.73,116.73,232293
1726146900000,116.73,116.9,116.52,116.52,400518
1726147200000,116.54,116.65,116.35,116.38,298399
1726147500000,116.39,116.92,116.39,116.69,496943
1726214400000,118.69,119.06,118.35,118.68,100971
1726214700000,118.64,118.8,118.6,118.77,57859
1726215000000,118.73,119.1,118.67,119.01,85452
1726215300000,119.01,119.01,118.78,118.81,37563
1726215600000,118.81,119.18,118.81,119.16,47623
1726215900000,119.16,119.17,119.0,119.01,38283
1726216200000,119.02,119.06,118.87,118.95,28236
1726216500000,118.93,119.11,118.92,119.1,30909
1726216800000,119.11,119.25,119.05,119.21,24960
1726217100000,119.2,119.42,119.18,119.37,61005
1726217400000,119.37,119.47,119.31,119.33,55606
1726217700000,119.39,119.41,119.23,119.38,22805
1726218000000,119.37,119.45,119.19,119.26,34467
1726218300000,119.26,119.42,119.26,119.36,31989
1726218600000,119.36,119.37,119.29,119.34,17553
1726218900000,119.34,119.37,119.25,119.26,21160
1726219200000,119.25,119.31,119.18,119.18,22925
1726219500000,119.19,119.26,119.15,119.2,27756
1726219800000,119.21,119.21,119.08,119.08,17199
1726220100000,119.08,119.22,118.98,119.21,25933
1726220400000,119.22,119.22,119.01,119.12,17541
1726220700000,119.13,119.19,119.12,119.13,13624
1726221000000,119.14,119.15,118.98,118.99,12687
1726221300000,118.99,119.09,118.96,119.09,13007
