ts,open,high,low,close,volume
1726138800000,77.63,77.63,77.6,77.6,1224
1726140300000,77.69,77.69,77.69,77.69,155
1726140600000,77.71,77.71,77.71,77.71,220
1726140900000,77.7,77.72,77.7,77.72,441
1726141500000,77.67,77.67,77.67,77.67,1101
1726142400000,77.71,77.77,77.6,77.77,9988
1726142700000,77.71,77.71,77.71,77.71,154
1726143000000,77.76,77.76,77.76,77.76,506
1726143300000,77.75,77.75,77.71,77.71,10510
1726143600000,77.71,77.71,77.71,77.71,2898
1726144200000,77.83,77.83,77.74,77.74,532
1726144800000,77.77,77.79,77.77,77.79,825
1726145100000,77.76,77.76,77.73,77.73,515
1726145400000,77.72,77.72,77.72,77.72,452
1726145700000,77.75,77.75,77.75,77.75,501
1726146000000,77.71,77.77,77.71,77.73,4356
1726146300000,77.72,77.76,77.72,77.73,2570
1726146600000,77.74,77.79,77.74,77.74,1123
1726146900000,77.77,77.79,77.77,77.77,1314
1726147200000,77.79,77.79,77.79,77.79,429
1726147500000,77.79,77.8,77.79,77.79,411
1726217400000,78.57,78.57,78.57,78.57,101
1726218600000,78.64,78.64,78.64,78.64,164
1726218900000,78.64,78.64,78.64,78.64,282
1726224300000,78.5,78.51,78.5,78.51,1236
1726224600000,78.63,78.66,78.63,78.63,1052
1726226100000,78.57,78.57,78.57,78.57,299
1726226400000,78.56,78.56,78.56,78.56,746
1726226700000,78.6,78.61,78.6,78.61,483
1726227000000,78.61,78.61,78.61,78.61,469
1726227600000,78.6,78.71,78.6,78.71,3147
1726228500000,78.69,78.71,78.69,78.71,2752
1726228800000,78.56,78.75,78.52,78.74,13707
1726229100000,78.68,78.8,78.68,78.8,8587
1726229700000,78.8,78.8,78.8,78.8,1026
1726230000000,78.8,78.8,78.8,78.8,1014
1726230300000,78.81,78.81,78.81,78.81,119
1726230600000,78.8,78.8,78.62,78.62,3280
1726230900000,78.76,78.76,78.75,78.76,938
1726231200000,78.73,78.73,78.7,78.71,1646
1726231800000,78.67,78.67,78.67,78.67,821
1726232100000,78.69,78.69,78.69,78.69,1101
1726232400000,78.67,78.67,78.67,78.67,246
1726232700000,78.69,78.7,78.68,78.68,1842
1726233000000,78.71,78.76,78.71,78.76,2257
1726233300000,78.76,78.76,78.71,78.71,353
1726233600000,78.71,78.71,78.71,78.71,1511
1726233900000,78.71,78.81,78.71,78.78,3409
1726473600000,79.28,79.28,79.28,79.28,321
1726478100000,79.62,79.63,79.62,79.63,544
1726478400000,79.58,79.58,79.58,79.58,114
1726479300000,79.62,79.62,79.62,79.62,175
1726479900000,79.59,79.63,79.59,79.63,1510
1726484400000,79.39,79.49,79.39,79.49,3859
1726485900000,79.49,79.49,79.49,79.49,1756
1726486800000,79.47,79.48,79.47,79.48,783
1726487700000,79.49,79.49,79.49,79.49,552
1726488000000,79.4,79.74,79.37,79.49,6097
1726488300000,79.48,79.49,79.48,79.49,936
1726488600000,79.49,79.49,79.47,79.49,5042
1726489200000,79.49,79.49,79.45,79.48,1013
1726489500000,79.46,79.49,79.45,79.49,3061
1726489800000,79.46,79.46,79.46,79.46,700
1726490100000,79.49,79.58,79.49,79.49,2191
1726490400000,79.49,79.49,79.48,79.48,996
1726491000000,79.4,79.44,79.39,79.44,990
1726491300000,79.48,79.48,79.46,79.46,1374
1726491600000,79.44,79.48,79.44,79.48,1255
1726491900000,79.48,79.58,79.48,79.49,2053
1726492200000,79.53,79.54,79.5,79.5,1198
1726492500000,79.54,79.59,79.54,79.59,2834
1726492800000,79.57,79.58,79.49,79.58,1556
1726493100000,79.49,79.59,79.41,79.59,3912
1726562400000,79.31,79.37,79.31,79.37,1506
1726563000000,79.39,79.4,79.39,79.39,398
1726566900000,79.38,79.44,79.38,79.44,2846
1726568700000,79.46,79.46,79.46,79.46,265
1726569600000,79.47,79.47,79.44,79.44,353
1726570800000,79.47,79.47,79.47,79.47,200
1726571100000,79.49,79.49,79.49,79.49,772
1726571700000,79.49,79.49,79.49,79.49,1886
1726573500000,79.46,79.46,79.46,79.46,1436
1726573800000,79.44,79.45,79.44,79.44,1561
1726574400000,79.5,79.54,79.39,79.39,13210
1726574700000,79.45,79.45,79.45,79.45,419
1726575300000,79.4,79.4,79.4,79.4,1202
1726576200000,79.42,79.42,79.16,79.16,6244
1726576500000,79.05,79.2,78.9,78.9,12754
1726576800000,78.9,78.94,78.9,78.9,5895
1726577100000,78.93,79.15,78.93,79.14,5559
1726577400000,79.1,79.1,78.87,78.87,2677
1726577700000,78.85,78.98,78.8,78.93,9099
1726578000000,78.95,78.95,78.57,78.64,55050
1726578300000,78.66,78.75,78.61,78.71,15745
1726578600000,78.69,78.75,78.66,78.74,5171
1726578900000,78.66,78.74,78.53,78.59,7497
1726579200000,78.59,78.66,78.56,78.59,7633
1726579500000,78.6,78.74,78.38,78.48,28101
1726646400000,77.45,77.45,77.45,77.45,470
1726648800000,77.44,77.44,77.44,77.44,102
1726652100000,77.52,77.53,77.52,77.53,675
1726653000000,77.51,77.51,77.51,77.51,100
1726656000000,77.5,77.5,77.5,77.5,500
1726657200000,77.5,77.5,77.5,77.5,698
1726658100000,77.5,77.5,77.5,77.5,100
1726659300000,77.5,77.5,77.5,77.5,542
1726659600000,77.5,77.5,77.49,77.49,664
1726660200000,77.48,77.48,77.48,77.48,1011
