ts,open,high,low,close,volume
1726137900000,104.26,104.45,104.26,104.45,2220
1726138800000,104.31,104.31,104.31,104.31,700
1726139400000,104.17,104.17,104.17,104.17,234
1726141200000,104.09,104.14,104.08,104.14,2204
1726141500000,104.08,104.08,104.03,104.03,3024
1726141800000,104.08,104.08,104.08,104.08,200
1726142400000,104.36,104.72,103.98,104.08,13524
1726143300000,104.05,104.11,104.03,104.11,1116
1726143900000,104.1,104.16,104.08,104.15,11108
1726144200000,104.12,104.12,104.12,104.12,159
1726144500000,104.14,104.14,104.06,104.06,2720
1726144800000,104.02,104.05,104.02,104.05,634
1726145400000,104.08,104.08,104.04,104.04,559
1726145700000,104.04,104.08,104.04,104.08,747
1726146000000,104.03,104.08,104.03,104.08,3050
1726146300000,104.08,104.14,104.03,104.14,5808
1726146600000,104.18,104.31,104.08,104.08,2414
1726146900000,104.25,104.25,104.25,104.25,204
1726147200000,104.08,104.22,104.08,104.12,2189
1726147500000,104.12,104.12,103.84,103.84,2240
1726215000000,105.44,105.61,105.44,105.6,1305
1726215900000,105.6,105.6,105.6,105.6,101
1726217700000,105.4,105.4,105.4,105.4,110
1726220400000,105.36,105.36,105.36,105.36,567
1726222500000,105.46,105.46,105.44,105.44,430
1726225200000,105.46,105.46,105.34,105.35,2277
1726225500000,105.39,105.39,105.39,105.39,161
1726225800000,105.39,105.39,105.39,105.39,101
1726226400000,105.38,105.39,105.38,105.39,666
1726227000000,105.4,105.4,105.4,105.4,510
1726227300000,105.41,105.41,105.41,105.41,173
1726227600000,105.4,105.43,105.4,105.43,1062
1726228200000,105.43,105.44,105.43,105.44,1187
1726228500000,105.45,105.45,105.4,105.4,379
1726228800000,105.45,105.48,105.2,105.37,9529
1726229100000,105.43,105.44,105.36,105.36,749
1726229400000,105.36,105.4,105.35,105.35,1549
1726229700000,105.35,105.35,105.33,105.33,971
1726230300000,105.46,105.46,105.46,105.46,110
1726230900000,105.4,105.47,105.4,105.47,892
1726231200000,105.46,105.49,105.46,105.49,849
1726231500000,105.49,105.54,105.46,105.54,1075
1726231800000,105.54,105.56,105.54,105.54,710
1726232100000,105.6,105.6,105.56,105.56,1671
1726232700000,105.67,105.67,105.67,105.67,126
1726233000000,105.49,105.59,105.49,105.59,560
1726233300000,105.62,105.63,105.56,105.56,3395
1726233600000,105.49,105.49,105.49,105.49,771
1726233900000,105.49,105.49,105.4,105.4,1084
1726473600000,105.01,105.01,105.01,105.01,326
1726474200000,105.0,105.0,104.95,104.95,606
1726477500000,105.26,105.26,105.26,105.26,300
1726478400000,105.02,105.02,105.02,105.02,493
1726484100000,105.03,105.03,105.03,105.03,125
1726485300000,105.12,105.17,105.12,105.17,342
1726486200000,105.22,105.23,105.22,105.23,583
1726486500000,105.09,105.26,105.09,105.26,567
1726487100000,105.26,105.26,105.26,105.26,412
1726488000000,105.23,105.25,105.05,105.12,790
1726488300000,105.23,105.23,105.23,105.23,218
1726488600000,105.32,105.44,105.32,105.44,2268
1726489500000,105.34,105.34,105.34,105.34,2000
1726490100000,105.35,105.43,105.35,105.43,563
1726490400000,105.44,105.44,105.44,105.44,666
1726490700000,105.49,105.49,105.49,105.49,100
1726491000000,105.44,105.44,105.43,105.43,642
1726491300000,105.53,105.53,105.53,105.53,442
1726491600000,105.45,105.77,105.45,105.74,6610
1726491900000,105.77,105.91,105.77,105.84,4240
1726492200000,105.86,105.86,105.74,105.74,2554
1726492500000,105.87,105.87,105.81,105.81,803
1726492800000,105.77,105.87,105.76,105.76,3620
1726493100000,105.77,105.77,105.27,105.63,13017
1726563600000,106.57,106.57,106.57,106.57,150
1726570800000,106.48,106.48,106.48,106.48,149
1726572600000,106.48,106.48,106.48,106.48,200
1726573200000,106.4,106.4,106.4,106.4,829
1726573500000,106.39,106.39,106.39,106.39,2540
1726573800000,106.48,106.48,106.48,106.48,167
1726574400000,106.53,106.58,106.3,106.58,2826
1726575000000,106.44,106.48,106.44,106.48,985
1726575600000,106.42,106.42,106.42,106.42,106
1726576200000,106.44,106.44,106.44,106.44,100
1726579500000,106.27,106.27,106.2,106.2,763
1726646400000,107.57,107.57,107.57,107.57,286
1726651500000,107.33,107.33,107.33,107.33,100
1726652700000,107.23,107.23,107.14,107.14,2340
1726653000000,107.14,107.14,107.14,107.14,195
1726653300000,106.96,107.14,106.96,107.14,780
1726653900000,107.14,107.14,107.14,107.14,219
1726654200000,107.14,107.14,107.14,107.14,530
1726656600000,107.15,107.15,107.15,107.15,375
1726657200000,107.42,107.5,107.42,107.5,2608
1726657500000,107.6,107.6,107.6,107.6,449
1726658400000,107.52,107.52,107.52,107.52,132
1726658700000,107.39,107.39,107.38,107.39,506
1726659600000,107.56,107.56,107.56,107.56,201
1726660800000,107.6,107.6,107.35,107.6,2161
1726662600000,107.61,107.61,107.61,107.61,290
1726663500000,107.62,107.62,107.62,107.62,265
1726664400000,107.6,107.62,107.6,107.62,752
1726664700000,107.74,107.74,107.62,107.62,891
1726665300000,107.78,107.78,107.78,107.78,367
1726665600000,107.79,107.79,107.79,107.79,235
1726737000000,109.5,109.5,109.5,109.5,399
1726737300000,109.5,109.5,109.5,109.5,307
1726739100000,109.63,109.63,109.63,109.63,1004
1726739400000,109.63,109.63,109.63,109.63,309
1726741200000,109.68,109.68,109.68,109.68,312
1726742400000,109.65,109.65,109.65,109.65,202
1726743600000,109.5,109.65,109.5,109.65,1549
1726744200000,109.62,109.62,109.62,109.62,252
1726745100000,109.58,109.98,109.58,109.98,3595
1726746600000,109.59,109.59,109.59,109.59,101
1726747200000,109.51,109.81,108.8,109.56,5952
1726747800000,109.5,109.57,109.5,109.57,400
1726748100000,109.53,109.53,109.53,109.53,201
1726748400000,109.5,109.51,109.5,109.51,1216
1726748700000,109.51,109.51,109.5,109.5,1259
1726749000000,109.5,109.5,109.5,109.5,129
1726749300000,109.53,109.53,109.53,109.53,404
1726749600000,109.56,109.56,109.56,109.56,2526
1726749900000,109.59,109.59,109.59,109.59,1009
1726750200000,109.63,109.63,109.63,109.63,3018
1726750500000,109.63,109.74,109.63,109.74,2162
1726750800000,109.66,109.74,109.66,109.74,2634
1726751100000,109.66,109.66,109.66,109.66,150
1726751400000,109.65,109.65,109.51,109.58,3292
1726751700000,109.66,109.72,109.66,109.72,4176
1726752000000,109.53,109.53,109.53,109.53,153
1726752300000,109.53,109.77,109.49,109.77,2419
1726821000000,109.21,109.21,109.2,109.2,907
1726821300000,109.34,109.34,109.34,109.34,467
1726823400000,109.35,109.35,109.35,109.35,200
1726826400000,109.38,109.38,109.38,109.38,223
1726831800000,109.53,109.57,109.53,109.57,2114
1726832400000,109.56,109.57,109.56,109.57,505
1726832700000,109.51,109.51,109.41,109.41,1202
1726833600000,109.41,109.41,109.31,109.31,1208
1726836600000,109.43,109.43,109.43,109.43,1632
1726836900000,109.41,109.41,109.41,109.41,192
1726837200000,109.31,109.39,109.31,109.39,212
1726837500000,109.29,109.29,109.29,109.29,699
1726838100000,109.37,109.38,109.37,109.38,243
1726838700000,109.05,109.09,108.65,108.65,7896
1727079600000,108.8,108.8,108.8,108.8,1230
1727080500000,108.79,108.79,108.79,108.79,417
1727082300000,108.69,109.03,108.69,109.03,2083
1727087400000,108.91,108.91,108.91,108.91,252
1727087700000,108.86,108.86,108.86,108.86,100
1727089200000,108.93,108.93,108.93,108.93,1094
1727092200000,109.04,109.04,109.04,109.04,100
1727092800000,109.07,109.08,109.06,109.07,2968
1727093100000,108.81,108.81,108.81,108.81,2007
1727093400000,108.93,108.93,108.93,108.93,196
1727093700000,108.85,108.85,108.84,108.84,337
1727094000000,108.83,108.83,108.82,108.82,273
1727094600000,108.84,108.84,108.81,108.81,3359
1727095200000,108.91,108.94,108.91,108.94,1188
1727095500000,108.92,108.92,108.92,108.92,133
1727095800000,108.92,108.92,108.92,108.92,300
1727096100000,108.93,108.94,108.93,108.94,1210
1727096400000,108.94,109.08,108.94,108.94,6577
1727096700000,109.12,109.12,109.12,109.12,120
1727097300000,109.22,109.22,109.22,109.22,315
1727097900000,109.24,109.24,109.24,109.24,105
1727164800000,111.06,111.26,110.84,110.84,1028
1727167200000,111.37,111.39,111.37,111.39,606
1727168400000,111.58,111.58,111.48,111.48,821
1727170500000,111.58,111.64,111.58,111.64,767
1727171700000,111.59,111.59,111.59,111.59,405
1727174400000,111.44,111.44,111.44,111.44,238
1727175600000,111.42,111.45,111.33,111.42,3546
1727175900000,111.39,111.39,111.39,111.39,282
1727176200000,111.46,111.49,111.46,111.49,437
1727177100000,111.53,111.59,111.53,111.59,4512
1727177400000,111.59,111.61,111.58,111.58,1022
1727178900000,111.68,111.68,111.68,111.68,290
1727179200000,111.39,111.7,110.45,111.6,9345
1727179500000,111.58,111.72,111.58,111.72,496
1727179800000,111.72,111.72,111.72,111.72,1311
1727180100000,111.79,111.79,111.79,111.79,200
1727180400000,111.83,111.83,111.83,111.83,352
1727180700000,111.82,111.82,111.82,111.82,212
1727181000000,111.83,111.83,111.64,111.67,1987
1727181900000,111.67,111.67,111.58,111.58,985
1727182200000,111.67,111.67,111.63,111.65,962
1727182500000,111.66,111.66,111.63,111.63,670
1727182800000,111.67,111.72,111.67,111.72,1139
1727183100000,111.84,111.84,111.81,111.81,791
1727183400000,111.86,111.88,111.85,111.85,3383
1727184000000,111.77,111.77,111.77,111.77,164
1727184300000,111.65,111.65,111.38,111.38,5985
1727251200000,110.77,110.77,110.77,110.77,172
1727251500000,110.75,110.75,110.75,110.75,139
1727259600000,110.33,110.33,110.33,110.33,200
1727261700000,110.64,110.66,110.32,110.32,6616
1727262900000,110.49,110.49,110.49,110.49,100
1727263500000,110.36,110.36,110.27,110.27,628
1727263800000,110.2,110.2,110.2,110.2,501
1727264100000,110.16,110.16,110.12,110.13,1111
1727264700000,110.15,110.15,110.1,110.1,277
1727265000000,110.11,110.11,110.02,110.02,2020
1727265600000,110.13,110.54,109.9,110.02,3129
1727265900000,109.98,109.98,109.82,109.97,5369
1727266200000,109.89,109.89,109.83,109.83,1186
1727266500000,109.76,109.76,109.76,109.76,121
1727266800000,109.98,109.98,109.81,109.82,754
1727267100000,110.05,110.05,109.93,109.93,1253
1727267400000,109.83,109.88,109.83,109.88,4473
1727267700000,109.83,109.85,109.83,109.85,957
1727268000000,109.85,109.86,109.85,109.86,661
1727268600000,109.85,109.85,109.85,109.85,101
1727268900000,109.85,109.88,109.85,109.88,991
1727269200000,109.96,109.96,109.96,109.96,237
1727269500000,109.97,110.11,109.97,109.99,622
1727270100000,110.06,110.06,110.06,110.06,210
1727270400000,110.07,110.07,109.93,109.94,582
1727270700000,109.98,110.13,109.98,110.13,857
1727337600000,106.94,106.94,106.94,106.94,800
1727337900000,107.47,107.47,107.47,107.47,480
1727338200000,107.49,107.49,107.49,107.49,126
1727338500000,107.43,107.43,107.43,107.43,540
1727338800000,107.41,107.42,107.41,107.42,330
1727340300000,107.31,107.31,107.31,107.31,300
1727340600000,107.31,107.31,107.31,107.31,175
1727340900000,107.31,107.31,107.31,107.31,500
1727341200000,107.32,107.32,107.32,107.32,657
1727341800000,107.36,107.36,107.36,107.36,496
1727342700000,107.15,107.15,107.12,107.13,1532
1727343000000,107.1,107.1,107.1,107.1,561
1727343300000,107.1,107.1,107.1,107.1,972
1727343600000,107.1,107.1,107.09,107.1,7516
1727343900000,107.1,107.1,107.1,107.1,780
