ts,contract,funding_rate
1786550402,SOL_USDT,-4.5e-05
1786521602,SOL_USDT,-4e-06
1786492802,SOL_USDT,-4.9e-05
1786464001,SOL_USDT,-3.5e-05
1786435202,SOL_USDT,1e-06
1786406402,SOL_USDT,0.0001
1786377602,SOL_USDT,9.2e-05
1786348801,SOL_USDT,3.6e-05
1786320002,SOL_USDT,5.1e-05
1786291202,SOL_USDT,-2.2e-05
1786262401,SOL_USDT,8.7e-05
1786233602,SOL_USDT,1.3e-05
1786204801,SOL_USDT,3.9e-05
1786176001,SOL_USDT,8.5e-05
1786147201,SOL_USDT,3.2e-05
1786118401,SOL_USDT,-3e-06
1786089601,SOL_USDT,2.1e-05
1786060801,SOL_USDT,2.9e-05
1786032002,SOL_USDT,-4.1e-05
1786003202,SOL_USDT,-3.1e-05
1785974402,SOL_USDT,-4.1e-05
1785945601,SOL_USDT,1.2e-05
1785916802,SOL_USDT,5e-06
1785888002,SOL_USDT,-3e-06
1785859201,SOL_USDT,2.8e-05
1785830401,SOL_USDT,8.3e-05
1785801602,SOL_USDT,1.3e-05
1785772801,SOL_USDT,-4e-06
1785744002,SOL_USDT,-1.5e-05
1785715202,SOL_USDT,-3.5e-05
1785686402,SOL_USDT,-5.3e-05
1785657602,SOL_USDT,-1.5e-05
1785628801,SOL_USDT,-7.7e-05
1785600001,SOL_USDT,9e-06
1785571202,SOL_USDT,6.2e-05
1785542401,SOL_USDT,5.4e-05
1785513601,SOL_USDT,-2e-06
1785484802,SOL_USDT,5.4e-05
1785456001,SOL_USDT,1.3e-05
1785427201,SOL_USDT,-4e-06
1785398402,SOL_USDT,-7e-06
1785369601,SOL_USDT,-2.4e-05
1785340802,SOL_USDT,-2.9e-05
1785312001,SOL_USDT,-2.1e-05
1785283201,SOL_USDT,-6.4e-05
1785254402,SOL_USDT,-6.4e-05
1785225601,SOL_USDT,-8.7e-05
1785196801,SOL_USDT,-6e-05
1785168001,SOL_USDT,-8e-06
1785139202,SOL_USDT,7.5e-05
1785110402,SOL_USDT,-1e-06
1785081602,SOL_USDT,3e-06
1785052801,SOL_USDT,7e-06
1785024002,SOL_USDT,-2.3e-05
1784995202,SOL_USDT,-2.3e-05
1784966401,SOL_USDT,-4e-06
1784937601,SOL_USDT,6e-06
1784908802,SOL_USDT,-8e-06
1784880002,SOL_USDT,7e-06
1784851202,SOL_USDT,9e-06
1784822402,SOL_USDT,-2.4e-05
1784793602,SOL_USDT,-5.4e-05
1784764802,SOL_USDT,-3e-05
1784736002,SOL_USDT,-3e-06
1784707202,SOL_USDT,-2.2e-05
1784678402,SOL_USDT,2.2e-05
1784649602,SOL_USDT,2e-06
1784620801,SOL_USDT,2.8e-05
1784592002,SOL_USDT,2.3e-05
1784563201,SOL_USDT,-2.9e-05
1784534401,SOL_USDT,-3.6e-05
1784505602,SOL_USDT,-2e-05
1784476802,SOL_USDT,2.6e-05
1784448001,SOL_USDT,-6e-06
1784419201,SOL_USDT,-3.8e-05
1784390401,SOL_USDT,2.4e-05
1784361601,SOL_USDT,3.4e-05
1784332802,SOL_USDT,-4e-06
1784304002,SOL_USDT,-1.6e-05
1784275202,SOL_USDT,-1e-06
1784246401,SOL_USDT,3.4e-05
1784217601,SOL_USDT,-3e-06
1784188802,SOL_USDT,1.5e-05
1784160001,SOL_USDT,1.9e-05
1784131201,SOL_USDT,2e-05
1784102402,SOL_USDT,2e-06
1784073601,SOL_USDT,1.7e-05
1784044801,SOL_USDT,-2.1e-05
1784016001,SOL_USDT,-3.2e-05
1783987201,SOL_USDT,-1.8e-05
