ts,instrument,funding_rate
1786550400000,SOL-USDT-SWAP,-1.76303425132e-05
1786521600000,SOL-USDT-SWAP,8.5079375845e-05
1786492800000,SOL-USDT-SWAP,-4.39073517669e-05
1786464000000,SOL-USDT-SWAP,8.607303281e-07
1786435200000,SOL-USDT-SWAP,6.78254734842e-05
1786406400000,SOL-USDT-SWAP,0.0001
1786377600000,SOL-USDT-SWAP,9.22707840832e-05
1786348800000,SOL-USDT-SWAP,0.0001
1786320000000,SOL-USDT-SWAP,9.25266597201e-05
1786291200000,SOL-USDT-SWAP,0.0001
1786262400000,SOL-USDT-SWAP,8.75975210181e-05
1786233600000,SOL-USDT-SWAP,0.0001
1786204800000,SOL-USDT-SWAP,0.0001
1786176000000,SOL-USDT-SWAP,0.0001
1786147200000,SOL-USDT-SWAP,0.0001
1786118400000,SOL-USDT-SWAP,6.17651902679e-05
1786089600000,SOL-USDT-SWAP,1.72747037281e-05
1786060800000,SOL-USDT-SWAP,7.6555869436e-06
1786032000000,SOL-USDT-SWAP,-2.762193192e-06
1786003200000,SOL-USDT-SWAP,-1.64868136572e-05
1785974400000,SOL-USDT-SWAP,4.69331134262e-05
1785945600000,SOL-USDT-SWAP,4.50988865389e-05
1785916800000,SOL-USDT-SWAP,6.15028205225e-05
1785888000000,SOL-USDT-SWAP,6.14382973877e-05
1785859200000,SOL-USDT-SWAP,8.68371878939e-05
1785830400000,SOL-USDT-SWAP,0.0001
1785801600000,SOL-USDT-SWAP,5.75369715802e-05
1785772800000,SOL-USDT-SWAP,4.74492148862e-05
1785744000000,SOL-USDT-SWAP,-1.16964101864e-05
1785715200000,SOL-USDT-SWAP,3.66005386813e-05
1785686400000,SOL-USDT-SWAP,2.935222337e-07
1785657600000,SOL-USDT-SWAP,4.4373479021e-05
1785628800000,SOL-USDT-SWAP,-0.0001033461170114
1785600000000,SOL-USDT-SWAP,4.03046470442e-05
1785571200000,SOL-USDT-SWAP,0.0001
1785542400000,SOL-USDT-SWAP,3.62617103668e-05
1785513600000,SOL-USDT-SWAP,3.19124565505e-05
1785484800000,SOL-USDT-SWAP,4.87684162663e-05
1785456000000,SOL-USDT-SWAP,2.61601743675e-05
1785427200000,SOL-USDT-SWAP,-7.706707639e-07
1785398400000,SOL-USDT-SWAP,5.4263570109e-06
1785369600000,SOL-USDT-SWAP,2.80438044348e-05
1785340800000,SOL-USDT-SWAP,-4.09062772167e-05
1785312000000,SOL-USDT-SWAP,-2.76224091546e-05
1785283200000,SOL-USDT-SWAP,2.5059954769e-06
1785254400000,SOL-USDT-SWAP,-2.85654361033e-05
1785225600000,SOL-USDT-SWAP,-8.30905550456e-05
1785196800000,SOL-USDT-SWAP,-1.69865372845e-05
1785168000000,SOL-USDT-SWAP,1.65386439338e-05
1785139200000,SOL-USDT-SWAP,0.0001
1785110400000,SOL-USDT-SWAP,3.78263085441e-05
1785081600000,SOL-USDT-SWAP,1.35212663039e-05
1785052800000,SOL-USDT-SWAP,5.05518516348e-05
1785024000000,SOL-USDT-SWAP,2.98114861387e-05
1784995200000,SOL-USDT-SWAP,-1.89667466227e-05
1784966400000,SOL-USDT-SWAP,-5.49382509121e-05
1784937600000,SOL-USDT-SWAP,-1.78709335935e-05
1784908800000,SOL-USDT-SWAP,2.0611099954e-06
1784880000000,SOL-USDT-SWAP,2.14782886459e-05
1784851200000,SOL-USDT-SWAP,-1.81706191068e-05
1784822400000,SOL-USDT-SWAP,-1.4966763726e-05
1784793600000,SOL-USDT-SWAP,-3.30360675055e-05
1784764800000,SOL-USDT-SWAP,2.46977351926e-05
1784736000000,SOL-USDT-SWAP,5.57094298752e-05
1784707200000,SOL-USDT-SWAP,-5.49337115225e-05
1784678400000,SOL-USDT-SWAP,3.77465962791e-05
1784649600000,SOL-USDT-SWAP,3.75097075199e-05
1784620800000,SOL-USDT-SWAP,7.65835076216e-05
1784592000000,SOL-USDT-SWAP,4.83693175801e-05
1784563200000,SOL-USDT-SWAP,1.46632206401e-05
1784534400000,SOL-USDT-SWAP,-3.27828670199e-05
1784505600000,SOL-USDT-SWAP,1.75889383948e-05
1784476800000,SOL-USDT-SWAP,6.40058534465e-05
1784448000000,SOL-USDT-SWAP,5.33458419241e-05
1784419200000,SOL-USDT-SWAP,4.41412795575e-05
1784390400000,SOL-USDT-SWAP,5.806502525e-06
1784361600000,SOL-USDT-SWAP,3.40606675706e-05
1784332800000,SOL-USDT-SWAP,-3.9121509588e-06
1784304000000,SOL-USDT-SWAP,2.51355142364e-05
1784275200000,SOL-USDT-SWAP,5.89275547964e-05
1784246400000,SOL-USDT-SWAP,1.98304893722e-05
1784217600000,SOL-USDT-SWAP,1.42553529269e-05
1784188800000,SOL-USDT-SWAP,1.58122771276e-05
1784160000000,SOL-USDT-SWAP,4.52474591039e-05
1784131200000,SOL-USDT-SWAP,-2.7531094504e-06
1784102400000,SOL-USDT-SWAP,3.31511415222e-05
1784073600000,SOL-USDT-SWAP,5.08965727959e-05
1784044800000,SOL-USDT-SWAP,4.72873345597e-05
1784016000000,SOL-USDT-SWAP,3.57341308476e-05
1783987200000,SOL-USDT-SWAP,1.727032654e-05
1783958400000,SOL-USDT-SWAP,9.16666267123e-05
1783929600000,SOL-USDT-SWAP,-4.83611580027e-05
1783900800000,SOL-USDT-SWAP,-4.6948413765e-06
1783872000000,SOL-USDT-SWAP,3.61792264291e-05
1783843200000,SOL-USDT-SWAP,6.0953767461e-06
1783814400000,SOL-USDT-SWAP,4.05881953713e-05
1783785600000,SOL-USDT-SWAP,1.61588081587e-05
1783756800000,SOL-USDT-SWAP,-1.09591321779e-05
1783728000000,SOL-USDT-SWAP,1.99242097831e-05
1783699200000,SOL-USDT-SWAP,4.02781317974e-05
