ts,open,high,low,close,volume
1636084800000,12.99,13.09,10.01,11.77,1740269
1636347600000,11.78,11.98,9.76,10.26,1306393
1636434000000,10.35,11.38,9.36,11.02,1012531
1636520400000,10.82,11.76,9.66,10.08,1264800
1636606800000,10.21,13.72,9.83,12.64,3040013
1636693200000,13.15,13.3716,12.22,12.95,2084940
1636952400000,12.95,13.0652,11.2,11.82,1550066
1637038800000,12.2,13.7766,11.45,13.14,3552816
1637125200000,14.4,15.9,11.88,12.19,5677273
1637211600000,11.03,11.42,9.9,10.12,1842584
1637298000000,10.52,11.79,10.0,10.14,1849842
1637557200000,10.6623,10.7,8.1,8.46,2462688
1637643600000,8.3,9.4308,8.27,8.71,999662
1637730000000,8.51,9.83,8.36,8.81,1054810
1637902800000,8.85,8.95,8.17,8.54,373099
1638162000000,8.93,8.93,7.56,8.04,953719
1638248400000,7.9989,8.27,7.52,7.92,534838
1638334800000,8.04,8.1914,6.96,7.12,836825
1638421200000,7.0,7.12,6.0,6.59,812348
1638507600000,6.86,7.09,6.28,6.62,761723
1638766800000,6.62,6.83,6.15,6.74,592759
1638853200000,6.75,7.15,6.26,6.97,1173463
1638939600000,7.03,7.5,6.9,7.11,657903
1639026000000,7.01,7.15,6.36,6.46,493803
1639112400000,6.49,6.66,6.32,6.41,618213
1639371600000,6.37,6.45,5.52,5.73,806586
1639458000000,5.74,6.1,5.45,5.55,1103270
1639544400000,5.5,5.7963,5.08,5.53,721792
1639630800000,5.6,5.61,5.22,5.28,391636
1639717200000,5.15,5.79,4.92,5.74,1012066
1639976400000,5.46,5.6714,5.1,5.36,517149
1640062800000,5.39,5.86,5.39,5.71,603632
1640149200000,5.67,5.946,5.5124,5.83,462219
1640235600000,5.85,6.05,5.6501,5.86,650491
1640581200000,5.81,5.925,5.52,5.71,542362
1640667600000,5.27,5.63,5.27,5.42,606388
1640754000000,5.33,5.4297,4.9473,5.09,645430
1640840400000,5.05,5.36,5.02,5.22,558873
1640926800000,5.2,5.45,4.98,5.23,525034
1641186000000,5.26,5.86,5.26,5.81,434007
1641272400000,5.81,5.84,5.33,5.61,242102
1641358800000,5.5,5.6199,5.0,5.03,541047
1641445200000,5.4,5.45,4.885,4.99,2293710
1641531600000,4.93,4.99,4.65,4.7,606479
1641790800000,4.59,4.64,4.2701,4.55,334541
1641877200000,4.5,4.6198,4.0,4.16,692905
1641963600000,4.27,4.3868,4.01,4.31,335735
1642050000000,4.17,4.3499,4.06,4.11,449316
1642136400000,4.055,4.18,3.81,4.03,354398
1642482000000,3.92,4.03,3.69,3.71,340836
1642568400000,3.75,3.85,3.54,3.73,296663
1642654800000,3.75,3.9898,3.64,3.69,210578
1642741200000,3.66,3.7722,3.4,3.4,291792
1643000400000,3.25,3.42,3.02,3.42,280941
1643086800000,3.272,3.4499,3.17,3.31,221697
1643173200000,3.5,3.5536,3.11,3.18,464870
1643259600000,3.23,3.25,2.861,2.91,337337
1643346000000,2.91,2.9455,2.74,2.84,463504
1643605200000,2.9,3.24,2.8698,3.22,400254
1643691600000,3.35,3.73,3.27,3.56,495482
1643778000000,3.6,3.6698,2.99,3.05,361761
1643864400000,2.97,2.994,2.7,2.73,399895
1643950800000,2.74,2.7575,2.5324,2.57,548590
1644210000000,2.54,2.63,2.18,2.23,1607524
1644296400000,2.23,2.23,2.07,2.13,1180951
1644382800000,2.2,2.25,1.84,1.88,3212365
1644469200000,1.87,2.01,1.7,1.73,2996714
1644555600000,1.69,1.72,1.25,1.34,6044544
1644814800000,1.33,1.36,1.05,1.07,6902450
