ts,open,high,low,close,volume
1635739200000,12.99,13.09,10.01,11.77,1740269
1636347600000,11.78,13.72,9.36,12.95,8708677
1636952400000,12.95,15.9,9.9,10.14,14472581
1637557200000,10.6623,10.7,8.1,8.54,4890259
1638162000000,8.93,8.93,6.0,6.62,3899453
1638766800000,6.62,7.5,6.15,6.41,3536141
1639371600000,6.37,6.45,4.92,5.74,4035350
1639976400000,5.46,6.05,5.1,5.86,2233491
1640581200000,5.81,5.925,4.9473,5.23,2878087
1641186000000,5.26,5.86,4.65,4.7,4117345
1641790800000,4.59,4.64,3.81,4.03,2166895
1642395600000,3.92,4.03,3.4,3.4,1139869
1643000400000,3.25,3.5536,2.74,2.84,1768349
1643605200000,2.9,3.73,2.5324,2.57,2205982
1644210000000,2.54,2.63,1.25,1.34,15042098
1644814800000,1.33,1.36,0.6075,0.627,82222142
1645419600000,0.6399,0.84,0.52,0.688,315664369
1646024400000,1.0,1.95,0.73,0.7856,1632730507
1646629200000,0.7691,1.5,0.7581,1.35,917842410
1647230400000,1.81,3.2,1.52,2.9,1884874048
1647835200000,3.495,4.1799,2.26,2.35,1289199926
1648440000000,2.47,3.45,2.2,2.87,945605276
1649044800000,3.02,3.12,2.15,2.51,481111176
1649649600000,2.51,2.85,2.1101,2.16,235029948
1650254400000,2.17,2.17,1.33,1.48,489828209
1650859200000,1.38,1.54,1.25,1.32,221703468
1651464000000,1.35,1.49,1.17,1.2,275922105
1652068800000,1.14,1.16,0.757,0.9892,349568344
1652673600000,1.03,1.25,0.98,1.1,258624549
1653278400000,1.07,1.07,0.95,0.9662,159568019
1653883200000,1.215,1.68,1.17,1.27,732430027
1654488000000,1.43,1.54,1.12,1.14,311267711
1655092800000,1.0,1.39,1.0,1.32,247837336
1655697600000,1.39,1.71,1.36,1.46,322012026
1656302400000,1.52,1.52,0.9015,1.08,356227623
1656907200000,1.05,1.27,0.9703,1.17,177664678
1657512000000,1.38,1.4,1.03,1.08,275954171
1658116800000,1.09,1.14,1.0,1.02,160350434
1658721600000,1.02,1.03,0.76,0.7927,265090547
1659326400000,0.7785,0.959,0.76,0.8539,283161847
1659931200000,0.8061,0.86,0.78,0.8338,322128974
1660536000000,0.8509,0.93,0.7509,0.7538,407646365
1661140800000,0.791,0.8066,0.63,0.6362,399836177
1661745600000,0.6284,0.7436,0.6,0.6255,428240586
1662350400000,0.64,0.79,0.5281,0.5638,704200415
1662955200000,0.5725,0.588,0.5023,0.5023,534746817
1663560000000,0.5006,0.5006,0.33,0.4,502907187
1664164800000,0.408,0.4124,0.319,0.3278,394321512
1664769600000,0.3251,0.3643,0.3025,0.3031,285901382
1665374400000,0.3,0.3031,0.2252,0.2312,390599771
1665979200000,0.2397,0.458,0.2101,0.3761,1374305319
1666584000000,0.4651,0.61,0.454,0.5174,1727109540
1667188800000,0.5101,0.535,0.2666,0.2804,1103022867
1667797200000,0.2781,0.33,0.2511,0.3089,1067474986
1668402000000,0.3099,0.3282,0.26,0.2694,853258330
1669006800000,0.269,0.2701,0.19,0.2,771350611
1669611600000,0.2021,0.2444,0.1809,0.2045,1085247284
1670216400000,0.2078,0.2078,0.18,0.198,587739935
1670821200000,0.1975,0.4,0.1901,0.3022,1737455761
1671426000000,0.2879,0.2933,0.2131,0.2344,847888821
1672030800000,0.2238,0.305,0.2025,0.286,658714928
1672635600000,0.3205,0.4775,0.2794,0.3779,1566317323
1673240400000,0.349,0.41,0.3275,0.3575,1006298751
1673845200000,0.313,0.346,0.2538,0.295,916143881
1674450000000,0.3047,0.3599,0.28,0.3269,1251888610
1675054800000,0.3275,0.448,0.32,0.4079,1060250396
1675659600000,0.4342,0.445,0.3305,0.364,709487447
1676264400000,0.37,0.3997,0.2552,0.269,807548988
1676869200000,0.2646,0.2725,0.2251,0.2315,635348281
1677474000000,0.2299,0.2477,0.21,0.219,819227938
1678078800000,0.229,0.2387,0.161,0.17,1324257953
1678680000000,0.1646,0.172,0.13,0.1352,1486764231
1679284800000,0.1406,0.1413,0.1,0.1087,1465187267
1679889600000,0.1149,0.1551,0.0887,0.1313,2379403020
1680494400000,0.137,0.1389,0.097,0.1016,1253798597
1681099200000,0.1041,0.1155,0.0981,0.1001,834907289
1681704000000,0.0985,0.113,0.08,0.1029,1649780944
1682308800000,0.1156,0.1194,0.0657,0.0769,2831467437
1682913600000,0.0833,1.55,0.06,1.5,2284208498
1683518400000,1.61,1.62,1.21,1.27,96644472
1684123200000,1.27,1.49,1.01,1.07,158527389
1684728000000,1.04,1.04,0.72,0.8081,297825013
1685332800000,0.8601,0.8901,0.68,0.7469,162811242
1685937600000,0.7344,0.735,0.415,0.432,292844835
1686542400000,0.4194,0.4245,0.201,0.229,1033625738
1687147200000,0.2359,0.2398,0.155,0.1696,1177930836
1687752000000,0.1645,0.2,0.1,0.1077,1720983970
1688356800000,0.1085,0.3212,0.1,0.1919,4299535694
1688961600000,0.1825,0.2219,0.1401,0.1566,2339018492
1689566400000,0.1628,0.1685,0.1353,0.14,1214166623
1690171200000,0.14,0.1434,0.115,0.1246,1009745358
1690776000000,0.1243,0.173,0.1168,0.1195,1737232838
1691380800000,0.1137,1.08,0.105,1.01,1116014467
1691985600000,0.9964,1.07,0.6291,0.6432,297893056
1692590400000,0.67,0.96,0.3901,0.649,786718729
1693195200000,0.6044,0.69,0.4549,0.4625,499362140
1693800000000,0.4469,0.548,0.392,0.4193,237411364
1694404800000,0.43,0.7193,0.429,0.68,462324982
1695009600000,0.6889,0.75,0.5026,0.53,274258533
1695614400000,0.5381,0.57,0.433,0.454,191048332
1696219200000,0.4579,0.4889,0.4375,0.471,85748374
1696824000000,0.4577,0.474799,0.387,0.3925,88039023
1697428800000,0.39,0.39,0.2402,0.245,195332158
1698033600000,0.2478,0.3599,0.221,0.2801,371390966
1698638400000,0.2829,0.34,0.251,0.2962,219820164
1699246800000,0.31,0.3275,0.19,0.1958,238219100
