ts,open,high,low,close,volume
1723473300000,0.579,0.584,0.5732,0.584,26647
1723473600000,0.5825,0.5841,0.5801,0.5813,41488
1723473900000,0.5823,0.587,0.5763,0.5775,77001
1723474200000,0.5775,0.5794,0.57,0.57,35572
1723474500000,0.5678,0.5751,0.5614,0.5667,97262
1723474800000,0.5668,0.5734,0.561,0.5683,109965
1723475100000,0.5682,0.5682,0.5613,0.568,27604
1723475400000,0.5649,0.568,0.5631,0.5648,24421
1723475700000,0.5631,0.5724,0.5631,0.5675,83858
1723476000000,0.5673,0.5742,0.5671,0.5705,18667
1723476300000,0.5729,0.5857,0.5705,0.5849,105448
1723476600000,0.5806,0.5826,0.5728,0.5802,41382
1723476900000,0.5796,0.5801,0.576,0.5774,29251
1723477200000,0.5798,0.5798,0.577,0.577,19868
1723477500000,0.5779,0.5785,0.5707,0.5773,27876
1723477800000,0.574,0.5783,0.5707,0.5783,16774
1723478100000,0.5784,0.58,0.5784,0.5792,28868
1723478400000,0.58,0.5827,0.5784,0.58,13910
1723478700000,0.58,0.6,0.58,0.6,423024
1723479000000,0.5981,0.6088,0.592,0.606,235912
1723479300000,0.6059,0.63,0.6012,0.6272,224402
1723479600000,0.6247,0.63,0.61,0.62,236214
1723479900000,0.6238,0.6275,0.606,0.61,220566
1723480200000,0.61,0.61,0.603,0.606,67920
1723480500000,0.605,0.61,0.6016,0.6084,42712
1723480800000,0.61,0.6133,0.6086,0.6114,46265
1723481100000,0.6131,0.6167,0.6114,0.6164,94902
1723481400000,0.6154,0.6154,0.6117,0.6138,50095
1723481700000,0.6133,0.617,0.6109,0.6144,59049
1723482000000,0.6149,0.6177,0.611,0.611,63864
1723482300000,0.611,0.6147,0.61,0.6118,156904
1723482600000,0.61,0.61,0.6005,0.6025,81839
1723482900000,0.6005,0.6039,0.592,0.5939,76505
1723483200000,0.592,0.6011,0.592,0.5993,67274
1723483500000,0.5993,0.5993,0.5985,0.5985,21242
1723483800000,0.5985,0.6015,0.5985,0.5995,128358
1723484100000,0.6004,0.6013,0.5995,0.5995,46323
1723484400000,0.6,0.6,0.581,0.581,145284
1723484700000,0.5833,0.5877,0.58,0.5801,28174
1723485000000,0.5802,0.5845,0.576,0.5789,131640
1723485300000,0.5785,0.5813,0.5771,0.5771,17827
1723485600000,0.5783,0.5783,0.5755,0.5772,31198
1723485900000,0.5785,0.5798,0.542,0.5581,535577
1723486200000,0.5581,0.5711,0.5507,0.5621,179717
1723486500000,0.5668,0.5757,0.562,0.5726,62804
1723486800000,0.5701,0.5759,0.57,0.5759,27993
1723487100000,0.5719,0.576,0.5713,0.5713,24405
1723487400000,0.5737,0.5759,0.5723,0.5759,17267
1723487700000,0.575,0.5859,0.575,0.5822,87107
1723488000000,0.5807,0.5889,0.5807,0.5844,75824
1723488300000,0.5851,0.587,0.5794,0.58,61460
1723488600000,0.5794,0.5845,0.5794,0.58,8005
1723488900000,0.5797,0.58,0.5788,0.5791,20231
1723489200000,0.5793,0.6,0.5792,0.5874,225939
1723489500000,0.5925,0.5925,0.58,0.585,86117
1723489800000,0.5842,0.5847,0.5797,0.5823,23212
1723490100000,0.5801,0.5811,0.57,0.5758,52137
1723490400000,0.5758,0.58,0.5758,0.5778,48153
1723490700000,0.5795,0.5795,0.566,0.5711,63747
1723491000000,0.57,0.5734,0.5666,0.5666,43081
1723491300000,0.5665,0.5666,0.5501,0.557,240556
1723491600000,0.5523,0.5564,0.5403,0.547,291414
1723491900000,0.5461,0.55,0.5299,0.531,504507
1723492200000,0.531,0.5313,0.516,0.5196,485711
